id,name,image,email,website,facebook,twitter,other_name
102,Carwyn Jones,http://senedd.assembly.wales/UserData/2/0/1/Info00000102/bigpic.jpg,Carwyn.Jones@assembly.wales,,,,
103,Ieuan Wyn Jones,http://www.senedd.assemblywales.org/UserData/3/0/1/Info00000103/bigpic.jpg,,,,,
130,Mohammad Asghar,http://senedd.assembly.wales/UserData/0/3/1/Info00000130/bigpic.jpg,Mohammad.Asghar@assembly.wales,http://www.mohammadasghar.org.uk/,https://www.facebook.com/mohammadasgharwelshconservatives,http://twitter.com/mohammadasghar,Oscar
133,Peter Black,http://senedd.assembly.wales/UserData/3/3/1/Info00000133/bigpic.jpg,Peter.Black@assembly.wales,http://www.peterblack.wales,http://www.facebook.com/peterblack.wales,http://twitter.com/peterblackwales,
135,Angela Burns,http://senedd.assembly.wales/UserData/5/3/1/Info00000135/bigpic.jpg,Angela.Burns@assembly.wales,http://www.angelaburns.org.uk/,,http://twitter.com/AngelaBurnsAM,
136,Dame Rosemary Butler,http://senedd.assembly.wales/UserData/6/3/1/Info00000136/bigpic.jpg,Rosemary.Butler@assembly.wales,http://www.rosemarybutleram.co.uk/,http://www.facebook.com/pages/Rosemary-Butler-politician/144061692279715,http://twitter.com/RosemaryButler,
138,Christine Chapman,http://senedd.assembly.wales/UserData/8/3/1/Info00000138/bigpic.jpg,Christine.Chapman@assembly.wales,,http://www.facebook.com/christine.chapman.397,http://twitter.com/ChrisChapmanAM,
139,Jeff Cuthbert,http://senedd.assembly.wales/UserData/9/3/1/Info00000139/bigpic.jpg,Jeff.Cuthbert@assembly.wales,http://jeffcuthbert.org.uk/,http://www.facebook.com/JeffCuthbert,http://twitter.com/JeffCuthbert,
143,Andrew RT Davies,http://senedd.assembly.wales/UserData/3/4/1/Info00000143/bigpic.jpg,AndrewRT.Davies@assembly.wales,http://www.andrewrtdavies.com/,http://www.facebook.com/AndrewRTDaviesAM,http://twitter.com/AndrewRTDavies,
144,Jocelyn Davies,http://senedd.assembly.wales/UserData/4/4/1/Info00000144/bigpic.jpg,Jocelyn.Davies@assembly.wales,,,http://twitter.com/parkgirl59,
145,Paul Davies,http://senedd.assembly.wales/UserData/5/4/1/Info00000145/bigpic.jpg,Paul.Davies@assembly.wales,http://www.pauldaviesam.co.uk/,,,
146,Dafydd Elis-Thomas,http://senedd.assembly.wales/UserData/6/4/1/Info00000146/bigpic.jpg,Dafydd.Elis-Thomas@assembly.wales,,http://www.facebook.com/dafydd.elisthomas,http://twitter.com/ElisThomasD,
151,William Graham,http://senedd.assembly.wales/UserData/1/5/1/Info00000151/bigpic.jpg,William.Graham@assembly.wales,,,http://twitter.com/williamgrahamam,
152,Janice Gregory,http://senedd.assembly.wales/UserData/2/5/1/Info00000152/bigpic.jpg,Janice.Gregory@assembly.wales,,,,
153,John Griffiths,http://senedd.assembly.wales/UserData/3/5/1/Info00000153/bigpic.jpg,John.Griffiths@assembly.wales,http://www.johngriffithsam.com/,,,
154,Lesley Griffiths,http://senedd.assembly.wales/UserData/4/5/1/Info00000154/bigpic.jpg,Lesley.Griffiths@assembly.wales,,,,
155,Edwina Hart,http://senedd.assembly.wales/UserData/5/5/1/Info00000155/bigpic.jpg,Edwina.Hart@assembly.wales,,,,
156,Jane Hutt,http://senedd.assembly.wales/UserData/6/5/1/Info00000156/bigpic.jpg,Jane.Hutt@assembly.wales,http://www.janehutt.co.uk/,http://www.facebook.com/jane.hutt.714,http://twitter.com/JaneHutt,
157,Mark Isherwood,http://senedd.assembly.wales/UserData/7/5/1/Info00000157/bigpic.jpg,Mark.Isherwood@assembly.wales,http://www.markisherwood.co.uk/,,http://twitter.com/MarkIsherwoodAM/,
159,Bethan Jenkins,http://senedd.assembly.wales/UserData/9/5/1/Info00000159/bigpic.jpg,Bethan.Jenkins@assembly.wales,,http://www.facebook.com/pages/Bethan-Jenkins-Plaid-Cymru-Assembly-Member/38277580617,,
160,Alun Ffred Jones,http://senedd.assembly.wales/UserData/0/6/1/Info00000160/bigpic.jpg,AlunFfred.Jones@assembly.wales,http://www.alunffredjones.plaidcymru.org,,http://twitter.com/AlunFfredPlaid,
161,Ann Jones,http://senedd.assembly.wales/UserData/1/6/1/Info00000161/bigpic.jpg,Ann.Jones@assembly.wales,,,http://twitter.com/ann_jonesam,
162,Elin Jones,http://senedd.assembly.wales/UserData/2/6/1/Info00000162/bigpic.jpg,Elin.Jones@assembly.wales,,,http://twitter.com/ElinCeredigion,
166,Huw Lewis,http://senedd.assembly.wales/UserData/6/6/1/Info00000166/bigpic.jpg,Huw.Lewis@assembly.wales,http://www.huwlewis.org.uk,http://www.facebook.com/HuwLewisAM,http://twitter.com/huwlewis,
169,David Melding,http://senedd.assembly.wales/UserData/9/6/1/Info00000169/bigpic.jpg,David.Melding@assembly.wales,,,http://twitter.com/DavidMeldingAM,
170,Sandy Mewies,http://senedd.assembly.wales/UserData/0/7/1/Info00000170/bigpic.jpg,Sandy.Mewies@assembly.wales,,,http://twitter.com/SandyMewiesAM,
