id,name__en,name,image,gender,birth_date,given_name,identifier__VIAF,family_name,identifier__LCAuth,identifier__SUDOC,website,identifier__ISNI,identifier__NTA,identifier__freebase,identifier__hansard,wikipedia__en,twitter,identifier__parliamentDOTuk,name__cy,name__es,name__nl,name__fr,name__de,name__gl,wikipedia__cy,wikipedia__gl,name__fa,name__ca,wikipedia__ca,name__eu,name__br,wikipedia__br,wikipedia__eu,wikipedia__fr,wikipedia__de,name__nb,name__da,name__nn,name__sv,name__en_ca,name__en_gb,name__pl,name__gd,name__ko,name__ru,name__tr,name__hu,name__sco,name__scn,name__oc,name__ie,name__el,name__uk,name__cs,name__sk,wikipedia__commons,wikipedia__cs,wikipedia__el,wikipedia__es,wikipedia__gd,wikipedia__hu,wikipedia__ie,wikipedia__ko,wikipedia__pl,wikipedia__ru,wikipedia__scn,wikipedia__sco,wikipedia__simple,wikipedia__tr,wikipedia__uk,name__nds,wikipedia__nds,name__it,name__la,name__az,name__zh,wikipedia__az,wikipedia__la,wikipedia__oc,wikipedia__zh,name__vmf,identifier__BNF,wikipedia__fa,name__vi,name__id,name__ga,original_wikiname,identifier__publicwhip,name__pt,name__pcd,name__eo,last_seen,identifier__TWFY,name__mg,wikipedia__mg,name__ja,name__zh_cn,identifier__FAST,name__ro,wikipedia__ro,identifier__EuroparlMEP,identifier__journalisted,identifier__current_hansard,identifier__bbc_democracy_live,name__fi,wikipedia__fi,identifier__OLID,name__de_ch,occupation,identifier__snac,weblog,wikipedia__it,name__ar,identifier__quora,identifier__BBC_things,name__te,name__an,name__ast,name__ext,wikipedia__enwikiquote,name__zh_hant,wikipedia__cywikiquote,facebook,identifier__google_knowledge,identifier__Britannica,identifier__GND,identifier__BIBSYS,identifier__NUKAT,name__fo,name__kl,wikipedia__ms,death_date,name__ms,name__he,name__af,name__bar,name__bm,name__co,name__de_at,name__et,name__frc,name__frp,name__fur,name__gsw,name__hr,name__ia,name__io,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__lt,name__lv,name__min,name__nap,name__nds_nl,name__nrm,name__pap,name__pms,name__prg,name__pt_br,name__rgn,name__rm,name__sc,name__sw,name__vec,name__vls,name__vo,name__wa,name__wo,name__zu,identifier__LNB,name__sl,identifier__national_archives,name__bn,identifier__rush,identifier__Oxforddnb,identifier__NPG,identifier__NNDB,identifier__ne_se,name__zh_hans,name__zh_hk,name__zh_sg,name__zh_tw,wikipedia__da,wikipedia__id,wikipedia__sv,wikipedia__pt,identifier__WelshBiography,name__is,name__sr_el,identifier__welsh_assembly,honorific_suffix,wikipedia__ga,wikipedia__wuu,name__wuu,wikipedia__zh_yue,name__yue,identifier__NKC
Q10694,Leanne Wood,Leanne Wood,https://upload.wikimedia.org/wikipedia/commons/1/14/Leanne_Wood.jpg,female,1971-12-13,Leanne,,Wood,,,https://www.leannerhondda.wales/,,,/m/02phppl,,Leanne Wood,LeanneWood,,Leanne Wood,Leanne Wood,Leanne Wood,Leanne Wood,Leanne Wood,Leanne Wood,Leanne Wood,,لیان وود,Leanne Wood,Leanne Wood,Leanne Wood,Leanne Wood,Leanne Wood,Leanne Wood,Leanne Wood,Leanne Wood,,,,,,Leanne Wood,,,린 우드,"Вуд, Лианн",,Leanne Wood,Leanne Wood,,Leanne Wood,Leanne Wood,,,,,Category:Leanne Wood,,,Leanne Wood,,,Leanne Wood,린 우드,,"Вуд, Лианн",,Leanne Wood,,,,,,Leanne Wood,Leanne Wood,Lian Vud,莉安·伍德,Lian Vud,Leanne Wood,,莉安·伍德,,,لیان وود,,,Leanne Wood,,,,,,,,Leanne Wood,Leanne Wood,リアーン・ウッド,,,,,,,,,Leanne Wood,Leanne Wood,,Leanne Wood,politician,,,,,,f6d9ac01-db00-4e13-97b4-5bb54e019fd3,లియన్ వుడ్,Leanne Wood,Leanne Wood,Leanne Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leanne Wood,,,,,,,,,,,,,,,,,,,185,,Leanne Wood,,,,,
Q11001680,Helen Mary Jones,Helen Mary Jones,https://upload.wikimedia.org/wikipedia/commons/4/44/Helen_Mary_Jones_AM.jpg,female,1960-06-29,Helen,,Jones,,,,,,,,Helen Mary Jones,,,Helen Mary Jones,Helen Mary Jones,Helen Mary Jones,Helen Mary Jones,Helen Mary Jones,,Helen Mary Jones,,هلن مری جونز,,,,,,,,,,,,,,,,,,,,Helen Mary Jones,,,,,,,,,,,,,,,,,,,,,,,,,,Helen Jones,,,,,,,,,,,,,,,,,,,,,,,ヘレン・メアリー・ジョーンズ,,,,,,,,,,,,,politician,,,,هيلين جونز,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Helen Mary Jones,,,,,,,,,,,,,,,,,,,164,,,,,,,
Q11162843,Jonathan Morgan,Jonathan Morgan,,male,1974-11-12,Jonathan,,Morgan,,,,,,,,Jonathan Morgan (politician),,,Jonathan Morgan,Jonathan Morgan,Jonathan Morgan,Jonathan Morgan,Jonathan Morgan,,Jonathan Morgan,,جاناتان مورگان,,,,,,,,,,,,,,,,,,Джонатан Морган,,Jonathan Morgan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,جوناثان مورغان,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jonathan Morgan,,,,,,,,,,,,,,,,,,,172,,,,,,,
Q111840,Carwyn Jones,Carwyn Jones,https://upload.wikimedia.org/wikipedia/commons/d/d7/Carwyn_Jones_2011.jpg,male,1967-03-21,Carwyn,256290018,Jones,no2009057457,,http://www.carwynjonesam.co.uk/,0000 0003 7821 4669,332930246,/m/09bptc,,Carwyn Jones,AMCarwyn,,Carwyn Jones,Carwyn Jones,Carwyn Jones,Carwyn Jones,Carwyn Jones,Carwyn Jones,Carwyn Jones,,,Carwyn Jones,Carwyn Jones,Carwyn Jones,Carwyn Jones,Carwyn Jones,,Carwyn Jones,Carwyn Jones,,Carwyn Jones,,,,,Carwyn Jones,Carwyn Jones,카륀 존스,"Джонс, Каруин",Carwyn Jones,Carwyn Jones,Carwyn Jones,Carwyn Jones,Carwyn Jones,Carwyn Jones,Κάρουϊν Τζόουνς,Карвін Джонс,Carwyn Jones,Carwyn Jones,Category:Carwyn Jones,Carwyn Jones,Κάρουϊν Τζόουνς,Carwyn Jones,Carwyn Jones,Carwyn Jones,Carwyn Jones,카륀 존스,Carwyn Jones,"Джонс, Каруин",Carwyn Jones,Carwyn Jones,Carwyn Jones,Carwyn Jones,Карвін Джонс,,,Carwyn Jones,,,卡文·瓊斯,,,,莊家偉,,,,Carwyn Jones,Carwyn Jones,Carwyn Jones,,,Carwyn Jones,Carwyn Jones,Carwyn Jones,,,,,カーウィン・ジョーンズ,卡文·琼斯,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,biography/Carwyn-Jones,,,,Carwyn Jones,Carwyn Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carwyn Jones,,,,,,,,,,,,,,,,,,,102,,,,,,,
Q117720,Gwenda Thomas,Gwenda Thomas,https://upload.wikimedia.org/wikipedia/commons/e/ed/Gwenda_Thomas.jpg,female,1942-01-22,Gwenda,,Thomas,,,,,,,,Gwenda Thomas,GwendaThomas,,Gwenda Thomas,Gwenda Thomas,Gwenda Thomas,Gwenda Thomas,Gwenda Thomas,Gwenda Thomas,Gwenda Thomas,Gwenda Thomas,,,,,,,,,,,,,,,,,,,,,Gwenda Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gwenda Thomas,,,,,,,,,,,,,,,,,,,180,,,,,,,
Q13129493,Laura Anne Jones,Laura Anne Jones,,female,1979-02-02,Laura,,Jones,,,,,,,,Laura Anne Jones,,,Laura Anne Jones,Laura Anne Jones,Laura Anne Jones,Laura Anne Jones,Laura Anne Jones,Laura Anne Jones,Laura Anne Jones,,,Laura Anne Jones,,Laura Anne Jones,Laura Anne Jones,,,,,,,,,,,,Laura Anne Jones,,,,Laura Anne Jones,Laura Anne Jones,,Laura Anne Jones,,,,,,,,,,,,,,,,,,,,,,,Laura Jones,,,,,,,,,,,Laura Anne Jones,Laura Anne Jones,Laura Anne Jones,,,Laura Anne Jones,Laura Anne Jones,Laura Anne Jones,,,,,,,,,,,,,,,,,,politician,,,,لورا جونز,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laura Anne Jones,,,,,,,,,,,,,,,,,,,4562,,,,,,,
Q14420732,Rhun ap Iorwerth,Rhun ap Iorwerth,https://upload.wikimedia.org/wikipedia/commons/5/53/RhunApIorwerth_Nov2014.jpg,male,1972-08-27,Rhun,,ap Iorwerth,,,http://www.rhunapiorwerth.com/,,,/m/0wy66g8,,Rhun ap Iorwerth,RhunapIorwerth,,Rhun ap Iorwerth,,Rhun ap Iorwerth,Rhun ap Iorwerth,Rhun ap Iorwerth,,Rhun ap Iorwerth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Rhun ap Iorwerth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2717,,,,,,,
Q16144618,Lorraine Barrett,Lorraine Barrett,https://upload.wikimedia.org/wikipedia/commons/f/fe/Lorraine_Barrett_AM.jpg,female,1950,Lorraine,,Barrett,,,,,,,,Lorraine Barrett,LorrBarrett,,Lorraine Barrett,,Lorraine Barrett,Lorraine Barrett,Lorraine Barrett,,,,,,,,,,,,,,,,,,,,,,Лоррейн Барретт,,Lorraine Barrett,,,,,,,,,Category:Lorraine Barrett,,,,,,,,,,,,,,,,,Lorraine Barrett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,لورين باريت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lorraine Barrett,,,,,,,,,,,,,,,,,,,4418,,,,,,,
Q16191105,Jenny Rathbone,Jenny Rathbone,https://upload.wikimedia.org/wikipedia/commons/6/66/Jenny_Rathbone_-_National_Assembly_for_Wales.jpg,female,,Jenny,,Rathbone,,,,,,,,Jenny Rathbone,JennyRathbone,,Jenny Rathbone,,,,Jenny Rathbone,,Jenny Rathbone,,,,,,,,,,,,,,,,,,,,,,,Jenny Rathbone,,,,,,,,Category:Jenny Rathbone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241,,,,,,,
Q16191114,David Rees,David Rees,https://upload.wikimedia.org/wikipedia/commons/4/4f/David_Rees_(5804396479).jpg,male,1957-01-17,David,,Rees,,,,0000 0003 7862 262X,,,,David Rees (politician),DavidReesAM,,David Rees,,,David Rees,David Rees,,David Rees (gwleidydd),,,,,,,,,,,,,,,,,,,,,,,David Rees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205,,,,,,,
