post,en_party_name,href,id,en_title,image,email,en_constituency_name,name,group,area,twitter,en_region_name,other_name
The Minister for Communities and Tackling Poverty,Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=154,154,The Minister for Communities and Tackling Poverty,http://www.senedd.assemblywales.org/UserData/4/5/1/Info00000154/bigpic.jpg,Lesley.Griffiths@assembly.wales,Wrexham,Lesley Griffiths,Welsh Labour,Wrexham,,,
The Minister for Natural Resources,Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=178,178,The Minister for Natural Resources,http://www.senedd.assemblywales.org/UserData/8/7/1/Info00000178/bigpic.jpg,Carl.Sargeant@assembly.wales,Alyn and Deeside,Carl Sargeant,Welsh Labour,Alyn and Deeside,,,
,Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=152,152,,http://www.senedd.assemblywales.org/UserData/2/5/1/Info00000152/bigpic.jpg,Janice.Gregory@assembly.wales,Ogmore,Janice Gregory,Welsh Labour,Ogmore,,,
The Minister for Finance and Government Business,Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=156,156,The Minister for Finance and Government Business,http://www.senedd.assemblywales.org/UserData/6/5/1/Info00000156/bigpic.jpg,Jane.Hutt@assembly.wales,Vale of Glamorgan,Jane Hutt,Welsh Labour,Vale of Glamorgan,http://twitter.com/JaneHutt,,
The First Minister,Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=102,102,The First Minister,http://www.senedd.assemblywales.org/UserData/2/0/1/Info00000102/bigpic.jpg,Carwyn.Jones@assembly.wales,Bridgend,Carwyn Jones,Welsh Labour,Bridgend,,,
"The Minister for Economy, Science and Transport",Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=155,155,"The Minister for Economy, Science and Transport",http://www.senedd.assemblywales.org/UserData/5/5/1/Info00000155/bigpic.jpg,Edwina.Hart@assembly.wales,Gower,Edwina Hart,Welsh Labour,Gower,,,
The Minister for Health and Social Services,Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=253,253,The Minister for Health and Social Services,http://www.senedd.assemblywales.org/UserData/3/5/2/Info00000253/bigpic.jpg,Mark.Drakeford@assembly.wales,Cardiff West,Mark Drakeford,Welsh Labour,Cardiff West,http://twitter.com/MarkDrakeford,,
The Minister for Public Services,Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=582,582,The Minister for Public Services,http://www.senedd.assemblywales.org/UserData/2/8/5/Info00000582/bigpic.jpg,Leighton.Andrews@assembly.wales,Rhondda,Leighton Andrews,Welsh Labour,Rhondda,http://twitter.com/leightonandrews,,
The Minister for Education and Skills,Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=166,166,The Minister for Education and Skills,http://www.senedd.assemblywales.org/UserData/6/6/1/Info00000166/bigpic.jpg,Huw.Lewis@assembly.wales,Merthyr Tydfil and Rhymney,Huw Lewis,Welsh Labour,Merthyr Tydfil and Rhymney,http://twitter.com/huwlewis,,
Commissioner-Welsh Liberal Democrats,Welsh Liberal Democrats,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=133,133,Commissioner,http://www.senedd.assemblywales.org/UserData/3/3/1/Info00000133/bigpic.jpg,Peter.Black@assembly.wales,,Peter Black,Welsh Liberal Democrats,South Wales West,http://twitter.com/peterblackwales,South Wales West,
,Welsh Liberal Democrats,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=184,184,,http://www.senedd.assemblywales.org/UserData/4/8/1/Info00000184/bigpic.jpg,Kirsty.Williams@assembly.wales,Brecon and Radnorshire,Kirsty Williams,Welsh Liberal Democrats,Brecon and Radnorshire,http://twitter.com/kirsty_williams,,
,Plaid Cymru,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=425,425,,http://www.senedd.assemblywales.org/UserData/5/2/4/Info00000425/bigpic.jpg,llyr.gruffydd@assembly.wales,,Llyr Gruffydd,Plaid Cymru,North Wales,http://twitter.com/LlyrGruffydd,North Wales,
,Plaid Cymru,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=383,383,,http://www.senedd.assemblywales.org/UserData/3/8/3/Info00000383/bigpic.jpg,Simon.Thomas@assembly.wales,,Simon Thomas,Plaid Cymru,Mid and West Wales,http://twitter.com/SimonThomasAC,Mid and West Wales,
,Plaid Cymru,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=185,185,,http://www.senedd.assemblywales.org/UserData/5/8/1/Info00000185/bigpic.jpg,Leanne.Wood@assembly.wales,,Leanne Wood,Plaid Cymru,South Wales Central,http://twitter.com/leannewood,South Wales Central,
,Plaid Cymru,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=162,162,,http://www.senedd.assemblywales.org/UserData/2/6/1/Info00000162/bigpic.jpg,Elin.Jones@assembly.wales,Ceredigion,Elin Jones,Plaid Cymru,Ceredigion,http://twitter.com/ElinCeredigion,,
Presiding Officer,Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=136,136,Presiding Officer,http://www.senedd.assemblywales.org/UserData/6/3/1/Info00000136/bigpic.jpg,Rosemary.Butler@assembly.wales,Newport West,Dame Rosemary Butler,Welsh Labour,Newport West,http://twitter.com/RosemaryButler,,
The Deputy Minister for Skills and Technology,Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=584,584,The Deputy Minister for Skills and Technology,http://www.senedd.assemblywales.org/UserData/4/8/5/Info00000584/bigpic.jpg,Julie.James@assembly.wales,Swansea West,Julie James,Welsh Labour,Swansea West,http://twitter.com/JulieJamesAM,,
The Deputy Minister for Farming and Food,Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=375,375,The Deputy Minister for Farming and Food,http://www.senedd.assemblywales.org/UserData/5/7/3/Info00000375/bigpic.jpg,Rebecca.Evans@assembly.wales,,Rebecca Evans,Welsh Labour,Mid and West Wales,http://twitter.com/rebeccaevansam,Mid and West Wales,
The Deputy Minister for Health,Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=249,249,The Deputy Minister for Health,http://www.senedd.assemblywales.org/UserData/9/4/2/Info00000249/bigpic.jpg,Vaughan.Gething@assembly.wales,Cardiff South and Penarth,Vaughan Gething,Welsh Labour,Cardiff South and Penarth,http://twitter.com/vaughangething/,,
"The Deputy Minister for Culture, Sport and Tourism",Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=267,267,"The Deputy Minister for Culture, Sport and Tourism",http://www.senedd.assemblywales.org/UserData/7/6/2/Info00000267/bigpic.jpg,Ken.Skates@assembly.wales,Clwyd South,Ken Skates,Welsh Labour,Clwyd South,http://twitter.com/KenSkatesAM,,
,Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=321,321,,http://www.senedd.assemblywales.org/UserData/1/2/3/Info00000321/bigpic.jpg,Mick.Antoniw@assembly.wales,Pontypridd,Mick Antoniw,Welsh Labour,Pontypridd,http://twitter.com/@mickantoniw1,,
Commissioner-Welsh Labour,Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=170,170,Commissioner,http://www.senedd.assemblywales.org/UserData/0/7/1/Info00000170/bigpic.jpg,Sandy.Mewies@assembly.wales,Delyn,Sandy Mewies,Welsh Labour,Delyn,http://twitter.com/SandyMewiesAM,,
,Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=138,138,,http://www.senedd.assemblywales.org/UserData/8/3/1/Info00000138/bigpic.jpg,Christine.Chapman@assembly.wales,Cynon Valley,Christine Chapman,Welsh Labour,Cynon Valley,http://twitter.com/ChrisChapmanAM,,
,Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=205,205,,http://www.senedd.assemblywales.org/UserData/5/0/2/Info00000205/bigpic.jpg,David.Rees@assembly.wales,Aberavon,David Rees,Welsh Labour,Aberavon,http://twitter.com/DavidReesAM,,
,Welsh Conservative Party,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=157,157,,http://www.senedd.assemblywales.org/UserData/7/5/1/Info00000157/bigpic.jpg,Mark.Isherwood@assembly.wales,,Mark Isherwood,Welsh Conservative Party,North Wales,http://twitter.com/MarkIsherwoodAM/,North Wales,
,Welsh Conservative Party,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=171,171,,http://www.senedd.assemblywales.org/UserData/1/7/1/Info00000171/bigpic.jpg,Darren.Millar@assembly.wales,Clwyd West,Darren Millar,Welsh Conservative Party,Clwyd West,http://twitter.com/DarrenMillarAM,,
,Welsh Conservative Party,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=151,151,,http://www.senedd.assemblywales.org/UserData/1/5/1/Info00000151/bigpic.jpg,William.Graham@assembly.wales,,William Graham,Welsh Conservative Party,South Wales East,http://twitter.com/williamgrahamam,South Wales East,
,Welsh Conservative Party,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=143,143,,http://www.senedd.assemblywales.org/UserData/3/4/1/Info00000143/bigpic.jpg,AndrewRT.Davies@assembly.wales,,Andrew RT Davies,Welsh Conservative Party,South Wales Central,http://twitter.com/AndrewRTDavies,South Wales Central,
,Welsh Conservative Party,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=145,145,,http://www.senedd.assemblywales.org/UserData/5/4/1/Info00000145/bigpic.jpg,Paul.Davies@assembly.wales,Preseli Pembrokeshire,Paul Davies,Welsh Conservative Party,Preseli Pembrokeshire,,,
Commissioner-Welsh Conservative Party,Welsh Conservative Party,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=135,135,Commissioner,http://www.senedd.assemblywales.org/UserData/5/3/1/Info00000135/bigpic.jpg,Angela.Burns@assembly.wales,Carmarthen West and South Pembrokeshire,Angela Burns,Welsh Conservative Party,Carmarthen West and South Pembrokeshire,http://twitter.com/AngelaBurnsAM,,
,Welsh Liberal Democrats,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=421,421,,http://www.senedd.assemblywales.org/UserData/1/2/4/Info00000421/bigpic.jpg,Aled.Roberts@assembly.wales,,Aled Roberts,Welsh Liberal Democrats,North Wales,http://www.twitter.com/aledrobertsam,North Wales,
,Welsh Liberal Democrats,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=480,480,,http://www.senedd.assemblywales.org/UserData/0/8/4/Info00000480/bigpic.jpg,Eluned.Parrott@assembly.wales,,Eluned Parrott,Welsh Liberal Democrats,South Wales Central,http://twitter.com/ElunedParrottAM,South Wales Central,
