id,name__ar,name,wikipedia__ar,name__en,wikipedia__en,gender,death_date,given_name,birth_date,identifier__VIAF,identifier__LCAuth,name__de,name__fr,name__it,name__cy,name__nl,original_wikiname,name__pl,name__el,name__nb,name__tr,name__uz,name__es,name__ca,name__oc,name__ru,name__et,name__he,name__ko,name__ja,name__vi,name__da,name__nn,name__sv,wikipedia__de,wikipedia__el,wikipedia__enwikiquote,wikipedia__es,wikipedia__et,wikipedia__fr,wikipedia__he,wikipedia__it,wikipedia__ja,wikipedia__ko,wikipedia__pl,wikipedia__ru,wikipedia__tr,wikipedia__vi,image,identifier__freebase,identifier__FAST,identifier__EGAXA,name__pt,wikipedia__pt,name__zh,name__fi,wikipedia__fi,wikipedia__zh,name__zh_hans,name__zh_hant,name__zh_hk,name__hu,identifier__ISNI,last_seen,twitter,wikipedia__mg,name__mg,identifier__GND,name__ast,wikipedia__ast,wikipedia__simple,name__zh_cn,wikipedia__fa,name__fa,wikipedia__commons,occupation,facebook,wikipedia__ce,name__ce
Q12178497,أحمد الأزايدة,,أحمد الأزايدة,,,male,1992,Ahmad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q12178664,أحمد الكوفحي,,أحمد الكوفحي,,,male,,Ahmad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q12182175,إسحاق الفرحان,,إسحاق الفرحان,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q12198314,بسام العموش,,بسام العموش,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q12198322,بسام حدادين,,بسام حدادين,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q12201138,إبراهيم زيد الكيلاني,Ibrahim Zeid Keilani,إبراهيم زيد الكيلاني,Ibrahim Zeid Keilani,Ibrahim Zeid Keilani,male,2013-04-02,Ibrahim,1937,,,Ibrahim Zeid Keilani,Ibrahim Zeid Keilani,,Ibrahim Zeid Keilani,Ibrahim Zeid Keilani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q12208238,حسين مجلي,Hussein Mjalli,حسين مجلي,Hussein Mjalli,Hussein Mjalli,male,2014-10-12,Hussein,1937,,,Hussein Mjalli,Hussein Mjalli,,Hussein Mjalli,Hussein Mjalli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lawyer,,,
Q12208664,حمادة فراعنة,,حمادة فراعنة,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q12208838,حمزة منصور,,حمزة منصور,,,male,,,1944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q12215978,سعد هايل السرور,Saad Hayel Srour,سعد هايل السرور,Saad Hayel Srour,Saad Hayel Srour,male,,,1947,31271780,n96902609,Saad Hayel Srour,Saad Hayel Srour,,,Saad Hayel Srour,Saad Hayel Srour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q12216718,سليمان عرار,,سليمان عرار,,,male,1998-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q12219549,صالح ارشيدات,,صالح ارشيدات,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q12221493,طارق خوري,Tareq Khouri,طارق خوري,Tareq Khouri,Tareq Khouri,male,,,1967-12-01,,,,,,,,Tareq Khouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/df/Tareq_Khouri.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12221628,طراد القاضي,,طراد القاضي,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q12222497,عبد الباقي جمو,Abdul Baqi Jammoh,عبد الباقي جمو,Abdul Baqi Jammoh,Abdul Baqi Jammoh,male,2016-05-11,,1922,,,,Abdul Baqi Jammoh,,,Abdul Baqi Jammoh,,,,,,,,,,Абдул-Баки Джамо,,,,,,,,,,,,,,,,,,,,Абдул-Баки Джамо,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,Ӏабдул-Бакъи Джамо,Ӏабдул-Бакъи Джамо
Q12222829,عبد الرحيم ملحس,Abdul Rahim Malhas,عبد الرحيم ملحس,Abdul Rahim Malhas,Abdul Rahim Malhas,male,2012-09-29,,1937-06-28,,,,Abdul Rahim Malhas,,,Abdul Rahim Malhas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q12223240,عبد الكريم الدغمي,,عبد الكريم الدغمي,,,male,,Abdul Karim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q12223307,عبد اللطيف عربيات,,عبد اللطيف عربيات,,,male,,Abdul Latif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q12223396,عبد الله العكايلة,,عبد الله العكايلة,,,male,,Abdullah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q12223683,عبد الله كليب الشريدة,,عبد الله كليب الشريدة,,,male,,Abdullah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q12223741,عبد المجيد الشريدة,,عبد المجيد الشريدة,,,male,1995-06-19,Abdul Majid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q12223840,عبد المنعم أبو زنط,Abu Zant,عبد المنعم أبو زنط,Abu Zant,Abu Zant,male,2015-07-26,,1937-09-28,,,,Abu Zant,,Abu Zant,Abu Zant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q12224249,عبلة أبو علبة,,عبلة أبو علبة,,,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q12230395,فخري قعوار,,فخري قعوار,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q12237763,ليث شبيلات,,ليث شبيلات,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q12239858,محمد العلاونة,,,,,male,,Muhammed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q12239870,محمد العوران,,محمد العوران,,,male,,Muhammed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q12240701,محمد عبد الرحمن خليفة,,محمد عبد الرحمن خليفة,,,male,2006,Muhammed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
Q12240720,محمد عبد القادر أبو فارس,Mohammed Abdul Qader Abu Fares,محمد عبد القادر أبو فارس,Mohammed Abdul Qader Abu Fares,,male,2015-11-03,Mohammed,1938,,,,Mohammed Abdul Qader Abu Fares,,Mohammed Abdul Qader Abu Fares,Mohammed Abdul Qader Abu Fares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,
