id,name__en,name,wikipedia__en,gender,birth_date,identifier__freebase,given_name,identifier__VIAF,identifier__LCAuth,image,identifier__IMDB,family_name,identifier__GND,death_date,name__el,name__fr,name__zh,name__es,name__ru,name__et,name__de,name__pl,name__nl,name__nb,name__da,name__nn,name__sv,wikipedia__de,wikipedia__el,wikipedia__es,wikipedia__et,wikipedia__fr,wikipedia__no,wikipedia__pl,wikipedia__ru,wikipedia__zh,name__it,name__pt,name__vi,name__fi,name__fa,wikipedia__fa,wikipedia__fi,wikipedia__it,wikipedia__pt,wikipedia__vi,name__ko,name__oc,name__yo,name__ms,name__id,name__ja,name__sh,name__tr,name__ca,name__ilo,name__cy,name__io,name__mr,name__ka,name__ml,name__kk,name__nds,name__vmf,name__en_ca,name__en_gb,name__he,name__pt_br,name__uk,wikipedia__ca,wikipedia__cy,wikipedia__da,wikipedia__he,wikipedia__id,wikipedia__ilo,wikipedia__io,wikipedia__ja,wikipedia__ka,wikipedia__kk,wikipedia__ko,wikipedia__ml,wikipedia__mr,wikipedia__ms,wikipedia__nl,wikipedia__nn,wikipedia__oc,wikipedia__sh,wikipedia__sv,wikipedia__tr,wikipedia__uk,wikipedia__yo,identifier__BNF,identifier__SUDOC,wikipedia__commons,original_wikiname,identifier__FAST,wikipedia__ar,name__ar,name__hu,last_seen,name__la,wikipedia__la,occupation,twitter
Q1087022,Christopher Tufton,Christopher Tufton,Christopher Tufton,male,"",/m/05zp77f,Christopher,,,,,,,,,Christopher Tufton,,Christopher Tufton,,,Christopher Tufton,,Christopher Tufton,Christopher Tufton,Christopher Tufton,Christopher Tufton,Christopher Tufton,Christopher Tufton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Christopher Tufton,,,,Christopher Tufton,,,,politician,
Q1167006,Daryl Vaz,Daryl Vaz,Daryl Vaz,male,1963-12-15,/m/05zsfz1,Daryl,,,,,,,,,Daryl Vaz,,Daryl Vaz,,,Daryl Vaz,,Daryl Vaz,Daryl Vaz,Daryl Vaz,Daryl Vaz,Daryl Vaz,Daryl Vaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daryl Vaz,,,,Daryl Vaz,,,,politician,
Q1184742,Delroy Chuck,Delroy Chuck,Delroy Chuck,male,1950-12-02,/m/05zw_46,,21204298,n87853400,,,,,,,Delroy Chuck,,Delroy Chuck,,,Delroy Chuck,,Delroy Chuck,Delroy Chuck,Delroy Chuck,Delroy Chuck,Delroy Chuck,Delroy Chuck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Delroy Chuck,,,,Delroy Chuck,,,,journalist,
Q1247437,Olivia Grange,Olivia Grange,Olivia Grange,female,1946-04-27,/m/05zqbgg,Olivia,,,,,,,,,Olivia Grange,,Olivia Grange,,,Olivia Grange,,Olivia Grange,Olivia Grange,Olivia Grange,Olivia Grange,Olivia Grange,Olivia Grange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Olivia Grange,,,,Olivia Grange,,,,politician,
Q1285979,Edmund Bartlett,Edmund Bartlett,Edmund Bartlett,male,1950-12-03,/m/05zksbj,Edmund,,,,,,,,,Edmund Bartlett,,Edmund Bartlett,,,Edmund Bartlett,,Edmund Bartlett,Edmund Bartlett,Edmund Bartlett,Edmund Bartlett,Edmund Bartlett,Edmund Bartlett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edmund Bartlett,,,,Edmund Bartlett,,,,politician,
Q1314683,Roger Clarke,Roger Clarke,Roger Clarke (politician),male,1940-06-11,/m/011nqlzs,Roger,270188187,n82004376,,,,,2014-08-28,,Roger Clarke,,Roger Clarke,,,Roger Clarke,,Roger Clarke,Roger Clarke,Roger Clarke,Roger Clarke,Roger Clarke,Roger Clarke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roger Clarke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124872559,05712700X,,Roger Clarke (politician),1451224,,,Roger Clarke,,,,politician,
Q1330998,Wykeham McNeill,Wykeham McNeill,Wykeham McNeill,male,1957-10-10,,Wykeham,,,https://upload.wikimedia.org/wikipedia/commons/c/cc/Minister_Wykeham_McNeill.jpg,,,,,,Wykeham McNeill,,Wykeham McNeill,,,Wykeham McNeill,,Wykeham McNeill,Wykeham McNeill,Wykeham McNeill,Wykeham McNeill,Wykeham McNeill,Wykeham McNeill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wykeham McNeill,,,,,,,,physician,
Q16211502,Fenton Ferguson,Fenton Ferguson,Fenton Ferguson,male,,,Fenton,,,,,,,,,Fenton Ferguson,,,,,Fenton Ferguson,,Fenton Ferguson,,,,,,,,,,,,,,Fenton Ferguson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fenton Ferguson,,,,,,,,,
Q1627852,Horace Chang,Horace Chang,Horace Chang,male,1952-11-10,/m/03c3g9v,Horace,,,,,,,,,Horace Chang,,Horace Chang,,,Horace Chang,,Horace Chang,Horace Chang,Horace Chang,Horace Chang,Horace Chang,Horace Chang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Horace Chang,,,,Horace Chang,,,,politician,
Q16499741,Marlene Malahoo Forte,Marlene Malahoo Forte,Marlene Malahoo Forte,female,,,Marlene,,,https://upload.wikimedia.org/wikipedia/commons/1/18/Marlene_Malahoo_Forte.jpg,,,,,,Marlene Malahoo Forte,,,,,Marlene Malahoo Forte,,Marlene Malahoo Forte,,,,,,,,,,,,,,Marlene Malahoo Forte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marlene Malahoo Forte,,,,,,,,politician,
