id,name__es,name__en,name,wikipedia__en,wikipedia__es,image,gender,birth_date,given_name,original_wikiname,name__fr,name__nl,name__hu,name__de,name__nb,name__da,name__nn,name__sv,twitter,name__uk,name__gl,name__fa,name__pt,name__zh,wikipedia__de,wikipedia__fa,wikipedia__fr,wikipedia__gl,wikipedia__pt,wikipedia__uk,identifier__freebase,name__it,wikipedia__commons,wikipedia__nl,facebook,name__br,name__ca,name__co,name__cs,name__cy,name__eo,name__et,name__eu,name__fi,name__hr,name__lt,name__lv,name__oc,name__pcd,name__pl,name__ro,name__sk,name__sr_el,name__tr,name__vec,name__vi,name__vls,name__vo,name__wa,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__ko,name__ru,name__id,name__ja,name__mr,name__ar,name__mg,wikipedia__ar,wikipedia__ca,wikipedia__da,wikipedia__fi,wikipedia__hu,wikipedia__id,wikipedia__it,wikipedia__ja,wikipedia__ko,wikipedia__lt,wikipedia__mg,wikipedia__mr,wikipedia__no,wikipedia__pl,wikipedia__ru,wikipedia__sv,wikipedia__zh,name__ast,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__SUDOC,name__el,family_name,wikipedia__eswikiquote,wikipedia__eswikisource,identifier__FAST,name__he,wikipedia__cs,wikipedia__eo,wikipedia__he,wikipedia__simple,wikipedia__tr,death_date,name__sw,wikipedia__sw,name__la,wikipedia__la,wikipedia__oc,name__af,name__an,name__bar,name__bs,name__eml,name__fo,name__frr,name__gsw,name__is,name__lb,name__min,name__nds,name__pt_br,name__rm,name__sco,name__sh,name__sl,name__sq,identifier__google_knowledge,name__en_ca,name__en_gb,identifier__ISNI,identifier__SBN_it,website,identifier__NTA,wikipedia__sl,name__be,wikipedia__eu,identifier__BNE,instagram,name__hy,occupation,name__sr_ec,name__bg,name__sr,wikipedia__bg,wikipedia__ptwikiquote,wikipedia__sr,identifier__IMDB,identifier__MusicBrainz,identifier__AlloCine,identifier__Munzinger,identifier__GNC,identifier__moviemeter,identifier__discogs,identifier__allmovie,identifier__SFDb,identifier__elonet,identifier__PORT,identifier__SCOPE,identifier__kinopoisk,identifier__CSFD,identifier__DNF,identifier__filmportal_de,second_surname,identifier__snac,wikipedia__eswikinews,identifier__quora,name__bm,name__de_at,name__de_ch,name__frc,name__frp,name__fur,name__ga,name__gd,name__ia,name__ie,name__io,name__jam,name__kab,name__kg,name__li,name__lij,name__ms,name__nap,name__nds_nl,name__nrm,name__pap,name__pms,name__prg,name__rgn,name__sc,name__scn,name__vmf,name__wo,name__zu,identifier__bna,identifier__ssrn,identifier__cinenacional,name__gn,wikipedia__sk,identifier__ATP,identifier__ITF,linkedin,identifier__youtube,wikipedia__tg,name__tg,identifier__Britannica,married_name,wikipedia__plwikiquote,identifier__BIBSYS,identifier__NUKAT,identifier__CANTIC,identifier__LNB,identifier__argentine_senate,pseudonym,name__lfn,wikipedia__ast,wikipedia__vi,wikipedia__hy,name__ka,wikipedia__ka,identifier__argentine_deputies,identifier__google_scholar,identifier__ORCID
Q1162679,Daniel Scioli,Daniel Scioli,Daniel Scioli,Daniel Scioli,Daniel Scioli,https://upload.wikimedia.org/wikipedia/commons/d/d5/Daniel_Scioli_en_la_UNLP.jpg,male,1957-01-13,Daniel,,Daniel Scioli,Daniel Scioli,Daniel Scioli,Daniel Scioli,Daniel Scioli,Daniel Scioli,Daniel Scioli,Daniel Scioli,danielscioli,,Daniel Scioli,دنیل سیولی,Daniel Scioli,丹尼尔·肖利,Daniel Scioli,دنیل سیولی,Daniel Scioli,Daniel Scioli,Daniel Scioli,,/m/0b6_7g,Daniel Scioli,Category:Daniel Scioli,Daniel Scioli,,,Daniel Scioli,,,,,,,,,,,,,Daniel Scioli,,Daniel Scioli,,,,,,,,,,,,,,다니엘 시올리,Даниэль Сиоли,Daniel Scioli,ダニエル・シオリ,,,,,Daniel Scioli,,,,Daniel Scioli,Daniel Scioli,,다니엘 시올리,,,,,Daniel Scioli,"Сиоли, Даниэль",Daniel Scioli,丹尼尔·肖利,Daniel Scioli,,,,,,,,Daniel Scioli,,,,,,,,,,,,Daniel Scioli,Daniel Scioli,,,,,,,,,,,,,,Daniel Scioli,,,,Daniel Scioli,,,,,,,,,,Даніэль Сіёлі,,,,,politician,,Даниел Сиоли,,Даниел Сиоли,,,,,,,,,,,,,,,,,,,,,,Daniel-Scioli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daniel Scioli,,,,,,,,,Daniel Scioli,,,,,,,,Daniel Scioli,,,,,dscioli,,
Q11682640,Hugo Yasky,Hugo Yasky,Hugo Yasky,Hugo Yasky,Hugo Yasky,https://upload.wikimedia.org/wikipedia/commons/2/2f/Hugo_Yasky.jpg,male,1949,Hugo,,Hugo Yasky,Hugo Yasky,,,,,,,,,,,,,,,,,,,/m/0ds2ypf,,Category:Hugo Yasky,,,,Hugo Yasky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hugo Yasky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hugo Yasky,,,,,,,,,,,,,,,trade unionist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyasky,,
Q12164058,Eduardo de Pedro,Eduardo de Pedro,Eduardo de Pedro,,Eduardo de Pedro,https://upload.wikimedia.org/wikipedia/commons/8/8c/De_Pedro.jpg,male,1976-11-11,Eduardo,,Eduardo de Pedro,Eduardo de Pedro,Eduardo de Pedro,Eduardo de Pedro,,,,,,,,,,,,,,,,,,Eduardo de Pedro,Category:Eduardo de Pedro,,,,Eduardo de Pedro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eduardo de Pedro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eduardo de Pedro,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,edepedro,,
Q1261399,Ricardo Alfonsín,Ricardo Alfonsín,Ricardo Alfonsín,Ricardo Alfonsín,Ricardo Alfonsín,https://upload.wikimedia.org/wikipedia/commons/3/3d/Ricardo_Alfonsín_2.jpg,male,1951-11-02,Ricardo,Ricardo Alfonsín,Ricardo Alfonsín,Ricardo Alfonsín,Ricardo Alfonsín,Ricardo Alfonsín,Ricardo Alfonsín,Ricardo Alfonsín,Ricardo Alfonsín,Ricardo Alfonsín,RICALFONSIN,,,,,,Ricardo Alfonsín,,,,,,/m/09ggg1q,,Category:Ricardo Alfonsín,,ricalfonsin,,Ricardo Alfonsín,,Ricardo Alfonsín,,,,Ricardo Alfonsín,,,,,,,,,,,,,,,,,,,,,,,,Рикардо Альфонсин,,,,,,,,,,,,,,,,,,,,,,,Ricardo Alfonsín,299681237,,n2013023624,,,Ρικάρντο Αλφονσίν,Alfonsín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ricardo Alfonsín,,,,,,,,,,,,,,,lawyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ralfonsin,,
Q1403237,Felipe Solá,Felipe Solá,Felipe Solá,Felipe Solá,Felipe Solá,https://upload.wikimedia.org/wikipedia/commons/1/1a/Felipe_Solá.jpg,male,1950-07-23,Felipe,Felipe Solá,Felipe Solá,Felipe Solá,Felipe Solá,Felipe Solá,Felipe Solá,Felipe Solá,Felipe Solá,Felipe Solá,,,,,,,Felipe Solá,,,,,,,,Felipe Solá,,,,Felipe Solá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Felipe Solá,,,,,,,,,,,Felipe Solá,,,,,,,Felipe Solá,,,,,,,,,,,,,,,,,,Felipe Solá,Felipe Solá,,,,,,,,,,,,,,,,,,,,Felipe Solá,,,,,,,,,,,,,,,engineer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fsola,,
Q15192668,Pablo López,Pablo Sebastián López,Pablo López,Pablo Sebastián López,Pablo Sebastián López,https://upload.wikimedia.org/wikipedia/commons/e/e0/Pablo_Sebastián_López.jpg,male,1975-11-08,Pablo,Pablo Sebastián López,Pablo López,Pablo Sebastián López,Pablo López,Pablo Sebastián López,,,,,pablosebalopez,,,,,,,,,,,,/m/0vzskd_,,,,pablosebalopez,,Pablo López,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,بابلو سباستيان لوبيز,,بابلو سباستيان لوبيز,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pablo López,,,,,,,,,,,,,pablosebalopez,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15702157,Nicolás del Caño,Nicolás del Caño,Nicolás del Caño,Nicolás del Caño,Nicolás del Caño,https://upload.wikimedia.org/wikipedia/commons/8/82/Nicolás_Del_Caño.jpg,male,1980-02-06,Nicolás,Nicolás del Caño,Nicolás del Caño,Nicolás del Caño,Nicolás del Caño,Nicolás del Caño,Nicolás del Caño,Nicolás del Caño,Nicolás del Caño,Nicolás del Caño,,,Nicolás del Caño,,Nicolás del Caño,尼古拉斯·德爾·卡尼奧,,,,Nicolás del Caño,,,,Nicolás del Caño,Category:Nicolás Del Caño,,,,Nicolás del Caño,,Nicolás del Caño,Nicolás del Caño,Nicolás del Caño,Nicolás del Caño,Nicolás del Caño,Nicolás del Caño,Nicolás del Caño,Nicolás del Caño,Nicolás del Caño,,,Nicolás del Caño,Nicolás del Caño,Nicolás del Caño,,Nicolás del Caño,,,,,,,,,,,,,,Nicolás del Caño,,,,,,,,,,,,,,,,,,,,,,Nicolás del Caño,,,,,,,,,,,,,,,,,,,,,,,Nicolás del Caño,Nicolás del Caño,Nicolás del Caño,Nicolás del Caño,Nicolás del Caño,Nicolás del Caño,Nicolás del Caño,Nicolás del Caño,Nicolás del Caño,Nicolás del Caño,Nicolás del Caño,Nicolás del Caño,Nicolás del Caño,Nicolás del Caño,Nicolás del Caño,Nicolás del Caño,Nicolás del Caño,Nicolás del Caño,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ndelcano,,
Q15714680,Pablo Kosiner,Pablo Kosiner,Pablo Kosiner,,Pablo Kosiner,https://upload.wikimedia.org/wikipedia/commons/1/14/Pablo_Kosiner1.jpg,male,"",Pablo,,Pablo Kosiner,Pablo Kosiner,Pablo Kosiner,Pablo Kosiner,,,,,,,,,,,,,,,,,,,,,,,Pablo Kosiner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pablo Kosiner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pablo Kosiner,,,,,,,http://www.pablokosiner.com.ar,,,,,,,,lawyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pkosiner,,
Q15719117,Máximo Kirchner,Máximo Kirchner,Máximo Kirchner,Máximo Kirchner,Máximo Kirchner,https://upload.wikimedia.org/wikipedia/commons/c/c5/Sesión_13-06-2018_Diputado_Maximo_Kirchner_(cropped).jpg,male,1977-02-16,Máximo,,Máximo Kirchner,Máximo Kirchner,Máximo Kirchner,Máximo Kirchner,Máximo Kirchner,,,,,,Máximo Kirchner,,,,,,Máximo Kirchner,,,,,,Category:Máximo Kirchner,,,,Máximo Kirchner,,Máximo Kirchner,,,,,,,,,,,,,,,,,,,,,,,,,,,,Максимо Киршнер,,,,,,,,,,,,,,,,,,,,,,,Máximo Kirchner,,,,,,Μάξιμο Κίρχνερ,Kirchner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo Kirchner,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mkirchner,,
Q16142825,Norma Amanda Abdalá,Norma Abdala de Matarazzo,Norma Amanda Abdalá,Norma Abdala de Matarazzo,Norma Abdala de Matarazzo,https://upload.wikimedia.org/wikipedia/commons/f/fa/Nabdala.jpg,female,1948-04-13,Norma,,Norma Abdala de Matarazzo,Norma Abdala de Matarazzo,Norma Amanda Abdalá,Norma Abdala de Matarazzo,,,,,,,,,,,,,,,,,,Norma Abdala de Matarazzo,,,,,Norma Abdala de Matarazzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Norma Abdala de Matarazzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Norma Amanda Abdalá,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Norma Abdala de Matarazzo,,,,,nabdaladem,,
