id,name__nl,name__en,name__es,name__pl,name__fr,name__nb,name__da,name__nn,name__sv,name__de,name__hu,name,wikipedia__en,wikipedia__es,wikipedia__nl,wikipedia__pl,image,gender,identifier__VIAF,birth_date,identifier__freebase,given_name,identifier__FAST,original_wikiname,name__it,name__en_ca,identifier__SUDOC,name__ca,name__cy,wikipedia__ca,death_date,twitter,name__gl,name__pt,family_name,wikipedia__commons,name__eu,name__fi,name__ko,name__fa,name__he,wikipedia__de,wikipedia__eu,wikipedia__fa,wikipedia__fi,wikipedia__fr,wikipedia__he,wikipedia__it,wikipedia__ko,wikipedia__no,wikipedia__pt,website,wikipedia__simple,name__ru,name__nds,name__en_gb,name__sr,name__ms,wikipedia__ms,wikipedia__sr,name__tr,wikipedia__tr,name__zh_hant,name__zh_cn,name__ja,identifier__PACE,occupation,name__ro,facebook,identifier__LCAuth,wikipedia__cs,name__cs,wikipedia__az,name__oc,name__az,identifier__snac,wikipedia__zh_yue,name__yue,name__ar,wikipedia__ar,wikipedia__zh,name__zh,second_surname,name__af,name__an,name__ast,name__bar,name__bm,name__br,name__co,name__de_at,name__de_ch,name__eo,name__et,name__frc,name__frp,name__fur,name__ga,name__gd,name__gsw,name__hr,name__ia,name__id,name__ie,name__io,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__lt,name__lv,name__mg,name__min,name__nap,name__nds_nl,name__nrm,name__pap,name__pcd,name__pms,name__prg,name__pt_br,name__rgn,name__rm,name__sc,name__scn,name__sco,name__sk,name__sw,name__vec,name__vi,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,identifier__GND,instagram,name__sl,identifier__ISNI,name__hi,wikipedia__ast,name__es_419,name__ht,name__tl,wikipedia__ht,wikipedia__hu,wikipedia__ru,wikipedia__sco,wikipedia__tl,identifier__allmovie,identifier__AlloCine,identifier__PORT,identifier__kinopoisk,identifier__elonet,identifier__SFDb,identifier__BNF,wikipedia__eswikiquote,wikipedia__sv
Q1052403,Cecilia Romero,Cecilia Romero,Cecilia Romero Castillo,,Cecilia Romero Castillo,Cecilia Romero Castillo,Cecilia Romero Castillo,Cecilia Romero Castillo,Cecilia Romero Castillo,Cecilia Romero,Cecilia Romero Castillo,Cecilia Romero Castillo,,Cecilia Romero Castillo,,,,female,,1952-10-03,,Cecilia,,Cecilia Romero Castillo,,,,,,,,,,,,,,,,,,Cecilia Romero,,,,,,,,,,,,Цецилия Ромер,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cecilia Romero Castillo,,,Cecilia Romero Castillo,,,,,,,,,,,,,,,,,
Q10888878,Maximiliano Cortázar,Maximiliano Cortázar,Max Cortázar Lara,,Max Cortázar Lara,Max Cortázar Lara,Max Cortázar Lara,Max Cortázar Lara,Max Cortázar Lara,Maximiliano Cortázar,Max Cortázar Lara,Max Cortázar Lara,Maximiliano Cortázar,,,,https://upload.wikimedia.org/wikipedia/commons/0/0b/Max_Cortázar_Lara.jpg,male,,1966-11-02,,Max,,Maximiliano Cortázar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Max Cortázar Lara,,,,,,,,,,,,,,,,,,,,
Q12181749,Mario Sánchez Ruiz,Mario Sánchez Ruiz,Mario Sánchez Ruiz,,Mario Sánchez Ruiz,,,,,Mario Sánchez Ruiz,Mario Sánchez Ruiz,Mario Sánchez Ruiz,Mario Sánchez Ruiz,Mario Sánchez Ruiz,,,,male,,1961-11-17,,Mario,,Mario Sánchez Ruiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mario Sánchez Ruiz,,,,,,,,,,,,,,,,,,,,
Q1406714,Fernando Larrazábal Bretón,Fernando Larrazábal Bretón,Fernando Larrazábal Bretón,,Fernando Larrazábal Bretón,,,,,Fernando Larrazábal Bretón,Fernando Larrazábal Bretón,Fernando Larrazábal Bretón,Fernando Larrazábal Bretón,,,,https://upload.wikimedia.org/wikipedia/commons/7/70/Larrazabal.JPG,male,,1962-08-11,,Fernando,,Fernando Larrazábal Bretón,,,,,,,,,,,,,,,,,,Fernando Larrazábal Bretón,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fernando Larrazábal Bretón,,,,,,,,,,,,,,,,,,,,
Q15111343,José Alejandro Llanas,José Alejandro Llanas,José Alejandro Llanas,,José Alejandro Llanas,,,,,José Alejandro Llanas,José Alejandro Llanas,José Alejandro Llanas,José Alejandro Llanas,José Alejandro Llanas Alba,,,,male,,1978-06-24,,José,,José Alejandro Llanas,,José Alejandro Llanas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,José Alejandro Llanas,,,,,,,,,,,,,,,,,,,,
Q15122091,Mario Rafael Méndez Martínez,Mario Rafael Méndez Martínez,Mario Rafael Méndez Martínez,,Mario Rafael Méndez Martínez,,,,,Mario Rafael Méndez Martínez,Mario Rafael Méndez Martínez,Mario Rafael Méndez Martínez,Mario Rafael Méndez Martínez,,,,,male,,1957-05-31,,Mario,,Mario Rafael Méndez Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mario Rafael Méndez Martínez,,,,,,,,,,,,,,,,,,,,
Q15144679,Humberto Prieto Herrera,Humberto Prieto Herrera,Humberto Armando Prieto Herrera,,Humberto Armando Prieto Herrera,,,,,Humberto Prieto Herrera,Humberto Armando Prieto Herrera,Humberto Armando Prieto Herrera,Humberto Prieto Herrera,Humberto Armando Prieto Herrera,,,,male,,1985-08-06,,Humberto,,Humberto Prieto Herrera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Humberto Armando Prieto Herrera,,,,,,,,,,,,,,,,,,,,
Q15148611,Mauricio Sahui Rivero,Mauricio Sahui Rivero,Mauricio Sahuí Rivero,,Mauricio Sahuí Rivero,,,,,Mauricio Sahui Rivero,Mauricio Sahuí Rivero,Mauricio Sahuí Rivero,Mauricio Sahuí Rivero,Mauricio Sahuí,,,,male,,1976-02-08,,Mauricio,,Mauricio Sahui Rivero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mauricio Sahuí Rivero,,,,,,,,,,,,,,,,,,,,
Q15156389,Luisa María Alcalde Luján,Luisa María Alcalde Luján,Luisa María Alcalde Luján,,Luisa María Alcalde Luján,,,,,Luisa María Alcalde Luján,Luisa María Alcalde Luján,Luisa María Alcalde Luján,Luisa María Alcalde Luján,Luisa María Alcalde Luján,,,https://upload.wikimedia.org/wikipedia/commons/9/92/Luisaalcalde.jpg,female,,1987-08-24,,Luisa,,Luisa María Alcalde Luján,,,,,,,,,,,,Category:Luisa María Alcalde Luján,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,Luisa María Alcalde Luján,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luisa María Alcalde Luján,,,Luisa María Alcalde Luján,,,,,,,,,,,,,,,,,
Q1519947,Antonio Francisco Astiazarán Gutiérrez,Antonio Astiazarán Gutiérrez,Antonio Astiazarán Gutiérrez,,Antonio Francisco Astiazarán Gutiérrez,,,,,Antonio Francisco Astiazarán Gutiérrez,Antonio Astiazarán Gutiérrez,Antonio Astiazarán Gutiérrez,Antonio Astiazarán,Antonio Astiazarán Gutiérrez,,,https://upload.wikimedia.org/wikipedia/commons/9/9c/Antonio_Astiazarán.jpg,male,,1971-07-13,,Antonio,,Antonio Astiazarán,,,,,,,,,,,,,,,,,,Antonio Francisco Astiazarán Gutiérrez,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antonio Astiazarán Gutiérrez,,,,,,,,,,,,,,,,,,,,
