id,sort_name,party,party_id,area_id,area,term,name,image,email,source
100,Badillo Ramírez Darío,Partido Revolucionario Institucional,PRI,ocd-division/country:mx/entidad:hidalgo/distrito:1,Hidalgo 1,62,Darío Badillo Ramírez,http://sitl.diputados.gob.mx/LXII_leg/fotos_lxiiconfondo/011.png,dario.badillo@congreso.gob.mx,http://sitl.diputados.gob.mx/LXII_leg/curricula.php?dipt=100
1002,Flores Ortega Rodríguez Liliam Mara,Partido Revolucionario Institucional,PRI,ocd-division/country:mx/entidad:méxico/circunscripción:5,México 5,62,Liliam Mara Flores Ortega Rodríguez,http://sitl.diputados.gob.mx/LXII_leg/fotos_lxiiconfondo/631.png,"",http://sitl.diputados.gob.mx/LXII_leg/curricula.php?dipt=1002
1008,Godínez Mendiola Alfonso,Partido Revolucionario Institucional,PRI,ocd-division/country:mx/entidad:méxico/circunscripción:5,México 5,62,Alfonso Godínez Mendiola,http://sitl.diputados.gob.mx/LXII_leg/fotos_lxiiconfondo/635.png,"",http://sitl.diputados.gob.mx/LXII_leg/curricula.php?dipt=1008
105,Hernández Morales Mirna Esmeralda,Partido Revolucionario Institucional,PRI,ocd-division/country:mx/entidad:hidalgo/distrito:6,Hidalgo 6,62,Mirna Esmeralda Hernández Morales,http://sitl.diputados.gob.mx/LXII_leg/fotos_lxiiconfondo/013.png,mirna.hernandez@congreso.gob.mx,http://sitl.diputados.gob.mx/LXII_leg/curricula.php?dipt=105
106,González Vargas Francisco,Partido Revolucionario Institucional,PRI,ocd-division/country:mx/entidad:hidalgo/distrito:7,Hidalgo 7,62,Francisco González Vargas,http://sitl.diputados.gob.mx/LXII_leg/fotos_lxiiconfondo/021.png,francisco.gonzalez@congreso.gob.mx,http://sitl.diputados.gob.mx/LXII_leg/curricula.php?dipt=106
109,González Gómez Cecilia,Partido Revolucionario Institucional,PRI,ocd-division/country:mx/entidad:jalisco/distrito:3,Jalisco 3,62,Cecilia González Gómez,http://sitl.diputados.gob.mx/LXII_leg/fotos_lxiiconfondo/146.png,cecilia.gonzalez@congreso.gob.mx,http://sitl.diputados.gob.mx/LXII_leg/curricula.php?dipt=109
110,Arellano Guzmán Salvador,Partido Revolucionario Institucional,PRI,ocd-division/country:mx/entidad:jalisco/distrito:4,Jalisco 4,62,Salvador Arellano Guzmán,http://sitl.diputados.gob.mx/LXII_leg/fotos_lxiiconfondo/123.png,salvador.arellano@congreso.gob.mx,http://sitl.diputados.gob.mx/LXII_leg/curricula.php?dipt=110
111,González Reséndiz Rafael,Partido Revolucionario Institucional,PRI,ocd-division/country:mx/entidad:jalisco/distrito:5,Jalisco 5,62,Rafael González Reséndiz,http://sitl.diputados.gob.mx/LXII_leg/fotos_lxiiconfondo/143.png,rafael.gonzalez@congreso.gob.mx,http://sitl.diputados.gob.mx/LXII_leg/curricula.php?dipt=111
114,Alcalá Padilla Leobardo,Partido Revolucionario Institucional,PRI,ocd-division/country:mx/entidad:jalisco/distrito:8,Jalisco 8,62,Leobardo Alcalá Padilla,http://sitl.diputados.gob.mx/LXII_leg/fotos_lxiiconfondo/130.png,leobardo.alcala@congreso.gob.mx,http://sitl.diputados.gob.mx/LXII_leg/curricula.php?dipt=114
117,Delgadillo González Claudia,Partido Revolucionario Institucional,PRI,ocd-division/country:mx/entidad:jalisco/distrito:11,Jalisco 11,62,Claudia Delgadillo González,http://sitl.diputados.gob.mx/LXII_leg/fotos_lxiiconfondo/126.png,claudia.delgadillo@congreso.gob.mx,http://sitl.diputados.gob.mx/LXII_leg/curricula.php?dipt=117
118,Gauna Ruiz de León Celia Isabel,Partido Revolucionario Institucional,PRI,ocd-division/country:mx/entidad:jalisco/distrito:12,Jalisco 12,62,Celia Isabel Gauna Ruiz de León,http://sitl.diputados.gob.mx/LXII_leg/fotos_lxiiconfondo/144.png,celia.gauna@congreso.gob.mx,http://sitl.diputados.gob.mx/LXII_leg/curricula.php?dipt=118
119,Barba Mariscal Marco Antonio,Partido Revolucionario Institucional,PRI,ocd-division/country:mx/entidad:jalisco/distrito:13,Jalisco 13,62,Marco Antonio Barba Mariscal,http://sitl.diputados.gob.mx/LXII_leg/fotos_lxiiconfondo/129.png,marco.barba@congreso.gob.mx,http://sitl.diputados.gob.mx/LXII_leg/curricula.php?dipt=119
122,Córdova Díaz Luis Armando,Partido Revolucionario Institucional,PRI,ocd-division/country:mx/entidad:jalisco/distrito:16,Jalisco 16,62,Luis Armando Córdova Díaz,http://sitl.diputados.gob.mx/LXII_leg/fotos_lxiiconfondo/131.png,luis.cordova@congreso.gob.mx,http://sitl.diputados.gob.mx/LXII_leg/curricula.php?dipt=122
125,Barajas del Toro Salvador,Partido Revolucionario Institucional,PRI,ocd-division/country:mx/entidad:jalisco/distrito:19,Jalisco 19,62,Salvador Barajas del Toro,http://sitl.diputados.gob.mx/LXII_leg/fotos_lxiiconfondo/124.png,salvador.barajas@congreso.gob.mx,http://sitl.diputados.gob.mx/LXII_leg/curricula.php?dipt=125
127,Liceaga Arteaga Gerardo Francisco,Partido Revolucionario Institucional,PRI,ocd-division/country:mx/entidad:méxico/distrito:2,México 2,62,Gerardo Francisco Liceaga Arteaga,http://sitl.diputados.gob.mx/LXII_leg/fotos_lxiiconfondo/027.png,gerardo.liceaga@congreso.gob.mx,http://sitl.diputados.gob.mx/LXII_leg/curricula.php?dipt=127
133,Calzada Arroyo Marco Antonio,Partido Revolucionario Institucional,PRI,ocd-division/country:mx/entidad:méxico/distrito:8,México 8,62,Marco Antonio Calzada Arroyo,http://sitl.diputados.gob.mx/LXII_leg/fotos_lxiiconfondo/036.png,marco.calzada@congreso.gob.mx,http://sitl.diputados.gob.mx/LXII_leg/curricula.php?dipt=133
135,Flores Gómez José Luis Cruz,Partido Revolucionario Institucional,PRI,ocd-division/country:mx/entidad:méxico/distrito:10,México 10,62,José Luis Cruz Flores Gómez,http://sitl.diputados.gob.mx/LXII_leg/fotos_lxiiconfondo/030.png,joseluis.flores@congreso.gob.mx,http://sitl.diputados.gob.mx/LXII_leg/curricula.php?dipt=135
136,Alvarado Sánchez Brenda María Izontli,Partido Revolucionario Institucional,PRI,ocd-division/country:mx/entidad:méxico/distrito:11,México 11,62,Brenda María Izontli Alvarado Sánchez,http://sitl.diputados.gob.mx/LXII_leg/fotos_lxiiconfondo/022.png,brenda.alvarado@congreso.gob.mx,http://sitl.diputados.gob.mx/LXII_leg/curricula.php?dipt=136
14,Berzunza Novelo Landy Margarita,Partido Revolucionario Institucional,PRI,ocd-division/country:mx/entidad:campeche/distrito:1,Campeche 1,62,Landy Margarita Berzunza Novelo,http://sitl.diputados.gob.mx/LXII_leg/fotos_lxiiconfondo/079.png,landy.berzunza@congreso.gob.mx,http://sitl.diputados.gob.mx/LXII_leg/curricula.php?dipt=14
147,Gualito Castañeda Rosalba,Partido Revolucionario Institucional,PRI,ocd-division/country:mx/entidad:méxico/distrito:22,México 22,62,Rosalba Gualito Castañeda,http://sitl.diputados.gob.mx/LXII_leg/fotos_lxiiconfondo/048.png,rosalba.gualito@congreso.gob.mx,http://sitl.diputados.gob.mx/LXII_leg/curricula.php?dipt=147
148,Gómez Carmona Blanca Estela,Partido Revolucionario Institucional,PRI,ocd-division/country:mx/entidad:méxico/distrito:23,México 23,62,Blanca Estela Gómez Carmona,http://sitl.diputados.gob.mx/LXII_leg/fotos_lxiiconfondo/041.png,blanca.gomez@congreso.gob.mx,http://sitl.diputados.gob.mx/LXII_leg/curricula.php?dipt=148
