party,party_id,term,id,sort_name,source,area,area_id,name,image,email
Partido Acción Nacional,PAN,63,2015-1,Salas Díaz Gerardo Federico,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=1,Aguascalientes 1,ocd-division/country:mx/entidad:aguascalientes/distrito:1,Gerardo Federico Salas Díaz,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/499_FOTO_CHICA.jpg,gerardo.salas@congreso.gob.mx
Partido Acción Nacional,PAN,63,2015-10,Rodríguez Rubio María del Rosario,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=10,Baja California 7,ocd-division/country:mx/entidad:baja-california/distrito:7,María del Rosario Rodríguez Rubio,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/168_FOTO_CHICA.jpg,rosario.rodriguez@congreso.gob.mx
Partido Revolucionario Institucional,PRI,63,2015-100,Viggiano Austria Alma Carolina,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=100,Hidalgo 1,ocd-division/country:mx/entidad:hidalgo/distrito:1,Alma Carolina Viggiano Austria,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/147_FOTO_CHICA.jpg,alma.viggiano@congreso.gob.mx
Partido Verde Ecologista,PVE,63,2015-1001,Guevara Jiménez Yaret Adriana,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=1001,Oaxaca 3,ocd-division/country:mx/entidad:oaxaca/circunscripción:3,Yaret Adriana Guevara Jiménez,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/530_FOTO_CHICA.jpg,yaret.guevara@congreso.gob.mx
Partido Acción Nacional,PAN,63,2015-1003,Palomeque Archila Carlos Alberto,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=1003,Chiapas 3,ocd-division/country:mx/entidad:chiapas/circunscripción:3,Carlos Alberto Palomeque Archila,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/536_FOTO_CHICA.jpg,""
Partido Revolucionario Institucional,PRI,63,2015-101,Chávez Acosta Rosa Guadalupe,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=101,Hidalgo 2,ocd-division/country:mx/entidad:hidalgo/distrito:2,Rosa Guadalupe Chávez Acosta,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/006_FOTO_CHICA.jpg,maria.chavez@congreso.gob.mx
Partido Revolucionario Institucional,PRI,63,2015-102,Noble Monterrubio Pedro Luis,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=102,Hidalgo 3,ocd-division/country:mx/entidad:hidalgo/distrito:3,Pedro Luis Noble Monterrubio,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/007_FOTO_CHICA.jpg,pedro.noble@congreso.gob.mx
Partido Verde Ecologista,PVE,63,2015-103,Márquez Alvarado Cesáreo Jorge,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=103,Hidalgo 4,ocd-division/country:mx/entidad:hidalgo/distrito:4,Cesáreo Jorge Márquez Alvarado,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/246_FOTO_CHICA.jpg,cesareo.marquez@congreso.gob.mx
Partido Revolucionario Institucional,PRI,63,2015-104,Moctezuma Pereda Fernando Quetzalcóatl,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=104,Hidalgo 5,ocd-division/country:mx/entidad:hidalgo/distrito:5,Fernando Quetzalcóatl Moctezuma Pereda,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/002_FOTO_CHICA.jpg,fernando.moctezuma@congreso.gob.mx
Partido Revolucionario Institucional,PRI,63,2015-105,Bejos Nicolás Alfredo,http://sitl.diputados.gob.mx/LXIII_leg/curricula.php?dipt=105,Hidalgo 6,ocd-division/country:mx/entidad:hidalgo/distrito:6,Alfredo Bejos Nicolás,http://sitl.diputados.gob.mx/LXIII_leg/fotos_lxiiiconfondo/008_FOTO_CHICA.jpg,alfredo.bejos@congreso.gob.mx
