id,name__fa,name__en,name__ja,name__es,name__fr,name__nl,name__hu,name,wikipedia__en,wikipedia__enwikiquote,wikipedia__fa,wikipedia__fawikiquote,wikipedia__ja,image,gender,birth_date,identifier__freebase,given_name,original_wikiname,name__zh,name__eu,name__pl,name__ms,name__ceb,name__et,name__el,name__sv,name__ar,name__pt,name__eo,name__ru,name__sr,name__tr,name__mk,name__fi,name__uk,name__be_tarask,name__io,name__mzn,name__hr,name__az,name__tl,name__da,name__ko,name__he,name__be,name__yo,name__it,name__ps,name__id,name__de,name__ml,name__vi,name__hi,name__sk,name__ca,name__la,name__fo,name__cs,name__mr,name__ur,name__ka,name__lt,name__nb,name__oc,name__sh,name__bar,name__ckb,name__tt,name__ha,name__bn,name__lv,name__hy,name__bs,name__tg,name__uz,name__arz,name__ce,name__sco,name__en_ca,name__en_gb,name__pt_br,name__sd,wikipedia__ar,wikipedia__arz,wikipedia__az,wikipedia__azwikiquote,wikipedia__bar,wikipedia__be_x_old,wikipedia__be,wikipedia__bn,wikipedia__bs,wikipedia__ca,wikipedia__ceb,wikipedia__ce,wikipedia__ckb,wikipedia__cs,wikipedia__da,wikipedia__de,wikipedia__el,wikipedia__enwikisource,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__eu,wikipedia__fi,wikipedia__fo,wikipedia__fr,wikipedia__frwikiquote,wikipedia__ha,wikipedia__he,wikipedia__hi,wikipedia__hr,wikipedia__hu,wikipedia__hy,wikipedia__id,wikipedia__io,wikipedia__it,wikipedia__ka,wikipedia__ko,wikipedia__la,wikipedia__lt,wikipedia__lv,wikipedia__mk,wikipedia__ml,wikipedia__mr,wikipedia__ms,wikipedia__mzn,wikipedia__nl,wikipedia__no,wikipedia__oc,wikipedia__pl,wikipedia__plwikiquote,wikipedia__ps,wikipedia__pt,wikipedia__ru,wikipedia__sco,wikipedia__sd,wikipedia__sh,wikipedia__simple,wikipedia__sk,wikipedia__sr,wikipedia__sv,wikipedia__tg,wikipedia__tl,wikipedia__tr,wikipedia__tt,wikipedia__uk,wikipedia__ur,wikipedia__uz,wikipedia__vi,wikipedia__yo,wikipedia__zh,identifier__ISNI,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__SUDOC,identifier__IMDB,identifier__NKC,website,identifier__NTA,identifier__NUKAT,identifier__FAST,name__nan,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__ro,name__nn,name__pa,name__rm,wikipedia__commons,wikipedia__nn,wikipedia__pa,wikipedia__ro,wikipedia__zh_min_nan,death_date,identifier__OLID,identifier__GNC,name__ug,name__gl,name__is,name__mn,name__bg,name__af,name__tk,wikipedia__af,wikipedia__arwikiquote,wikipedia__bg,wikipedia__gl,wikipedia__is,wikipedia__kowikiquote,wikipedia__mn,wikipedia__ptwikiquote,wikipedia__tk,wikipedia__ug,identifier__NNDB,name__cy,name__os,name__be_x_old,wikipedia__os,name__bcl,name__scn,name__ta,name__br,name__cv,name__fy,name__pam,name__lb,name__ga,name__gsw,name__sq,name__kk,name__azb,wikipedia__als,wikipedia__azb,wikipedia__bcl,wikipedia__br,wikipedia__cv,wikipedia__cy,wikipedia__fawikisource,wikipedia__fy,wikipedia__ga,wikipedia__kk,wikipedia__lb,wikipedia__pam,wikipedia__ruwikinews,wikipedia__scn,wikipedia__sq,wikipedia__ta,wikipedia__trwikiquote,identifier__Munzinger,twitter,name__mg,wikipedia__mg,wikipedia__cswikiquote,identifier__Britannica,name__lrc,name__de_ch,identifier__CSPAN,last_seen,instagram,wikipedia__sl,identifier__NLI,name__sl,wikipedia__zh_yue,name__yue,wikipedia__eowikiquote,identifier__NDL,wikipedia__glk,name__glk,wikipedia__azwikisource,identifier__bigenc_ru,wikipedia__ukwikiquote,identifier__guardian_topic,occupation,identifier__nyt_topic,name__qu,wikipedia__qu,identifier__snac,wikipedia__fawikinews,wikipedia__enwikinews,wikipedia__trwikinews,wikipedia__arwikinews,wikipedia__itwikiquote,wikipedia__th,identifier__quora,name__th,identifier__ne_se,wikipedia__mai,wikipedia__bewikiquote,name__mai,wikipedia__eswikiquote,wikipedia__hiwikiquote,wikipedia__kawikiquote,wikipedia__zhwikiquote,wikipedia__afwikiquote,wikipedia__dawikiquote,wikipedia__dewikiquote,wikipedia__etwikiquote,wikipedia__euwikiquote,wikipedia__fiwikiquote,wikipedia__glwikiquote,wikipedia__hewikiquote,wikipedia__hrwikiquote,wikipedia__idwikiquote,wikipedia__iswikiquote,wikipedia__jawikiquote,wikipedia__ltwikiquote,wikipedia__mlwikiquote,wikipedia__mrwikiquote,wikipedia__nowikiquote,wikipedia__ruwikiquote,wikipedia__srwikiquote,wikipedia__svwikiquote,wikipedia__urwikiquote,wikipedia__viwikiquote,noble_title,name__diq,wikipedia__diq,identifier__GTAA,identifier__BNE,identifier__EGAXA,identifier__BIBSYS,identifier__BAV,identifier__SELIBR,identifier__LNB,name__ne,wikipedia__ne,family_name,identifier__CSFD,identifier__kinopoisk,identifier__moviemeter,identifier__allmovie,name__aeb_arab,wikipedia__lrc,wikipedia__ky,wikipedia__ast,name__ast,name__ky,wikipedia__kn,name__kn,wikipedia__pnb,name__pnb,wikipedia__ku,name__ku,wikipedia__jv,name__jv
Q10514624,جواد آرین‌منش,Javad Arianmanesh,,Javad Arianmanesh,Javad Arianmanesh,Javad Arianmanesh,Javad Arianmanesh,Javad Arianmanesh,Javad Arianmanesh,,جواد آرین‌منش,جواد آرین‌منش,,,male,1953-09-21,,Javad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Javad Arianmanesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Javad Arianmanesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,association football player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Javad Arianmanesh,,,,,,,,,
Q10829062,محمدعلی اسپنانی,,,,,,,,,,محمدعلی اسفنانی,محمدعلی اسفنانی,,https://upload.wikimedia.org/wikipedia/commons/0/09/MohammadAli_Asfanani.jpg,male,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Mohammad Ali Asfanani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10843553,رفعت بیات,Rafat Bayat,,Rafat Bayat,Rafat Bayat,Rafat Bayat,,Rafat Bayat,Rafat Bayat,,رفعت بیات,,,,female,1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rafat Bayat,,,,,,,,,,,,,,,,,,,,রাফাত বায়াত,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rafat Bayat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rafat Bayat,,,,,,,,,
Q10858080,محسن آرمین,Mohsen Armin,,Mohsen Armin,Mohsen Armin,Mohsen Armin,Mohsen Armin,Mohsen Armin,Mohsen Armin,,محسن آرمین,,,https://upload.wikimedia.org/wikipedia/commons/c/cf/Mohsen_Armin.jpg,male,1954,,Mohsen,,,,,,,,,,محسن أرمين,,,,,,,,,,,,,,,,,,,,Mohsen Armin,,,Mohsen Armin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,محسن أرمين,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohsen Armin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000 0001 3909 6474,219520651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohsen Armin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohsen Armin,,,,,,,,,
Q10858287,مرتضی آقاتهرانی,Morteza Agha-Tehrani,,Morteza Agha-Tehrani,Morteza Agha-Tehrani,Morteza Agha-Tehrani,Morteza Agha-Tehrani,Morteza Agha-Tehrani,Morteza Agha-Tehrani,,مرتضی آقاتهرانی,,,https://upload.wikimedia.org/wikipedia/commons/1/12/Morteza_Agha-Tehrani_in_Nishapur_(1).JPG,male,1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Morteza Agha-Tehrani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Morteza Agha-Tehrani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aghatehrani_ir,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Morteza Agha-Tehrani,,,,,,,,,
Q10860779,جهانگیر آموزگار,Jahangir Amuzegar,,Jahangir Amuzegar,Jahangir Amuzegar,Jahangir Amuzegar,Jahangir Amuzegar,Jahangir Amuzegar,Jahangir Amuzegar,,جهانگیر آموزگار,,,https://upload.wikimedia.org/wikipedia/commons/5/5a/Jahangir_Amuzegar.jpg,male,1920-01-13,,,,,,,,,,,,جهانغير آموزغار,,,,,,,,,,,,,,,,,,,,,,,Jahangir Amuzegar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000 0001 1657 0866,62790345,,n50039386,,,,,,067821669,,,,,,,,,,,,,,,,,,,2018-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jahangir Amuzegar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,economist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jahangir Amuzegar,,,,,,,,,
Q1115890,اسماعیل ممتاز,Esmail Momtaz od-Dowleh,,Esmail Momtaz od-Dowleh,Esmail Momtaz od-Dowleh,Ismail Mumtaz,,Esmail Momtaz od-Dowleh,Esmail Momtaz od-Dowleh,,اسماعیل ممتاز,,,https://upload.wikimedia.org/wikipedia/commons/b/b0/Ismail_mumtaz_sm.jpg,male,1879,/m/0cc6shw,,,伊斯梅爾·蒙塔茲,,,,,,,,,,,,,,,,,,,,,Mirzə İsmayıl xan Mümtazəddövlə,,,,,,,,,,Ismail Mumtaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mirzə İsmayıl xan Mümtazəddövlə,,,,,,,,,,,,,,,,,,,,,,Esmail Momtaz od-Dowleh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,伊斯梅爾·蒙塔茲,,,,,,,,,,,,,,伊斯梅尔·蒙塔兹,伊斯梅爾·蒙塔茲,伊斯梅爾·蒙塔茲,,,,,,,,Category:Ismail Mumtaz,,,,,1933-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Esmail Momtaz od-Dowleh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12016473,یوناتن بت کلیا,,,,,,,,,,یوناتن بت کلیا,یوناتن بت کلیا,,,male,1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q123037,محمد مصدق,Mohammad Mosaddegh,モハンマド・モサッデク,Mohammad Mosaddeq,Mohammad Mossadegh,Mohammad Mossadeq,Mohammed Moszadek,Mohammad Mosaddegh,Mohammad Mosaddegh,Mohammad Mosaddegh,محمد مصدق,محمد مصدق,モハンマド・モサッデク,https://upload.wikimedia.org/wikipedia/commons/e/e9/Mossadeghmohammad.jpg,male,1880,/m/01fpn9,Mohammad,,穆罕默德·摩萨台,Mohammad Mossadegh,Mohammad Mosaddegh,,,,Μοχάμεντ Μοσαντέκ,Mohammad Mosaddeq,محمد مصدق,Mohammed Mossadegh,Mohamed Mosadek,Мохаммед Мосаддык,Мохамед Мосадек,Muhammed Musaddık,,Mohammed Mossadeq,Мохаммед Мосаддик,,,ممد مصدق,,Məhəmməd Musaddıq,,Mohammed Mossadeq,모하마드 모사데그,מוחמד מוסאדק,,,Mohammad Mossadeq,محمد مصدق,Mohammed Mossadegh,Mohammad Mossadegh,മൊഹമ്മദ് മൊസാഡെഗ്,,,,Mohammed Mossadeq,Mahometus Mossadeq,,Muhammad Mosaddek,मोहम्मद मोसादेक,محمد مصدق,,,Muhammed Mossadegh,,Muhamed Mosadek,,محەممەد موسەددیق,,,মোহাম্মদ মোসাদ্দেক,Mohammads Mosadeks,Մոսադեղ,,,,,,,,,,,محمد مصدق,,Məhəmməd Müsəddiq,,,,,মোহাম্মদ মোসাদ্দেক,,Mohammed Mossadeq,,,محەممەد موسەددیق,Muhammad Mosaddek,Mohammed Mossadeq,Mohammad Mossadegh,Μοχάμεντ Μοσαντέκ,,Mohamed Mosadek,Mohammad Mosaddeq,,Mohammad Mossadegh,Mohammad Mossadeq,,Mohammad Mossadegh,,,מוחמד מוסאדק,,,,Մոհամմադ Մոսադեղ,Mohammad Mosaddegh,,Mohammad Mossadeq,,모하마드 모사데그,Mahometus Mossadeq,,Mohammads Mosadeks,,മൊഹമ്മദ് മൊസാഡെഗ്,मोहम्मद मोसादेक,,ممد مصدق,Mohammad Mossadeq,Muhammed Mossadegh,,Mohammad Mosaddegh,Mohammad Mosaddegh,محمد مصدق,Mohammed Mossadegh,"Мосаддык, Мохаммед",,,Muhamed Mosadek,Mohammad Mosaddegh,,Мохамед Мосадик,Mohammad Mosaddeq,,,Muhammed Musaddık,,Мохаммед Мосаддик,محمد مصدق,,,,穆罕默德·摩萨台,0000 0003 8693 3348,79091738,118785095,n82044752,,,,,,070045267,,89792,Mohammad Mosaddegh,穆罕默德·摩萨台,穆罕默德·摩薩台,穆罕默德·摩薩台,穆罕默德·摩萨台,穆罕默德·摩萨台,穆罕默德·摩薩台,Mohammad Mosaddegh,Mohammad Mossadegh,ਮੁਹੰਮਦ ਮੁਸੱਦਕ,Mohammad Mosaddegh,Category:Mohammad Mosaddegh,Mohammad Mossadegh,ਮੁਹੰਮਦ ਮੁਸੱਦਕ,Mohammad Mosaddegh,Mohammad Mosaddegh,1967-03-05,,,,,Mohammad Mosaddegh,,,,,,,,,Múhameð Mossadek,,,,,,678/000120318,,,,,,,,,,,,,,,Mohammad Mosaddegh,,محمد مصدق,,محمد مصدق,,,,,,,,,,,,,,,,,,,,,biography/Mohammad-Mosaddeq,,,,,,Mohamed Mosadek,,Mohamed Mosadek,,,,,محمد مصدق,محمد مصدق,,2232185,,,politician,,,,,,,,,Mohammad Mossadeq,,,,mohammad-mosaddeq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134483,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12840450,,,,,,,,,,,,,,,male,1894,,,,,,,,,,,,,,,,,,,,,,,,,Hüseyn xan Avşar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hüseyn xan Avşar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
