id,position,label,description,start_date,election,constituency,term,end_date,replaced_by,replaces
Q1043584,Q19367406,Member of the House of Representatives of Malta,"","",,,,,,
Q1043584,Q37857097,member of the 13th House of Representatives of Malta,"","","Maltese general election, 2017",District 4,,,,
Q1363583,Q27169,member of the European Parliament,person who has been elected to the European Parliament,2004-07-20,European Parliament election in 2004,Malta,Sixth European Parliament,2009-07-13,,
Q1363583,Q27169,member of the European Parliament,person who has been elected to the European Parliament,2009-07-14,"European Parliament election, 2009",Malta,Seventh European Parliament,2013-04-05,,
Q1363583,Q37857097,member of the 13th House of Representatives of Malta,"","","Maltese general election, 2017",District 12,,,,
Q1363583,Q6508543,Leader of the Opposition,parliamentary position of Malta,"",,,,,,
Q1508101,Q19367406,Member of the House of Representatives of Malta,"","",,,,,,
Q1508402,Q19367406,Member of the House of Representatives of Malta,"","",,,,,,
Q1508402,Q27169,member of the European Parliament,person who has been elected to the European Parliament,2004-05-01,,Malta,Fifth European Parliament,2004-07-19,,
Q1531043,Q27169,member of the European Parliament,person who has been elected to the European Parliament,2008-10-29,,Malta,Sixth European Parliament,2009-07-13,,
Q1531043,Q37857097,member of the 13th House of Representatives of Malta,"",2017-06-20,"Maltese general election, 2017",District 2,,,,
Q15711259,Q37857097,member of the 13th House of Representatives of Malta,"","","Maltese general election, 2017",District 4,,,,
Q1596298,Q37857097,member of the 13th House of Representatives of Malta,"","","Maltese general election, 2017",District 3,,,,
Q16199692,Q19367406,Member of the House of Representatives of Malta,"","",,,,,,
Q16199692,Q37857097,member of the 13th House of Representatives of Malta,"","","Maltese general election, 2017",District 5,,,,
Q16213896,Q37857097,member of the 13th House of Representatives of Malta,"","","Maltese general election, 2017",District 8,,,,
Q16545829,Q27169,member of the European Parliament,person who has been elected to the European Parliament,2014-07-01,"European Parliament election, 2014",Malta,Eighth European Parliament,,,
Q1683865,Q27169,member of the European Parliament,person who has been elected to the European Parliament,2004-05-01,,Malta,Fifth European Parliament,2004-07-19,,
Q1683865,Q37857097,member of the 13th House of Representatives of Malta,"","","Maltese general election, 2017",District 4,,,,
Q17016298,Q37857097,member of the 13th House of Representatives of Malta,"","","Maltese general election, 2017",District 6,,,,
Q17266625,Q27169,member of the European Parliament,person who has been elected to the European Parliament,2014-07-01,"European Parliament election, 2014",Malta,Eighth European Parliament,2017-06-23,,
Q17266625,Q37857097,member of the 13th House of Representatives of Malta,"","","Maltese general election, 2017",District 8,,,,
Q173958,Q27169,member of the European Parliament,person who has been elected to the European Parliament,2009-07-14,"European Parliament election, 2009",Malta,Seventh European Parliament,2013-03-12,,
Q173958,Q37857097,member of the 13th House of Representatives of Malta,"","","Maltese general election, 2017",District 7,,,,
Q18206002,Q19367406,Member of the House of Representatives of Malta,"","",,,,,,
Q18206002,Q37857097,member of the 13th House of Representatives of Malta,"","","Maltese general election, 2017",District 3,,,,
Q18536890,Q37857097,member of the 13th House of Representatives of Malta,"","","Maltese general election, 2017",District 8,,,,
Q18536891,Q37857097,member of the 13th House of Representatives of Malta,"","","Maltese general election, 2017",District 2,,,,
Q1871727,Q25631196,Minister of European Affairs,Cabinet position in Malta,2013-03-13,,,,,,""
Q1871727,Q27169,member of the European Parliament,person who has been elected to the European Parliament,2004-06-12,,,,2012-12-27,,
Q1871727,Q27169,member of the European Parliament,person who has been elected to the European Parliament,2004-07-20,European Parliament election in 2004,Malta,Sixth European Parliament,2009-07-13,,
Q1871727,Q27169,member of the European Parliament,person who has been elected to the European Parliament,2009-07-14,"European Parliament election, 2009",Malta,Seventh European Parliament,2013-03-12,,
Q1871727,Q5261066,Deputy Prime Minister of Malta,"",2013-03-13,,,,,,Tonio Borg
Q19958063,Q37857097,member of the 13th House of Representatives of Malta,"","","Maltese general election, 2017",District 3,,,,
Q20949398,Q37857097,member of the 13th House of Representatives of Malta,"","","Maltese general election, 2017",District 6,,,,
Q20983473,Q37857097,member of the 13th House of Representatives of Malta,"","","Maltese general election, 2017",District 4,,,,
Q23881652,Q37857097,member of the 13th House of Representatives of Malta,"","","Maltese general election, 2017",District 7,,,,
