id,name,image,email,area,party,source,term
abel-david-jaramillo-largo,Abel David Jaramillo Largo,http://www.camara.gov.co/sites/default/files/2018-08/ABEL%20DAVID%20JARAMILLO%20LARGO.png,abel.jaramillo@camara.gov.co,Circ. Esp. Indígenas,Movimiento Alternativo Indígena y Social,http://www.camara.gov.co/representantes/abel-david-jaramillo-largo,2018
adriana-gomez-millan,Adriana Gómez Millán,http://www.camara.gov.co/sites/default/files/2018-08/ADRIANA%20GOMEZ%20MILLAN.png,adriana.gomez@camara.gov.co,Valle del Cauca,Partido Liberal,http://www.camara.gov.co/representantes/adriana-gomez-millan,2018
adriana-magali-matiz-vargas,Adriana Magali Matiz Vargas,http://www.camara.gov.co/sites/default/files/2018-08/ADRIANA%20MAGALI%20MATIZ%20VARGAS.png,adriana.matiz@camara.gov.co,Tolima,Partido Conservador Colombiano,http://www.camara.gov.co/representantes/adriana-magali-matiz-vargas,2018
alejandro-alberto-vega-perez,Alejandro Alberto Vega Pérez,http://www.camara.gov.co/sites/default/files/2018-08/ALEJANDRO%20ALBERTO%20VEGA%20PEREZ_1.png,alejandro.vega@camara.gov.co,Meta,Partido Liberal,http://www.camara.gov.co/representantes/alejandro-alberto-vega-perez,2018
alejandro-carlos-chacon-camargo,Alejandro Carlos Chacón Camargo,http://www.camara.gov.co/sites/default/files/2018-08/ALEJANDRO%20CARLOS%20CHACON%20CAMARGO.png,"",Norte de Santander,Partido Liberal,http://www.camara.gov.co/representantes/alejandro-carlos-chacon-camargo,2018
alexander-harley-bermudez-lasso,Alexander Harley Bermudez Lasso,http://www.camara.gov.co/sites/default/files/2018-08/ALEXANDER%20HARLEY%20BERMUDEZ%20LASSO_0.png,alexander.bermudez@camara.gov.co,Guaviare,Partido Liberal,http://www.camara.gov.co/representantes/alexander-harley-bermudez-lasso,2018
alfredo-ape-cuello-baute,Alfredo Ape Cuello Baute,http://www.camara.gov.co/sites/default/files/2017-08/ALFREO%20APE%20CUELLO%20BAUTE.jpg,alfredo.cuello@camara.gov.co,Cesar,Partido Conservador Colombiano,http://www.camara.gov.co/representantes/alfredo-ape-cuello-baute,2018
alfredo-rafael-deluque-zuleta,Alfredo Rafael Deluque Zuleta,http://www.camara.gov.co/sites/default/files/2017-10/ALFREDO%20RAFAEL%20DELUQUE%20ZULETA.png,alfredo.deluque@camara.gov.co,La Guajira,Partido de la U,http://www.camara.gov.co/representantes/alfredo-rafael-deluque-zuleta,2018
alonso-jose-del-rio-cabarcas,Alonso José del Rio Cabarcas,http://www.camara.gov.co/sites/default/files/2017-12/ALONSO%20JOS%C3%89%20DEL%20RIO%20CABARCAS.png,alonso.delrio@camara.gov.co,Bolívar,Partido de la U,http://www.camara.gov.co/representantes/alonso-jose-del-rio-cabarcas,2018
alvaro-henry-monedero-rivera,Álvaro Henry Monedero Rivera,http://www.camara.gov.co/sites/default/files/2018-08/ALVARO%20HENRY%20MONEDERO%20RIVERA.png,alvaro.monedero@camara.gov.co,Valle del Cauca,Partido Liberal,http://www.camara.gov.co/representantes/alvaro-henry-monedero-rivera,2018
alvaro-hernan-prada-artunduaga,Álvaro Hernán Prada Artunduaga,http://www.camara.gov.co/sites/default/files/2017-10/%C3%81LVARO%20HERN%C3%81N%20PRADA%20ARTUNDUAGA.png,alvaro.prada@camara.gov.co,Huila,Centro Democrático,http://www.camara.gov.co/representantes/alvaro-hernan-prada-artunduaga,2018
anatolio-hernandez-lozano,Anatolio Hernández Lozano,http://www.camara.gov.co/sites/default/files/2018-08/ANATOLIO%20HERNANDEZ%20LOZANO.png,anatolio.hernandez@camara.gov.co,Guainía,Partido de la U,http://www.camara.gov.co/representantes/anatolio-hernandez-lozano,2018
andres-david-calle-aguas,Andrés David Calle Aguas,http://www.camara.gov.co/sites/default/files/2018-11/ANDRES%20DAVID%20CALLE%20AGUAS.png,andres.calle@camara.gov.co,Córdoba,Partido Liberal,http://www.camara.gov.co/representantes/andres-david-calle-aguas,2018
