id,name__es,name__en,name__fr,name,wikipedia__es,gender,given_name,original_wikiname,birth_date,name__it,name__nl,wikipedia__en,image,name__de,name__pt,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__eo,name__he,name__da,name__nb,name__zh,name__nn,name__sv,wikipedia__commons,wikipedia__da,wikipedia__de,wikipedia__eo,wikipedia__fr,wikipedia__he,wikipedia__it,wikipedia__nl,wikipedia__no,wikipedia__pt,wikipedia__zh,identifier__ISNI,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__SUDOC,identifier__freebase,identifier__NTA,identifier__FAST,name__cy,death_date,name__hu,last_seen,occupation,wikipedia__ru,name__ru,identifier__NUKAT,identifier__PTBNP,identifier__NLP,name__sl,family_name,second_surname,name__ca,facebook,website,identifier__GTAA,wikipedia__ast
Q17462474,Víctor Correa Vélez,Víctor Correa Vélez,,Víctor Correa Vélez,Víctor Correa Vélez,male,Víctor,Víctor Correa Vélez,1986-03-14,,,,https://upload.wikimedia.org/wikipedia/commons/2/26/HAP-035.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,physician,,,,,,Víctor Correa Vélez,,,,,,,
Q17477937,María Fernanda Cabal,María Fernanda Cabal,María Fernanda Cabal,María Fernanda Cabal,María Fernanda Cabal,female,María,María Fernanda Cabal,1964,,María Fernanda Cabal,,,María Fernanda Cabal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,María Fernanda Cabal,,,,MariaFdaCabal,https://mariafernandacabal.co/,,
Q17478041,Horacio Gallón Arango,Horacio Gallón Arango,,Horacio Gallón Arango,,male,Horacio,,1969-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,Horacio Gallón Arango,,,,,,,
Q17478067,Carlos Eduardo Guevara,Carlos Eduardo Guevara Villabón,Carlos Eduardo Guevara,Carlos Eduardo Guevara,Carlos Eduardo Guevara,male,Carlos,Carlos Eduardo Guevara,1977-01-29,Carlos Eduardo Guevara,,Carlos Eduardo Guevara Villabón,https://upload.wikimedia.org/wikipedia/commons/6/6a/Ing_guevara2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,Carlos Eduardo Guevara,,,,,,,
Q17620958,Ana Paola Agudelo,Ana Paola Agudelo García,Ana Paola Agudelo,Ana Paola Agudelo,Ana Paola Agudelo,female,Ana,Ana Paola Agudelo,1983-05-08,Ana Paola Agudelo,Ana Paola Agudelo García,Ana Paola Agudelo García,https://upload.wikimedia.org/wikipedia/commons/d/df/Ana_paola_agudelo_MIRA.jpg,,,,,,,,,,,,,,,,Category:Ana Paola Agudelo García,,,,,,,,,,,,,,,,,,,,,,,,economist,,,,,,Ana Paola Agudelo,Agudelo,García,,,,,
Q17625094,Pierre García,Pierre García,Pierre García,Pierre García,Pierre García,male,Pierre,Pierre García,,,Pierre García,,https://upload.wikimedia.org/wikipedia/commons/9/98/Pierre_García.jpg,Pierre García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,business executive,,,,,,Pierre García,,,,,,,
Q17631051,Tatiana Cabello Flórez,Tatiana Cabello Flórez,,Tatiana Cabello Flórez,Tatiana Cabello Flórez,female,Tatiana,Tatiana Cabello Flórez,1977-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalist,,,,,,Tatiana Cabello Flórez,,,,,,,
Q17632145,Federico Hoyos,Federico Hoyos,,Federico Hoyos,Federico Hoyos,male,Federico,Federico Hoyos,1985-11-30,,,,https://upload.wikimedia.org/wikipedia/commons/4/48/Federico_Hoyos_Salazar.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,
Q18224207,Martha Villalba Hodwalker,Martha Villalba Hodwalker,Martha Villalba Hodwalker,Martha Villalba Hodwalker,Martha Villalba Hodwalker,female,Martha,Martha Villalba Hodwalker,1966-12-05,,Martha Villalba Hodwalker,,https://upload.wikimedia.org/wikipedia/commons/3/37/Mvh_rc.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Martha Villalba Hodwalker,,politician,,,,,,Martha Villalba Hodwalker,,,,,,,
Q18590519,Eduardo Crissien Borrero,Eduardo Crissien Borrero,Eduardo Crissien Borrero,Eduardo Crissien Borrero,Eduardo Crissien Borrero,male,Eduardo,Eduardo Crissien Borrero,1966-07-23,Eduardo Crissien Borrero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,Eduardo Crissien Borrero,,,,,,,
