id,name,family_name,given_name,sort_name,faction_id,faction,gender,img,dob,email,source,website,term
fokke-h-pvda,Manon Fokke,Fokke,Manon,"Fokke, H. ",PvdA,Labour Party,female,http://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/8178_0.jpg?itok=hcErs6RH,1976-01-16,m.fokke@tweedekamer.nl,http://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/fokke-h-pvda,,2012
berndsen-jansen-ma-d66,Magda A Berndsen-Jansen,Berndsen-Jansen,Magda,"Berndsen-Jansen, M.A. ",D66,Democrats 66,female,http://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/8070_0.jpg?itok=wef7EP7O,1950-05-04,m.berndsen@tweedekamer.nl,http://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/berndsen-jansen-ma-d66,http://www.magdaberndsen.nl,2012
dam-mhp-van-pvda,Martijn H P van Dam,Dam,Martijn,"Dam, M.H.P. van",PvdA,Labour Party,male,http://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/7792_0.jpg?itok=1CJ1XOOe,1978-02-01,m.vdam@tweedekamer.nl,http://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/dam-mhp-van-pvda,http://www.martijnvandam.com,2012
ouwehand-e-pvdd,Esther Ouwehand,Ouwehand,Esther,"Ouwehand, E. ",PvdD,Party for the Animals,female,http://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/7918_0.jpg?itok=2lyG4Kf3,1976-06-10,esther.ouwehand@tweedekamer.nl,http://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/ouwehand-e-pvdd,http://www.partijvoordedieren.nl,2012
slob-cu,Arie Slob,Slob,Arie,"Slob, A. ",CU,Christian Union,male,http://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/7767_0.jpg?itok=HjshrNJN,1961-11-16,A.Slob@tweedekamer.nl,http://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/slob-cu,http://www.arieslob.nl,2012
bouwmeester-lt-pvda,Lea T Bouwmeester,Bouwmeester,Lea,"Bouwmeester, L.T. ",PvdA,Labour Party,female,http://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/7885_0.jpg?itok=FHjCrwZ8,1979-10-03,l.bouwmeester@tweedekamer.nl,http://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/bouwmeester-lt-pvda,,2012
hachchi-w-d66,Wassila Hachchi,Hachchi,Wassila,"Hachchi, W. ",D66,Democrats 66,female,http://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/8072_0.jpg?itok=bIGHqKpt,1980-01-06,w.hachchi@tweedekamer.nl,http://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/hachchi-w-d66,http://www.wassilahachchi.nl,2012
liefde-bc-de-vvd,Bart C de Liefde,Liefde,Bart,"Liefde, B.C. de",VVD,People's Party for Freedom and Democracy,male,http://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/8101_0.jpg?itok=KkAmO7ps,1976-09-18,bart.deliefde@tweedekamer.nl,http://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/liefde-bc-de-vvd,http://www.deliefde.com,2012
oskam-p-cda,Peter Oskam,Oskam,Peter,"Oskam, P. ",CDA,CDA,male,http://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/8207_0.jpg?itok=ZeW_MtJk,1960-01-05,p.oskam@tweedekamer.nl,http://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/oskam-p-cda,,2012
agema-m-pvv,Fleur Agema,Agema,Fleur,"Agema, M. ",PVV,Party for Freedom,female,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/7928.jpg?itok=QtgFrqCR,1976-09-16,m.agema@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/agema-m-pvv,,2012
