id,name__nl,name__en,name__es,name__fr,name__de,name__hu,name,wikipedia__commons,wikipedia__en,wikipedia__es,wikipedia__nl,image,gender,occupation,identifier__VIAF,birth_date,identifier__parlement,twitter,original_wikiname,name__en_ca,name__en_gb,given_name,name__li,name__sv,name__nb,name__da,name__nn,name__oc,name__id,name__it,name__pl,name__af,wikipedia__af,wikipedia__de,wikipedia__fr,wikipedia__id,wikipedia__li,wikipedia__nlwikiquote,wikipedia__oc,wikipedia__pl,wikipedia__plwikiquote,wikipedia__sv,identifier__GND,identifier__LCAuth,identifier__IMDB,identifier__freebase,website,identifier__NTA,identifier__GTAA,identifier__ISNI,name__fy,name__bar,wikipedia__fy,wikipedia__no,wikipedia__simple,identifier__DBNL,name__mg,wikipedia__mg,name__ar,wikipedia__ar,wikipedia__da,wikipedia__it,facebook,linkedin,family_name,identifier__BNF,identifier__SUDOC,identifier__senate_nl,name__fi,name__ru,name__ca,name__he,wikipedia__ca,wikipedia__fi,email,name__eo,name__nds_nl,name__ja,wikipedia__eo,wikipedia__nds_nl,wikipedia__ru,identifier__PACE,name__zh_hant,name__zh_cn,name__an,name__ast,name__br,name__co,name__cs,name__cy,name__de_at,name__de_ch,name__et,name__eu,name__frp,name__fur,name__ga,name__gd,name__gl,name__gsw,name__hr,name__ia,name__ie,name__io,name__is,name__kg,name__lb,name__lij,name__min,name__ms,name__nap,name__nds,name__nrm,name__pcd,name__pms,name__pt,name__pt_br,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sl,name__sr_el,name__sw,name__tr,name__vec,name__vi,name__vls,name__vo,name__wa,name__wo,name__zu,identifier__EuroparlMEP,name__ty,name__fo,wikipedia__fo,name__fa,name__zh,name__uk,wikipedia__uk,name__bg,name__zea,wikipedia__bg,wikipedia__itwikiquote,wikipedia__pt,wikipedia__zea,noble_title,identifier__google_plus,name__sh,wikipedia__sh,name__zh_hans,name__zh_hk,name__zh_sg,name__zh_tw,name__be,name__ko,name__el,name__be_tarask,name__ka,name__tl,name__mk,name__lmo,name__sr,wikipedia__be_x_old,wikipedia__be,wikipedia__br,wikipedia__cs,wikipedia__cswikiquote,wikipedia__dewikinews,wikipedia__dewikiquote,wikipedia__el,wikipedia__enwikiquote,wikipedia__et,wikipedia__eu,wikipedia__fa,wikipedia__fawikiquote,wikipedia__fiwikiquote,wikipedia__frwikinews,wikipedia__he,wikipedia__hr,wikipedia__hu,wikipedia__ie,wikipedia__ja,wikipedia__ka,wikipedia__ko,wikipedia__lmo,wikipedia__mk,wikipedia__ms,wikipedia__nds,wikipedia__ro,wikipedia__sco,wikipedia__sr,wikipedia__tl,wikipedia__tr,wikipedia__trwikinews,wikipedia__trwikiquote,wikipedia__vi,wikipedia__zh,pseudonym,identifier__NLI,identifier__NUKAT,identifier__NNDB,identifier__Munzinger,identifier__FAST,identifier__nyt_topic,identifier__quora,name__arc,wikipedia__arc,identifier__google_knowledge,name__la,wikipedia__la,name__bm,name__frc,name__jam,name__kab,name__lt,name__lv,name__pap,name__prg,name__rgn,name__vmf,wikipedia__lb,wikipedia__sk,name__ksh,name__frr,name__hrx,name__lfn,name__pdc,name__pdt,name__pfl,name__sli,name__stq,name__ckb,name__so,name__yo,name__vep,name__mr,name__qu,name__pa,name__az,name__nan,name__hy,name__th,name__hak,name__yue,name__hsb,name__mn,name__kl,wikipedia__ast,wikipedia__az,wikipedia__bewikiquote,wikipedia__ckb,wikipedia__gd,wikipedia__gl,wikipedia__hak,wikipedia__hsb,wikipedia__hy,wikipedia__io,wikipedia__lt,wikipedia__lv,wikipedia__mr,wikipedia__nn,wikipedia__pa,wikipedia__qu,wikipedia__ruwikinews,wikipedia__so,wikipedia__srwikinews,wikipedia__sw,wikipedia__th,wikipedia__ukwikiquote,wikipedia__vep,wikipedia__vls,wikipedia__yo,wikipedia__zh_min_nan,wikipedia__zh_yue,identifier__Britannica,name__ace,name__bcl,name__bs,name__cbk_zam,name__ceb,name__csb,name__diq,name__dsb,name__eml,name__ext,name__gag,name__gv,name__ha,name__haw,name__hif,name__ht,name__ig,name__ilo,name__jv,name__kaa,name__ku,name__kw,name__lad,name__mt,name__mwl,name__na,name__nah,name__nov,name__pam,name__su,name__tet,name__war,identifier__ssrn,wikipedia__nlwikinews,identifier__MGP,identifier__BIBSYS,name__kn,wikipedia__cy,identifier__NLP,identifier__GNC,name__got,wikipedia__got,identifier__bigenc_ru,wikipedia__azb,wikipedia__ur,name__azb,name__mi,name__ur,name__sq,identifier__ne_se,instagram,wikipedia__liwikiquote,wikipedia__ia
Q1033303,Jeroen Dijsselbloem,Jeroen Dijsselbloem,Jeroen Dijsselbloem,Jeroen Dijsselbloem,Jeroen Dijsselbloem,Jeroen Dijsselbloem,Jeroen Dijsselbloem,Category:Jeroen Dijsselbloem,Jeroen Dijsselbloem,Jeroen Dijsselbloem,Jeroen Dijsselbloem,https://upload.wikimedia.org/wikipedia/commons/3/36/Jeroen_Dijsselbloem_2013-1.jpg,male,politician,238607866,1966-03-29,vg09lljnf6yy,J_Dijsselbloem,Jeroen Dijsselbloem,,,Jeroen,,Jeroen Dijsselbloem,Jeroen Dijsselbloem,Jeroen Dijsselbloem,Jeroen Dijsselbloem,,Jeroen Dijsselbloem,Jeroen Dijsselbloem,Jeroen Dijsselbloem,,,Jeroen Dijsselbloem,Jeroen Dijsselbloem,Jeroen Dijsselbloem,,Jeroen Dijsselbloem,,Jeroen Dijsselbloem,,Jeroen Dijsselbloem,,,,/m/0gxzpn2,,278580580,93648,0000 0003 9209 2207,Jeroen Dijsselbloem,,Jeroen Dijsselbloem,,,,Jeroen Dijsselbloem,Jeroen Dijsselbloem,يرون دايسيلبلوم,يرون دايسيلبلوم,,Jeroen Dijsselbloem,,,,,,,Jeroen Dijsselbloem,,Jeroen Dijsselbloem,ירון דייסלבלום,Jeroen Dijsselbloem,Jeroen Dijsselbloem,,,,イェルーン・ダイセルブルーム,,,,,,,,,,,Jeroen Dijsselbloem,,,,,Jeroen Dijsselbloem,,,,,,,,,,,,,Jeroen Dijsselbloem,,,,,,,,,Jeroen Dijsselbloem,,,,,,,Jeroen Dijsselbloem,Jeroen Dijsselbloem,,,Jeroen Dijsselbloem,,,,,,,,,,,,,傑洛·戴松布倫,Йерун Дейсселблум,Йерун Дейсселблум,,,,Jeroen Dijsselbloem,Jeroen Dijsselbloem,,,,,,,,,,,예룬 데이셀블룸,Γερούν Ντάισελμπλουμ,,,,,,,,,,Jeroen Dijsselbloem,,,,Γερούν Ντάισελμπλουμ,,,Jeroen Dijsselbloem,,,,,ירון דייסלבלום,,,,,,예룬 데이셀블룸,,,,,,,,,Jeroen Dijsselbloem,,,,傑洛·戴松布倫,,,,,00000029407,,,,,,,Hieronymus Dijsselbloem,,,,,,,,,,,,Jeroen Dijsselbloem,Jeroen Dijsselbloem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Categorie:Jeroen Dijsselbloem,,,,,A27552354,20813794,,,,,,,,,,,,,Jeroen Dijsselbloem
Q105338,Geert Wilders,Geert Wilders,Geert Wilders,Geert Wilders,Geert Wilders,Geert Wilders,Geert Wilders,,Geert Wilders,Geert Wilders,Geert Wilders,https://upload.wikimedia.org/wikipedia/commons/b/b6/Geert_Wilders_op_Prinsjesdag_2014_(cropped).jpg,male,politician,83462851,1963-09-06,vg09llkg6xvb,geertwilderspvv,Geert Wilders,,Geert Wilders,Geert,Geert Wilders,Geert Wilders,Geert Wilders,Geert Wilders,Geert Wilders,Geert Wilders,Geert Wilders,Geert Wilders,Geert Wilders,Geert Wilders,Geert Wilders,Geert Wilders,Geert Wilders,Geert Wilders,Geert Wilders,Geert Wilders,,Geert Wilders,Geert Wilders,Geert Wilders,137377525,n2007204472,,/m/04g0k_,http://www.geertwilders.nl/,273853880,170306,0000 0000 5833 8240,Geert Wilders,,Geert Wilders,Geert Wilders,Geert Wilders,wild093,,,خيرت فيلدرز,خيرت فيلدرز,Geert Wilders,Geert Wilders,,,Wilders,16274772j,,,Geert Wilders,Герт Вилдерс,Geert Wilders,חרט וילדרס,Geert Wilders,Geert Wilders,,Geert Wilders,Geert Wilders,ヘルト・ウィルダース,Geert Wilders,Geert Wilders,"Вилдерс, Герт",,基爾特·威爾德斯,基尔特·威尔德斯,,,Geert Wilders,,Geert Wilders,,,,Geert Wilders,Geert Wilders,,,,,,,Geert Wilders,,Geert Wilders,Geert Wilders,,,,,,Geert Wilders,,Geert Wilders,,,,Geert Wilders,,,Geert Wilders,,,Geert Wilders,,Geert Wilders,,,Geert Wilders,,Geert Wilders,,Geert Wilders,,,,,,,,خیرت ویلدرس,基爾特·威爾德斯,Герт Вілдерс,Герт Вілдерс,Герт Вилдерс,Geert Wilders,Герт Вилдерс,Geert Wilders,Geert Wilders,Geert Wilders,,,Geert Wilders,Geert Wilders,基尔特·威尔德斯,基爾特·威爾德斯,基尔特·威尔德斯,基爾特·威爾德斯,Герт Вілдэрс,헤이르트 빌더르스,Γκερτ Βίλντερς,Герт Вільдэрс,ხეერტ ვილდერსი,Geert Wilders,Герт Вилдерс,Geert Wilders,Герт Вилдерс,Герт Вільдэрс,Герт Вілдэрс,Geert Wilders,Geert Wilders,Geert Wilders,,Geert Wilders,Γκερτ Βίλντερς,Geert Wilders,Geert Wilders,Geert Wilders,خیرت ویلدرس,خیرت ویلدرس,Geert Wilders,,חרט וילדרס,Geert Wilders,Geert Wilders,Geert Wilders,ヘルト・ウィルダース,ხეერტ ვილდერსი,헤이르트 빌더르스,Geert Wilders,Герт Вилдерс,Geert Wilders,Geert Wilders,Geert Wilders,Geert Wilders,Герт Вилдерс,Geert Wilders,Geert Wilders,,Geert Wilders,Geert Wilders,海尔特·维尔德斯,Scarlet Pimpernel,001393879,n2015079561,070/000207446,00000027984,1795984,person/geert-wilders,Geert-Wilders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biography/Geert-Wilders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22287099,,,,,گیرت وائلڈرز,,,گیرت وائلڈرز,,geert-wilders,,,
Q1194930,Grace Tanamal,Grace Tanamal,Grace Tanamal,Grace Tanamal,Grace Tanamal,Grace Tanamal,Grace Tanamal,Category:Grace Tanamal,Grace Tanamal,Grace Tanamal,Grace Tanamal,https://upload.wikimedia.org/wikipedia/commons/d/df/Grace_Tanamal_(26022706605).jpg,female,politician,,1957-01-10,vj2uv3i1tbzr,GraceTanamal,Grace Tanamal,,,Grace,,,,,,,,,,,,,,,,,,,,,,,,/m/0p8s__3,,,233926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grace Tanamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1194942,Michiel Servaes,Michiel Servaes,Michiel Servaes,Michiel Servaes,Michiel Servaes,Michiel Servaes,Michiel Servaes,Category:Michiel Servaes,Michiel Servaes,,Michiel Servaes,https://upload.wikimedia.org/wikipedia/commons/1/1f/17._Michiel_Servaes.jpg,male,politician,95146708101100840035,1972-02-21,vj0kbfx54ok8,michielservaes,Michiel Servaes,,,Michiel,,,,,,,,,,,,Michiel Servaes,,,,,,,,,1104624974,,,/m/0p8sr2z,,,234404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michiel Servaes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1194971,Loes Ypma,Loes Ypma,Loes Ypma,Loes Ypma,Loes Ypma,Loes Ypma,Loes Ypma,Category:Loes Ypma,Loes Ypma,Loes Ypma,Loes Ypma,https://upload.wikimedia.org/wikipedia/commons/7/73/Loes_Ypma_(25930161062).jpg,female,politician,,1980-02-20,vj0rbs37iyln,Loesypma,Loes Ypma,Loes Ypma,Loes Ypma,Loes,Loes Ypma,Loes Ypma,Loes Ypma,Loes Ypma,Loes Ypma,Loes Ypma,Loes Ypma,Loes Ypma,Loes Ypma,Loes Ypma,,,,,,,,,,,,,,/m/0p8zfh2,,,235282,,,Loes Ypma,,,,,Loes Ypma,,,,,,loes.ypma,https://www.linkedin.com/in/loes-ypma-87972a6/,,,,,Loes Ypma,,Loes Ypma,,,,,Loes Ypma,Loes Ypma,,,,,,,,Loes Ypma,Loes Ypma,Loes Ypma,Loes Ypma,Loes Ypma,Loes Ypma,Loes Ypma,Loes Ypma,Loes Ypma,Loes Ypma,Loes Ypma,Loes Ypma,Loes Ypma,Loes Ypma,Loes Ypma,Loes Ypma,Loes Ypma,Loes Ypma,Loes Ypma,Loes Ypma,Loes Ypma,Loes Ypma,Loes Ypma,Loes Ypma,Loes Ypma,Loes Ypma,Loes Ypma,Loes Ypma,Loes Ypma,Loes Ypma,Loes Ypma,Loes Ypma,Loes Ypma,Loes Ypma,Loes Ypma,Loes Ypma,Loes Ypma,Loes Ypma,Loes Ypma,Loes Ypma,Loes Ypma,Loes Ypma,,Loes Ypma,Loes Ypma,Loes Ypma,Loes Ypma,Loes Ypma,Loes Ypma,Loes Ypma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1194985,Albert de Vries,Albert de Vries,Albert de Vries,Albert de Vries,Albert de Vries,Albert de Vries,Albert de Vries,Category:Albert de Vries,Albert de Vries,,Albert de Vries,https://upload.wikimedia.org/wikipedia/commons/6/67/29._Albert_de_Vries.jpg,male,politician,290123063,1955-07-10,vj0rd5w56pdo,albvri,Albert de Vries,,,Albert,,,,,,,,,,,,,,,,,,,,,,,,/m/0p8s_jw,,340528745,233399,0000 0003 9538 2488,,,,,,,,,ألبرت دي فريس,,,,,,De Vries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Albert de Vries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1196000,Jan Vos,Jan Vos,Jan Vos,Jan Vos,Jan Vos,Jan Vos,Jan Vos,,Jan Vos (politician),,Jan Vos (politicus),https://upload.wikimedia.org/wikipedia/commons/b/b8/37._Jan_Vos.jpg,male,politician,,1972-02-09,vj2uuxzzq7zj,janvos_pvda,Jan Vos (politician),,,Jan,,,,,,,,,,,,,,,,,,,,,,,,/m/0p8tdd6,,,237092,,,,,,,,,,,,,,,,Vos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jan Vos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1196006,Keklik Yücel,Keklik Yücel,Keklik Yücel,Keklik Yücel,Keklik Yücel,Keklik Yücel,Keklik Yücel,Category:Keklik Yücel,Keklik Yücel,Keklik Yücel,Keklik Yücel,https://upload.wikimedia.org/wikipedia/commons/b/b6/26._Keklik_Yücel.jpg,female,politician,,1968-05-05,vicnlcne4jzp,,Keklik Yücel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keklik Yücel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12013388,Eric Smaling,Eric Smaling,,Eric Smaling,Eric Smaling,,Eric Smaling,Category:Eric Smaling,Eric Smaling,,Eric Smaling,https://upload.wikimedia.org/wikipedia/commons/4/4a/Eric_Smaling1.jpg,male,politician,38445319,1957-08-18,vhjogfpxaszp,EricSmaling,Eric Smaling,,,Eric,,,,,,,,,Eric Smaling,,,Eric Smaling,,,,,,Eric Smaling,,,140934944,n87904651,,/m/0vpqts0,,074869477,229373,0000 0000 3107 6615,,,,,,smal010,,,,,,,,,,16631122g,,prof_dr_ir_e_m_a_smaling_sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eric Smaling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90619907,,,,,,,,,,,,,,,,,
Q1284113,Remco Dijkstra,Remco Dijkstra,Remco Dijkstra,Remco Dijkstra,Remco Dijkstra,Remco Dijkstra,Remco Dijkstra,Category:Remco Dijkstra,Remco Dijkstra,,Remco Dijkstra,https://upload.wikimedia.org/wikipedia/commons/4/48/Remco-dijkstra-1349031407.jpg,male,politician,,1972-08-18,vj0hibsxkwl8,remcovvd,Remco Dijkstra,,,Remco,,,,,,,,,,,,,,,,,,,,,,,,/m/0pb4d03,,,235548,,,,,,,,,,,,,,,,Dijkstra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Remco Dijkstra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
