id,name,family_name,given_name,sort_name,gender,img,dob,email,source
%C3%B6zt%C3%BCrk-s-grk%C3%B6,Selçuk Öztürk,Öztürk,Selçuk,"Öztürk, S. ",male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/0dc5d982-cb68-4831-9c36-406e4bf35059.jpg?itok=YBeOeGoh,1972-04-08,s.ozturk@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/%C3%B6zt%C3%BCrk-s-grk%C3%B6
%C3%BCnver-e-pvda,Emre Ünver,Ünver,Emre,"Ünver, E. ",male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/8358.jpg?itok=d36x4hdG,1981-11-19,e.unver@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/%C3%BCnver-e-pvda
agema-m-pvv,Fleur Agema,Agema,Fleur,"Agema, M. ",female,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/b813f356-22d2-421a-ad81-c8ca5f36ac84.jpg?itok=wsqqWiga,1976-09-16,m.agema@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/agema-m-pvv
amhaouch-m-cda,Mustafa Amhaouch,Amhaouch,Mustafa,"Amhaouch, M. ",male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/ca0d17b2-cde2-4549-8388-9f0bde644ea3.jpg?itok=luIY4ZqG,1970-06-27,m.amhaouch@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/amhaouch-m-cda
arib-k-pvda,Khadija Arib,Arib,Khadija,"Arib, K. ",female,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/775361ea-68f8-4793-871e-ff60aa96238a.jpg?itok=ZyNg3S9X,1960-10-10,k.arib@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/arib-k-pvda
ark-t-van-vvd,Tamara van Ark,Ark,Tamara,"Ark, T. van",female,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/6c3a5ad0-e665-4c47-9484-adc69f95b820.jpg?itok=WFnTUVBz,1974-08-11,t.venrooy-vanark@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/ark-t-van-vvd
asante-aa-pvda,Amma A Asante,Asante,Amma,"Asante, A.A. ",female,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/779e9f9a-f5e0-423c-8216-b70c05e2a0ed.jpg?itok=oe7WxPPV,1972-05-14,a.asante@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/asante-aa-pvda
azmani-m-vvd,Malik Azmani,Azmani,Malik,"Azmani, M. ",male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/801af414-92a2-4863-acd1-694c180d0244.jpg?itok=Wshh-qdj,1976-01-20,m.azmani@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/azmani-m-vvd
bashir-f-sp,Farshad Bashir,Bashir,Farshad,"Bashir, F. ",male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/2e7aa095-6433-47c9-b27f-202ed2f3409c.jpg?itok=JkgIDMKr,1988-01-14,f.bashir@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/bashir-f-sp
beertema-hj-pvv,Harm J Beertema,Beertema,Harm,"Beertema, H.J. ",male,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/ee995582-9705-43e0-b9da-1a5c494eb31f.jpg?itok=BMikaKLK,1952-03-09,h.beertema@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/beertema-hj-pvv
belhaj-s-d66,Salima Belhaj,Belhaj,Salima,"Belhaj, S. ",female,https://www.houseofrepresentatives.nl/sites/default/files/styles/content_image/public/70d927c6-d08f-4cba-90ae-1926b2bac3f2.jpg?itok=6hUNdtOk,1978-10-18,s.belhaj@tweedekamer.nl,https://www.houseofrepresentatives.nl/members_of_parliament/members_of_parliament/belhaj-s-d66
