id,name,party,party_id,email,image,source,term,constituency,tel
P202,"Tarragó Díaz, Cynthia Elizabeth",ANR,ANR,cynthiatarrago@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P202.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=202,2013,Capital,414 - 4314
P203,"Durand Espínola, Dany Edgar Xavier",ANR,ANR,danydurand@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P203.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=203,2013,Capital,414 - 4315
P205,"Retamozo Ortíz, Andrés",ANR,ANR,aretamozo@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P205.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=205,2013,Alto Paraná,414 - 4317
P206,"Maggi Rolón, Carlos Manuel",ANR,ANR,carlosmaggi@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P206.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=206,2013,San Pedro,414 - 4318
P207,"Penayo Ortega, Atilio",ANR,ANR,apenayo@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P207.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=207,2013,Central,414 - 4319
P208,"Baruja Fernández, Jorge Ignacio",ANR,ANR,jorgebaruja@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P208.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=208,2013,Paraguarí,414 - 4320
P209,"Casco Ayala, Alsimio",ANR,ANR,toticasco@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P209.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=209,2013,Concepción,414 - 4321
P210,"D´Ecclesiis Giménez, Freddy Tadeo",ANR,ANR,fdecclesiis@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P210.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=210,2013,San Pedro,414 - 4322
P211,"Cáceres González, Mario Duilio",ANR,ANR,mcaceres@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P211.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=211,2013,Itapúa,414 - 4343
P212,"Villalba Cardozo, Bernardo",ANR,ANR,bernardovc@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P212.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=212,2013,Concepción,414 - 4324
P213,"Velázquez Moreno, Hugo Adalberto",ANR,ANR,hvelazquez@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P213.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=213,2013,Central,414 - 4305/6
P214,"Ríos Bogado, Julio Javier",ANR,ANR,jrios@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P214.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=214,2013,Capital,414 - 4326
P215,"Ibañez Benítez, José María",ANR,ANR,jmibanez@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P215.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=215,2013,Central,414 - 4327
P216,"Rodriguez Arias, Pablino Acasio",ANR,ANR,pablinorodriguez@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P216.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=216,2013,Misiones,414 - 4328
P217,"Casco Arce, Maria Rocio",AP,AP,rociocasco@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P217.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=217,2013,Central,414 - 4206
P218,"Nuñez Salinas, Carlos Alberto",ANR,ANR,canusa@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P218.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=218,2013,Central,414 - 4202
P219,"Soto Estigarribia, Mario Walberto",ANR,ANR,mwsoto@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P219.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=219,2013,Caaguazú,414 - 4203
P220,"Troche Alvarez, Celso",ANR,ANR,ctroche@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P220.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=220,2013,Caazapá,414 - 4204
P221,"Adorno Mazacotte, José Domingo",ANR,ANR,joseadorno@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P221.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=221,2013,Alto Paraguay,414 - 4205
P222,"Rodríguez Carámbula, Karina Andrea",AP,AP,karinarodriguez@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P222.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=222,2013,Capital,414 - 4201
P223,"Ferrer Miranda, Nestor Fabián",ANR,ANR,nestorferrer@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P223.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=223,2013,Central,414 - 4185
P224,"Ortellado Zorrilla, Félix Fernando",ANR,ANR,fortellado@diputado.gov.py,http://www.diputados.gov.py/fotos/cv/P224.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=224,2013,Guairá,414 - 4208
P225,"Larré Del Puerto, Luis Alberto",ANR,ANR,luislarre@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P225.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=225,2013,Itapúa,414 - 4209
P226,"Medina de Paredes, Del Pilar Eva",ANR,ANR,delpilarmedinadeparedes@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P226.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=226,2013,Central,414 - 4210
P227,"González Segovia, Víctor Luís",ANR,ANR,vlgonzalez@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P227.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=227,2013,Cordillera,414 - 4211
P228,"Britos Espínola, Pedro David",ANR,ANR,pedrobritos@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P228.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=228,2013,Guairá,414 - 4212
P229,"Quintana López, Concepción",ANR,ANR,concepcionquintana@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P229.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=229,2013,Alto Paraná,414 - 4213
P230,"Acosta de Vázquez, Perla Teresa Beatriz",IND,IND,perladevazquez@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P230.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=230,2013,San Pedro,414 - 4214
P231,"Lezcano Paredes, Marcial",ANR,ANR,marciallezcano@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P231.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=231,2013,Amambay,414 - 4215
P232,"Morel Alfonzo, Purificación",ANR,ANR,lelimorel@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P232.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=232,2013,Canindeyú,414 - 4216
P233,"Rojas Meza, Miguel Tadeo",ANR,ANR,tadeorojas@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P233.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=233,2013,Central,414 - 4342 / 414 - 4311
P234,"Maldonado Duarte, Celso",PLRA,PLRA,celsomaldonado@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P234.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=234,2013,Central,414 - 4218
P235,"Avalos Mariño, Jorge Ramón",PLRA,PLRA,jravalos@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P235.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=235,2013,Paraguarí,414 - 4253
P236,"Villalba López, María Cristina",ANR,ANR,cristinavillalba@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P236.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=236,2013,Canindeyú,414 - 4221
P237,"Romero Roa, Ramón",ANR,ANR,ramonromero@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P237.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=237,2013,Alto Paraná,414 - 4222
P238,"Alliana Rodríguez, Hércules Pedro Lorenzo",ANR,ANR,pedroalliana@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P238.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=238,2013,Ñeembucú,414 - 4223
P239,"Cabral González, Elio",ANR,ANR,ecabralg@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P239.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=239,2013,Alto Paraná,414 - 4224
P240,"Barrios Monges, Clemente Ramón",ANR,ANR,crbarrios@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P240.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=240,2013,Paraguarí,414 - 4225
P241,"Nuñez Gimenez, Oscar Venancio",ANR,ANR,oscarvnunez@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P241.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=241,2013,Presidente Hayes,414 - 4226
P242,"Pereira Thalmann, Enrique Javier",ANR,ANR,enriquepereira@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P242.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=242,2013,Central,414 - 4227
P243,"Ríos Ojeda, Víctor",PLRA,PLRA,vrios@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P243.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=243,2013,Ñeembucú,414 - 4228
P244,"Rivas Benítez, Tomás Fidelino",ANR,ANR,trivas@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P244.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=244,2013,Paraguarí,414 - 4229
P245,"Salinas Montanía, Salustiano",PLRA,PLRA,sasa@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P245.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=245,2013,Central,414 - 4230
P246,"Carísimo Sosa, María Nimia",PLRA,PLRA,mariacarisimo@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P246.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=246,2013,Central,414 - 4231
P247,"Mendoza Díaz, Mirta Ramona",PLRA,PLRA,mrmendoza@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P247.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=247,2013,Concepción,414 - 4232
P248,"Ortiz Riveros, Edgar Isaac",PLRA,PLRA,edagarortiz@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P248.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=248,2013,Itapúa,414 - 4233
P249,"Carísimo Ocampo, Horacio Victor",PLRA,PLRA,horaciocarisimo@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P249.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=249,2013,Itapúa,414 - 4207
P250,"Rojas Salvioni, Nazario Tomás",ANR,ANR,nrojas@diputados.gov.py,http://www.diputados.gov.py/fotos/cv/P250.jpg,http://www.diputados.gov.py/ww2/?pagina=cv&id=250,2013,Cordillera,414 - 4171
