id,name,sort_name,family_name,given_name,party,party_id,phone,email,image,source,term,constituency
P202,Cynthia Elizabeth Tarragó Díaz,"Tarragó Díaz, Cynthia Elizabeth",Tarragó Díaz,Cynthia Elizabeth,ANR,ANR,414 - 4314,"[email protected]/* <![CDATA[ */!function(t,e,r,n,c,a,p){try{t=document.currentScript||function(){for(t=document.getElementsByTagName('script'),e=t.length;e--;)if(t[e].getAttribute('data-cfhash'))return t[e]}();if(t&&(c=t.previousSibling)){p=t.parentNode;if(a=c.getAttribute('data-cfemail')){for(e='',r='0x'+a.substr(0,2)|0,n=2;a.length-n;n+=2)e+='%'+('0'+('0x'+a.substr(n,2)^r).toString(16)).slice(-2);p.replaceChild(document.createTextNode(decodeURIComponent(e)),c)}p.removeChild(t)}}catch(u){}}()/* ]]> */",http://www.diputados.gov.py/fotos/cv/P202.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=202,2013,Capital
P203,Dany Edgar Xavier Durand Espínola,"Durand Espínola, Dany Edgar Xavier",Durand Espínola,Dany Edgar Xavier,ANR,ANR,414 - 4315,"[email protected]/* <![CDATA[ */!function(t,e,r,n,c,a,p){try{t=document.currentScript||function(){for(t=document.getElementsByTagName('script'),e=t.length;e--;)if(t[e].getAttribute('data-cfhash'))return t[e]}();if(t&&(c=t.previousSibling)){p=t.parentNode;if(a=c.getAttribute('data-cfemail')){for(e='',r='0x'+a.substr(0,2)|0,n=2;a.length-n;n+=2)e+='%'+('0'+('0x'+a.substr(n,2)^r).toString(16)).slice(-2);p.replaceChild(document.createTextNode(decodeURIComponent(e)),c)}p.removeChild(t)}}catch(u){}}()/* ]]> */",http://www.diputados.gov.py/fotos/cv/P203.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=203,2013,Capital
P205,Andrés Retamozo Ortíz,"Retamozo Ortíz, Andrés",Retamozo Ortíz,Andrés,ANR,ANR,414 - 4317,"[email protected]/* <![CDATA[ */!function(t,e,r,n,c,a,p){try{t=document.currentScript||function(){for(t=document.getElementsByTagName('script'),e=t.length;e--;)if(t[e].getAttribute('data-cfhash'))return t[e]}();if(t&&(c=t.previousSibling)){p=t.parentNode;if(a=c.getAttribute('data-cfemail')){for(e='',r='0x'+a.substr(0,2)|0,n=2;a.length-n;n+=2)e+='%'+('0'+('0x'+a.substr(n,2)^r).toString(16)).slice(-2);p.replaceChild(document.createTextNode(decodeURIComponent(e)),c)}p.removeChild(t)}}catch(u){}}()/* ]]> */",http://www.diputados.gov.py/fotos/cv/P205.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=205,2013,Alto Paran
P206,Carlos Manuel Maggi Rolón,"Maggi Rolón, Carlos Manuel",Maggi Rolón,Carlos Manuel,ANR,ANR,414 - 4318,"[email protected]/* <![CDATA[ */!function(t,e,r,n,c,a,p){try{t=document.currentScript||function(){for(t=document.getElementsByTagName('script'),e=t.length;e--;)if(t[e].getAttribute('data-cfhash'))return t[e]}();if(t&&(c=t.previousSibling)){p=t.parentNode;if(a=c.getAttribute('data-cfemail')){for(e='',r='0x'+a.substr(0,2)|0,n=2;a.length-n;n+=2)e+='%'+('0'+('0x'+a.substr(n,2)^r).toString(16)).slice(-2);p.replaceChild(document.createTextNode(decodeURIComponent(e)),c)}p.removeChild(t)}}catch(u){}}()/* ]]> */",http://www.diputados.gov.py/fotos/cv/P206.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=206,2013,San Pedro
P207,Atilio Penayo Ortega,"Penayo Ortega, Atilio",Penayo Ortega,Atilio,ANR,ANR,414 - 4319,"[email protected]/* <![CDATA[ */!function(t,e,r,n,c,a,p){try{t=document.currentScript||function(){for(t=document.getElementsByTagName('script'),e=t.length;e--;)if(t[e].getAttribute('data-cfhash'))return t[e]}();if(t&&(c=t.previousSibling)){p=t.parentNode;if(a=c.getAttribute('data-cfemail')){for(e='',r='0x'+a.substr(0,2)|0,n=2;a.length-n;n+=2)e+='%'+('0'+('0x'+a.substr(n,2)^r).toString(16)).slice(-2);p.replaceChild(document.createTextNode(decodeURIComponent(e)),c)}p.removeChild(t)}}catch(u){}}()/* ]]> */",http://www.diputados.gov.py/fotos/cv/P207.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=207,2013,Central
P208,Jorge Ignacio Baruja Fernández,"Baruja Fernández, Jorge Ignacio",Baruja Fernández,Jorge Ignacio,ANR,ANR,414 - 4320,"[email protected]/* <![CDATA[ */!function(t,e,r,n,c,a,p){try{t=document.currentScript||function(){for(t=document.getElementsByTagName('script'),e=t.length;e--;)if(t[e].getAttribute('data-cfhash'))return t[e]}();if(t&&(c=t.previousSibling)){p=t.parentNode;if(a=c.getAttribute('data-cfemail')){for(e='',r='0x'+a.substr(0,2)|0,n=2;a.length-n;n+=2)e+='%'+('0'+('0x'+a.substr(n,2)^r).toString(16)).slice(-2);p.replaceChild(document.createTextNode(decodeURIComponent(e)),c)}p.removeChild(t)}}catch(u){}}()/* ]]> */",http://www.diputados.gov.py/fotos/cv/P208.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=208,2013,Paraguar
P209,Alsimio Casco Ayala,"Casco Ayala, Alsimio",Casco Ayala,Alsimio,ANR,ANR,414 - 4321,"[email protected]/* <![CDATA[ */!function(t,e,r,n,c,a,p){try{t=document.currentScript||function(){for(t=document.getElementsByTagName('script'),e=t.length;e--;)if(t[e].getAttribute('data-cfhash'))return t[e]}();if(t&&(c=t.previousSibling)){p=t.parentNode;if(a=c.getAttribute('data-cfemail')){for(e='',r='0x'+a.substr(0,2)|0,n=2;a.length-n;n+=2)e+='%'+('0'+('0x'+a.substr(n,2)^r).toString(16)).slice(-2);p.replaceChild(document.createTextNode(decodeURIComponent(e)),c)}p.removeChild(t)}}catch(u){}}()/* ]]> */",http://www.diputados.gov.py/fotos/cv/P209.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=209,2013,Concepcin
P210,Freddy Tadeo D Ecclesiis Giménez,"D Ecclesiis Giménez, Freddy Tadeo",D Ecclesiis Giménez,Freddy Tadeo,ANR,ANR,414 - 4322,"[email protected]/* <![CDATA[ */!function(t,e,r,n,c,a,p){try{t=document.currentScript||function(){for(t=document.getElementsByTagName('script'),e=t.length;e--;)if(t[e].getAttribute('data-cfhash'))return t[e]}();if(t&&(c=t.previousSibling)){p=t.parentNode;if(a=c.getAttribute('data-cfemail')){for(e='',r='0x'+a.substr(0,2)|0,n=2;a.length-n;n+=2)e+='%'+('0'+('0x'+a.substr(n,2)^r).toString(16)).slice(-2);p.replaceChild(document.createTextNode(decodeURIComponent(e)),c)}p.removeChild(t)}}catch(u){}}()/* ]]> */",http://www.diputados.gov.py/fotos/cv/P210.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=210,2013,San Pedro
P211,Mario Duilio Cáceres González,"Cáceres González, Mario Duilio",Cáceres González,Mario Duilio,ANR,ANR,414 - 4343,"[email protected]/* <![CDATA[ */!function(t,e,r,n,c,a,p){try{t=document.currentScript||function(){for(t=document.getElementsByTagName('script'),e=t.length;e--;)if(t[e].getAttribute('data-cfhash'))return t[e]}();if(t&&(c=t.previousSibling)){p=t.parentNode;if(a=c.getAttribute('data-cfemail')){for(e='',r='0x'+a.substr(0,2)|0,n=2;a.length-n;n+=2)e+='%'+('0'+('0x'+a.substr(n,2)^r).toString(16)).slice(-2);p.replaceChild(document.createTextNode(decodeURIComponent(e)),c)}p.removeChild(t)}}catch(u){}}()/* ]]> */",http://www.diputados.gov.py/fotos/cv/P211.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=211,2013,Itapa
P212,Bernardo Villalba Cardozo,"Villalba Cardozo, Bernardo",Villalba Cardozo,Bernardo,ANR,ANR,414 - 4324,"[email protected]/* <![CDATA[ */!function(t,e,r,n,c,a,p){try{t=document.currentScript||function(){for(t=document.getElementsByTagName('script'),e=t.length;e--;)if(t[e].getAttribute('data-cfhash'))return t[e]}();if(t&&(c=t.previousSibling)){p=t.parentNode;if(a=c.getAttribute('data-cfemail')){for(e='',r='0x'+a.substr(0,2)|0,n=2;a.length-n;n+=2)e+='%'+('0'+('0x'+a.substr(n,2)^r).toString(16)).slice(-2);p.replaceChild(document.createTextNode(decodeURIComponent(e)),c)}p.removeChild(t)}}catch(u){}}()/* ]]> */",http://www.diputados.gov.py/fotos/cv/P212.jpg,http://www.diputados.gov.py/ww1/?pagina=cv&id=212,2013,Concepcin
