id,name__en,name__de,name__en_ca,name__en_gb,name__fr,name__lzh,name__yue,name__zh,name__zh_cn,name__zh_hk,name__zh_sg,name__zh_tw,name__nl,name,wikipedia__en,gender,occupation,birth_date,original_wikiname,name__pt,wikipedia__pt,death_date,name__es,name__hu,name__zh_mo,name__zh_hans,name__zh_hant,name__zh_my,given_name,facebook,wikipedia__commons,image,name__hak,name__nan,name__cy,wikipedia__de,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__freebase,name__id,name__vi,name__ms,name__nb,name__da,name__nn,name__sv,wikipedia__fr,wikipedia__id,wikipedia__ms,wikipedia__vi,wikipedia__zh_min_nan,wikipedia__zh,family_name,name__it,identifier__ISNI,identifier__SUDOC,identifier__FAST,wikipedia__no,twitter,name__ru,name__ta,name__ar,wikipedia__ta,identifier__Oxforddnb,identifier__snac,name__pl,name__qu,name__ko,name__he,name__oc,name__yo,name__lv,name__gl,name__ja,name__el,name__my,name__hi,name__eo,name__sr,name__tr,name__th,name__fi,name__uk,name__cs,name__io,name__fa,name__mr,name__ca,name__et,name__pt_br,name__tl,name__bn,name__be,name__ro,name__az,name__la,name__hy,name__eu,name__sco,wikipedia__ar,wikipedia__az,wikipedia__be,wikipedia__bn,wikipedia__ca,wikipedia__cs,wikipedia__da,wikipedia__dewikiquote,wikipedia__el,wikipedia__enwikinews,wikipedia__enwikiquote,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__fa,wikipedia__fi,wikipedia__gl,wikipedia__hak,wikipedia__he,wikipedia__hi,wikipedia__hy,wikipedia__io,wikipedia__it,wikipedia__ja,wikipedia__ko,wikipedia__la,wikipedia__lv,wikipedia__mr,wikipedia__my,wikipedia__nl,wikipedia__oc,wikipedia__pl,wikipedia__plwikiquote,wikipedia__qu,wikipedia__ro,wikipedia__ru,wikipedia__sco,wikipedia__simple,wikipedia__sr,wikipedia__sv,wikipedia__th,wikipedia__tl,wikipedia__tr,wikipedia__uk,wikipedia__yo,wikipedia__zh_yue,identifier__IMDB,identifier__NNDB,instagram,identifier__CSPAN,name__pa,website,identifier__NTA,identifier__OLID,identifier__Britannica,identifier__BNF,name__ne,wikipedia__ne,wikipedia__pa,identifier__quora,name__nds,name__vmf,wikipedia__itwikiquote,name__jv,name__ml,name__ka,wikipedia__jv,wikipedia__ka,wikipedia__ml,name__bg,wikipedia__bg,electoral_district,identifier__Munzinger,identifier__NLAtrove,identifier__NLA,wikipedia__eu,name__km,wikipedia__km,identifier__NDL,identifier__NLI,name__is,name__mk,name__be_tarask,name__kk_arab,name__kk_cn,name__kk_tr,name__kk_kz,name__kk_cyrl,name__kk_latn,name__li,name__sh,name__sa,name__war,name__kk,name__ky,name__new,name__si,name__mg,name__bcl,name__pnb,name__wuu,name__yi,name__ur,name__ba,name__sd,name__tt,name__vo,name__lb,name__lo,name__mn,name__te,name__gu,name__ast,name__kn,wikipedia__arwikiquote,wikipedia__ast,wikipedia__ba,wikipedia__bcl,wikipedia__be_x_old,wikipedia__cy,wikipedia__gu,wikipedia__hu,wikipedia__is,wikipedia__kk,wikipedia__kn,wikipedia__ky,wikipedia__lb,wikipedia__li,wikipedia__lo,wikipedia__mg,wikipedia__mk,wikipedia__mn,wikipedia__new,wikipedia__nn,wikipedia__nnwikiquote,wikipedia__pnb,wikipedia__ruwikinews,wikipedia__ruwikiquote,wikipedia__sa,wikipedia__sd,wikipedia__sh,wikipedia__te,wikipedia__thwikiquote,wikipedia__tt,wikipedia__ukwikiquote,wikipedia__ur,wikipedia__vo,wikipedia__war,wikipedia__wuu,wikipedia__yi,wikipedia__zh_classical,wikipedia__zhwikiquote,identifier__CANTIC,identifier__wikitree,identifier__kinopoisk
Q1071599,Chiam See Tong,Chiam See Tong,,,Chiam See Tong,,,詹時中,,,,,Chiam See Tong,Chiam See Tong,Chiam See Tong,male,politician,1935-03-12,Chiam See Tong,,,,Chiam See Tong,Chiam See Tong,,,詹時中,,,,,https://upload.wikimedia.org/wikipedia/commons/4/4a/ChiamSeeTong-SDARally-20060502.jpg,,Chiam Sî-tiong,,Chiam See Tong,313409819,,n2014218079,/m/05cdjc,Chiam See Tong,Chiêm Thời Trung,Chiam See Tong,,,,,,Chiam See Tong,Chiam See Tong,Chiêm Thời Trung,Chiam Sî-tiong,詹時中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q131248,Lee Kuan Yew,Lee Kuan Yew,,,Lee Kuan Yew,李光耀,李光耀,李光耀,李光耀,李光耀,李光耀,李光耀,Lee Kuan Yew,Lee Kuan Yew,Lee Kuan Yew,male,politician,1923-09-16,Lee Kuan Yew,Lee Kuan Yew,Lee Kuan Yew,2015-03-23,Lee Kuan Yew,Li Kuang-jao,李光耀,李光耀,李光耀,李光耀,Harry,,Lee Kuan Yew,https://upload.wikimedia.org/wikipedia/commons/0/0f/Lee_Kuan_Yew.jpg,Lí Kông-yeu,Lí Kong-iāu,Lee Kuan Yew,Lee Kuan Yew,97994136,118997734,n50039577,/m/0h9q0,Lee Kuan Yew,Lý Quang Diệu,Lee Kuan Yew,Lee Kuan Yew,Lee Kuan Yew,Lee Kuan Yew,Lee Kuan Yew,Lee Kuan Yew,Lee Kuan Yew,Lee Kuan Yew,Lý Quang Diệu,Lí Kong-iāu,李光耀,Li,Lee Kuan Yew,0000 0001 1000 4273,058754962,13516,Lee Kuan Yew,,Ли Куан Ю,லீ குவான் யூ,لي كوان يو,லீ குவான் யூ,,w6h148jt,Lee Kuan Yew,Lee Kuan Yew,리콴유,לי קואן יו,,,Li Guanjao,Lee Kuan Yew,リー・クアンユー,Λη Κουάν Γιού,လီကွမ်းယု,ली क्वान यू,Lee Kuan Yew,Ли Гуангјао,Lee Kuan Yew,ลี กวนยู,Lee Kuan Yew,Лі Куан Ю,Li Kuang-jao,Lee Kuan Yew,لی کوآن یو,ली क्वान यू,Lee Kuan Yew,Lee Kuan Yew,,Lee Kuan Yew,লি কুয়ান ইউ,Лі Куан Ю,Lee Kuan Yew,Li Kuan Yu,Lee Kuan Yew,Լի Կուան Յու,Lee Kuan Yew,Lee Kuan Yew,لي كوان يو,Li Kuan Yu,Лі Куан Ю,লি কুয়ান ইউ,Lee Kuan Yew,Li Kuang-jao,Lee Kuan Yew,Lee Kuan Yew,Λη Κουάν Γιού,Category:Lee Kuan Yew,Lee Kuan Yew,Lee Kuan Yew,Lee Kuan Yew,Lee Kuan Yew,لی کوآن یو,Lee Kuan Yew,,Lí Kông-yeu,לי קואן יו,ली क्वान यू,Լի Կուան Յու,Lee Kuan Yew,Lee Kuan Yew,リー・クアンユー,리콴유,Lee Kuan Yew,Li Guanjao,ली क्वान यू,လီကွမ်းယု,Lee Kuan Yew,,Lee Kuan Yew,Lee Kuan Yew,Lee Kuan Yew,Lee Kuan Yew,Ли Куан Ю,Lee Kuan Yew,Lee Kuan Yew,Ли Гуангјао,Lee Kuan Yew,ลี กวนยู,Lee Kuan Yew,Lee Kuan Yew,Лі Куан Ю,,李光耀,nm2285412,044/000110711,,leeyew,,,,,biography/Lee-Kuan-Yew,136182260,ली कुआन यु,ली कुआन यु,,Lee-Kuan-Yew-Singaporean-politician,,,,Lee Kuan Yew,ലീ ക്വാൻ യു,ლი კუან იუ,Lee Kuan Yew,ლი კუან იუ,ലീ ക്വാൻ യു,Ли Куан Ю,Ли Куан Ю,,00000007900,,,Lee Kuan Yew,លី ក្វាន់យូ,លី ក្វាន់យូ,00470266,,Lee Kuan Yew,Ли Куан Ју,Лі Куан Ю,لىي كۋان يۋ,لىي كۋان يۋ,Lï Kwan YU,Ли Куан Ю,Ли Куан Ю,Lï Kwan YU,Lee Kuan Yew,Lee Kuan Yew,ली क्वान यु,Lee Kuan Yew,Ли Куан Ю,Ли Куан Ю,ली क्वान यु,Lee Kuan Yew,Lee Kuan Yew,Lee Kuan Yew,لی کوان یو,李光耀,לי קוואן יו,لی کوان یئو,Ли Куан Ю,لي ڪوان يئو,Li Kuan Yu,Lee Kuan Yew,Lee Kuan Yew,ລີ ກວນ ຍູ,Ли Куан Ю,లీ క్వాన్‌ యూ,લી ક્વાન યૂ,Lee Kuan Yew,ಲೀ ಕ್ವಾನ್ ಯೀವ್,لي كوان يو,Lee Kuan Yew,Ли Куан Ю,Lee Kuan Yew,Лі Куан Ю,Lee Kuan Yew,લી ક્વાન યૂ,Li Kuang-jao,Lee Kuan Yew,Ли Куан Ю,ಲೀ ಕ್ವಾನ್ ಯೀವ್,Ли Куан Ю,Lee Kuan Yew,Lee Kuan Yew,ລີ ກວນ ຍູ,Lee Kuan Yew,Ли Куан Ју,Ли Куан Ю,ली क्वान यु,Lee Kuan Yew,Lee Kuan Yew,لی کوان یو,Категория:Ли Куан Ю,Ли Куан Ю,ली क्वान् यू,لي ڪوان يئو,Lee Kuan Yew,లీ క్వాన్‌ యూ,ลี กวน ยู,Li Kuan Yu,Лі Куан Ю,لی کوان یئو,Lee Kuan Yew,Lee Kuan Yew,李光耀,לי קוואן יו,李光耀,李光耀,a11341701,李-4,
Q14188985,Lim Hwee Hua,Lim Hwee Hua,,,Lim Hwee Hua,,,,,,,,Lim Hwee Hua,Lim Hwee Hua,Lim Hwee Hua,female,politician,1959-02-26,Lim Hwee Hua,,,,Lim Hwee Hua,Lim Hwee Hua,,,,,,,Category:Lim Hwee Hua,https://upload.wikimedia.org/wikipedia/commons/6/68/Lim_Hwee_Hua.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q14950534,Lee Bee Wah,Lee Bee Wah,Lee Bee Wah,Lee Bee Wah,Lee Bee Wah,李美花,李美花,李美花,李美花,李美花,李美花,李美花,Lee Bee Wah,Lee Bee Wah,Lee Bee Wah,female,engineer,1960-10-06,Lee Bee Wah,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/9c/Lee_Bee_Wah_Nomination_Day_GE_2011.jpg,Lí Mî-fâ,Lí Bí-hoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15082672,Cedric Foo,Cedric Foo,Cedric Foo,Cedric Foo,Cedric Foo,符致鏡,符致鏡,符致镜,符致镜,符致鏡,符致镜,符致鏡,Cedric Foo,Cedric Foo,Cedric Foo,male,politician,1960-07-16,Cedric Foo,,,,Cedric Foo,Cedric Foo,,,,,Cedric,,,,Fù Chṳ-kiang,Hû Tì-kèng,,,,,,,,,,,,,,,,,,,,,Cedric Foo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15122247,Gan Thiam Poh,Gan Thiam Poh,Gan Thiam Poh,Gan Thiam Poh,Gan Thiam Poh,顏添寶,顏添寶,颜添宝,颜添宝,顏添寶,颜添宝,顏添寶,Gan Thiam Poh,Gan Thiam Poh,Gan Thiam Poh,male,businessperson,1963-10-23,Gan Thiam Poh,,,,Gan Thiam Poh,Gan Thiam Poh,,,,,,,,,Ngièn Thiâm-pó,Gân Thiam-pó,,,,,,,,,,,,,,,,,,,,,Gan Thiam Poh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15131896,Ang Hin Kee,Ang Hin Kee,Ang Hin Kee,Ang Hin Kee,Ang Hin Kee,洪鼎基,洪鼎基,洪鼎基,洪鼎基,洪鼎基,洪鼎基,洪鼎基,Ang Hin Kee,Ang Hin Kee,Ang Hin Kee,male,politician,1965-10-22,Ang Hin Kee,,,,,,,,,,,,,,Fùng Tín-kî,Âng Téng-ki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1515536,Joscelin Yeo,Joscelin Yeo,,,Joscelin Yeo,,,,,,,,Joscelin Yeo,Joscelin Yeo,Joscelin Yeo,female,swimmer,1979-05-02,Joscelin Yeo,,,,Joscelin Yeo,,,,,,,,,,,,,Joscelin Yeo,19409446,,,/m/026zbw2,,,,Joscelin Yeo,,,,,,,,,,,,,,,Joscelin Yeo,joscelinyeo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1521378,S. Jayakumar,Shunmugam Jayakumar,,,Shunmugam Jayakumar,,,尚穆根·贾古玛,,,,,S. Jayakumar,S. Jayakumar,S. Jayakumar,male,politician,1939-08-12,S. Jayakumar,,,,S. Jayakumar,S. Jayakumar,,,,,S.,,,https://upload.wikimedia.org/wikipedia/commons/8/84/Jayakumar_(1).jpg,,,,Shunmugam Jayakumar,8758296,,,/m/044snq,Shunmugam Jayakumar,,Shunmugam Jayakumar,,,,,,Shunmugam Jayakumar,Shunmugam Jayakumar,,,贾古玛,,,0000 0000 8424 3122,180875167,,,,,சண்முகம் ஜெயக்குமார்,,சண்முகம் ஜெயக்குமார்,,,,,,,,,,,S・ジャヤクマール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shunmugam Jayakumar,,,Shunmugam Jayakumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15410291,Ng Chee Meng,Ng Chee Meng,Ng Chee Meng,Ng Chee Meng,Ng Chee Meng,,,黄志明（新加坡）,,,,,Ng Chee Meng,Ng Chee Meng,Ng Chee Meng,male,politician,1968-08-08,Ng Chee Meng,,,,,,,,,,,,Category:Ng Chee Meng,"https://upload.wikimedia.org/wikipedia/commons/3/31/Maj_Gen_Ng_Chee_Meng_at_the_Shangri-La_Dialogue,_Singapore_-_20140530.jpg",,,,,,,,,Ng Chee Meng,,,,,,,,Ng Chee Meng,,,,黄志明 (新加坡),,Ng Chee Meng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ng Chee Meng,Ng Chee Meng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
