id,name__fr,name__en,name__nl,name,wikipedia__en,wikipedia__fr,gender,birth_date,original_wikiname,given_name,name__de,name__it,name__sv,name__es,name__hu,wikipedia__sv,name__zh,image,name__en_ca,name__en_gb,occupation,identifier__freebase,death_date,name__cy,name__ln,wikipedia__ln,wikipedia__commons,wikipedia__ru,name__pl,wikipedia__pl,name__ru,wikipedia__pt,name__pt,wikipedia__es,identifier__ISNI,identifier__GTAA,name__ja,identifier__BNF,identifier__CONOR,name__sl,wikipedia__de,wikipedia__nl,name__cs,wikipedia__cs,name__ast,name__la,wikipedia__la,identifier__LCAuth
Q16195146,Jeannette Kavira Mapera,Jeannette Kavira Mapera,,Jeannette Kavira Mapera,Jeannette Kavira Mapera,Jeannette Kavira Mapera,female,1963-04-08,Jeannette Kavira Mapera,Jeannette,Jeannette Kavira Mapera,,,Jeannette Kavira Mapera,,,,,,,politician,,,,,,,,,,,,,,,,,,,Jeannette Kavira Mapera,,,,,Jeannette Kavira Mapera,,,
Q17631305,Juvénal Munubo Mubi,Juvénal Munubo Mubi,Juvenal Munubo,Juvénal Munubo Mubi,Juvenal Munubo,Juvénal Munubo Mubi,male,1979-07-01,Juvenal Munubo,Juvénal,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/ee/Honorable_Juvenal_Munubo_Mubi.jpg,,,politician,,,,,,,,,,,,,,,,,,,Juvenal Munubo,,,,,,,,
Q18019786,Jean-Bertrand Ewanga,Jean-Bertrand Ewanga,Jean-Bertrand Ewanga,Jean-Bertrand Ewanga,Jean-Bertrand Ewanga,Jean-Bertrand Ewanga,male,,Jean-Bertrand Ewanga,Jean,,,,Jean-Bertrand Ewanga,,,,,,,politician,,,,,,,,,,,,,,,,,,,Jean-Bertrand Ewanga,,,,,Jean-Bertrand Ewanga,,,
Q18353237,Aimé Boji Sangara,Aimé Boji,Aimé Boji,Aimé Boji,Aimé Boji,Aimé Boji,male,,Aimé Boji,Aimé,,,,,,,,,Aimé Boji,Aimé Boji,politician,,,,,,,,,,,,,,,,,,,Aimé Boji,,,,,,,,
Q19629165,Zoé Kabila,Zoé Kabila,Zoé Kabila,Zoé Kabila,Zoé Kabila,Zoé Kabila,male,1979-06-26,Zoé Kabila,,,,,,,,,,,,politician,,,,,,,,,,,Zoé Kabila,Zoé Kabila,,,,,,,Zoé Kabila,,,,,Zoé Kabila,,,
Q20740600,Jean-Marie Bamporiki,Jean-Marie Bamporiki,Jean-Marie Bamporiki,Jean-Marie Bamporiki,Jean-Marie Bamporiki,,male,,Jean-Marie Bamporiki,Jean-Marie,,,,Jean-Marie Bamporiki,,,,,,,politician,,,,,,,,,,,,,,,,,,,Jean-Marie Bamporiki,,,,,Jean-Marie Bamporiki,,,
Q20740642,Justin Bitakwira,Justin Bitakwira,Justin Bitakwira,Justin Bitakwira,Justin Bitakwira,,male,,Justin Bitakwira,Justin,,,,Justin Bitakwira,,,,,,,politician,,,,,,,,,,,,,,,,,,,Justin Bitakwira,,,,,Justin Bitakwira,,,
Q20810501,Arome Bigabwa,Arome Bigabwa,Arome Bigabwa,Arome Bigabwa,Arome Bigabwa,,male,1952-03-30,Arome Bigabwa,,,,,Arome Bigabwa,,,,,,,politician,,,,,,,,,,,,,,,,,,,Arome Bigabwa,,,,,Arome Bigabwa,,,
Q20810516,Sam Bokolombe,Sam Bokolombe,Sam Bokolombe,Sam Bokolombe,Sam Bokolombe,,male,,Sam Bokolombe,Sam,,,,Sam Bokolombe,,,,,,,politician,,,,,,,,,,,,,,,,,,,Sam Bokolombe,,,,,Sam Bokolombe,,,
Q20982168,Edouard Kiove Kola,Edouard Kiove Kola,Edouard Kiove Kola,Edouard Kiove Kola,Edouard Kiove Kola,,male,,Edouard Kiove Kola,Edouard,,,,Edouard Kiove Kola,,,,,,,politician,,,,,,,,,,,,,,,,,,,Edouard Kiove Kola,,,,,Edouard Kiove Kola,,,
Q20982169,Eric Katolo,Eric Katolo,Eric Katolo,Eric Katolo,Eric Katolo,,male,,Eric Katolo,Eric,,,,Eric Katolo,,,,,,,politician,,,,,,,,,,,,,,,,,,,Eric Katolo,,,,,Eric Katolo,,,
Q20982172,Claudel-André Lubaya,Claudel Andre Lubaya,Claudel Andre Lubaya,Claudel Andre Lubaya,Claudel Andre Lubaya,Claudel Lubaya,male,"",Claudel Andre Lubaya,,Claudel Andre Lubaya,,,Claudel Andre Lubaya,,,,,,,politician,,,,,,,,,,,,,,,,,,,Claudel Andre Lubaya,,,,,Claudel Lubaya,,,
Q20982173,Jason Luneno,Jason Luneno,Jason Luneno,Jason Luneno,Jason Luneno,,male,,Jason Luneno,Jason,,,,Jason Luneno,,,,,,,politician,,,,,,,,,,,,,,,,,,,Jason Luneno,,,,,Jason Luneno,,,
Q20982179,,Jean-Baudouin Mayo Mambeke,Jean-Baudouin Mayo Mambeke,Jean-Baudouin Mayo Mambeke,Jean-Baudouin Mayo Mambeke,,male,,Jean-Baudouin Mayo Mambeke,Jean,,,,Jean-Baudouin Mayo Mambeke,,,,,,,politician,,,,,,,,,,,,,,,,,,,Jean-Baudouin Mayo Mambeke,,,,,Jean-Baudouin Mayo Mambeke,,,
Q20982180,Crispin Mbindule,Crispin Mbindule,Crispin Mbindule,Crispin Mbindule,Crispin Mbindule,,male,,Crispin Mbindule,Crispin,,,,Crispin Mbindule,,,,,,,politician,,,,,,,,,,,,,,,,,,,Crispin Mbindule,,,,,Crispin Mbindule,,,
Q20982181,Gregoire Mirindi,Gregoire Mirindi,Gregoire Mirindi,Gregoire Mirindi,Gregoire Mirindi,,male,,Gregoire Mirindi,,,,,Gregoire Mirindi,,,,,,,politician,,,,,,,,,,,,,,,,,,,Gregoire Mirindi,,,,,Gregoire Mirindi,,,
Q20982184,Roger Mpanano,Roger Mpanano,Roger Mpanano,Roger Mpanano,Roger Mpanano,,male,,Roger Mpanano,Roger,,,,Roger Mpanano,,,,,,,politician,,,,,,,,,,,,,,,,,,,Roger Mpanano,,,,,Roger Mpanano,,,
Q20982185,Kizito Mushizi,Kizito Mushizi,Kizito Mushizi,Kizito Mushizi,Kizito Mushizi,,male,,Kizito Mushizi,,,,,Kizito Mushizi,,,,,,,politician,,,,,,,,,,,,,,,,,,,Kizito Mushizi,,,,,Kizito Mushizi,,,
Q20982196,Martin Ntenda,Martin Ntenda,Martin Ntenda,Martin Ntenda,Martin Ntenda,,male,,Martin Ntenda,Martin,,,,Martin Ntenda,,,,,,,politician,,,,,,,,,,,,,,,,,,,Martin Ntenda,,,,,Martin Ntenda,,,
Q24539800,Maurice Mpolo,Maurice Mpolo,Maurice Mpolo,Maurice Mpolo,Maurice Mpolo,Maurice Mpolo,male,1928-03-04,Maurice Mpolo,Maurice,,,,Maurice Mpolo,,,,,,,politician,,1961-01-17,,Maurice Mpolo,Maurice Mpolo,,,Maurice Mpolo,Maurice Mpolo,,,,,,,モーリツ・ムポロ,,,Maurice Mpolo,,,,,Maurice Mpolo,,,
Q2980757,Cléophas Kamitatu,Cléophas Kamitatu,Cléophas Kamitatu,Cléophas Kamitatu,Cléophas Kamitatu,Cléophas Kamitatu,male,1931,Cléophas Kamitatu,Cléophas,,,,,,,,,,,politician,,2008-10-12,,,,,"Камитату, Клеофас",,,Клеофас Камитату,,,,0000 0000 7977 7322,116628,,,,Cléophas Kamitatu,,,,,Cléophas Kamitatu,,,no2008024945
Q30070987,Alphonse Songolo,Alphonse Songolo,Alphonse Songolo,Alphonse Songolo,Alphonse Songolo,,male,1927,Alphonse Songolo,Alphonse,,,,Alphonse Songolo,,,,https://upload.wikimedia.org/wikipedia/commons/3/30/Alphonse_Songolo.jpg,,,politician,,1961-02-20,,,,,,,,,,,,,,,,,Alphonse Songolo,,,,,Alphonse Songolo,,,
Q3014233,Daniel Kanza,Daniel Kanza,Daniel Kanza,Daniel Kanza,Daniel Kanza,Daniel Kanza,male,1909,Daniel Kanza,Daniel,,,,Daniel Kanza,,,,,,,politician,,1990,,,,,,,,,,,,,,,,,Daniel Kanza,,,,,Daniel Kanza,,,
Q3163304,Jaynet Kabila,Jaynet Kabila,Jaynet Kabila,Jaynet Kabila,Jaynet Kabila,Jaynet Kabila,female,1971-06-04,Jaynet Kabila,,,,,Jaynet Kabila,,,珍妮特·卡比拉,,,,politician,,,,,,,,,,,Jaynet Kabila,Jaynet Kabila,Jaynet Kabila,,,,,,Jaynet Kabila,,,,,Jaynet Kabila,,,
Q3295417,Martin Fayulu,Martin Fayulu,Martin Fayulu,Martin Fayulu,Martin Fayulu,Martin Fayulu,male,1956-11-21,Martin Fayulu,Martin,Martin Fayulu,,,Martin Fayulu,,,馬丁·法尤魯,https://upload.wikimedia.org/wikipedia/commons/a/a9/Martin_Fayulu.JPG,,,politician,,,,,,Category:Martin Fayulu,,,,,,,Martin Fayulu,,,マルタン・ファユル,,,Martin Fayulu,Martin Fayulu,Martin Fayulu,Martin Fayulu,Martin Fayulu,Martin Fayulu,,,
Q3421171,Raymond Tshibanda,Raymond Tshibanda,Raymond Tshibanda,Raymond Tshibanda,Raymond Tshibanda,Raymond Tshibanda,male,1950-11-20,Raymond Tshibanda,Raymond,Raymond Tshibanda,,,Raymond Tshibanda,,,,https://upload.wikimedia.org/wikipedia/commons/8/86/Raymond_Tshibanda.jpg,,,diplomat,,,,,,Category:Raymond Tshibanda,,,,,,,,,,,,,Raymond Tshibanda,,,,,Raymond Tshibanda,Raimundus Tshibanda,Raimundus Tshibanda,
Q43106474,,Henri-Thomas Lokondo Yoka,Henri-Thomas Lokondo Yoka,Henri-Thomas Lokondo Yoka,Henri-Thomas Lokondo,,male,1955-07-27,Henri-Thomas Lokondo,,,,,Henri-Thomas Lokondo Yoka,,,,,,,politician,,,,,,,,,,,,,,,,,,,Henri-Thomas Lokondo Yoka,,,,,Henri-Thomas Lokondo Yoka,,,
Q5111780,,Christophe Lutundula,Christophe Lutundula,Christophe Lutundula,Christophe Lutundula,,male,,Christophe Lutundula,Christophe,Christophe Lutundula,Christophe Lutundula,,Christophe Lutundula,,,,,,,politician,,,,,,,,,,,,,,,,,,,Christophe Lutundula,,,,,Christophe Lutundula,,,
Q586135,Pierre Pay-Pay wa Syakasighe,Pierre Pay-Pay wa Syakasighe,Pierre Pay-Pay wa Syakasighe,Pierre Pay-Pay wa Syakasighe,Pierre Pay-Pay wa Syakasighe,Pierre Pay-Pay wa Syakasighe,male,1946-07-10,Pierre Pay-Pay wa Syakasighe,Pierre,,,Pierre Pay-Pay wa Syakasighe,Pierre Pay-Pay wa Syakasighe,Pierre Pay-Pay wa Syakasighe,Pierre Pay-Pay wa Syakasighe,,,,,politician,/m/0bgc90,,,,,,,,,,,,,,,,,,Pierre Pay-Pay wa Syakasighe,,,,,Pierre Pay-Pay wa Syakasighe,,,
