id,name__ps,name__fr,name__en,name__de,name__ur,name__es,name__fa,name__nl,name__sd,name,wikipedia__de,wikipedia__en,wikipedia__fa,wikipedia__fr,wikipedia__ps,wikipedia__sd,wikipedia__ur,gender,birth_date,original_wikiname,given_name,wikipedia__enwikiquote,name__it,name__en_gb,identifier__VIAF,name__pnb,wikipedia__pnb,name__ru,name__ar,wikipedia__ar,wikipedia__ru,identifier__freebase,name__bn,name__gu,name__hi,name__id,name__ja,name__ka,name__kn,name__ko,name__ml,name__mr,name__ms,name__sv,name__ta,name__te,name__zh,name__nb,name__pa,name__bg,name__mzn,name__he,name__et,name__fi,name__da,name__tr,name__ne,wikipedia__bg,wikipedia__bn,wikipedia__commons,wikipedia__es,wikipedia__gu,wikipedia__he,wikipedia__hi,wikipedia__id,wikipedia__it,wikipedia__ja,wikipedia__ka,wikipedia__kn,wikipedia__ko,wikipedia__ml,wikipedia__mr,wikipedia__ms,wikipedia__mzn,wikipedia__ne,wikipedia__nl,wikipedia__no,wikipedia__pa,wikipedia__ruwikinews,wikipedia__simple,wikipedia__sv,wikipedia__ta,wikipedia__te,wikipedia__zh,image,identifier__ISNI,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__SUDOC,identifier__IMDB,identifier__Munzinger,identifier__NPG,identifier__FAST,name__mg,wikipedia__mg,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__pl,name__yo,name__vi,name__sh,name__pt,name__th,name__ca,name__uk,name__nn,name__eu,name__lb,name__pam,name__sr,name__eo,name__el,name__io,name__ks,name__cs,name__en_ca,name__pt_br,name__sa,name__mai,name__be,wikipedia__be,wikipedia__ca,wikipedia__cs,wikipedia__da,wikipedia__el,wikipedia__eo,wikipedia__eowikinews,wikipedia__et,wikipedia__eu,wikipedia__fi,wikipedia__io,wikipedia__ks,wikipedia__lb,wikipedia__mai,wikipedia__nn,wikipedia__pam,wikipedia__pl,wikipedia__pt,wikipedia__sa,wikipedia__sh,wikipedia__sr,wikipedia__th,wikipedia__tr,wikipedia__uk,wikipedia__vi,wikipedia__yo,website,identifier__NNDB,facebook,name__az,wikipedia__az,name__oc,name__hu,last_seen,name__sco,wikipedia__sco,wikipedia__plwikiquote,twitter,occupation,name__cy,death_date,identifier__nyt_topic,name__la,wikipedia__la,identifier__quora,wikipedia__hif,name__hif,wikipedia__hr,name__hr,wikipedia__dty,name__dty,name__fo,name__kl,name__bar,name__gl,wikipedia__azb,wikipedia__bcl,wikipedia__fawikiquote,wikipedia__hy,wikipedia__cy,name__azb,name__bcl,name__hy,name__mk,family_name,wikipedia__br,name__be_tarask,name__br,name__lv,wikipedia__lv,wikipedia__uz,name__uz,identifier__Britannica,identifier__GTAA,identifier__OLID,identifier__NTA,wikipedia__wuu,name__wuu,name__tg,name__sl,name__ga,name__ast,wikipedia__ast,wikipedia__ga,wikipedia__gl,wikipedia__sl,identifier__BIBSYS,wikipedia__ckb,wikipedia__urwikiquote,wikipedia__bh,honorific_prefix,wikipedia__af,name__bho,name__af,name__ckb,wikipedia__ie,wikipedia__xmf,name__xmf,name__ie,wikipedia__sat,name__sat
Q10970911,محمود خان اڅکزی,Mahmood Khan Achakzai,Mahmood Khan Achakzai,Mahmood Khan Achakzai,محمود خان اچکزئی,Mahmood Khan Achakzai,,Muhammad Khan Achakzai,,Mahmood Khan Achakzai,,Mahmood Khan Achakzai,,,محمود خان اڅکزی,,محمود خان اچکزئی,male,1948-12-14,Mehmood Khan Achakzai,Muhammed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mahmood Khan Achakzai,,,,,,engineer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muhammad Khan Achakzai,,,,,,,,,,,,,,,,,,,,,
Q13139153,,Khawaja Saad Rafique,Khawaja Saad Rafique,Khawaja Saad Rafique,خواجہ سعد رفیق,Khawaja Saad Rafique,,Khawaja Saad Rafique,,Khawaja Saad Rafique,Khawaja Saad Rafique,Khawaja Saad Rafique,,,,,خواجہ سعد رفیق,male,1962-11-04,Khawaja Saad Rafique,,,,,,خواجہ سعد رفیق,خواجہ سعد رفیق,"Рафик, Хаваджа Саад",,,"Рафик, Хаваджа Саад",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Khawaja Saad Rafique,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Khawaja Saad Rafique,,,,,,,,,,,,,,,,,,,,,
Q134068,نواز شریف,Nawaz Sharif,Nawaz Sharif,Nawaz Sharif,نواز شریف,Nawaz Sharif,نواز شریف,Nawaz Sharif,نواز شريف,Nawaz Sharif,Nawaz Sharif,Nawaz Sharif,نواز شریف,Nawaz Sharif,,نواز شريف,نواز شریف,male,1949-12-25,Nawaz Sharif,,,Nawaz Sharif,Nawaz Sharif,21238372,نواز شریف,نواز شریف,Наваз Шариф,نواز شريف,نواز شريف,"Шариф, Наваз",/m/020t62,নওয়াজ শরীফ,નવાઝ શરીફ,नवाज शरीफ,Nawaz Sharif,ナワーズ・シャリーフ,ნავაზ შარიფი,ನವಾಜ್ ಶರೀಫ್,나와즈 샤리프,നവാസ് ഷെരീഫ്,नवाझ शरीफ,Nawaz Sharif,Nawaz Sharif,நவாஸ் ஷெரீப்,,納瓦茲·謝里夫,Nawaz Sharif,ਨਵਾਜ਼ ਸ਼ਰੀਫ਼,Наваз Шариф,,נוואז שריף,Nawaz Sharif,Nawaz Sharif,Nawaz Sharif,Navaz Şerif,नवाज सरिफ,Наваз Шариф,নওয়াজ শরীফ,,Nawaz Sharif,નવાઝ શરીફ,נוואז שריף,नवाज़ शरीफ़,Nawaz Sharif,Nawaz Sharif,ナワーズ・シャリーフ,ნავაზ შარიფი,ನವಾಜ್ ಶರೀಫ್,나와즈 샤리프,നവാസ് ഷെരീഫ്,नवाझ शरीफ,Nawaz Sharif,,नवाज शरिफ,Nawaz Sharif,Nawaz Sharif,ਨਵਾਜ਼ ਸ਼ਰੀਫ਼,Категория:Наваз Шариф,Nawaz Sharif,Nawaz Sharif,நவாஸ் ஷெரீப்,,納瓦茲·謝里夫,https://upload.wikimedia.org/wikipedia/commons/0/0d/Nawaz_Sharif_January_2015.jpg,0000 0000 7886 0327,138784299,n88186558,,121181030,,,,290200,,,纳瓦兹·谢里夫,納瓦茲·謝里夫,納瓦茲·謝里夫,纳瓦兹·谢里夫,纳瓦兹·谢里夫,納瓦茲·謝里夫,Nawaz Sharif,Nawaz Sharif,Nawaz Sharif,Nawaz Sharif,Nawaz Sharif,นาวาซ ชาริฟ,Nawaz Sharif,Наваз Шариф,Nawaz Sharif,Nawaz Sharif,Nawaz Sharif,Nawaz Sharif,Наваз Шариф,Naŭaz Ŝarif,Ναγουάζ Σαρίφ,Nawaz Sharif,نواز شریف,Naváz Šaríf,Nawaz Sharif,Nawaz Sharif,नवाझ् शरीफ्,नवाज शरिफ,Наваз Шарыф,Наваз Шарыф,Nawaz Sharif,Naváz Šaríf,Nawaz Sharif,Ναγουάζ Σαρίφ,Naŭaz Ŝarif,Kategorio:Nawaz SHARIF,Nawaz Sharif,Nawaz Sharif,Nawaz Sharif,Nawaz Sharif,نواز شریف,Nawaz Sharif,नवाज शरिफ,Nawaz Sharif,Nawaz Sharif,Nawaz Sharif,Nawaz Sharif,नवाझ् शरीफ्,Nawaz Sharif,Наваз Шариф,นาวาซ ชาริฟ,Navaz Şerif,Наваз Шариф,Nawaz Sharif,Nawaz Sharif,,567/000162081,,Nəvaz Şərif,Nəvaz Şərif,,Nawaz Sharif,,Nawaz Sharif,Nawaz Sharif,Nawaz Sharif,,politician,,,person/nawaz-sharif,Nawaz Sharif,Nawaz Sharif,Nawaz-Sharif-2,Nawaz sharif,Nawaz sharif,Nawaz Sharif,Nawaz Sharif,,,,,,,نواز شریف,Nawaz Sharif,نواز شریف,Նավազ Շարիֆ,,نواز شریف,Nawaz Sharif,Նավազ Շարիֆ,,,Nawaz Sharif,,Nawaz Sharif,Navāzs Šarīfs,Navāzs Šarīfs,,,biography/Nawaz-Sharif,135802,,,纳瓦兹·谢里夫,纳瓦兹·谢里夫,,Nawaz Sharif,,,,,,,,,,,,,,,,,,,,,
Q1347631,,Ghulam Ahmad Bilour,Ghulam Ahmad Bilour,Ghulam Ahmad Bilour,غلام احمد بلور,Ghulam Ahmad Bilour,,Ghulam Ahmad Bilour,,Ghulam Ahmad Bilour,Ghulam Ahmad Bilour,Ghulam Ahmad Bilour,,Ghulam Ahmad Bilour,,,غلام احمد بلور,male,1939-12-25,Ghulam Ahmad Bilour,,,,,,,,Гулам Ахмед Билур,حاجي غلام أحمد بلال,حاجي غلام أحمد بلال,"Билур, Гулам Ахмед",/m/03ynfxf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ghulam Ahmad Bilour,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ghulam Ahmad Bilour,,,,,,,,,,,,,,,,,,,,,
Q13534583,,Sardar Ayaz Sadiq,Sardar Ayaz Sadiq,Sardar Ayaz Sadiq,سردار اياز صادق,Sardar Ayaz Sadiq,,Sardar Ayaz Sadiq,,Sardar Ayaz Sadiq,,Ayaz Sadiq,,Ayaz Sadiq,,,سردار ایاز صادق,male,1954-10-17,Ayaz Sadiq,Sardar,,,,,,,"Садик, Сардар",,,"Садик, Сардар",,,,सरदार अयाज़ सादिक़,,サルダル・アヤズ・サディク,,,,,,,,,,,,,,,,,,,,,,,Category:Sardar Ayaz Sadiq,,,,सरदार अयाज़ सादिक़,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/31/Sardar_Ayaz_Sadiq_in_Iran.jpg,,,,,,,,,,,,,,,,,,,,,,Sardar Ayaz Sadiq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sardar Ayaz Sadiq,,,,,,,,,,,,,,,,,,,,,businessperson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sardar Ayaz Sadiq,,,,,,,,,,,,,,,,,,,,,
Q1393209,,Ameen Faheem,Ameen Faheem,Makhdoom Amin Fahim,امین فہیم,Makhdoom Amin Fahim,,Ameen Faheem,مخدوم امين فھيم,Ameen Faheem,Makhdoom Amin Fahim,Ameen Faheem,,Ameen Faheem,,مخدوم امين فھيم,امین فہیم,male,1939-08-04,Ameen Faheem,,,,,,امین فہیم,امین فہیم,,أمين فھيم,أمين فھيم,,/m/0kt56h,,,,,,,,,,,,Makhdoom Amin Fahim,,,,,,,,,,,,,,,,,Makhdoom Amin Fahim,,,,,,,,,,,,,,,,,,,Ameen Faheem,Makhdoom Amin Fahim,,,,https://upload.wikimedia.org/wikipedia/commons/2/2e/Makhdoom_Amin_Faheem_-_Horasis_Global_Arab_Business_Meeting_2012.jpg,,,,,,,,,,,,,,,,,,Makhdoom Amin Fahim,,,,,,Makhdoom Amin Fahim,,,,,,,,,,,,,,,,,,Makhdoom Amin Fahim,,,,,,,,,,,,,,,Makhdoom Amin Fahim,,,,,,,,,,,,,,,,Makhdoom Amin Fahim,,,,,,politician,Ameen Faheem,2015-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ameen Faheem,,,,,,,,,,,,,,,,,,,,,
Q140144,,Zafarullah Khan Jamali,Zafarullah Khan Jamali,Zafarullah Khan Jamali,ظفر اللہ خان جمالی,Zafarullah Khan Jamali,ظفرالله خان جمالی,Zafarullah Khan Jamali,,Zafarullah Khan Jamali,Zafarullah Khan Jamali,Zafarullah Khan Jamali,ظفرالله خان جمالی,Zafarullah Khan Jamali,,,ظفر اللہ خان جمالی,male,1944-01-01,Mir Zafarullah Khan Jamali,,,Zafarullah Khan Jamali,,,,,"Джамали, Зафарулла Хан",مير ظفر الله خان جمالي,مير ظفر الله خان جمالي,"Джамали, Зафарулла Хан",/m/02316n,জাফরুল্লাহ খান জামালি,,मीर ज़फ़रुल्लाह ख़ान जमाली,Zafarullah Khan Jamali,ザファルッラー・カーン・ジャマーリー,,,자파룰라 칸 자말리,,,Zafarullah Khan Jamali,,,,扎法魯拉·汗·賈邁利,,,,,,,,,Zaferullah Han Cemali,,,,Category:Mir Zafarullah Khan Jamali,,,,मीर ज़फ़रुल्लाह ख़ान जमाली,Zafarullah Khan Jamali,Zafarullah Khan Jamali,ザファルッラー・カーン・ジャマーリー,,,자파룰라 칸 자말리,,,Zafarullah Khan Jamali,,,,,,,Zafarullah Khan Jamali,,,,扎法魯拉·汗·賈邁利,https://upload.wikimedia.org/wikipedia/commons/f/ff/Zafarullah_Khan_Jamali.jpg,,,,,,,,,,,,,,,,,,,Zafarullah Khan Jamali,,,Zafarullah Khan Jamali,,Zafarullah Khan Jamali,,,,,,,,,Zafarullah Khan Jamali,ظفر اللہ خان جمالی,,,,,,Зафарула Хан Джамалі,Зафарула Хан Джамалі,,,,,,,,,,Zafarullah Khan Jamali,ظفر اللہ خان جمالی,,,,,,Zafarullah Khan Jamali,,,,,Zaferullah Han Cemali,,,Zafarullah Khan Jamali,,,,,,Zafarullah Khan Jamali,Zafarullah Khan Jamali,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zafarullah Khan Jamali,,,,,,,,,,,,,,,,,,,,,
Q1521977,,Ghulam Noor Rabbani Khar,Ghulam Noor Rabbani Khar,Ghulam Noor Rabbani Khar,,Ghulam Noor Rabbani Khar,,Ghulam Noor Rabbani Khar,,Ghulam Noor Rabbani Khar,Ghulam Noor Rabbani Khar,Ghulam Noor Rabbani Khar,,,,,,male,"",Ghulam Noor Rabbani Khar,,,,,,,,,,,,/m/04yf8lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ghulam Noor Rabbani Khar,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ghulam Noor Rabbani Khar,,,,,,,,,,,,,,,,,,,,,
Q1543422,,Shah Mehmood Qureshi,Makhdoom Shah Mahmood Hussain Qureshi,Shah Mehmood Qureshi,مخدوم شاہ محمود حسین قريشی,Shah Mehmood Qureshi,,Shah Mehmood Qureshi,,Makhdoom Shah Mahmood Hussain Qureshi,Shah Mehmood Qureshi,Shah Mehmood Qureshi,,Shah Mehmood Qureshi,,,شاہ محمود قریشی,male,1956-06-22,Shah Mehmood Qureshi,,,,,,شاه محمود قریشی,شاه محمود قریشی,"Куреши, Шах Мехмуд",,,"Куреши, Шах Мехмуд",/m/03qmjfk,,,,,シャー・メムード・クレシ,,,,,,,,,,沙阿·迈赫穆德·库雷希,,,,,,,,,Şah Mahmud Kureyşi,,,,Category:Shah Mehmood Qureshi,,,,,,,,,,,,,,,,,,,,,,,,沙阿·迈赫穆德·库雷希,https://upload.wikimedia.org/wikipedia/commons/9/9f/Shah_Mehmood_Qureshi_-_2011_(cropped).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Şah Mahmud Kureyşi,,,,,,,Şah Mahmud Qureyşi,Şah Mahmud Qureyşi,,Shah Mehmood Qureshi,,,,,SMQureshiPTI,politician,,,,Shah Mehmood Qureshi,Shah Mehmood Qureshi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shah Mehmood Qureshi,,,,,,,,,,,,,,,,,,,,,
Q155164,عمران خان,Imran Khan,Imran Khan,Imran Khan,عمران احمد خان نیازی,Imran Khan,عمران خان,Imran Khan,عمران خان,Imran Khan,Imran Khan,Imran Khan,عمران خان,Imran Khan,عمران خان,عمران خان,عمران خان,male,1952-10-05,Imran Khan,Imran,,Imran Khan,,225933538,عمران خان,عمران خان,Имран Хан,عمران خان,عمران خان,"Хан, Имран",/m/025cj4,ইমরান খান,ઇમરાન ખાન,इमरान ख़ान,Imran Khan Niazi,イムラン・カーン,იმრან ხანი,ಇಮ್ರಾನ್ ಖಾನ್,임란 칸,ഇമ്രാൻ ഖാൻ,इम्रान खान,Imran Khan,Imran Khan,இம்ரான் கான்,ఇమ్రాన్ ఖాన్ నియాజి,伊姆蘭·罕,Imran Khan,ਇਮਰਾਨ ਖਾਨ,Имран Хан,عمران خان,אימראן חאן,Imran Khan,Imran Khan,Imran Khan,Imran Khan,इमरान खान,Имран Хан,ইমরান খান,Imran Khan,Imran Khan,ઇમરાન ખાન,אימראן חאן,इमरान ख़ान,Imran Khan,Imran Khan (politico),イムラン・カーン,იმრან ხანი,ಇಮ್ರಾನ್ ಖಾನ್,임란 칸,ഇമ്രാൻ ഖാൻ (ക്രിക്കറ്റ് താരം),इम्रान खान,Imran Khan,عمران خان,इमरान खान,Imran Khan,Imran Khan,ਇਮਰਾਨ ਖ਼ਾਨ,Категория:Имран Хан,Imran Khan,Imran Khan,இம்ரான் கான்,ఇమ్రాన్ ఖాన్ నియాజి,伊姆蘭·汗,https://upload.wikimedia.org/wikipedia/commons/9/93/Imran_Khan_-_portrait_(cropped).jpg,0000 0001 1576 2209,118984454,n83301630,14903420q,171622693,,00000022071,mp83634,1757504,,,,,,,,,Imran Khan,,Imran Khan,,,,,Імран Хан,,,Imran Khan,,,,,,,Imran Chán,,,,इमरान खान,,,,Imran Chán,,,,,,,Imran Khan (poliitikko),,,Imran Khan,इमरान खान,,,Imran Khan,,,,,,İmran Han,Імран Хан,Imran Khan (Chính trị gia),,,,,İmran Xan,İmran Xan,,Imran Hán,,,,,,politician,,,person/imran-khan,Imran Khan,Imran Khan,Imran-Khan-Pakistani-politician,,,,,इमरान खान,इमरान खान,,,,Imran Khan,,,عمران خان,Իմրան Խան,,,,Իմրան Խան,,Khan,,,,Imrāns Hāns,Imrāns Hāns,,,biography/Imran-Khan,232984,OL798680A,075144190,伊姆兰·汗,伊姆兰·汗,,Imran Han,Imran Khan,Imran Khan,Imran Khan,Imran Khan,Imran Khan,Imran Han,13004457,عیمران خان,عمران خان,इमरान ख़ान,Excellency,Imran Khan,इमरान ख़ान,Imran Khan,عیمران خان,,,,,ᱤᱢᱨᱟᱱ ᱠᱷᱟᱱ,ᱤᱢᱨᱟᱱ ᱠᱷᱟᱱ
