id,name,email,image,birth_date,birth_place,website,identifier__kuvendi
13407,Vexhi Muçmataj,vexhi.mucmataj@parlament.al,https://www.parlament.al/wp-content/uploads/sites/4/2016/01/Vexhi-Mu--mataj-PS.jpg,,,https://www.parlament.al/deputet/vexhi-mucmataj/,13407
13419,Luan Rama,luan.rama@parlament.al,https://www.parlament.al/wp-content/uploads/sites/4/2016/01/Luan-Rama-LSI.jpg,,,https://www.parlament.al/deputet/luan-rama/,13419
13433,Omer Mamo,omer.mamo@parlament.al,https://www.parlament.al/wp-content/uploads/sites/4/2016/01/Omer-Mamo-PDIU.jpg,,,https://www.parlament.al/deputet/omer-mamo/,13433
13486,Keltis Kruja,keltis.kruja@parlament.al,https://www.parlament.al/wp-content/uploads/sites/4/2016/01/Keltis-Kruja-PD.jpg,,,https://www.parlament.al/deputet/keltis-kruja/,13486
13496,Pjerin Ndreu,pjerin.ndreu@parlament.al,https://www.parlament.al/wp-content/uploads/sites/4/2016/01/Pjerin-Ndreu-PS.jpg,,,https://www.parlament.al/deputet/pjerin-ndreu/,13496
13571,Mhill Fufi,mhill.fufi@parlament.al,https://www.parlament.al/wp-content/uploads/sites/4/2016/01/Mehill-Fufi-PR.jpg,,,https://www.parlament.al/deputet/mhill-fufi/,13571
13629,Kejdi Mehmetaj,kejdi.mehmetaj@parlament.al,https://www.parlament.al/wp-content/uploads/sites/4/2016/01/Kejdi-Mehmetaj-LSI.jpg,,,https://www.parlament.al/deputet/kejdi-mehmetaj/,13629
13660,Ylli Ziçishti,ylli.zicishti@parlament.al,https://www.parlament.al/wp-content/uploads/sites/4/2016/01/Ylli-Zicishti-PS.jpg,,,https://www.parlament.al/deputet/ylli-zicishti/,13660
13664,Koço Kokëdhima,koco.kokedhima@parlament.al,https://www.parlament.al/wp-content/uploads/sites/4/2016/01/Koco-Kokedhima-PS.jpg,,,https://www.parlament.al/deputet/koco-kokedhima/,13664
13688,Luljeta Arapi,luljeta.arapi@parlament.al,https://www.parlament.al/wp-content/uploads/sites/4/2016/01/Luljeta-Arapi-PS.jpg,,,https://www.parlament.al/deputet/luljeta-arapi/,13688
14952,Mirela Ferracaku,mirela.ferracaku@parlament.al,https://www.parlament.al/wp-content/uploads/sites/4/2016/01/Mirela-Ferracaku-PS.jpg,,,https://www.parlament.al/deputet/mirela-ferracaku/,14952
9550,Sadri Abazi,sadri.abazi@parlament.al,https://www.parlament.al/wp-content/uploads/sites/4/2015/12/Sadri-Abazi-PS.jpg,1957-02-10,Dibër,https://www.parlament.al/deputet/sadri-abazi/,9550
9556,Taulant Balla,taulant.balla@parlament.al,https://www.parlament.al/wp-content/uploads/sites/4/2016/01/Taulant-Balla-PS.jpg,1977-08-12,Librazhd,https://www.parlament.al/deputet/taulant-balla/,9556
9560,Gentian Bejko,gentian.bejko@parlament.al,https://www.parlament.al/wp-content/uploads/sites/4/2015/12/Gentian-Bejko-PS.jpg,1973-09-09,"",https://www.parlament.al/deputet/gentian-bejko-2/,9560
9562,Sali Berisha,sali.berisha@parlament.al,https://www.parlament.al/wp-content/uploads/sites/4/2015/12/Sali-Berisha-PD.jpg,,"",https://www.parlament.al/deputet/sali-berisha/,9562
9564,Robert Bitri,robert.bitri@parlament.al,https://www.parlament.al/wp-content/uploads/sites/4/2015/12/Robert-Bitri-LSI-1.jpg,,"",https://www.parlament.al/deputet/robert-bitri/,9564
9572,Luçiano Boçi,luciano.boc@parlament.al,https://www.parlament.al/wp-content/uploads/sites/4/2015/12/Luciano-Boci-PD.jpg,1967-03-26,Elbasan,https://www.parlament.al/deputet/luciano-boci/,9572
9574,Ridvan Bode,ridvan.bode@parlament.al,https://www.parlament.al/wp-content/uploads/sites/4/2015/12/Ridvan-Bode-PD.jpg,1959-06-26,Korçë,https://www.parlament.al/deputet/ridvan-bode/,9574
9578,Gerti Bogdani,gerti.bogdani@parlament.al,https://www.parlament.al/wp-content/uploads/sites/4/2015/12/Gerti-Bogdani-PD.jpg,1980-07-07,Tiranë,https://www.parlament.al/deputet/gerti-bogdani/,9578
9585,Spartak Braho,spartak.braho@parlament.al,https://www.parlament.al/wp-content/uploads/sites/4/2015/12/Spartak-Braho-LSI.jpg,1951-07-17,Durrës,https://www.parlament.al/deputet/spartak-braho/,9585
9588,Majlinda Bregu,majlinda.bregu@parlament.al,https://www.parlament.al/wp-content/uploads/sites/4/2015/12/Majlinda-Bregu-PD.jpg,1974-05-19,Tiranë,https://www.parlament.al/deputet/majlinda-bregu/,9588
9593,Helidon Bushati,helidon.bushati@parlament.al,https://www.parlament.al/wp-content/uploads/sites/4/2015/12/Helidon-Bushati-PD.jpg,1973-04-08,Shkodër,https://www.parlament.al/deputet/helidon-bushati/,9593
9602,Oerd Bylykbashi,oerd.bylykbashi@parlament.al,https://www.parlament.al/wp-content/uploads/sites/4/2015/12/Oerd-Bylykbashi-PD.jpg,1974-05-23,Durrës,https://www.parlament.al/deputet/oerd-bylykbashi-2/,9602
9604,Gjovalin Bzheta,gjovalin.bzheta@parlament.al,https://www.parlament.al/wp-content/uploads/sites/4/2015/12/Gjovalin-Bzheta-PR.jpg,1967-08-21,Shkodër,https://www.parlament.al/deputet/gjovalin-bzhetaj/,9604
9606,Silva Caka,silva.caka@parlament.al,https://www.parlament.al/wp-content/uploads/sites/4/2015/12/Silva-Caka-LSI.jpg,1987-12-25,Çorovodë,https://www.parlament.al/deputet/silva-caka-2/,9606
9608,Shkëlqim Cani,shkelqim.cani@parlament.al,https://www.parlament.al/wp-content/uploads/sites/4/2015/12/Shkelqim-Cani-PS.jpg,1956-05-06,Tiranë,https://www.parlament.al/deputet/shkelqim-cani-2/,9608
9610,Igli Cara,igli.cara@parlament.al,https://www.parlament.al/wp-content/uploads/sites/4/2015/12/Igli-Cara-PD.jpg,1969-03-16,Durrës,https://www.parlament.al/deputet/igli-cara-2/,9610
9612,Parid Cara,parid.cara@parlament.al,https://www.parlament.al/wp-content/uploads/sites/4/2015/12/Parid-Cara-PS.jpg,1976-09-11,Kavajë,https://www.parlament.al/deputet/parid-cara/,9612
9624,Kozma Dashi,kozma.dashi@parlament.al,https://www.parlament.al/wp-content/uploads/sites/4/2015/12/Kozma-Dashi-PD.jpg,1953-07-27,Fier,https://www.parlament.al/deputet/kozma-dashi/,9624
9635,Mesila Doda,mesila.doda@parlament.al,https://www.parlament.al/wp-content/uploads/sites/4/2015/12/Mesila-Doda-NG.jpg,1971-02-16,Kukës,https://www.parlament.al/deputet/mesila-doda/,9635
