id,name,email,image,birth_date,birth_place,website,identifier__kuvendi
13390,Alfred Peza,alfred.peza@parlament.al,https://www.parlament.al/wp-content/uploads/2016/01/Alfred-Peza-PS.jpg,,,https://www.parlament.al/deputet/alfred-peza/,13390
13400,Anduel Xhindi,anduel.xhindi@parlament.al,https://www.parlament.al/wp-content/uploads/2016/01/Anduel-Xhindi-PS.jpg,,,https://www.parlament.al/deputet/anduel-xhindi/,13400
13404,Blerina Gjylameti,blerina.gjylameti@parlament.al,https://www.parlament.al/wp-content/uploads/2016/01/Blerina-Gjylameti-PS.jpg,,,https://www.parlament.al/deputet/blerina-gjylameti/,13404
13407,Vexhi Muçmataj,vexhi.mucmataj@parlament.al,https://www.parlament.al/wp-content/uploads/sites/4/2016/01/Vexhi-Mu--mataj-PS.jpg,,,https://www.parlament.al/deputet/vexhi-mucmataj/,13407
13419,Luan Rama,luan.rama@parlament.al,https://www.parlament.al/wp-content/uploads/sites/4/2016/01/Luan-Rama-LSI.jpg,,,https://www.parlament.al/deputet/luan-rama/,13419
13432,Aqif Rakipi,aqif.rakipi@parlament.al,https://www.parlament.al/wp-content/uploads/2016/01/Aqif-Rakipi-PDIU.jpg,,,https://www.parlament.al/deputet/aqif-rakipi/,13432
13433,Omer Mamo,omer.mamo@parlament.al,https://www.parlament.al/wp-content/uploads/sites/4/2016/01/Omer-Mamo-PDIU.jpg,,,https://www.parlament.al/deputet/omer-mamo/,13433
13447,Blendi Klosi,blendi.klosi@parlament.al,https://www.parlament.al/wp-content/uploads/2016/01/Blendi-Klosi-PS.jpg,,,https://www.parlament.al/deputet/blendi-klosi/,13447
13469,Ervin Bushati,ervin.bushati@parlament.al,https://www.parlament.al/wp-content/uploads/2016/01/Ervin-Bushati-PS.jpg,,,https://www.parlament.al/deputet/ervin-bushati/,13469
13484,Anila Agalliu,anila.agalliu@parlament.al,https://www.parlament.al/wp-content/uploads/2016/01/1-3.jpg,,,https://www.parlament.al/deputet/anila-agalliu/,13484
13486,Keltis Kruja,keltis.kruja@parlament.al,https://www.parlament.al/wp-content/uploads/sites/4/2016/01/Keltis-Kruja-PD.jpg,,,https://www.parlament.al/deputet/keltis-kruja/,13486
13496,Pjerin Ndreu,pjerin.ndreu@parlament.al,https://www.parlament.al/wp-content/uploads/sites/4/2016/01/Pjerin-Ndreu-PS.jpg,,,https://www.parlament.al/deputet/pjerin-ndreu/,13496
13571,Mhill Fufi,mhill.fufi@parlament.al,https://www.parlament.al/wp-content/uploads/sites/4/2016/01/Mehill-Fufi-PR.jpg,,,https://www.parlament.al/deputet/mhill-fufi/,13571
13629,Kejdi Mehmetaj,kejdi.mehmetaj@parlament.al,https://www.parlament.al/wp-content/uploads/sites/4/2016/01/Kejdi-Mehmetaj-LSI.jpg,,,https://www.parlament.al/deputet/kejdi-mehmetaj/,13629
13637,Eduard Selami,eduard.selami@parlament.al,https://www.parlament.al/wp-content/uploads/2016/01/Eduard-Selami-PD.jpg,,,https://www.parlament.al/deputet/eduard-selami/,13637
13646,Enkelejda Shkreli,enkelejda.shkreli@parlament.al,https://www.parlament.al/wp-content/uploads/2016/01/Enkelejda-Shkreli-PS.jpg,,,https://www.parlament.al/deputet/enkelejda-shkreli/,13646
