id,name,name__de,name__en,name__pt,name__fr,name__nl,name__sl,wikipedia__de,gender,birth_date,occupation,original_wikiname,name__it,wikipedia__en,given_name,identifier__VIAF,identifier__LCAuth,identifier__ISNI,name__fi,wikipedia__fi,name__ca,name__pl,wikipedia__ca,wikipedia__pl,death_date,wikipedia__commons,wikipedia__fr,image,identifier__PTBNP,name__ru,name__es,name__hu,wikipedia__it,wikipedia__pt,wikipedia__ru,wikipedia__simple,identifier__freebase,identifier__FAST,identifier__GND,identifier__NTA,identifier__GTAA,name__tr,name__zh,name__vi,name__ja,name__la,name__da,name__sr,wikipedia__es,wikipedia__la,wikipedia__sr,wikipedia__tr,wikipedia__vi,wikipedia__zh,name__ko,wikipedia__ko,family_name,name__nb,name__sv,wikipedia__sv,name__zh_hant,name__zh_hans,name__ast,wikipedia__he,name__he
Q1438841,Sebastião Marcos Mabote,Sebastião Marcos Mabote,Sebastião Marcos Mabote,Sebastião Marcos Mabote,,Sebastião Marcos Mabote,,Sebastião Marcos Mabote,male,1941-05-18,politician,,,,Sebastião,,,,,,,,,,2001-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1893287,Marcelino dos Santos,Marcelino dos Santos,Marcelino dos Santos,Marcelino dos Santos,Marcelino dos Santos,Marcelino dos Santos,Marcelino dos Santos,Marcelino dos Santos,male,1929-05-20,politician,,Marcelino dos Santos,Marcelino dos Santos,Marcelino,72869297,n86043144,0000 0000 7695 2965,Marcelino dos Santos,Marcelino dos Santos,Marcelino dos Santos,,Marcelino dos Santos,,,Category:Marcelino dos Santos,Marcelino dos Santos,https://upload.wikimedia.org/wikipedia/commons/b/bb/Marcelino_dos_Santos_1975.jpg,,"Сантуш, Марселину душ",Marcelino dos Santos,Marcelino dos Santos,Marcelino dos Santos,Marcelino dos Santos,"Сантуш, Марселину душ",Marcelino dos Santos,/m/03gsg41,226404,1105866645,332031101,149385,,,,,,,,,,,,,,,,,,,,馬塞利諾·多斯桑托斯,马塞利诺·多斯桑托斯,Marcelino dos Santos,,
Q19057400,Carlos Agostinho do Rosário,Carlos Agostinho do Rosário,Carlos Agostinho do Rosário,Carlos Agostinho do Rosário,Carlos Agostinho do Rosário,Carlos Agostinho do Rosário,Carlos Agostinho do Rosário,Carlos Agostinho do Rosário,male,1954-10-26,politician,,Carlos Agostinho do Rosário,Carlos Agostinho do Rosário,Carlos,2153182616426790297,,,Carlos Agostinho do Rosário,Carlos Agostinho do Rosário,Carlos Agostinho do Rosário,Carlos Agostinho do Rosário,Carlos Agostinho do Rosário,Carlos Agostinho do Rosário,,,Carlos Agostinho do Rosário,https://upload.wikimedia.org/wikipedia/commons/5/54/Carlos_Agostinho_do_Rosário.jpg,,"Росариу, Карлуш Агостиньо ду",Carlos Agostinho do Rosário,Carlos Agostinho do Rosário,Carlos Agostinho do Rosário,Carlos Agostinho do Rosário,"Росариу, Карлуш Агостиньо ду",,,,1162501901,,,Carlos Agostinho do Rosário,卡洛斯·多羅薩里奧,Carlos Agostinho do Rosário,カルロス・アゴスティーニョ・ド・ロザーリオ,Carolus Augustinus do Rosário,Carlos Agostinho do Rosário,Карлос Агостињо до Росарио,Carlos Agostinho do Rosário,Carolus Augustinus do Rosário,Карлос Агостињо до Росарио,Carlos Agostinho do Rosário,Carlos Agostinho do Rosário,卡洛斯·多羅薩里奧,,,,,Carlos Agostinho do Rosário,,,,Carlos Agostinho do Rosário,קרלוש אגושטיניו דו רוזאריו,קרלוס אגושטיניו דו רוזאריו
Q19613993,Ivone Soares,Ivone Soares,Ivone Soares,Ivone Soares,Ivone Soares,Ivone Soares,Ivone Soares,Ivone Soares,female,1979-10-23,politician,,Ivone Soares,Ivone Soares,Ivone,,,,,,,,,,,,Ivone Soares,https://upload.wikimedia.org/wikipedia/commons/a/a3/Ivone_Soares_in_Maputo_Mozambique.jpg,,,Ivone Soares,,,Ivone Soares,,,,,,,,,,,,,,,,,,,,,이보느 소아르스,이보느 소아르스,Soares,,,,,,Ivone Soares,,
Q2133237,Raul Domingos,Raul Domingos,Raul Domingos,Raul Domingos,Raul Domingos,Raul Domingos,Raul Domingos,Raul Domingos,male,"",politician,,,Raul Domingos,Raul,,,,,,,,,,,,,,,,Raul Domingos,Raul Domingos,,Raul Domingos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raul Domingos,,
Q27220074,Nyeleti Mondlane,Nyeleti Mondlane,Nyeleti Mondlane,Nyeleti Mondlane,Nyeleti Mondlane,Nyeleti Mondlane,Nyeleti Mondlane,Nyeleti Mondlane,female,1962-01-17,anthropologist,,,,,,,,,,,,,,,,,,,,Nyeleti Mondlane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nyeleti Mondlane,,
Q4711973,Alberto Chipande,Alberto Chipande,Alberto Chipande,Alberto Chipande,Alberto Chipande,Alberto Chipande,Alberto Chipande,,male,1939-10-10,politician,,Alberto Chipande,Alberto Chipande,Alberto,,,,,,Alberto Chipande,Alberto Chipande,Alberto Chipande,Alberto Chipande,,,,,,,Alberto Chipande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alberto Chipande,,
Q4739019,Amade Camal,Amade Camal,Amade Camal,Amade Camal,Amade Camal,Amade Camal,Amade Camal,,male,1956,politician,,Amade Camal,Amade Camal,,,,,,,,,,,,,,,,,Amade Camal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amade Camal,,
Q5340644,Eduardo Joaquim Mulémbwè,Eduardo Joaquim Mulémbwè,Eduardo Joaquim Mulémbwè,Eduardo Joaquim Mulémbwè,Eduardo Joaquim Mulémbwè,Eduardo Joaquim Mulémbwè,Eduardo Joaquim Mulémbwè,,male,,politician,,,Eduardo Joaquim Mulémbwè,Eduardo,,,,Eduardo Joaquim Mulémbwè,Eduardo Joaquim Mulémbwè,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eduardo Joaquim Mulémbwè,,
Q5398931,Esperança Bias,Esperança Bias,Esperança Bias,Esperança Bias,Esperança Bias,Esperança Bias,Esperança Bias,Esperança Bias,female,1958-07-28,politician,,,Esperança Bias,Esperança,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Esperança Bias,,
