id,name,sort_name,given_name,family_name,party,party_id,area,start_date,end_date,email,twitter,term,source
171,Ernesto Aguiar,"Aguiar Rodríguez, Ernesto",Ernesto,Aguiar Rodríguez,PP,1,Santa Cruz de Tenerife,2011-12-01,,"","",10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D171&idLegislatura=10
349,Amparo Ferrando,"Ferrando Sendra, Amparo",Amparo,Ferrando Sendra,PP,1,Alicante,2011-12-12,,amparo.ferrando@congreso.es,"",10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D349&idLegislatura=10
276,José Eugenio Azpiroz,"Azpiroz Villar, José Eugenio",José Eugenio,Azpiroz Villar,PP,1,Gipuzkoa,2011-12-05,,"","",10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D276&idLegislatura=10
344,Esperança Esteve,"Esteve Ortega, Esperança",Esperança,Esteve Ortega,PSC-PSOE,7,Barcelona,2011-12-12,,eesteve@congreso.es,https://twitter.com/eesteveortega,10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D344&idLegislatura=10
4,María de la O Ares,"Ares Martínez-Fortún, María de la O",María de la O,Ares Martínez-Fortún,PP,1,Illes Balears,2011-11-28,,maria.ares@congreso.es,https://twitter.com/,10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D4&idLegislatura=10
275,Joan Baldoví,"Baldoví Roda, Joan",Joan,Baldoví Roda,COMPROMÍS-Q,10,Valencia,2011-12-05,,joan.baldovi@congreso.es,https://twitter.com/joanbaldovi,10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D275&idLegislatura=10
357,Paloma García,"García Gálvez, Paloma",Paloma,García Gálvez,PP,1,Málaga,2012-01-10,2012-06-25,"","",10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/DiputadosLegFechas?_piref73_2496079_73_2496068_2496068.next_page=%2Fwc%2FfichaDiputado&idDiputado=357
35,Miguel Arias,"Arias Cañete, Miguel",Miguel,Arias Cañete,PP,1,Madrid,2011-11-29,,"","",10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D35&idLegislatura=10
246,Josu Iñaki Erkoreka,"Erkoreka Gervasio, Josu Iñaki",Josu Iñaki,Erkoreka Gervasio,EAJ-PNV,11,Bizkaia,2011-12-02,2012-12-17,"","",10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/DiputadosLegFechas?_piref73_2496079_73_2496068_2496068.next_page=%2Fwc%2FfichaDiputado&idDiputado=246
355,Rogelio Araújo,"Araújo Gil, Rogelio",Rogelio,Araújo Gil,PP,1,Illes Balears,2012-01-10,,"","",10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D355&idLegislatura=10
93,José María Beneyto,"Beneyto Pérez, José María",José María,Beneyto Pérez,PP,1,Cuenca,2011-11-29,,https://twitter.com/@JM_Beneyto,https://twitter.com/,10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D93&idLegislatura=10
84,Conrado Escobar,"Escobar Las Heras, Conrado",Conrado,Escobar Las Heras,PP,1,La Rioja,2011-11-29,,conrado.escobar@congreso.es,https://twitter.com/conrado_escobar,10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D84&idLegislatura=10
193,Martí Barberà,"Barberà i Montserrat, Martí",Martí,Barberà i Montserrat,CiU,9,Tarragona,2011-12-01,,marti.barbera@congreso.es,https://twitter.com/Marti_Barbera,10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D193&idLegislatura=10
187,José Antonio Alonso,"Alonso Suárez, José Antonio",José Antonio,Alonso Suárez,PSOE,5,León,2011-12-01,2012-12-21,"","",10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/DiputadosLegFechas?_piref73_2496079_73_2496068_2496068.next_page=%2Fwc%2FfichaDiputado&idDiputado=187
252,Manuel María Chaves,"Chaves González, Manuel María",Manuel María,Chaves González,PSOE,5,Cádiz,2011-12-02,,manuel.chaves@congreso.es,"",10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D252&idLegislatura=10
310,José María Benegas,"Benegas Haddad, José María",José María,Benegas Haddad,PSOE,5,Bizkaia,2011-12-07,,"",https://twitter.com/benegas_jose,10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D310&idLegislatura=10
70,Alberto Garzón,"Garzón Espinosa, Alberto",Alberto,Garzón Espinosa,IZQ-PLU,16,Málaga,2011-11-29,,alberto.garzon@congreso.es,https://twitter.com/agarzon,10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D70&idLegislatura=10
68,María Caridad García,"García Álvarez, María Caridad",María Caridad,García Álvarez,IZQ-PLU,16,Madrid,2011-11-29,,caridad.garcia@congreso.es,https://twitter.com/caridad268,10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D68&idLegislatura=10
140,Ignacio Cosidó,"Cosidó Gutiérrez, Ignacio",Ignacio,Cosidó Gutiérrez,PP,1,Palencia,2011-11-30,2012-01-02,"","",10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/DiputadosLegFechas?_piref73_2496079_73_2496068_2496068.next_page=%2Fwc%2FfichaDiputado&idDiputado=140
341,Xabier Mikel Errekondo,"Errekondo Saltsamendi, Xabier Mikel",Xabier Mikel,Errekondo Saltsamendi,AMAIUR,2,Gipuzkoa,2011-12-12,,xabier.errekondo@congreso.es,"",10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D341&idLegislatura=10
182,Antonio Gallego,"Gallego Burgos, Antonio",Antonio,Gallego Burgos,PP,1,Barcelona,2011-12-01,,pp@elprat.cat,"",10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D182&idLegislatura=10
21,Antonio Gutiérrez,"Gutiérrez Molina, Antonio",Antonio,Gutiérrez Molina,PP,1,Melilla,2011-11-28,,antonio.gutierrez@congreso.es,https://twitter.com/Antoniodiputado,10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D21&idLegislatura=10
121,María Concepción Gutiérrez,"Gutiérrez del Castillo, María Concepción",María Concepción,Gutiérrez del Castillo,PSOE,5,Jaén,2011-11-30,,concha.gutierrez@congreso.es,https://twitter.com/ConchaGutierrez,10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D121&idLegislatura=10
19,Vicente Guillén,"Guillén Izquierdo, Vicente",Vicente,Guillén Izquierdo,PSOE,5,Teruel,2011-11-28,,vicente.guillen@congreso.es,https://twitter.com/vicenteguilleni,10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D19&idLegislatura=10
137,Soledad Cabezón,"Cabezón Ruiz, Soledad",Soledad,Cabezón Ruiz,PSOE,5,Sevilla,2011-11-30,,scabezonruiz@congreso.es,https://twitter.com/SoledadCabezon,10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D137&idLegislatura=10
339,Sabino Cuadra,"Cuadra Lasarte, Sabino",Sabino,Cuadra Lasarte,AMAIUR,2,Navarra,2011-12-12,,sabino.cuadra@congreso.es,"",10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D339&idLegislatura=10
56,Alfonso Candón,"Candón Adán, Alfonso",Alfonso,Candón Adán,PP,1,Cádiz,2011-11-29,,"",https://twitter.com/AlfonsoCandon,10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D56&idLegislatura=10
45,Álvaro Anchuelo,"Anchuelo Crego, Álvaro",Álvaro,Anchuelo Crego,UPyD,3,Madrid,2011-11-29,,secretaria.upyd@congreso.es,https://twitter.com/aanchuelo,10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D45&idLegislatura=10
225,José María Alonso,"Alonso Ruiz, José María",José María,Alonso Ruiz,PP,1,Cantabria,2011-12-02,,josemariaalonsoruiz@hotmail.com,https://twitter.com/chemaalonsor,10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D225&idLegislatura=10
219,Carles Campuzano,"Campuzano i Canadés, Carles",Carles,Campuzano i Canadés,CiU,9,Barcelona,2011-12-01,,carles.campuzano@gmail.com,https://twitter.com/carlescampuzano,10,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=%2Fwc%2FfichaDiputado%3FidDiputado%3D219&idLegislatura=10
