iddiputado,name,sort_name,given_name,family_name,gender,party,faction_id,faction,source,dob,term,start_date,end_date,email,twitter,facebook,phone,fax,constituency,photo,id
,Manuel María Chaves González,"Chaves González, Manuel María",Manuel María,Chaves González,male,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=252&idLegislatura=10,,10,,,"","","","","",Cádiz,"",0_122
,Alfonso Guerra González,"Guerra González, Alfonso",Alfonso,Guerra González,male,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=76&idLegislatura=10,,10,,,"","","","","",Sevilla,"",0_151
,José María Benegas Haddad,"Benegas Haddad, José María",José María,Benegas Haddad,male,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=310&idLegislatura=10,,10,,,"","","","","",Bizkaia,"",0_299
,María Ascensión Figueres Górriz,"Figueres Górriz, María Ascensión",María Ascensión,Figueres Górriz,female,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=10&idLegislatura=10,,10,,,"","","","","",Castellón,"",10_10
,Luis López Jiménez,"López Jiménez, Luis",Luis,López Jiménez,male,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=100&idLegislatura=10,,10,,,"","","","","",Almería,"",10_100
,Susana Sumelzo Jordán,"Sumelzo Jordán, Susana",Susana,Sumelzo Jordán,female,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=10&idDiputado=102,,10,,,"","","","","",Zaragoza,"",10_102
,Félix Lavilla Martínez,"Lavilla Martínez, Félix",Félix,Lavilla Martínez,male,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=103&idLegislatura=10,,10,,,"","","","","",Soria,"",10_103
,María González Veracruz,"González Veracruz, María",María,González Veracruz,female,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=10&idDiputado=104,,10,,,"","","","","",Murcia,"",10_104
,Federico Cabello de Alba Hernández,"Cabello de Alba Hernández, Federico",Federico,Cabello de Alba Hernández,male,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=105&idLegislatura=10,,10,,,"","","","","",Córdoba,"",10_105
,Manuel Gabriel González Ramos,"González Ramos, Manuel Gabriel",Manuel Gabriel,González Ramos,male,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idLegislatura=10&idDiputado=11,,10,,,"","","","","",Albacete,"",10_11
