id,name,identifier__historichansard,area,group,group_id,start_date,start_reason,end_date,end_reason,term,name__en,image,gender,identifier__viaf,identifier__gnd,identifier__lcauth,birth_date,identifier__freebase,given_name,website,identifier__muzinger,identifier__journalisted,identifier__europarlmep,family_name,death_date,identifier__isni,identifier__bnf,identifier__sudoc,identifier__imdb,identifier__nta,identifier__nla,identifier__npg,identifier__musicbrainz,identifier__selibr,identifier__nndb,identifier__oxforddnb,identifier__gtaa,honorific_prefix,identifier__hansard,wikipedia__en,identifier__munzinger,identifier__discogs
10002,Gerry Adams,40,Belfast West,Sinn Féin,sinn-fein,1998-06-25,general_election,2003-04-28,general_election,1,Gerry Adams,https://upload.wikimedia.org/wikipedia/commons/4/47/Gerry_Adams_Easter_Lily_Badge.jpg,male,9941260,118896245,n83142260,1948-10-06,/m/09hmj,Gerry,,,gerry-adams,,Adams,,0000 0001 0869 0534,124416972,033561001,nm1128049,072903600,,,,,,,,,mr-gerry-adams,Gerry Adams,00000017676,
10002,Gerry Adams,40,Belfast West,Sinn Féin,sinn-fein,2003-11-26,general_election,2007-01-30,dissolution,2,Gerry Adams,https://upload.wikimedia.org/wikipedia/commons/4/47/Gerry_Adams_Easter_Lily_Badge.jpg,male,9941260,118896245,n83142260,1948-10-06,/m/09hmj,Gerry,,,gerry-adams,,Adams,,0000 0001 0869 0534,124416972,033561001,nm1128049,072903600,,,,,,,,,mr-gerry-adams,Gerry Adams,00000017676,
10002,Gerry Adams,40,Belfast West,Sinn Féin,sinn-fein,2007-03-09,election,2010-12-07,resigned,3,Gerry Adams,https://upload.wikimedia.org/wikipedia/commons/4/47/Gerry_Adams_Easter_Lily_Badge.jpg,male,9941260,118896245,n83142260,1948-10-06,/m/09hmj,Gerry,,,gerry-adams,,Adams,,0000 0001 0869 0534,124416972,033561001,nm1128049,072903600,,,,,,,,,mr-gerry-adams,Gerry Adams,00000017676,
10172,Jeffrey M. Donaldson,250,Lagan Valley,UUP,uup,2003-11-26,general_election,2003-12-18,changed_party,2,Jeffrey Donaldson,,male,22098572,,,1962-12-07,,Jeffrey,,,,,,,,,,,,,,,,,,,,mr-jeffrey-donaldson,Jeffrey Donaldson,,
10172,Jeffrey M. Donaldson,250,Lagan Valley,Independent Unionist,independent-unionist,2003-12-18,changed_party,2004-01-15,changed_party,2,Jeffrey Donaldson,,male,22098572,,,1962-12-07,,Jeffrey,,,,,,,,,,,,,,,,,,,,mr-jeffrey-donaldson,Jeffrey Donaldson,,
10172,Jeffrey M. Donaldson,250,Lagan Valley,DUP,dup,2004-01-15,changed_party,2007-01-30,dissolution,2,Jeffrey Donaldson,,male,22098572,,,1962-12-07,,Jeffrey,,,,,,,,,,,,,,,,,,,,mr-jeffrey-donaldson,Jeffrey Donaldson,,
10172,Jeffrey M. Donaldson,250,Lagan Valley,DUP,dup,2007-03-09,election,2010-06-09,resigned,3,Jeffrey Donaldson,,male,22098572,,,1962-12-07,,Jeffrey,,,,,,,,,,,,,,,,,,,,mr-jeffrey-donaldson,Jeffrey Donaldson,,
10300,John Hume,373,Foyle,Social Democratic and Labour Party,social-democratic-and-labour-party,1998-06-25,general_election,2000-12-01,resigned,1,John Hume,https://upload.wikimedia.org/wikipedia/commons/5/5c/John_Hume_2008.jpg,male,30346937,119444666,n85127099,1937-01-18,/m/015rlt,John,,,,1408,,,0000 0000 7859 8701,140037758,,,151582467,,,,319395,,,111580,,,John Hume,00000020903,
10380,Robert McCartney,483,North Down,UKUP,ukup,1998-06-25,general_election,2003-04-28,general_election,1,Robert McCartney,,male,,,,1936-04-24,,Robert,,,,,,,,,,,,,,,,,,,,,Robert McCartney (Northern Irish politician),,
10380,Robert McCartney,483,North Down,UKUP,ukup,2003-11-26,general_election,2007-01-30,dissolution,2,Robert McCartney,,male,,,,1936-04-24,,Robert,,,,,,,,,,,,,,,,,,,,,Robert McCartney (Northern Irish politician),,
10385,Eddie McGrady,487,South Down,Social Democratic and Labour Party,social-democratic-and-labour-party,1998-06-25,general_election,2003-04-28,general_election,1,Eddie McGrady,,male,,,,1935-06-03,,Eddie,,,,,,2013-11-11,,,,,,,,,,,,,,mr-eddie-mcgrady,Eddie McGrady,,
10387,Martin McGuinness,488,Mid Ulster,Sinn Féin,sinn-fein,1998-06-25,general_election,2003-04-28,general_election,1,Martin McGuinness,https://upload.wikimedia.org/wikipedia/commons/c/c8/MartinMcGuinness_(cropped).jpg,male,23957091,124606717,n2002032196,1950-05-23,/m/025pz4,Martin,http://www.thepeoplespresident.ie,,martin-mcguinness,,,,,,,,,,,,,,,,,mr-martin-mcguinness,Martin McGuinness,00000026174,
10387,Martin McGuinness,488,Mid Ulster,Sinn Féin,sinn-fein,2003-11-26,general_election,2007-01-30,dissolution,2,Martin McGuinness,https://upload.wikimedia.org/wikipedia/commons/c/c8/MartinMcGuinness_(cropped).jpg,male,23957091,124606717,n2002032196,1950-05-23,/m/025pz4,Martin,http://www.thepeoplespresident.ie,,martin-mcguinness,,,,,,,,,,,,,,,,,mr-martin-mcguinness,Martin McGuinness,00000026174,
10387,Martin McGuinness,488,Mid Ulster,Sinn Féin,sinn-fein,2007-03-09,election,2011-03-24,dissolution,3,Martin McGuinness,https://upload.wikimedia.org/wikipedia/commons/c/c8/MartinMcGuinness_(cropped).jpg,male,23957091,124606717,n2002032196,1950-05-23,/m/025pz4,Martin,http://www.thepeoplespresident.ie,,martin-mcguinness,,,,,,,,,,,,,,,,,mr-martin-mcguinness,Martin McGuinness,00000026174,
10387,Martin McGuinness,488,Mid Ulster,Sinn Féin,sinn-fein,2011-05-06,election,,,4,Martin McGuinness,https://upload.wikimedia.org/wikipedia/commons/c/c8/MartinMcGuinness_(cropped).jpg,male,23957091,124606717,n2002032196,1950-05-23,/m/025pz4,Martin,http://www.thepeoplespresident.ie,,martin-mcguinness,,,,,,,,,,,,,,,,,mr-martin-mcguinness,Martin McGuinness,00000026174,
10411,Seamus Mallon,462,Newry and Armagh,Social Democratic and Labour Party,social-democratic-and-labour-party,1998-06-25,general_election,2003-04-28,general_election,1,Seamus Mallon,,male,,,,1936-08-17,/m/01n7p0,Seamus,,,,,,,,,,,,,,,,,,,,mr-seamus-mallon,Seamus Mallon,,
10471,Ian Paisley,541,North Antrim,DUP,dup,1998-06-25,general_election,2003-04-28,general_election,1,Ian Paisley,https://upload.wikimedia.org/wikipedia/commons/e/eb/DrIanPaisley.jpg,male,79426950,119479362,n50051819,1926-04-06,/m/0nxf7,Ian,,,,1396,,2014-09-12,0000 0000 7863 4864,12062254n,028878302,,072783273,35406216,mp52885,,,,,,,,Ian Paisley,00000012445,
10471,Ian Paisley,541,North Antrim,DUP,dup,2003-11-26,general_election,2007-01-30,dissolution,2,Ian Paisley,https://upload.wikimedia.org/wikipedia/commons/e/eb/DrIanPaisley.jpg,male,79426950,119479362,n50051819,1926-04-06,/m/0nxf7,Ian,,,,1396,,2014-09-12,0000 0000 7863 4864,12062254n,028878302,,072783273,35406216,mp52885,,,,,,,,Ian Paisley,00000012445,
10471,Ian Paisley,541,North Antrim,DUP,dup,2007-03-09,election,2011-03-24,dissolution,3,Ian Paisley,https://upload.wikimedia.org/wikipedia/commons/e/eb/DrIanPaisley.jpg,male,79426950,119479362,n50051819,1926-04-06,/m/0nxf7,Ian,,,,1396,,2014-09-12,0000 0000 7863 4864,12062254n,028878302,,072783273,35406216,mp52885,,,,,,,,Ian Paisley,00000012445,
10507,Peter Robinson,576,Belfast East,DUP,dup,1998-06-25,general_election,2003-04-28,general_election,1,Peter Robinson,https://upload.wikimedia.org/wikipedia/commons/1/1a/Peter_Robinson_at_Titanic_Belfast_(Cropped).jpg,male,48415763,,,1948-12-29,/m/025q3t,Peter,,,,,,,,,,,,,,,,,,,,mr-peter-robinson,Peter Robinson (Northern Ireland politician),,
10507,Peter Robinson,576,Belfast East,DUP,dup,2003-11-26,general_election,2007-01-30,dissolution,2,Peter Robinson,https://upload.wikimedia.org/wikipedia/commons/1/1a/Peter_Robinson_at_Titanic_Belfast_(Cropped).jpg,male,48415763,,,1948-12-29,/m/025q3t,Peter,,,,,,,,,,,,,,,,,,,,mr-peter-robinson,Peter Robinson (Northern Ireland politician),,
10507,Peter Robinson,576,Belfast East,DUP,dup,2007-03-09,election,2011-03-24,dissolution,3,Peter Robinson,https://upload.wikimedia.org/wikipedia/commons/1/1a/Peter_Robinson_at_Titanic_Belfast_(Cropped).jpg,male,48415763,,,1948-12-29,/m/025q3t,Peter,,,,,,,,,,,,,,,,,,,,mr-peter-robinson,Peter Robinson (Northern Ireland politician),,
10507,Peter Robinson,576,Belfast East,DUP,dup,2011-05-06,election,,,4,Peter Robinson,https://upload.wikimedia.org/wikipedia/commons/1/1a/Peter_Robinson_at_Titanic_Belfast_(Cropped).jpg,male,48415763,,,1948-12-29,/m/025q3t,Peter,,,,,,,,,,,,,,,,,,,,mr-peter-robinson,Peter Robinson (Northern Ireland politician),,
10589,John Taylor,655,Strangford,UUP,uup,1998-06-25,general_election,2003-04-28,general_election,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10589,Lord Kilclooney,655,Strangford,UUP,uup,2003-11-26,general_election,2007-01-30,dissolution,2,"John Taylor, Baron Kilclooney",,male,,,,1937-12-24,/m/01c9n0,John,,,,1504,,,,,,,,,,,,,,,,mr-john-taylor,"John Taylor, Baron Kilclooney",,
10605,David Trimble,672,Upper Bann,UUP,uup,1998-06-25,general_election,2003-04-28,general_election,1,David Trimble,"https://upload.wikimedia.org/wikipedia/commons/0/0a/David_Trimble_at_Lisburn_Seed_Group_benefit,_Hillsborough_Castle,_Christmas_2007_crop.jpg",male,72939112,122611276,n88081332,1944-10-15,/m/01hbqv,David,,,,,,,0000 0000 7866 1088,,094198187,,,,,,319402,195/000089925,,,,,David Trimble,00000021664,
10605,David Trimble,672,Upper Bann,UUP,uup,2003-11-26,general_election,2007-01-30,dissolution,2,David Trimble,"https://upload.wikimedia.org/wikipedia/commons/0/0a/David_Trimble_at_Lisburn_Seed_Group_benefit,_Hillsborough_Castle,_Christmas_2007_crop.jpg",male,72939112,122611276,n88081332,1944-10-15,/m/01hbqv,David,,,,,,,0000 0000 7866 1088,,094198187,,,,,,319402,195/000089925,,,,,David Trimble,00000021664,
10679,William McCrea,70,Mid Ulster,DUP,dup,1998-06-25,general_election,2003-04-28,general_election,1,William McCrea,,male,,,,1948-08-06,,William,,,,,,,,,,,,,,,,,,,,,William McCrea (politician),,
10679,William McCrea,70,Mid Ulster,DUP,dup,2003-11-26,general_election,2007-01-30,dissolution,2,William McCrea,,male,,,,1948-08-06,,William,,,,,,,,,,,,,,,,,,,,,William McCrea (politician),,
10679,William McCrea,70,South Antrim,DUP,dup,2007-03-09,election,2010-07-01,resigned,3,William McCrea,,male,,,,1948-08-06,,William,,,,,,,,,,,,,,,,,,,,,William McCrea (politician),,
10768,David Burnside,6716,South Antrim,UUP,uup,2003-11-26,general_election,2007-01-30,dissolution,2,David Burnside,https://upload.wikimedia.org/wikipedia/commons/d/d7/David_Burnside.JPG,male,,,,1951-08-24,,David,,,,,,,,,,,,,,,,,,,,,David Burnside,,
10768,David Burnside,6716,South Antrim,UUP,uup,2007-03-09,election,2009-06-01,resigned,3,David Burnside,https://upload.wikimedia.org/wikipedia/commons/d/d7/David_Burnside.JPG,male,,,,1951-08-24,,David,,,,,,,,,,,,,,,,,,,,,David Burnside,,
10780,Gregory Campbell,3907,East Londonderry,DUP,dup,1998-06-25,general_election,2003-04-28,general_election,1,Gregory Campbell,https://upload.wikimedia.org/wikipedia/commons/4/42/GregoryCampell.jpg,male,,,,1953-02-15,,Gregory,,,,,,,,,,,,,,,,,,,,,Gregory Campbell (politician),,
10780,Gregory Campbell,3907,East Londonderry,DUP,dup,2003-11-26,general_election,2007-01-30,dissolution,2,Gregory Campbell,https://upload.wikimedia.org/wikipedia/commons/4/42/GregoryCampell.jpg,male,,,,1953-02-15,,Gregory,,,,,,,,,,,,,,,,,,,,,Gregory Campbell (politician),,
10780,Gregory Campbell,3907,East Londonderry,DUP,dup,2007-03-09,election,2011-03-24,dissolution,3,Gregory Campbell,https://upload.wikimedia.org/wikipedia/commons/4/42/GregoryCampell.jpg,male,,,,1953-02-15,,Gregory,,,,,,,,,,,,,,,,,,,,,Gregory Campbell (politician),,
10780,Gregory Campbell,3907,East Londonderry,DUP,dup,2011-05-06,election,,,4,Gregory Campbell,https://upload.wikimedia.org/wikipedia/commons/4/42/GregoryCampell.jpg,male,,,,1953-02-15,,Gregory,,,,,,,,,,,,,,,,,,,,,Gregory Campbell (politician),,
10857,Nigel Dodds,4137,Belfast North,DUP,dup,1998-06-25,general_election,2003-04-28,general_election,1,Nigel Dodds,https://upload.wikimedia.org/wikipedia/commons/1/13/NigelDodds.jpg,male,304250698,,n98040344,1958-08-20,,Nigel,,,nigel-dodds,,,,,,,,,,,,,,,,,,Nigel Dodds,,
10857,Nigel Dodds,4137,Belfast North,DUP,dup,2003-11-26,general_election,2007-01-30,dissolution,2,Nigel Dodds,https://upload.wikimedia.org/wikipedia/commons/1/13/NigelDodds.jpg,male,304250698,,n98040344,1958-08-20,,Nigel,,,nigel-dodds,,,,,,,,,,,,,,,,,,Nigel Dodds,,
10857,Nigel Dodds,4137,Belfast North,DUP,dup,2007-03-09,election,2010-09-10,resigned,3,Nigel Dodds,https://upload.wikimedia.org/wikipedia/commons/1/13/NigelDodds.jpg,male,304250698,,n98040344,1958-08-20,,Nigel,,,nigel-dodds,,,,,,,,,,,,,,,,,,Nigel Dodds,,
10858,Pat Doherty,4140,West Tyrone,Sinn Féin,sinn-fein,1998-06-25,general_election,2003-04-28,general_election,1,Pat Doherty,https://upload.wikimedia.org/wikipedia/commons/0/04/PatDoherty.jpg,male,,,,1945-07-18,/m/025q2d,Patrick,,,,,,,,,,,,,,,,,,,,mr-pat-doherty,Pat Doherty,,
10858,Pat Doherty,4140,West Tyrone,Sinn Féin,sinn-fein,2003-11-26,general_election,2007-01-30,dissolution,2,Pat Doherty,https://upload.wikimedia.org/wikipedia/commons/0/04/PatDoherty.jpg,male,,,,1945-07-18,/m/025q2d,Patrick,,,,,,,,,,,,,,,,,,,,mr-pat-doherty,Pat Doherty,,
10858,Pat Doherty,4140,West Tyrone,Sinn Féin,sinn-fein,2007-03-09,election,2011-03-24,dissolution,3,Pat Doherty,https://upload.wikimedia.org/wikipedia/commons/0/04/PatDoherty.jpg,male,,,,1945-07-18,/m/025q2d,Patrick,,,,,,,,,,,,,,,,,,,,mr-pat-doherty,Pat Doherty,,
10858,Pat Doherty,4140,West Tyrone,Sinn Féin,sinn-fein,2011-05-06,election,2012-07-01,resigned,4,Pat Doherty,https://upload.wikimedia.org/wikipedia/commons/0/04/PatDoherty.jpg,male,,,,1945-07-18,/m/025q2d,Patrick,,,,,,,,,,,,,,,,,,,,mr-pat-doherty,Pat Doherty,,
10913,Michelle Gildernew,4566,Fermanagh and South Tyrone,Sinn Féin,sinn-fein,1998-06-25,general_election,2003-04-28,general_election,1,Michelle Gildernew,https://upload.wikimedia.org/wikipedia/commons/5/5d/Michelle_Gildernew.jpg,female,,,,1970-03-28,,Michelle,,,,,,,,,,,,,,,,,,,,,Michelle Gildernew,,
10913,Michelle Gildernew,4566,Fermanagh and South Tyrone,Sinn Féin,sinn-fein,2003-11-26,general_election,2007-01-30,dissolution,2,Michelle Gildernew,https://upload.wikimedia.org/wikipedia/commons/5/5d/Michelle_Gildernew.jpg,female,,,,1970-03-28,,Michelle,,,,,,,,,,,,,,,,,,,,,Michelle Gildernew,,
10913,Michelle Gildernew,4566,Fermanagh and South Tyrone,Sinn Féin,sinn-fein,2007-03-09,election,2011-03-24,dissolution,3,Michelle Gildernew,https://upload.wikimedia.org/wikipedia/commons/5/5d/Michelle_Gildernew.jpg,female,,,,1970-03-28,,Michelle,,,,,,,,,,,,,,,,,,,,,Michelle Gildernew,,
10913,Michelle Gildernew,4566,Fermanagh and South Tyrone,Sinn Féin,sinn-fein,2011-05-06,election,2012-07-01,resigned,4,Michelle Gildernew,https://upload.wikimedia.org/wikipedia/commons/5/5d/Michelle_Gildernew.jpg,female,,,,1970-03-28,,Michelle,,,,,,,,,,,,,,,,,,,,,Michelle Gildernew,,
11194,Iris Robinson,5842,Strangford,DUP,dup,1998-06-25,general_election,2003-04-28,general_election,1,Iris Robinson,,female,,,,1949-09-06,/m/025q32,Iris,,,,,Robinson,,,,,,,,,,,,,,,,Iris Robinson,,
11194,Iris Robinson,5842,Strangford,DUP,dup,2003-11-26,general_election,2007-01-30,dissolution,2,Iris Robinson,,female,,,,1949-09-06,/m/025q32,Iris,,,,,Robinson,,,,,,,,,,,,,,,,Iris Robinson,,
11194,Iris Robinson,5842,Strangford,DUP,dup,2007-03-09,election,2010-01-12,resigned,3,Iris Robinson,,female,,,,1949-09-06,/m/025q32,Iris,,,,,Robinson,,,,,,,,,,,,,,,,Iris Robinson,,
11374,Sammy Wilson,,Belfast East,DUP,dup,1998-06-25,general_election,2003-04-28,general_election,1,Sammy Wilson,https://upload.wikimedia.org/wikipedia/commons/8/8a/SammyWilson.jpg,male,120490431,,,1953-04-04,,Sammy,,,,,Wilson,,,,,,,,,,,,,,,,Sammy Wilson,,
11374,Sammy Wilson,,East Antrim,DUP,dup,2003-11-26,general_election,2007-01-30,dissolution,2,Sammy Wilson,https://upload.wikimedia.org/wikipedia/commons/8/8a/SammyWilson.jpg,male,120490431,,,1953-04-04,,Sammy,,,,,Wilson,,,,,,,,,,,,,,,,Sammy Wilson,,
11374,Sammy Wilson,,East Antrim,DUP,dup,2007-03-09,election,2011-03-24,dissolution,3,Sammy Wilson,https://upload.wikimedia.org/wikipedia/commons/8/8a/SammyWilson.jpg,male,120490431,,,1953-04-04,,Sammy,,,,,Wilson,,,,,,,,,,,,,,,,Sammy Wilson,,
11374,Sammy Wilson,,East Antrim,DUP,dup,2011-05-06,election,,,4,Sammy Wilson,https://upload.wikimedia.org/wikipedia/commons/8/8a/SammyWilson.jpg,male,120490431,,,1953-04-04,,Sammy,,,,,Wilson,,,,,,,,,,,,,,,,Sammy Wilson,,
11402,Alasdair McDonnell,,Belfast South,Social Democratic and Labour Party,social-democratic-and-labour-party,1998-06-25,general_election,2003-04-28,general_election,1,Alasdair McDonnell,,male,,,,1949-09-01,,Alasdair,,,,,,,,,,,,,,,,,,,,mr-alasdair-mcdonnell,Alasdair McDonnell,,
11402,Alasdair McDonnell,,Belfast South,Social Democratic and Labour Party,social-democratic-and-labour-party,2003-11-26,general_election,2007-01-30,dissolution,2,Alasdair McDonnell,,male,,,,1949-09-01,,Alasdair,,,,,,,,,,,,,,,,,,,,mr-alasdair-mcdonnell,Alasdair McDonnell,,
11402,Alasdair McDonnell,,Belfast South,Social Democratic and Labour Party,social-democratic-and-labour-party,2007-03-09,election,2011-03-24,dissolution,3,Alasdair McDonnell,,male,,,,1949-09-01,,Alasdair,,,,,,,,,,,,,,,,,,,,mr-alasdair-mcdonnell,Alasdair McDonnell,,
11402,Alasdair McDonnell,,Belfast South,Social Democratic and Labour Party,social-democratic-and-labour-party,2011-05-06,election,2015-06-28,resigned,4,Alasdair McDonnell,,male,,,,1949-09-01,,Alasdair,,,,,,,,,,,,,,,,,,,,mr-alasdair-mcdonnell,Alasdair McDonnell,,
11589,Mark Durkan,,Foyle,Social Democratic and Labour Party,social-democratic-and-labour-party,1998-06-25,general_election,2003-04-28,general_election,1,Mark H. Durkan,https://upload.wikimedia.org/wikipedia/commons/6/6f/MarkDurkan.jpg,male,,,,1978-03-03,/m/0250c7,Mark,,,,,,,,,,,,,,,,,,,,mr-mark-durkan,Mark H. Durkan,,
11589,Mark Durkan,,Foyle,Social Democratic and Labour Party,social-democratic-and-labour-party,2003-11-26,general_election,2007-01-30,dissolution,2,Mark H. Durkan,https://upload.wikimedia.org/wikipedia/commons/6/6f/MarkDurkan.jpg,male,,,,1978-03-03,/m/0250c7,Mark,,,,,,,,,,,,,,,,,,,,mr-mark-durkan,Mark H. Durkan,,
11589,Mark Durkan,,Foyle,Social Democratic and Labour Party,social-democratic-and-labour-party,2007-03-09,election,2010-11-09,resigned,3,Mark H. Durkan,https://upload.wikimedia.org/wikipedia/commons/6/6f/MarkDurkan.jpg,male,,,,1978-03-03,/m/0250c7,Mark,,,,,,,,,,,,,,,,,,,,mr-mark-durkan,Mark H. Durkan,,
11734,Conor Murphy,,Newry and Armagh,Sinn Féin,sinn-fein,1998-06-25,general_election,2003-04-28,general_election,1,Conor Murphy,https://upload.wikimedia.org/wikipedia/commons/3/3e/Conor_Murphy.jpg,male,,,,1963-07-10,,Conor,,,,,,,,,,,,,,,,,,,,mr-conor-murphy,Conor Murphy,,
11734,Conor Murphy,,Newry and Armagh,Sinn Féin,sinn-fein,2003-11-26,general_election,2007-01-30,dissolution,2,Conor Murphy,https://upload.wikimedia.org/wikipedia/commons/3/3e/Conor_Murphy.jpg,male,,,,1963-07-10,,Conor,,,,,,,,,,,,,,,,,,,,mr-conor-murphy,Conor Murphy,,
11734,Conor Murphy,,Newry and Armagh,Sinn Féin,sinn-fein,2007-03-09,election,2011-03-24,dissolution,3,Conor Murphy,https://upload.wikimedia.org/wikipedia/commons/3/3e/Conor_Murphy.jpg,male,,,,1963-07-10,,Conor,,,,,,,,,,,,,,,,,,,,mr-conor-murphy,Conor Murphy,,
11734,Conor Murphy,,Newry and Armagh,Sinn Féin,sinn-fein,2011-05-06,election,2012-07-01,resigned,4,Conor Murphy,https://upload.wikimedia.org/wikipedia/commons/3/3e/Conor_Murphy.jpg,male,,,,1963-07-10,,Conor,,,,,,,,,,,,,,,,,,,,mr-conor-murphy,Conor Murphy,,
11734,Conor Murphy,,Newry and Armagh,Sinn Féin,sinn-fein,2015-06-08,appointed,,,4,Conor Murphy,https://upload.wikimedia.org/wikipedia/commons/3/3e/Conor_Murphy.jpg,male,,,,1963-07-10,,Conor,,,,,,,,,,,,,,,,,,,,mr-conor-murphy,Conor Murphy,,
25447,Claire Hanna,,Belfast South,Social Democratic and Labour Party,social-democratic-and-labour-party,2015-06-29,appointed,,,4,Claire Hanna,,female,,,,,,Claire,,,,,,,,,,,,,,,,,,,,,Claire Hanna (politician),,
25448,Neil Somerville,,Fermanagh and South Tyrone,UUP,uup,2015-06-30,appointed,,,4,Neil Somerville,,male,,,,,,Neil,,,,,,,,,,,,,,,,,,,,,Neil Somerville,,
11892,David Simpson,,Upper Bann,DUP,dup,2003-11-26,general_election,2007-01-30,dissolution,2,David Simpson,https://upload.wikimedia.org/wikipedia/commons/f/fa/David_Simpson.jpg,male,,,,1959-02-16,,David,,,,,,,,,,,,,,,,,,,,,David Simpson (British politician),,
