id,name__ne,name,wikipedia__ne,original_wikiname,name__en,name__de,name__fr,name__nl,wikipedia__en,wikipedia__fr,gender,name__ja,name__es,name__nb,name__zh,name__hu,wikipedia__de,wikipedia__ja,wikipedia__no,wikipedia__zh,birth_date,identifier__freebase,given_name,name__hi,identifier__VIAF,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__pl,name__new,name__ru,name__fi,name__it,wikipedia__es,wikipedia__fi,wikipedia__hi,wikipedia__it,wikipedia__new,wikipedia__nl,wikipedia__pl,wikipedia__plwikiquote,wikipedia__ru,image,name__jv,name__ko,name__ta,name__ms,name__id,name__ml,name__el,name__sv,name__kn,name__tr,name__la,name__cy,name__fa,name__da,name__mr,name__ca,name__bn,name__mai,name__sk,name__pa,wikipedia__bn,wikipedia__ca,wikipedia__commons,wikipedia__cy,wikipedia__da,wikipedia__el,wikipedia__fa,wikipedia__frwikiquote,wikipedia__id,wikipedia__jv,wikipedia__kn,wikipedia__ko,wikipedia__la,wikipedia__mai,wikipedia__ml,wikipedia__mr,wikipedia__ms,wikipedia__pa,wikipedia__simple,wikipedia__sk,wikipedia__sv,wikipedia__ta,wikipedia__tr,identifier__GND,identifier__LCAuth,name__oc,name__lb,name__yo,name__ar,name__en_ca,name__en_gb,wikipedia__ar,wikipedia__lb,wikipedia__yo,twitter,death_date,name__sa,identifier__ISNI,identifier__SUDOC,website,identifier__Munzinger,identifier__FAST,name__mk,name__cs,name__de_ch,name__uk,name__vi,name__ka,name__az,name__pt,name__pt_br,name__xmf,name__eo,name__lv,name__uz,name__af,name__hif,name__nn,wikipedia__af,wikipedia__az,wikipedia__bh,wikipedia__cs,wikipedia__eo,wikipedia__hif,wikipedia__hu,wikipedia__ka,wikipedia__lv,wikipedia__oc,wikipedia__pt,wikipedia__sa,wikipedia__uk,wikipedia__uz,wikipedia__vi,wikipedia__xmf,name__sco,wikipedia__sco,identifier__Britannica,occupation,wikipedia__cawikiquote,wikipedia__as,name__as,wikipedia__te,name__te,name__he,wikipedia__ur,name__ur,identifier__quora,wikipedia__dty,name__dty,name__fo,name__kl,wikipedia__he,identifier__BIBSYS,name__bho,electoral_district,facebook,family_name,name__hy,wikipedia__hy,name__an,name__ast,name__bar,name__br,name__co,name__de_at,name__et,name__eu,name__frp,name__fur,name__ga,name__gd,name__gl,name__gsw,name__hr,name__ia,name__ie,name__io,name__is,name__kg,name__li,name__lij,name__mg,name__min,name__nap,name__nds,name__nds_nl,name__nrm,name__pcd,name__pms,name__rm,name__ro,name__sc,name__scn,name__sl,name__sr_el,name__sw,name__vec,name__vls,name__vo,name__wa,name__wo,name__zu,identifier__GTAA,wikipedia__ast,wikipedia__mg,name__be,name__mn,name__sr,name__qu,wikipedia__be,wikipedia__et,wikipedia__io,wikipedia__mn,wikipedia__qu,wikipedia__sr,wikipedia__itwikiquote
Q13179022,अमिक शेरचन,अमिक शेरचन,अमिक शेरचन,अमिक शेरचन,,,,,,,,,,,,,,,,,,,,अमिक शेरचन,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13179186,आङ दावा शेर्पा,आङ दावा शेर्पा,आङ दावा शेर्पा,आङ दावा शेर्पा,Aangdawa Sherpa,,,,,,female,,Aangdawa Sherpa,,,,,,,,,,,आङ दावा शेर्पा,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,आङ दावा शेर्पा,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,आङ दावा शेर्पा,,,,,,,Aangdawa Sherpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13179347,इन्द्रमती यादव,इन्द्रमती यादव,इन्द्रमती यादव,इन्द्रमती यादव,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13179384,इश्वरी न्यौपाने,इश्वरी न्यौपाने,इश्वरी न्यौपाने,इश्वरी न्यौपाने,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13179387,इसलाममिया धोवी,इसलाममिया धोवी,इसलाममिया धोवी,इसलाममिया धोवी,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13179388,इश्वरीप्रसाद दाहाल,इश्वरीप्रसाद दाहाल,इश्वरीप्रसाद दाहाल,इश्वरीप्रसाद दाहाल,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13179618,ए नेकपा माओवादीका संविधान सभासद,ए नेकपा माओवादीका संविधान सभासद,ए नेकपा माओवादीका संविधान सभासद,ए नेकपा माओवादीका संविधान सभासद,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13179633,एकराज भण्डारी,एकराज भण्डारी,एकराज भण्डारी,एकराज भण्डारी,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13179741,ओम प्रकाश शर्मा,ओम प्रकाश शर्मा,ओम प्रकाश शर्मा,ओम प्रकाश शर्मा,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13179843,कमला रोक्का,कमला रोक्का,कमला रोक्का,कमला रोक्का,कमला रोक्का,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,কমলা রোক্কা,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,कमला रोक्का,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
