id,label,type
Q1029955,United States Secretary of Agriculture,cabinet
Q1029968,United States Secretary of Energy,cabinet
Q1658460,United States Secretary of Veterans Affairs,cabinet
Q2003296,United States Secretary of Commerce,cabinet
Q2287650,United States Secretary of the Interior,cabinet
Q2305968,United States Secretary of Health and Human Services,cabinet
Q2419581,United States Secretary of Housing and Urban Development,cabinet
Q4215834,United States Secretary of the Treasury,cabinet
Q642859,United States Secretary of Homeland Security,cabinet
Q735015,United States Secretary of Defense,cabinet
Q967737,United States Secretary of Transportation,cabinet
Q967750,United States Secretary of Labor,cabinet
Q967762,United States Secretary of Education,cabinet
Q14213,United States Secretary of State,cabinet
