sort_name,source,phone,fax,email,id,name,area,party,tel,twitter,facebook,instagram,website,image,term,party_id
"Anderson, Margaret Dawn",https://sencanada.ca/en/senators/anderson-margaret/,1-613-944-3453,"",MargaretDawn.Anderson@sen.parl.gc.ca,anderson-margaret,Margaret Dawn Anderson,Northwest Territories (Northwest Territories),Non-affiliated,613-944-3453,"","","","",https://sencanada.ca/media/363751/sen_large.jpg,42,non-affiliated
"Andreychuk, A. Raynell",https://sencanada.ca/en/senators/andreychuk-raynell/,1-613-947-2239,613-947-2241,raynell.andreychuk@sen.parl.gc.ca,andreychuk-raynell,A. Raynell Andreychuk,Saskatchewan (Saskatchewan),Conservative Party of Canada,613-947-2239,https://twitter.com/senandreychuk,"","",http://raynellandreychuk.sencanada.ca/,https://sencanada.ca/media/16453/andreychuck_2_large.jpg,42,conservative_party_of_canada
"Ataullahjan, Salma",https://sencanada.ca/en/senators/ataullahjan-salma/,1-613-947-5906,613-947-5908,salma.ataullahjan@sen.parl.gc.ca,ataullahjan-salma,Salma Ataullahjan,Ontario (Toronto),Conservative Party of Canada,613-947-5906,https://twitter.com/SenatorSalma,https://www.facebook.com/SenatorSalma/,"",http://senatorsalma.ca/,https://sencanada.ca/media/16456/sen_2869_large.jpg,42,conservative_party_of_canada
"Batters, Denise",https://sencanada.ca/en/senators/batters-denise/,1-613-996-8922,613-996-8964,denise.batters@sen.parl.gc.ca,batters-denise,Denise Batters,Saskatchewan (Saskatchewan),Conservative Party of Canada,613-996-8922,https://twitter.com/denisebatters,https://www.facebook.com/sendenisebatters/,"",http://denisebatters.ca,https://sencanada.ca/media/16459/batters_3571_large.jpg,42,conservative_party_of_canada
"Bellemare, Diane",https://sencanada.ca/en/senators/bellemare-diane/,1-613-943-1555,613-943-1565,diane.bellemare@sen.parl.gc.ca,bellemare-diane,Diane Bellemare,Quebec (Alma),Non-affiliated,613-943-1555,https://twitter.com/sendbellemare,https://www.facebook.com/DianeBellemareSen,"",http://dianebellemaresen.ca,https://sencanada.ca/media/19349/sen_3562_large.jpg,42,non-affiliated
"Bernard, Wanda Elaine Thomas",https://sencanada.ca/en/senators/bernard-wanda-thomas/,1-613-996-2090,613-996-2010,WandaThomas.Bernard@sen.parl.gc.ca,bernard-wanda-thomas,Wanda Elaine Thomas Bernard,Nova Scotia (East Preston),Independent Senators Group,613-996-2090,https://twitter.com/SenatorWanda,"","","",https://sencanada.ca/media/222228/sen_207808_large.jpg,42,independent_senators_group
"Beyak, Lynn",https://sencanada.ca/en/senators/beyak-lynne/,1-613-996-8680,613-996-8673,lynn.beyak@sen.parl.gc.ca,beyak-lynne,Lynn Beyak,Ontario (Ontario),Non-affiliated,613-996-8680,"","","",http://lynnbeyak.sencanada.ca/,https://sencanada.ca/media/21280/sen_3569_large.jpg,42,non-affiliated
"Black, Douglas",https://sencanada.ca/en/senators/black-douglas/,1-613-996-8757,613-996-8862,doug.black@sen.parl.gc.ca,black-douglas,Douglas Black,Alberta (Alberta),Independent Senators Group,613-996-8757,https://twitter.com/DougBlackAB,https://www.facebook.com/senatordougblack,https://www.instagram.com/SenatorDougBlack,http://dougblack.ca/,https://sencanada.ca/media/16448/sen_3567_large.jpg,42,independent_senators_group
"Black, Robert",https://sencanada.ca/en/senators/black-robert/,1-613-943-3416,613-943-3418,robert.black@sen.parl.gc.ca,black-robert,Robert Black,Ontario (Ontario),Independent Senators Group,613-943-3416,https://twitter.com/SenatorRobBlack,https://www.facebook.com/SenatorRobBlack/,"","",https://sencanada.ca/media/361143/sen_212390_large_2018.jpg,42,independent_senators_group
"Boehm, Peter M.",https://sencanada.ca/en/senators/boehm-peter/,1-613-943-8226,613-943-8218,Peter.Boehm@sen.parl.gc.ca,boehm-peter,Peter M. Boehm,Ontario (Ontario),Independent Senators Group,613-943-8226,"","","","",https://sencanada.ca/media/362981/sen_217512_large_2018.jpg,42,independent_senators_group
