id,given_name,family_name,party,party_id,source,name,constituency,email,homepage,image,memberships,term
aleqa-hammond,Aleqa,Hammond,Outside the parliamentary groups,1C1343ED-BA71-463F-A912-A6A07FCA9EF8,http://www.thedanishparliament.dk/Members/aleqa-hammond.aspx,Aleqa Hammond,Greenland,aleqa.hammond@ft.dk,"",http://www.thedanishparliament.dk/Members/~/media/CV/Foto/2015/NA/Aleqa%20Hammond/Aleqa_Hammond_133.jpg.ashx,Member of Parliament for Outside the parliamentary groups in Greenland from August 23rd 2016.+++Member of Parliament for Siumut in Greenland  from July 15th 2015 to August 22nd 2016.+++Candidate for Outside the parliamentary groups in Greenland nomination district  from 2016.+++Candidate for Siumut in Greenland nomination district  from 2015 to 2016.,2015
altchpo,Christian,Poll,The Alternative,A726CCAA-9968-4DCE-A6CD-972D6BFA0934,http://www.thedanishparliament.dk/Members/altchpo.aspx,Christian Poll,North Zealand,christian.poll@ft.dk,https://www.facebook.com/christianpollalternativet,http://www.thedanishparliament.dk/Members/~/media/CV/Foto/2015/ALT/Christian%20Poll/Christian_Poll_133.jpg.ashx,Member of Parliament for the Alternative in North Zealand greater constituency from June 18th 2015.+++Candidate for the Alternative in all nomination districts in the constituency  from 2014.,2015
altcmma,Carolina Magdalene,Maier,The Alternative,A726CCAA-9968-4DCE-A6CD-972D6BFA0934,http://www.thedanishparliament.dk/Members/altcmma.aspx,Carolina Magdalene Maier,Copenhagen,carolina.maier@ft.dk,http://www.carolinamagdalene.dk,http://www.thedanishparliament.dk/Members/~/media/CV/Foto/2015/ALT/Carolina%20Magdalene%20Maier/Carolina_Magdalene_Maier_133.jpg.ashx,Member of Parliament for the Alternative in Copenhagen greater constituency from June 18th 2015.+++Candidate for the Alternative in all nomination districts in the constituency  from 2015.,2015
altjofo,Josephine,Fock,The Alternative,A726CCAA-9968-4DCE-A6CD-972D6BFA0934,http://www.thedanishparliament.dk/Members/altjofo.aspx,Josephine Fock,East Jutland,josephine.fock@ft.dk,http://www.josephinefock.dk,http://www.thedanishparliament.dk/Members/~/media/CV/Foto/2015/ALT/Josephine%20Fock/Josephine_Fock_133.jpg.ashx,Member of Parliament for the Alternative in East Jutland greater constituency from June 18th 2015.+++Candidate for the Alternative in all nomination districts in the constituency  from 2015.,2015
altpesc,Pernille,Schnoor,The Alternative,A726CCAA-9968-4DCE-A6CD-972D6BFA0934,http://www.thedanishparliament.dk/Members/altpesc.aspx,Pernille Schnoor,North Zealand,pernille.schnoor@ft.dk,"",http://www.thedanishparliament.dk/Members/~/media/CV/Foto/2015/S/Pernille%20Schnoor/Pernille_Schnoor_133.jpg.ashx,Member of Parliament for the Alternative in North Zealand greater constituency from April 24th 2016.+++Member of Parliament for the Social Democratic Party in North Zealand greater constituency  from June 18th 2015 to April 23rd 2016.+++Candidate for the Social Democratic Party in Helsingør nomination district  from 2013 to 2016.,2015
altrano,Rasmus,Nordqvist,The Alternative,A726CCAA-9968-4DCE-A6CD-972D6BFA0934,http://www.thedanishparliament.dk/Members/altrano.aspx,Rasmus Nordqvist,Zealand,rasmus.nordqvist@ft.dk,http://www.facebook.com/rasmus.nordqvist,http://www.thedanishparliament.dk/Members/~/media/CV/Foto/2015/ALT/Rasmus%20Nordqvist/Rasmus_Nordqvist_133.jpg.ashx,Member of Parliament for the Alternative in Zealand greater constituency from June 18th 2015.+++Candidate for the Alternative in all nomination districts in the constituency  from 2015.,2015
altrega,René,Gade,The Alternative,A726CCAA-9968-4DCE-A6CD-972D6BFA0934,http://www.thedanishparliament.dk/Members/altrega.aspx,René Gade,Western Jutland,rene.gade@ft.dk,http://www.facebook.com/venligrevolutionist/,http://www.thedanishparliament.dk/Members/~/media/CV/Foto/2015/ALT/Rene%20Gade/Rene_Gade_133.jpg.ashx,Member of Parliament for the Alternative in Western Jutland greater constituency from June 18th 2015.+++Candidate for the Alternative in Silkeborg nomination district  from 2015.,2015
altroma,Roger,Matthisen,The Alternative,A726CCAA-9968-4DCE-A6CD-972D6BFA0934,http://www.thedanishparliament.dk/Members/altroma.aspx,Roger Matthisen,Funen,roger.matthisen@ft.dk,http://www.rogermatthisen.dk,http://www.thedanishparliament.dk/Members/~/media/CV/Foto/2015/ALT/Roger%20Matthisen/Roger_Matthisen_133.jpg.ashx,Member of Parliament for the Alternative in Funen greater constituency from June 18th 2015.+++Candidate for the Alternative in all nomination districts in the constituency  from 2015.,2015
alttoge,Torsten,Gejl,The Alternative,A726CCAA-9968-4DCE-A6CD-972D6BFA0934,http://www.thedanishparliament.dk/Members/alttoge.aspx,Torsten Gejl,North Jutland,torsten.gejl@ft.dk,"",http://www.thedanishparliament.dk/Members/~/media/CV/Foto/2015/ALT/Torsten%20Gejl/Torsten_Gejl_133.jpg.ashx,Member of Parliament for the Alternative in North Jutland greater constituency from June 18th 2015.+++Candidate for the Alternative in all nomination districts in the constituency  from 2015.,2015
altufel,Uffe,Elbæk,The Alternative,A726CCAA-9968-4DCE-A6CD-972D6BFA0934,http://www.thedanishparliament.dk/Members/altufel.aspx,Uffe Elbæk,Copenhagen,uffe.elbaek@ft.dk,"",http://www.thedanishparliament.dk/Members/~/media/CV/Foto/2015/ALT/Uffe%20Elbaek/Uffe_Elbaek-Fotograf_133.jpg.ashx,Member of Parliament for the Alternative in Copenhagen greater constituency from March 13th 2015.+++Member of Parliament for Outside the parliamentary groups in Copenhagen greater constituency  from September 17th 2013 to March 12th 2015.+++Member of Parliament for the Social Liberal Party in Copenhagen greater constituency  from September 15th 2011 to September 16th 2013.+++Candidate for the Alternative in all nomination districts in the constituency  from 2015.+++Candidate for the Social Liberal Party in Sundbyvester nomination district  from 2009 to 2013.,2015
