id,given_name,family_name,party,party_id,source,name,constituency,email,homepage,image,memberships,term
sanhl,Ane,Halsboe-Jørgensen,The Social Democratic Party,F9E65D32-6F2F-4762-A7D5-56DCD0FC9BAF,http://www.thedanishparliament.dk/Members/sanhl.aspx,Ane Halsboe-Jørgensen,North Jutland,ane.halsboe@ft.dk,http://www.anehalsboe.dk,http://www.thedanishparliament.dk/Members/~/media/CV/Foto/20111/S/Ane_Halsboe_Joergensen/Ane_Halsboe_Joergensenx133.jpg.ashx,Member of Parliament for the Social Democratic Party in North Jutland greater constituency from September 15th 2011.+++Candidate for the Social Democratic Party in Brønderslev nomination district  from 2008.,2015
sanli,Annette,Lind,The Social Democratic Party,F9E65D32-6F2F-4762-A7D5-56DCD0FC9BAF,http://www.thedanishparliament.dk/Members/sanli.aspx,Annette Lind,Western Jutland,annette.lind@ft.dk,http://www.annettelind.dk,http://www.thedanishparliament.dk/Members/~/media/CV/Foto/2015/S/Annette%20Lind/Annette_Lind_133.jpg.ashx,Member of Parliament for the Social Democratic Party in Western Jutland greater constituency from September 15th 2011.+++Candidate for the Social Democratic Party in Holstebro nomination district  from 2008.,2015
saskr,Astrid,Krag,The Social Democratic Party,F9E65D32-6F2F-4762-A7D5-56DCD0FC9BAF,http://www.thedanishparliament.dk/Members/saskr.aspx,Astrid Krag,Zealand,astrid.krag@ft.dk,"",http://www.thedanishparliament.dk/Members/~/media/CV/Foto/2015/S/Astrid%20Krag/Astrid_Krag_133.jpg.ashx,Member of Parliament for the Social Democratic Party in Zealand greater constituency from February 4th 2014.+++Member of Parliament for the Socialist People’s Party in Zealand greater constituency  from November 13th 2007 to February 3rd 2014.+++Temporary Member of Parliament for the Socialist People’s Party in Vejle County constituency  from October 24th 2006 to October 30th 2006 (substitute for Villy Søvndal).+++Candidate for the Social Democratic Party in Greve nomination district  from 2014.+++Candidate for the Socialist People’s Party in Roskilde nomination district  from 2007 to 2014.+++Candidate for the Socialist People’s Party in Vejle nomination district  from 2001 to 2006.,2015
sbeen,Benny,Engelbrecht,The Social Democratic Party,F9E65D32-6F2F-4762-A7D5-56DCD0FC9BAF,http://www.thedanishparliament.dk/Members/sbeen.aspx,Benny Engelbrecht,South Jutland,benny.engelbrecht@ft.dk,http://www.benny-engelbrecht.dk,http://www.thedanishparliament.dk/Members/~/media/CV/Foto/2015/S/Benny%20Engelbrecht/Benny_Engelbrecht_133.jpg.ashx,Member of Parliament for the Social Democratic Party in South Jutland greater constituency from November 13th 2007.+++Candidate for the Social Democratic Party in Sønderborg nomination district  from 2006.,2015
sbjal,Bjarne,Laustsen,The Social Democratic Party,F9E65D32-6F2F-4762-A7D5-56DCD0FC9BAF,http://www.thedanishparliament.dk/Members/sbjal.aspx,Bjarne Laustsen,North Jutland,bjarne.laustsen@ft.dk,http://www.bjarne-laustsen.dk/,http://www.thedanishparliament.dk/Members/~/media/CV/Foto/20111/S/Bjarne_Laustsen/Bjarne_Laustsenx133.jpg.ashx,Member of Parliament for the Social Democratic Party in North Jutland greater constituency from November 13th 2007.+++Member of Parliament for the Social Democratic Party in North Jutland County constituency  from March 11th 1998 to November 13th 2007.+++Member of Parliament for the Social Democratic Party in North Jutland County constituency  from November 11th 1992 to September 20th 1994.+++Candidate for the Social Democratic Party in Frederikshavn nomination district  from 1997.+++Candidate for the Social Democratic Party in Aars nomination district  from 1988 to 1991.,2015
schan,Christine,Antorini,The Social Democratic Party,F9E65D32-6F2F-4762-A7D5-56DCD0FC9BAF,http://www.thedanishparliament.dk/Members/schan.aspx,Christine Antorini,North Zealand,christine.antorini@ft.dk,"",http://www.thedanishparliament.dk/Members/~/media/CV/Foto/2015/S/Christine%20Antorini/Christine_Antorini_133.jpg.ashx,Member of Parliament for the Social Democratic Party in North Zealand greater constituency from September 15th 2011.+++Member of Parliament for the Social Democratic Party in Copenhagen greater constituency  from November 13th 2007 to September 15th 2011.+++Member of Parliament for the Social Democratic Party in Southern Copenhagen constituency  from February 8th 2005 to November 13th 2007.+++Member of Parliament for the Socialist People’s Party in Eastern Copenhagen constituency  from March 18th 1998 to November 30th 1999.+++Candidate for the Social Democratic Party in Hillerød nomination district  from 2010.+++Candidate for the Social Democratic Party in Inner city nomination district  from 2007 to 2009.+++Candidate for the Social Democratic Party in Rådhus nomination district  from 2004 to 2006.+++Candidate for the Socialist People’s Party in Brønshøj nomination district  from 1996 to 1999.+++Candidate for the Socialist People’s Party in Vesterbro nomination district  from 1992 to 1995.,2015
schrm,Christian Rabjerg,Madsen,The Social Democratic Party,F9E65D32-6F2F-4762-A7D5-56DCD0FC9BAF,http://www.thedanishparliament.dk/Members/schrm.aspx,Christian Rabjerg Madsen,South Jutland,christian.rabjerg.madsen@ft.dk,http://www.facebook.com/christian.rabjerg,http://www.thedanishparliament.dk/Members/~/media/CV/Foto/2015/S/Christian%20Rabjerg%20Madsen/Christian_Rabjerg_Madsen_133.jpg.ashx,Member of Parliament for the Social Democratic Party in South Jutland greater constituency from June 18th 2015.+++Candidate for the Social Democratic Party in Kolding nomination district  from 2011.,2015
sdanj,Dan,Jørgensen,The Social Democratic Party,F9E65D32-6F2F-4762-A7D5-56DCD0FC9BAF,http://www.thedanishparliament.dk/Members/sdanj.aspx,Dan Jørgensen,Funen,dan.jorgensen@ft.dk,"",http://www.thedanishparliament.dk/Members/~/media/CV/Foto/2015/S/Dan%20Jorgensen/Dan_Jorgensen_133.jpg.ashx,Member of Parliament for the Social Democratic Party in Funen greater constituency from June 18th 2015.+++Candidate for the Social Democratic Party in Middelfart nomination district  from 2011.,2015
sdatj,Daniel Toft,Jakobsen,The Social Democratic Party,F9E65D32-6F2F-4762-A7D5-56DCD0FC9BAF,http://www.thedanishparliament.dk/Members/sdatj.aspx,Daniel Toft Jakobsen,East Jutland,daniel.toft.jakobsen@ft.dk,http://www.danieltoftjakobsen.dk,http://www.thedanishparliament.dk/Members/~/media/CV/Foto/2015/S/Daniel%20Toft%20Jakobsen/Daniel_Toft_Jakobsen_133.jpg.ashx,Member of Parliament for the Social Democratic Party in East Jutland greater constituency from June 18th 2015.+++Temporary Member of Parliament for the Social Democratic Party in East Jutland greater constituency  from October 23rd 2012 to December 1st 2013 (substitute for Kirsten Brosbøl).+++Candidate for the Social Democratic Party in Favrskov nomination district  from 2014.+++Candidate for the Social Democratic Party in Hedensted nomination district  from 2010 to 2014.,2015
serch,Erik,Christensen,The Social Democratic Party,F9E65D32-6F2F-4762-A7D5-56DCD0FC9BAF,http://www.thedanishparliament.dk/Members/serch.aspx,Erik Christensen,Funen,erik.christensen@ft.dk,"",http://www.thedanishparliament.dk/Members/~/media/CV/Foto/2015/S/Erik%20Christensen/Erik_Christensen_133.jpg.ashx,Member of Parliament for the Social Democratic Party in Funen greater constituency from June 18th 2015.+++Candidate for the Social Democratic Party in Odense East nomination district  from 2014.,2015
