id,name,name__en,name__da,name__fr,name__es,name__de,name__nl,name__nb,name__nn,name__sv,name__hu,name__ru,name__sl,name__pl,name__ast,name__ar,name__ca,wikipedia__ar,wikipedia__da,wikipedia__de,wikipedia__en,wikipedia__fr,wikipedia__pl,gender,identifier__GND,identifier__LCAuth,identifier__VIAF,birth_date,identifier__EuroparlMEP,occupation,death_date,given_name,identifier__ISNI,family_name,identifier__ne_se,original_wikiname,name__it,name__fo,name__is,name__kl,name__fi,website,twitter,facebook,wikipedia__sv,name__sq,name__cy,name__he,wikipedia__commons,wikipedia__nl,wikipedia__no,wikipedia__sq,identifier__freebase,image,identifier__NTA,identifier__BIBSYS,identifier__PACE,name__eo,name__ro,name__zh,wikipedia__cy,wikipedia__eo,wikipedia__es,wikipedia__fi,wikipedia__ro,identifier__FAST,name__ia,wikipedia__ia,name__zh_hant,name__zh_cn,name__zh_hans,wikipedia__ca,wikipedia__fo,wikipedia__hu,wikipedia__is,wikipedia__ru,name__nds,identifier__DNF,name__de_ch,name__bar,name__en_ca,name__en_gb,name__gl,name__aa,name__af,name__ak,name__aln,name__an,name__ang,name__arn,name__ay,name__az,name__bcl,name__bi,name__bjn,name__bm,name__br,name__brh,name__bs,name__cbk_zam,name__cdo,name__ceb,name__ch,name__cho,name__chr,name__chy,name__co,name__cr,name__crh_latn,name__cs,name__csb,name__de_at,name__diq,name__dsb,name__dtp,name__ee,name__eml,name__et,name__eu,name__ext,name__ff,name__fit,name__fj,name__frp,name__frr,name__fur,name__fy,name__ga,name__gag,name__gd,name__gn,name__got,name__gsw,name__ha,name__hak,name__haw,name__hif_latn,name__ho,name__hr,name__hsb,name__ht,name__hz,name__id,name__ie,name__ig,name__ik,name__ike_latn,name__ilo,name__io,name__iu,name__jam,name__jbo,name__jv,name__kaa,name__kab,name__kg,name__ki,name__kj,name__kk_latn,name__kk_tr,name__kr,name__krj,name__ksh,name__ku,name__la,name__lad,name__lb,name__lfn,name__li,name__lij,name__lmo,name__ln,name__loz,name__lt,name__ltg,name__lus,name__lv,name__lzz,name__map_bms,name__mi,name__min,name__ms,name__mt,name__mus,name__mwl,name__na,name__nah,name__nap,name__nds_nl,name__ng,name__nov,name__nrm,name__nso,name__nv,name__ny,name__oc,name__om,name__pag,name__pam,name__pcd,name__pdc,name__pdt,name__pfl,name__pih,name__pms,name__prg,name__pt,name__pt_br,name__qu,name__qug,name__rif,name__rm,name__rmy,name__rn,name__roa_tara,name__rup,name__ruq_latn,name__rw,name__sat,name__sc,name__scn,name__sco,name__sdc,name__se,name__sei,name__sg,name__sgs,name__sh,name__shi_latn,name__sk,name__sli,name__sm,name__sma,name__sn,name__so,name__sr_el,name__srn,name__st,name__stq,name__sw,name__szl,name__tet,name__tg_latn,name__tk,name__tl,name__tn,name__to,name__tpi,name__tr,name__tru,name__ts,name__tt_latn,name__tum,name__ty,name__ug_latn,name__uz,name__ve,name__vec,name__vep,name__vi,name__vls,name__vmf,name__vo,name__vot,name__wa,name__war,name__wo,name__xh,name__yo,name__za,name__zea,name__zu,wikipedia__dawikiquote,name__uk,name__ka,name__ja,name__ko,name__el,name__fa,wikipedia__ast,wikipedia__el,wikipedia__fa,wikipedia__he,wikipedia__it,wikipedia__ja,wikipedia__ko,wikipedia__pt,wikipedia__simple,wikipedia__tr,wikipedia__uk,wikipedia__zh,identifier__Britannica,name__frc,name__mg,name__pap,name__rgn,wikipedia__eu,wikipedia__gl,identifier__CERL,identifier__google_knowledge,weblog,name__sje,name__smj,identifier__NUKAT,identifier__NLP,wikipedia__eswikiquote,identifier__CSFD,identifier__SFDb,identifier__PORT,wikipedia__et,wikipedia__mg,wikipedia__ie,identifier__GTAA,identifier__wikitree,wikipedia__sl,identifier__snac,wikipedia__br,wikipedia__kl,wikipedia__sh,identifier__youtube,identifier__google_plus,name__sr_ec,name__sr,wikipedia__sr,wikipedia__vi,instagram,wikipedia__cs,identifier__parlement,identifier__dialnet,name__lg,wikipedia__id,wikipedia__plwikiquote,wikipedia__io,wikipedia__nn,wikipedia__oc,name__be,name__ta,name__be_tarask,name__arz,name__hy,name__th,wikipedia__arz,wikipedia__az,wikipedia__be_x_old,wikipedia__be,wikipedia__hy,wikipedia__la,wikipedia__lb,wikipedia__lmo,wikipedia__lt,wikipedia__lv,wikipedia__ms,wikipedia__nds,wikipedia__sco,wikipedia__se,wikipedia__sk,wikipedia__ta,wikipedia__th,identifier__NNDB,identifier__quora,name__zh_hk,name__zh_sg,name__zh_tw,wikipedia__dawikisource,wikipedia__enwikisource,identifier__BAV,identifier__allmovie,identifier__google_scholar,identifier__ORCID,wikipedia__cswikiquote,political_alignment,wikipedia__dewikiquote,identifier__SCOPE,name__bg,name__tt,wikipedia__af,wikipedia__bg,wikipedia__enwikiquote,wikipedia__hsb,wikipedia__itwikiquote,wikipedia__jv,wikipedia__ka,wikipedia__qu,wikipedia__tt,wikipedia__uz,wikipedia__yo,identifier__bigenc_ru,identifier__AGORHA,name__azb,wikipedia__azb,wikipedia__gd,linkedin,name__kk,wikipedia__kk,wikipedia__fy,wikipedia__fiwikiquote,name__bn,name__mr,name__vro,name__ba,name__ne,name__mk,wikipedia__an,wikipedia__bn,wikipedia__bs,wikipedia__dewikinews,wikipedia__fawikiquote,wikipedia__fiu_vro,wikipedia__ga,wikipedia__hr,wikipedia__ku,wikipedia__mk,wikipedia__mr,wikipedia__ruwikinews,wikipedia__srwikinews,wikipedia__trwikinews,wikipedia__ukwikiquote,wikipedia__nowikiquote,name__gv,wikipedia__gv,identifier__nlg,wikipedia__li,identifier__TED,wikipedia__svwikiquote,wikipedia__species,identifier__N6I,identifier__PTBNP,wikipedia__nowikisource,wikipedia__svwikisource,identifier__LAC,name__ur,wikipedia__ur,name__aeb_arab,wikipedia__frwikiquote,name__pnb,name__ku_arab,name__ku_latn,name__pa,name__te,wikipedia__pa,wikipedia__pnb,wikipedia__slwikiquote,wikipedia__sw,identifier__nobel_prize,wikipedia__frwikisource,identifier__NPG
Q10271941,"Allan Niebuhr","Allan Niebuhr","Allan Niebuhr","Allan Niebuhr","Allan Niebuhr","Allan Niebuhr",,,,,,,"Allan Niebuhr",,"Allan Niebuhr",,"Allan Niebuhr",,"Allan Niebuhr",,,,,male,,,,1951-09-01,,,,Allan,,Niebuhr,,,,,,,"Allan Niebuhr",,,,,,,,"Category:Allan Niebuhr",,,,,https://upload.wikimedia.org/wikipedia/commons/a/ab/Allan_Niebuhr_(KF)_Danmark.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1029520,"Kaj Ikast","Kaj Ikast","Kaj Ikast","Kaj Ikast","Kaj Ikast","Kaj Ikast","Kaj Ikast",,,"Kaj Ikast","Kaj Ikast",,"Kaj Ikast",,"Kaj Ikast",,"Kaj Ikast",,"Kaj Ikast","Kaj Ikast",,"Kaj Ikast",,male,,,,1935-12-05,,politician,,Kaj,,Ikast,,,,,,,"Kaj Ikast",,,,"Kaj Ikast",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10314433,"Kirsten Jacobsen","Kirsten Jacobsen","Kirsten Jacobsen","Kirsten Jacobsen","Kirsten Jacobsen","Kirsten Jacobsen","Kirsten Jacobsen","Kirsten Jacobsen","Kirsten Jacobsen","Kirsten Jacobsen",,,"Kirsten Jacobsen","Kirsten Jacobsen","Kirsten Jacobsen","كيرستن ياكوبسن","Kirsten Jacobsen",,"Kirsten Jacobsen",,,,,female,1024261530,n85011917,64140871,1942-02-18,,politician,2010-12-02,Kirsten,"0000 0000 2956 6324",Jacobsen,,,"Kirsten Jacobsen",,,,"Kirsten Jacobsen",,,,,,,,,,,,,,315553235,67110,1896,,,,,,,,,148813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kirsten Jacobsen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kirsten Jacobsen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kirsten Jacobsen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1040851,"Carl Theodor Zahle","Carl Theodor Zahle","Carl Theodor Zahle","Carl Theodor Zahle","Carl Theodor Zahle","Carl Theodor Zahle","Carl Theodor Zahle","Carl Theodor Zahle","Carl Theodor Zahle","Carl Theodor Zahle","Carl Theodor Zahle","Карл Теодор Сале","Carl Theodor Zahle","Carl Theodor Zahle","Carl Theodor Zahle",,"Carl Theodor Zahle",,"C.Th. Zahle","Carl Theodor Zahle","Carl Theodor Zahle","Carl Theodor Zahle","Carl Theodor Zahle",male,118808249,n80076551,43138438,1866-01-19,,politician,1946-02-03,Carl,,Zahle,carl-theodor-zahle,,"Carl Theodor Zahle","Carl Theodor Zahle","Carl Theodor Zahle",,"Carl Theodor Zahle",,,,"Carl Theodor Zahle",,,,"Category:Carl Theodor Zahle",,"Carl Theodor Zahle",,/m/02pwj1,https://upload.wikimedia.org/wikipedia/commons/8/84/Zahle.jpg,,,,,,,,,,"Carl Theodor Zahle",,,,,"卡爾·泰奧多爾·薩勒","卡尔·泰奥多尔·萨勒","卡尔·泰奥多尔·萨勒",,"Carl Theodor Zahle",,"Carl Theodor Zahle","Сале, Карл Теодор",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carl Theodor Zahle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carl Theodor Zahle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carl Theodor Zahle",,,,,,,,,,,,,,,,,,,,,,,,,"Карл Теодор Зале",,"カール・サーレ","카를 테오도르 잘레",,"کارل تئودور زاهل",,,"کارل تئودور زاهل",,"Carl Theodor Zahle",,"카를 테오도르 잘레","Carl Theodor Zahle",,"Carl Theodor Zahle","Карл Теодор Зале",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carl Theodor Zahle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1041406,"Carl von Rosen","Carl von Rosen","Carl von Rosen","Carl von Rosen","Carl von Rosen","Carl von Rosen","Carl von Rosen",,,,,,"Carl von Rosen",,"Carl von Rosen",,,,"Carl von Rosen","Carl von Rosen",,,,male,,,,1819-09-09,,,1891-12-07,Carl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1058883,"Jóannes Patursson","Jóannes Patursson","Jóannes Patursson","Jóannes Patursson","Jóannes Patursson","Jóannes Patursson","Jóannes Patursson","Jóannes Patursson",,"Jóannes Patursson","Jóannes Patursson","Йоаннес Патурссон","Jóannes Patursson",,"Jóannes Patursson",,"Jóannes Patursson",,"Jóannes Patursson","Jóannes Patursson","Jóannes Patursson",,,male,1055338055,n93087211,59468368,1866-05-06,,poet,1946-08-02,,"0000 0000 0236 2233",,joannes-patursson,,,"Jóannes Patursson","Jóannes Patursson",,"Jóannes Patursson",,,,"Jóannes Patursson",,,,"Jóannes Patursson",,"Jóannes Patursson",,/m/05q7v78,"https://upload.wikimedia.org/wikipedia/commons/c/c3/Jóannes_Patursson.jpg",,90085623,,,,,,,,"Jóannes Patursson",,327976,,,,,,,"Jóannes Patursson","Jóannes Patursson","Jóannes Patursson","Йоаннес Патурссон",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ioannes Patursson",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ioannes Patursson",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1079744,"Christian Friis Bach","Christian Friis Bach","Christian Friis Bach","Christian Friis Bach","Christian Friis Bach","Christian Friis Bach","Christian Friis Bach","Christian Friis Bach",,,"Christian Friis Bach",,"Christian Friis Bach","Christian Friis Bach","Christian Friis Bach","كريستيان باش","Christian Friis Bach",,"Christian Friis Bach","Christian Friis Bach","Christian Friis Bach","Christian Friis Bach","Christian Friis Bach",male,136377157,nb2010003409,80732288,1966-04-29,,economist,,Christian,"0000 0000 7695 5250",Bach,,,,,,,,,,,,,,,"Category:Christian Friis Bach",,"Christian Friis Bach",,/m/0zm_5_c,https://upload.wikimedia.org/wikipedia/commons/f/f2/Christian-friis-bach.2000-11-14.jpg,,,,,,"克里斯丁·弗里斯·巴赫",,,,,,,,,,,,,,,,,,229583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10853676,"Marie Krarup","Marie Krarup","Marie Krarup","Marie Krarup","Marie Krarup","Marie Krarup","Marie Krarup","Marie Krarup","Marie Krarup","Marie Krarup",,,"Marie Krarup",,"Marie Krarup",,"Marie Krarup",,"Marie Krarup",,,,,female,,,,1965-12-06,,politician,,Marie,,Krarup,,,,"Marie Krarup","Marie Krarup","Marie Krarup",,http://www.mariekrarup.dk/,MarieKrarup,,,,,,,,"Marie Krarup",,,,,,6813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://puls.politiko.dk/author/mariekrarup/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1091154,"Jens Bilgrav-Nielsen","Jens Bilgrav-Nielsen","Jens Bilgrav-Nielsen","Jens Bilgrav-Nielsen","Jens Bilgrav-Nielsen",,"Jens Bilgrav-Nielsen",,,"Jens Bilgrav-Nielsen",,,"Jens Bilgrav-Nielsen",,"Jens Bilgrav-Nielsen",,"Jens Bilgrav-Nielsen",,"Jens Bilgrav-Nielsen",,,"Jens Bilgrav-Nielsen",,male,,,,1936-05-14,,teacher,,Jens,,,,,,,,,"Jens Bilgrav-Nielsen",,,,"Jens Bilgrav-Nielsen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10967294,"Rasmus Jarlov","Rasmus Jarlov","Rasmus Jarlov","Rasmus Jarlov","Rasmus Jarlov","Rasmus Jarlov","Rasmus Jarlov","Rasmus Jarlov","Rasmus Jarlov","Rasmus Jarlov",,,"Rasmus Jarlov","Rasmus Jarlov","Rasmus Jarlov",,"Rasmus Jarlov",,"Rasmus Jarlov",,,"Rasmus Jarlov","Rasmus Jarlov",male,,,,1977-04-29,,politician,,Rasmus,,,,,,"Rasmus Jarlov","Rasmus Jarlov","Rasmus Jarlov",,http://www.jarlov.dk/,RasmusJarlov,,,,,,"Category:Rasmus Jarlov",,"Rasmus Jarlov",,,"https://upload.wikimedia.org/wikipedia/commons/6/6b/20181011_Minister_Rasmus_Jarlov_til_Medicon_Valley_Alliance_Årsmøde_2018_(43432112060)_(cropped).jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rasmus Jarlov",,,,,,,,,,,,,,,,,,,,,,,,,,,,http://puls.politiko.dk/author/rasmusjarlov/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
