id,name,name__en,name__fr,name__nl,name__sl,wikipedia__fr,birth_date,gender,given_name,occupation,original_wikiname,name__es,name__de,wikipedia__en,family_name,website,facebook,identifier__SUDOC,identifier__VIAF,identifier__BNF,identifier__ISNI,name__ja,name__it,name__ru,twitter,linkedin,death_date,name__hu,wikipedia__ru,identifier__whoswho_france,wikipedia__commons,image
Q16041150,Christophe Spiliotis,Christophe Spiliotis,Christophe Spiliotis,Christophe Spiliotis,Christophe Spiliotis,Christophe Spiliotis,1957-08-07,male,Christophe,racing automobile driver,,,,,,,,,,,,,Christophe Spiliotis,,,,,,,,,
Q16194850,Jean-François Robillon,Jean-François Robillon,Jean-François Robillon,,Jean-François Robillon,Jean-François Robillon,1962-05-27,male,Jean-François,politician,,Jean-François Robillon,Jean-François Robillon,Jean-François Robillon,Robillon,,,,,,,,,,,,,,,,,
Q16204459,Laurent Nouvion,Laurent Nouvion,Laurent Nouvion,,Laurent Nouvion,Laurent Nouvion,1968-03-25,male,Laurent,politician,,,Laurent Nouvion,Laurent Nouvion,,,,,,,,,Laurent Nouvion,,,,,,,,,
Q17651814,Éric Elena,Éric Elena,Éric Elena,Eric Elena,Éric Elena,Éric Elena,1962-08-06,male,Éric,politician,,,,Eric Elena,,,,,,,,,Eric Elena,,,,,,,,,
Q20630486,Jean-Charles Allavena,Jean-Charles Allavena,Jean-Charles Allavena,Jean-Charles Allavena,Jean-Charles Allavena,Jean-Charles Allavena,1960-10-18,male,Jean-Charles,politician,,Jean-Charles Allavena,Jean-Charles Allavena,Jean-Charles Allavena,Allavena,,,,,,,,,,jc_allavena,,,,,,,
Q20774333,Thierry Poyet,Thierry Poyet,Thierry Poyet,Thierry Poyet,Thierry Poyet,Thierry Poyet,1965-03-25,male,Thierry,politician,,,,Thierry Poyet,Poyet,,,,,,,,,,,,,,,,,
Q25999626,Christophe Steiner,Christophe Steiner,Christophe Steiner,Christophe Steiner,Christophe Steiner,Christophe Steiner,1958-12-29,male,Christophe,politician,,Christophe Steiner,Christophe Steiner,Christophe Steiner,,,,,,,,,,,ChrisSteinerMC,,,,,,,
Q25999631,Jacques Rit,Jacques Rit,Jacques Rit,Jacques Rit,Jacques Rit,Jacques Rit,1949-07-19,male,Jacques,politician,,Jacques Rit,Jacques Rit,Jacques Rit,,,,,,,,,,,,,,,,,,
Q27554868,Sophie Lavagna,Sophie Lavagna,Sophie Lavagna,Sophie Lavagna,Sophie Lavagna,Sophie Lavagna,1965-07-22,female,Sophie,lawyer,,,,,,http://avocatlavagna.blogspot.fr/,,070967776,202026223,,0000 0004 3152 4376,,,,,,,,,,,
Q27554925,Philippe Clerissi,Philippe Clerissi,Philippe Clerissi,Philippe Clerissi,Philippe Clerissi,Philippe Clerissi,1953-07-10,male,Philippe,politician,,,,,,,,,,,,,,,,,,,,,,
