name,area,party,term
Atoloto Kolokilagi,"Hihifo, Wallis",Groupe RPWF-Les Républicains,2012
David Vergé,"Hahake, Wallis",Non-inscrits divers droite,2012
Frédéric Baudry,"Alo, Futuna",Non-inscrits divers gauche,2012
Lafaele Tukumuli,"Alo, Futuna",Non-inscrits divers gauche,2012
Lavinia Tagane,"Hahake, Wallis",Non-inscrits divers droite,2012
Marie-Louise Selui,"M'ua, Wallis",Groupe « Ensemble pour un avenir meilleur » divers centre ou centre-gauche,2012
Mikaele Kulimoetoke,"Hahake, Wallis",Non-inscrits divers gauche,2012
Mikaele Seo,"M'ua, Wallis",Non-inscrits divers gauche,2012
Mireille Laufilitoga,"M'ua, Wallis",Non-inscrits divers droite,2012
Munipoese Muliakaaka,"M'ua, Wallis",Non-inscrits divers gauche,2012
Napole Polutélé,"M'ua, Wallis",Groupe « Ensemble pour un avenir meilleur » divers centre ou centre-gauche,2012
Nivaleta Iloai,"Hihifo, Wallis",Groupe USPWF,2012
Savelina Vea,"Sigave, Futuna",Groupe USPWF,2012
Soane-Paulo Mailagi,"Hihifo, Wallis",Groupe « Ensemble pour un avenir meilleur » divers centre ou centre-gauche,2012
Sylvain Brial,"Sigave, Futuna",Non-inscrits divers gauche,2012
Toma Savea,"Alo, Futuna",Groupe RPWF-Les Républicains,2012
Tui Asoa Sosefo Motuku,"Alo, Futuna",Groupe centriste,2012
Tui Mata Utu André Vaitotai,"Hahake, Wallis",Groupe RPWF-Les Républicains,2012
Tuliano Talomafaia,"Sigave, Futuna",Non-inscrits divers gauche,2012
Yannick Feleu,"M'ua, Wallis",Groupe RPWF-Les Républicains,2012
