id,name__ar,name,wikipedia__ar,original_wikiname,name__fr,name__en,name__pt,name__de,name__it,name__pl,name__nl,name__es,name__ru,name__fa,name__mg,wikipedia__de,wikipedia__en,wikipedia__fa,wikipedia__fr,wikipedia__it,wikipedia__mg,wikipedia__pl,wikipedia__pt,wikipedia__ru,gender,birth_date,identifier__freebase,given_name,identifier__FIFA,name__nb,wikipedia__no,death_date,name__id,wikipedia__id,name__tr,wikipedia__tr,identifier__VIAF,identifier__IMDB,name__hu,name__arz,wikipedia__arz,name__en_ca,name__en_gb,wikipedia__es,wikipedia__nl,twitter,identifier__BNF,identifier__SUDOC,identifier__FAST,identifier__LCAuth,identifier__AlloCine,identifier__moviemeter,identifier__allmovie,identifier__elonet,identifier__PORT,identifier__kinopoisk,identifier__CSFD,name__ja,name__zh,wikipedia__ja,wikipedia__zh,image,name__ca,name__cy,wikipedia__ca,name__eo,name__ms,name__fi,wikipedia__arwikiquote,wikipedia__commons,wikipedia__eo,wikipedia__fi,wikipedia__ms,identifier__ISNI,identifier__GND,name__uk,wikipedia__uk,name__he,wikipedia__he,name__sv,wikipedia__sv,name__zh_hant,name__zh_cn,occupation,name__el,identifier__ioc_athlete
Q1026624,خالد محيي الدين,Khaled Mohieddin,خالد محيي الدين,Khaled Mohieddin,Khalid Muhyi al-Din,Khaled Mohieddin,,Khaled Mohieddin,Khalid Muhyi al-Din,Chalid Muhji ad-Din,Khaled Mohieddin,Khaled Mohieddin,Халед Мохи эд-Дин,,,,Khaled Mohieddin,,,Khālid Muḥyi al-Dīn,,Chalid Muhji ad-Din,,Халед Мохи эд-Дин,male,1922-08-17,/m/06zlz3w,Khalid,,Khaled Mohieddin,Khaled Mohieddin,,,,,,17070217,,Khaled Mohieddin,خالد محيى الدين,خالد محيى الدين,,,,,,,,258532,nr89013550,,,,,,,,ハーリド・モヘユッディーン,,,,https://upload.wikimedia.org/wikipedia/commons/2/2e/Khalid_Muhyi_al-Din-1952-54.jpg,,,,,,,,,,,,,,,,ח'אלד מוחי א-דין,ח'אלד מוחי א-דין,,,,,politician,,
Q12179551,أسامة الأزهري,Usama al-Sayyid Al-Azhari,أسامة الأزهري,أسامة الأزهري,,Usama al-Sayyid Al-Azhari,,,,,,,,,,,,,,,,,,,male,1976-07-16,,,,,,,Usama al-Sayyid Al-Azhari,Usama al-Sayyid Al-Azhari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,
Q12181798,إبراهيم عبد الوهاب,إبراهيم عبد الوهاب,إبراهيم عبد الوهاب,إبراهيم عبد الوهاب,,,,,,,,,,,,,,,,,,,,,male,1980,,Ibrahim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,
Q12208796,حمدي أحمد,Hamdy Ahmed,حمدي أحمد,Hamdy Ahmed,Hamdy Ahmed,Hamdy Ahmed,,Hamdy Ahmed,Hamdy Ahmed,,Hamdy Ahmed,Hamdy Ahmed,,,,,Hamdy Ahmed,,,,,,,,male,1933-11-09,,,,,,2016-01-08,,,Hamdy Ahmed,Hamdi Ahmed,299892081,nm0014148,,,,,,,,,,,,,5972,,,,,779636,69576,,,,,,,,,,,,,,,,,,,,,,,,,,,actor,,
Q12215152,سامح سيف اليزل,سامح سيف اليزل,سامح سيف اليزل,سامح سيف اليزل,,,,,,,,,,,,,,,,,,,,,male,1946,,,,,,2016-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/f5/اللواء_سامح_سيف_اليزل_مع_الإعلامى_أيمن_وهدان_-_فيينا_2012.jpg,,,,,,,,,,,,,,,,,,,,,,,,
Q12223885,عبد الهادي القصبي,Abdel Hadi al-Qasabi,عبد الهادي القصبي,عبد الهادي القصبي,Abdel Hadi al-Qasabi,Abdel Hadi al-Qasabi,,Abdel Hadi al-Qasabi,,,,,,,,Abdel Hadi al-Qasabi,,,,,,,,,male,"",,Abdel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12237452,لميس جابر,لميس جابر,لميس جابر,لميس جابر,,,,,,,,,,,,,,,,,,,,,female,,,,,,,,,,,,,,,لميس جابر,لميس جابر,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,
Q12242044,مرتضى منصور,Mortada Mansour,مرتضى منصور,مرتضى منصور,Mortada Mansour,Mortada Mansour,,Mortada Mansour,,,Mortada Mansour,,,,,,Mortada Mansour,,,,,,,,male,1952,,,,,,,,,,,,,,,,,,,Mortada Mansour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lawyer,Μορταδά Μανσούρ,
Q12243371,مصطفى بكري,مصطفى بكري,مصطفى بكري,مصطفى بكري,,,,,,,,,,,,,,,,,,,,,male,1956-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,
Q14565594,محمود بدر,Mahmoud Badr,محمود بدر,محمود بدر,Mahmoud Badr,Mahmoud Badr,,Mahmoud Badr,Mahmoud Badr,,Mahmoud Badr,Mahmoud Badr,,,,,Mahmoud Badr,,,,,,,,male,1985,/m/0w7p3ht,Mahmoud,,,,,,,,,,,,,,Mahmoud Badr,Mahmoud Badr,Mahmoud Badr,Mahmoud Badr,ma7mod_badr,,,,,,,,,,,,,馬哈茂德·巴德爾,,,,,,,,,,,,,,,,,,,,,,,,,journalist,,
Q16015001,,Mohammed Tayea,,Mohammed Tayea,Mohammed Tayea,Mohammed Tayea,,Mohammed Tayea,,,Mohammed Tayea,,,,,,Mohammed Tayea,,,,,,,,male,1945,,Mohammed,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,engineer,,
Q16121682,أكمل قرطام,أكمل قرطام,أكمل قرطام,أكمل قرطام,,,,,,,,,,,,,,,,,,,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16123725,كمال عامر,كمال عامر,كمال عامر (ضابط),كمال عامر (ضابط),,,,,,,,,,,,,,,,,,,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,
Q16151773,أمين إسكندر,Amin Iskander,أمين إسكندر,Amin Iskander,Amin Iskander,Amin Iskander,,Amin Iskander,,,Amin Iskander,,,,,,Amin Iskander,,,,,,,,male,1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,writer,,
Q1676180,محمد سعد الكتاتني,Saad El-Katatni,محمد سعد الكتاتني,Saad El-Katatni,Saad el-Katatni,Saad El-Katatni,Saad Al-Katatny,Saad al-Katatni,Sa'd al-Katatni,Sad al-Katatni,Saad El-Katatni,Saad El-Katatni,,,,Saad al-Katatni,Saad El-Katatni,,Saad el-Katatni,Sa'd al-Katatni,,Sad al-Katatni,Saad Al-Katatny,,male,1952-04-03,/m/0hzrhrc,Muhammed,,,,,,,,,,,Saad El-Katatni,محمد سعد الكتاتنى,محمد سعد الكتاتنى,,,,,,,,,,,,,,,,,ムハンマド・サアド・カタートニー,穆罕默德·萨阿德·卡塔特尼,ムハンマド・サアド・カタートニー,穆罕默德·萨阿德·卡塔特尼,https://upload.wikimedia.org/wikipedia/commons/5/55/Dr_saad_Katatni.jpeg,,,,,,,,,,,,,,,,,,,,,,politician,,
Q2032535,أسامة هيكل,أسامة هيكل,أسامة هيكل,أسامة هيكل,Osama Heikal,,,Osama Heikal,,,Osama Heikal,,,,,Osama Heikal,,,,,,,,,male,"",,Osama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,
Q20423390,محمود عثمان,محمود عثمان,محمود عثمان,محمود عثمان,,,,,,,,,,,,,,,,,,,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,
