start_date,end_date,image,sort_name,district,party,mandate_start,mandate_end,email,phone,facebook,twitter,source,name,given_name,family_name,term,id
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/232.png,Reutemann Carlos Alberto,Santa Fe,Alianza Cambiemos,2015-12-10,2021-12-09,reuteman@senado.gob.ar,"","",https://twitter.com/ReutemannC,http://www.senado.gov.ar/senadores/senador/232,Carlos Alberto Reutemann,Carlos Alberto,Reutemann,2016,232
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/232.png,Reutemann Carlos Alberto,Santa Fe,Alianza Cambiemos,2015-12-10,2021-12-09,reuteman@senado.gob.ar,"","",https://twitter.com/ReutemannC,http://www.senado.gov.ar/senadores/senador/232,Carlos Alberto Reutemann,Carlos Alberto,Reutemann,2017,232
2015-03-01,2015-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/266.png,Negre de Alonso Liliana Teresita,San Luis,Alianza Compromiso Federal,2011-12-10,2017-12-09,lnegre@senado.gob.ar,"","",https://twitter.com/LNegreOficial,http://www.senado.gov.ar/senadores/senador/266,Liliana Teresita Negre de Alonso,Liliana Teresita,Negre de Alonso,2015,266
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/266.png,Negre de Alonso Liliana Teresita,San Luis,Alianza Compromiso Federal,2011-12-10,2017-12-09,lnegre@senado.gob.ar,"","",https://twitter.com/LNegreOficial,http://www.senado.gov.ar/senadores/senador/266,Liliana Teresita Negre de Alonso,Liliana Teresita,Negre de Alonso,2016,266
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/266.png,Negre de Alonso Liliana Teresita,San Luis,Alianza Compromiso Federal,2011-12-10,2017-12-09,lnegre@senado.gob.ar,"","",https://twitter.com/LNegreOficial,http://www.senado.gov.ar/senadores/senador/266,Liliana Teresita Negre de Alonso,Liliana Teresita,Negre de Alonso,2017,266
2015-03-01,2015-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/294.png,Mayans José Miguel Ángel,Formosa,Alianza Frente para la Victoria,2011-12-10,2017-12-09,mayans@senado.gob.ar,"","","",http://www.senado.gov.ar/senadores/senador/294,José Miguel Ángel Mayans,José Miguel Ángel,Mayans,2015,294
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/294.png,Mayans José Miguel Ángel,Formosa,Alianza Frente para la Victoria,2011-12-10,2017-12-09,mayans@senado.gob.ar,"","","",http://www.senado.gov.ar/senadores/senador/294,José Miguel Ángel Mayans,José Miguel Ángel,Mayans,2016,294
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/294.png,Mayans José Miguel Ángel,Formosa,Alianza Frente para la Victoria,2011-12-10,2017-12-09,mayans@senado.gob.ar,"","","",http://www.senado.gov.ar/senadores/senador/294,José Miguel Ángel Mayans,José Miguel Ángel,Mayans,2017,294
2015-03-01,2015-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/311.png,Pichetto Miguel Ángel,Río Negro,Frente para la Victoria,2013-12-10,2019-12-09,pichetto@senado.gob.ar,"","","",http://www.senado.gov.ar/senadores/senador/311,Miguel Ángel Pichetto,Miguel Ángel,Pichetto,2015,311
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/311.png,Pichetto Miguel Ángel,Río Negro,Frente para la Victoria,2013-12-10,2019-12-09,pichetto@senado.gob.ar,"","","",http://www.senado.gov.ar/senadores/senador/311,Miguel Ángel Pichetto,Miguel Ángel,Pichetto,2016,311
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/311.png,Pichetto Miguel Ángel,Río Negro,Frente para la Victoria,2013-12-10,2019-12-09,pichetto@senado.gob.ar,"","","",http://www.senado.gov.ar/senadores/senador/311,Miguel Ángel Pichetto,Miguel Ángel,Pichetto,2017,311
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/327.png,Alperovich José Jorge,Tucumán,Alianza Frente para la Victoria,2015-12-10,2021-12-09,jose.alperovich@senado.gob.ar,"","",https://twitter.com/JalperovichOK,http://www.senado.gov.ar/senadores/senador/327,José Jorge Alperovich,José Jorge,Alperovich,2016,327
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/327.png,Alperovich José Jorge,Tucumán,Alianza Frente para la Victoria,2015-12-10,2021-12-09,jose.alperovich@senado.gob.ar,"","",https://twitter.com/JalperovichOK,http://www.senado.gov.ar/senadores/senador/327,José Jorge Alperovich,José Jorge,Alperovich,2017,327
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/337.png,Castillo Oscar Aníbal,Catamarca,Frente Cívico y Social,2015-12-10,2021-12-09,castillo@senado.gob.ar,"","",https://twitter.com/Oacastillo,http://www.senado.gov.ar/senadores/senador/337,Oscar Aníbal Castillo,Oscar Aníbal,Castillo,2016,337
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/337.png,Castillo Oscar Aníbal,Catamarca,Frente Cívico y Social,2015-12-10,2021-12-09,castillo@senado.gob.ar,"","",https://twitter.com/Oacastillo,http://www.senado.gov.ar/senadores/senador/337,Oscar Aníbal Castillo,Oscar Aníbal,Castillo,2017,337
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/344.png,Marino Juan Carlos,La Pampa,Alianza Cambiemos,2015-12-10,2021-12-09,juan.marino@senado.gob.ar,"",https://www.facebook.com/marinojuancarlos,https://twitter.com/Juancmarino,http://www.senado.gov.ar/senadores/senador/344,Juan Carlos Marino,Juan Carlos,Marino,2016,344
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/344.png,Marino Juan Carlos,La Pampa,Alianza Cambiemos,2015-12-10,2021-12-09,juan.marino@senado.gob.ar,"",https://www.facebook.com/marinojuancarlos,https://twitter.com/Juancmarino,http://www.senado.gov.ar/senadores/senador/344,Juan Carlos Marino,Juan Carlos,Marino,2017,344
2015-03-01,2015-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/35.png,Romero Juan Carlos,Salta,Frente Popular Salteño,2013-12-10,2019-12-09,juan.romero@senado.gob.ar,"",https://www.facebook.com/romeroxsalta,https://twitter.com/romeroxsalta,http://www.senado.gov.ar/senadores/senador/35,Juan Carlos Romero,Juan Carlos,Romero,2015,35
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/35.png,Romero Juan Carlos,Salta,Frente Popular Salteño,2013-12-10,2019-12-09,juan.romero@senado.gob.ar,"",https://www.facebook.com/romeroxsalta,https://twitter.com/romeroxsalta,http://www.senado.gov.ar/senadores/senador/35,Juan Carlos Romero,Juan Carlos,Romero,2016,35
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/35.png,Romero Juan Carlos,Salta,Frente Popular Salteño,2013-12-10,2019-12-09,juan.romero@senado.gob.ar,"",https://www.facebook.com/romeroxsalta,https://twitter.com/romeroxsalta,http://www.senado.gov.ar/senadores/senador/35,Juan Carlos Romero,Juan Carlos,Romero,2017,35
2015-03-01,2015-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/350.png,Leguizamón María Laura,Buenos Aires,Alianza Frente para la Victoria,2011-12-10,2017-12-09,maria.leguizamon@senado.gob.ar,"","",https://twitter.com/MLLeguizamon,http://www.senado.gov.ar/senadores/senador/350,María Laura Leguizamón,María Laura,Leguizamón,2015,350
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/350.png,Leguizamón María Laura,Buenos Aires,Alianza Frente para la Victoria,2011-12-10,2017-12-09,maria.leguizamon@senado.gob.ar,"","",https://twitter.com/MLLeguizamon,http://www.senado.gov.ar/senadores/senador/350,María Laura Leguizamón,María Laura,Leguizamón,2016,350
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/350.png,Leguizamón María Laura,Buenos Aires,Alianza Frente para la Victoria,2011-12-10,2017-12-09,maria.leguizamon@senado.gob.ar,"","",https://twitter.com/MLLeguizamon,http://www.senado.gov.ar/senadores/senador/350,María Laura Leguizamón,María Laura,Leguizamón,2017,350
2015-03-01,2015-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/355.png,Petcoff Naidenoff Luis Carlos,Formosa,Unión Cívica Radical,2011-12-10,2017-12-09,luis.petcoffnaidenoff@senado.gob.ar,"","",https://twitter.com/luisnaidenoff,http://www.senado.gov.ar/senadores/senador/355,Luis Carlos Petcoff Naidenoff,Luis Carlos,Petcoff Naidenoff,2015,355
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/355.png,Petcoff Naidenoff Luis Carlos,Formosa,Unión Cívica Radical,2011-12-10,2017-12-09,luis.petcoffnaidenoff@senado.gob.ar,"","",https://twitter.com/luisnaidenoff,http://www.senado.gov.ar/senadores/senador/355,Luis Carlos Petcoff Naidenoff,Luis Carlos,Petcoff Naidenoff,2016,355
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/355.png,Petcoff Naidenoff Luis Carlos,Formosa,Unión Cívica Radical,2011-12-10,2017-12-09,luis.petcoffnaidenoff@senado.gob.ar,"","",https://twitter.com/luisnaidenoff,http://www.senado.gov.ar/senadores/senador/355,Luis Carlos Petcoff Naidenoff,Luis Carlos,Petcoff Naidenoff,2017,355
2015-03-01,2015-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/356.png,Fellner Liliana Beatriz,Jujuy,Alianza Frente para la Victoria,2011-12-10,2017-12-09,liliana.fellner@senado.gob.ar,"","",https://twitter.com/Liliana_Fellner,http://www.senado.gov.ar/senadores/senador/356,Liliana Beatriz Fellner,Liliana Beatriz,Fellner,2015,356
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/356.png,Fellner Liliana Beatriz,Jujuy,Alianza Frente para la Victoria,2011-12-10,2017-12-09,liliana.fellner@senado.gob.ar,"","",https://twitter.com/Liliana_Fellner,http://www.senado.gov.ar/senadores/senador/356,Liliana Beatriz Fellner,Liliana Beatriz,Fellner,2016,356
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/356.png,Fellner Liliana Beatriz,Jujuy,Alianza Frente para la Victoria,2011-12-10,2017-12-09,liliana.fellner@senado.gob.ar,"","",https://twitter.com/Liliana_Fellner,http://www.senado.gov.ar/senadores/senador/356,Liliana Beatriz Fellner,Liliana Beatriz,Fellner,2017,356
2015-03-01,2015-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/357.png,Menem Carlos Saúl,La Rioja,Alianza Frente Popular Riojano,2011-12-10,2017-12-09,carlos.menem@senado.gob.ar,"","","",http://www.senado.gov.ar/senadores/senador/357,Carlos Saúl Menem,Carlos Saúl,Menem,2015,357
2016-03-01,2016-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/357.png,Menem Carlos Saúl,La Rioja,Alianza Frente Popular Riojano,2011-12-10,2017-12-09,carlos.menem@senado.gob.ar,"","","",http://www.senado.gov.ar/senadores/senador/357,Carlos Saúl Menem,Carlos Saúl,Menem,2016,357
2017-03-01,2017-11-30,http://www.senado.gov.ar/bundles/senadosenadores/images/fsena/357.png,Menem Carlos Saúl,La Rioja,Alianza Frente Popular Riojano,2011-12-10,2017-12-09,carlos.menem@senado.gob.ar,"","","",http://www.senado.gov.ar/senadores/senador/357,Carlos Saúl Menem,Carlos Saúl,Menem,2017,357
