id,name__en,name__es,name__de,name__nb,name__da,name__nn,name__sv,name__fr,name__ru,name__gl,name__it,name__pt,name__ca,name__nl,name__hu,name,wikipedia__en,wikipedia__es,image,gender,birth_date,given_name,twitter,original_wikiname,name__zh,wikipedia__de,identifier__freebase,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__pl,name__eu,name__he,name__ko,name__oc,name__yo,name__ms,name__et,name__id,name__ja,name__sh,name__ar,name__gn,name__sk,name__tr,name__ro,name__fi,name__uk,name__la,name__io,name__fa,name__mr,name__bg,name__ka,name__hr,name__lt,name__jv,name__cs,name__eo,name__qu,wikipedia__ar,wikipedia__bg,wikipedia__ca,wikipedia__commons,wikipedia__cs,wikipedia__da,wikipedia__enwikiquote,wikipedia__eo,wikipedia__eswikinews,wikipedia__eswikiquote,wikipedia__et,wikipedia__eu,wikipedia__fa,wikipedia__fi,wikipedia__fr,wikipedia__gl,wikipedia__gn,wikipedia__he,wikipedia__hr,wikipedia__hu,wikipedia__id,wikipedia__io,wikipedia__it,wikipedia__ja,wikipedia__jv,wikipedia__ka,wikipedia__ko,wikipedia__la,wikipedia__lt,wikipedia__mr,wikipedia__ms,wikipedia__nl,wikipedia__no,wikipedia__oc,wikipedia__pl,wikipedia__plwikiquote,wikipedia__pt,wikipedia__ptwikiquote,wikipedia__qu,wikipedia__ro,wikipedia__ru,wikipedia__sh,wikipedia__simple,wikipedia__sk,wikipedia__sv,wikipedia__tr,wikipedia__uk,wikipedia__yo,wikipedia__zh,identifier__ISNI,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__SUDOC,identifier__IMDB,identifier__BNE,identifier__NNDB,identifier__Munzinger,identifier__FAST,identifier__BVMC,name__mg,wikipedia__mg,name__sl,name__vi,name__be,wikipedia__be,wikipedia__sl,wikipedia__vi,name__en_ca,name__en_gb,name__br,wikipedia__br,pseudonym,name__sr_el,name__sr_ec,name__sr,name__el,wikipedia__sr,identifier__MusicBrainz,website,identifier__AlloCine,identifier__GNC,identifier__moviemeter,identifier__senate_nl,identifier__allmovie,identifier__SFDb,identifier__elonet,identifier__PORT,identifier__SCOPE,identifier__kinopoisk,identifier__CSFD,identifier__DNF,identifier__filmportal_de,name__de_ch,name__pt_br,identifier__discogs,family_name,wikipedia__eswikisource,occupation,facebook,death_date,wikipedia__lv,identifier__snac,name__lv,identifier__Britannica,identifier__bna,name__cy,instagram,name__lb,name__bs,name__uz,name__ta,name__af,name__is,name__sco,name__mzn,name__kk,name__an,name__pms,name__nah,name__ay,name__yue,name__hi,name__hy,name__th,name__vep,name__sgs,name__gv,name__ckb,name__ml,name__sq,name__tl,name__war,name__bn,name__co,name__ast,name__be_tarask,name__pa,name__ky,name__cbk_zam,name__xmf,name__bi,wikipedia__af,wikipedia__an,wikipedia__arwikinews,wikipedia__ast,wikipedia__ay,wikipedia__bat_smg,wikipedia__be_x_old,wikipedia__bi,wikipedia__bn,wikipedia__bs,wikipedia__cbk_zam,wikipedia__ckb,wikipedia__co,wikipedia__cswikiquote,wikipedia__cy,wikipedia__el,wikipedia__fiwikiquote,wikipedia__frwikinews,wikipedia__gv,wikipedia__hi,wikipedia__hy,wikipedia__is,wikipedia__kk,wikipedia__ky,wikipedia__lb,wikipedia__ml,wikipedia__mzn,wikipedia__nah,wikipedia__nn,wikipedia__pa,wikipedia__pms,wikipedia__ruwikinews,wikipedia__sco,wikipedia__sq,wikipedia__srwikinews,wikipedia__ta,wikipedia__th,wikipedia__tl,wikipedia__trwikinews,wikipedia__uz,wikipedia__vep,wikipedia__war,wikipedia__xmf,wikipedia__zh_yue,identifier__CANTIC,electoral_district,identifier__NTA,identifier__NKC,identifier__nyt_topic,identifier__quora,identifier__argentine_senate,identifier__bigenc_ru,identifier__GTAA,name__bat_smg,wikipedia__ie,wikipedia__sc,name__nds,name__ty,name__sc,name__ie,wikipedia__itwikinews,identifier__flickr
Q1042890,Carlos Espínola,Carlos Mauricio Espínola,Carlos Espínola,Carlos Mauricio Espínola,Carlos Mauricio Espínola,Carlos Mauricio Espínola,Carlos Mauricio Espínola,Carlos Mauricio Espínola,"Эспинола, Карлос Маурисио",,,Carlos Espínola,Carlos Mauricio Espínola,Carlos Espínola,,Carlos Mauricio Espínola,Carlos Espínola (sailor),Carlos Mauricio Espínola,https://upload.wikimedia.org/wikipedia/commons/0/01/Carlos_Mauricio_Espínola.jpg,male,1971-10-05,Carlos,espinolacamau,Carlos Mauricio Espínola,,Carlos Espínola,/m/09zl5j,,,,,,,Carlos Espínola,,,,,,,,,,,,,,,,,Карлос Еспінола,,,,,,,,,,,,,,,Carlos Mauricio Espínola,Category:Carlos Espínola,,,,,,,,,,,Carlos Espínola,,,,,,,,,,,,,,,,,,,,Carlos Espínola,,Carlos Espínola (velejador),,,,"Эспинола, Карлос Маурисио",,,,Carlos Espínola,,Карлос Еспінола,,,,,,,,,,,,,,,,,Carlos Mauricio Espínola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461,,,,,,,,,,,
Q11682645,Humberto Schiavoni,Humberto Schiavoni,,,,,,Humberto Schiavoni,,,,,,Humberto Schiavoni,,Humberto Schiavoni,,Humberto Schiavoni,https://upload.wikimedia.org/wikipedia/commons/7/70/Humberto_Schiavoni.jpg,male,1958-07-10,Humberto,SchiavoniH,Humberto Schiavoni,,,,,,,,,,,,,,,,,,,,,,,,,,,Умберто Луїс Ск'явоні,,,,,,,,,,,,,,,,Category:Humberto Schiavoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Умберто Луїс Ск'явоні,,,,,,,,,,,,,,,,,Humberto Schiavoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lawyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485,,,,,,,,,,,
Q16300569,Sandra Giménez,Sandra Giménez,Sandra Giménez,,,,,Sandra Giménez,,,,,Sandra Daniela Giménez,Sandra Giménez,Sandra Giménez,Sandra Giménez,Sandra Giménez,Sandra Giménez,https://upload.wikimedia.org/wikipedia/commons/d/dd/Sandra_Gimenez.png,female,1967-09-02,Sandra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sandra Giménez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16301366,Magdalena Odarda,Magdalena Odarda,Magdalena Odarda,,,,,Magdalena Odarda,,Magdalena Odarda,Magdalena Odarda,Magdalena Odarda,Magdalena Odarda,Magdalena Odarda,Magdalena Odarda,Magdalena Odarda,,Magdalena Odarda,https://upload.wikimedia.org/wikipedia/commons/6/6e/MagdalenaOdarda.jpg,female,1965-12-28,Magdalena,,Magdalena Odarda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magdalena Odarda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magdalena Odarda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lawyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442,,,,,,,,,,,
Q16302727,Rodolfo Urtubey,Rodolfo Urtubey,Rodolfo Urtubey,,,,,Rodolfo Urtubey,,,,,,Rodolfo Urtubey,Rodolfo Urtubey,Rodolfo Urtubey,,Rodolfo Urtubey,https://upload.wikimedia.org/wikipedia/commons/3/38/Urtubey.png,male,1959-03-27,Rodolfo,,Rodolfo Julio Urtubey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rodolfo Urtubey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Urtubey,,lawyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443,,,,,,,,,,,
Q173238,Carlos Reutemann,Carlos Reutemann,Carlos Reutemann,Carlos Reutemann,Carlos Reutemann,Carlos Reutemann,Carlos Reutemann,Carlos Reutemann,"Ройтеман, Карлос",Carlos Reutemann,Carlos Reutemann,Carlos Reutemann,Carlos Reutemann,Carlos Reutemann,Carlos Reutemann,Carlos Reutemann,Carlos Reutemann,Carlos Reutemann,https://upload.wikimedia.org/wikipedia/commons/2/29/Carlos_Reutemann.jpg,male,1942-04-12,Carlos,,Carlos Reutemann,卡洛斯·瑞特曼,Carlos Reutemann,/m/02jm68,,,,,,,Carlos Reutemann,Carlos Reutemann,,,Carlos Alberto Reutemann,,,,Carlos Reutemann,カルロス・ロイテマン,,كارلوس ريوتيمان,,,,Carlos Reutemann,Carlos Reutemann,,,,,,Карлос Ройтеман,,Carlos Reutemann,,,Carlos Reutemann,,Carlos Reutemann,كارلوس ريوتيمان,Карлос Ройтеман,Carlos Reutemann,Carlos Reutemann,Carlos Reutemann,,,,,,,Carlos Reutemann,,Carlos Reutemann,Carlos Reutemann,Carlos Reutemann,,,Carlos Reutemann,Carlos Reutemann,Carlos Reutemann,,Carlos Reutemann,カルロス・ロイテマン,,,,,,,,Carlos Reutemann,,Carlos Alberto Reutemann,Carlos Reutemann,,Carlos Reutemann,,Carlos Reutemann,Carlos Reutemann,"Ройтеман, Карлос",,Carlos Reutemann,,Carlos Reutemann,,,,卡洛斯·瑞特曼,0000 0000 3326 5524,36206394,,n97107209,,,,,,,399367,,,,Carlos Reutemann,,,,Carlos Reutemann,,,,Carlos Reutemann,Carlos Reutemann,,,,,,,,,,,,,,,,,,,,,,,,,,,Formula One driver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232,,,,,,,,,,,
Q185107,Carlos Menem,Carlos Menem,Carlos Menem,Carlos Menem,Carlos Saúl Menem,Carlos Menem,Carlos Menem,Carlos Menem,Карлос Менем,Carlos Menem,Carlos Saúl Menem,Carlos Saúl Menem,Carlos Saúl Menem,Carlos Menem,Carlos Menem,Carlos Menem,Carlos Menem,Carlos Menem,https://upload.wikimedia.org/wikipedia/commons/1/14/Menem_con_banda_presidencial.jpg,male,1930-07-02,Carlos,CarlosMenem_LR,Carlos Menem,卡洛斯·梅内姆,Carlos Menem,/m/0d7_4,卡洛斯·梅内姆,卡洛斯·梅內姆,卡洛斯·梅內姆,卡洛斯·梅内姆,卡洛斯·梅内姆,卡洛斯·梅內姆,Carlos Saúl Menem,Carlos Menem,קרלוס מנם,카를로스 메넴,Carlos Saúl Menem,Carlos Menem,Carlos Menem,Carlos Menem,Carlos Menem,カルロス・メネム,Carlos Saúl Menem,كارلوس منعم,Carlos Menem,Carlos Menem,Carlos Menem,Carlos Menem,Carlos Menem,Карлос Менем,Carolus Menem,Carlos Saúl Menem,کارلوس منعم,कार्लोस मेनेम,Карлос Менем,კარლოს მენემი,Carlos Menem,Carlos Menem,Carlos Menem,Carlos Menem,Carlos Menem,Carlos Menem,كارلوس منعم,Карлос Менем,Carlos Saúl Menem,Carlos Menem,Carlos Menem,Carlos Saúl Menem,Carlos Menem,Carlos Menem,Categoría:Carlos Menem,Carlos Menem,Carlos Menem,Carlos Menem,کارلوس منم,Carlos Menem,Carlos Menem,Carlos Menem,Carlos Menem,קרלוס מנם,Carlos Menem,Carlos Menem,Carlos Menem,Carlos Saúl Menem,Carlos Saúl Menem,カルロス・メネム,Carlos Menem,კარლოს მენემი,카를로스 메넴,Carolus Menem,Carlos Menem,कार्लोस मेनेम,Carlos Menem,Carlos Menem,Carlos Menem,Carlos Saúl Menem,Carlos Saúl Menem,Carlos Saúl Menem,Carlos Menem,Carlos Menem,Carlos Menem,Carlos Menem,"Менем, Карлос",Carlos Saúl Menem,Carlos Menem,Carlos Menem,Carlos Menem,Carlos Menem,Карлос Менем,Carlos Menem,卡洛斯·梅内姆,0000 0001 1028 8448,68960646,119323206,n86125059,121150450,030737915,,XX1045348,047/000024972,00000018668,188550,57531,,,Carlos Menem,,Карлас Менем,Карлас Менем,,,Carlos Menem,Carlos Menem,,,,,,,,,,,,0240622,,,,,,,,,,,,Carlos Menem,Carlos Menem,,Menem,Autor:Carlos Saúl Menem,politician,menem.conduccion,,Karloss Menems,w69w22sg,Karloss Menems,biography/Carlos-Menem,000028111,,,,,,,,,,,,,,,,曼南,,,,,,,,,,,,,,Carlos Menem,,,,,,,,,,Carlos Menem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,曼南,,,183745477,,,,357,2204335,131810,,,,,,,,,
Q18711852,Eduardo Alberto Aguilar,Eduardo Alberto Aguilar,Eduardo Alberto Aguilar,,,,,Eduardo Alberto Aguilar,,,Eduardo Aguilar,,,Eduardo Alberto Aguilar,Eduardo Alberto Aguilar,Eduardo Alberto Aguilar,,Eduardo Aguilar,https://upload.wikimedia.org/wikipedia/commons/0/0d/Eduardo_Aguilar_en_el_Impenetrable.JPG,male,1971,Eduardo,,,,,,,,,,,,,,,,,,,,,エドゥアルド・アギラール,,,,,,,,,,,,,,,,,,,,,,,,Category:Eduardo Aguilar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eduardo Alberto Aguilar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434,,,,,,,,,,,
Q18711856,Adolfo Bermejo,Adolfo Bermejo,Adolfo Bermejo,,,,,Adolfo Bermejo,,Adolfo Bermejo,Adolfo Bermejo,Adolfo Bermejo,Adolfo Bermejo,Adolfo Bermejo,Adolfo Bermejo,Adolfo Bermejo,,Adolfo Bermejo,https://upload.wikimedia.org/wikipedia/commons/5/59/Adolfo_Bermejo2.jpg,male,1960-11-29,Rolando,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adolfo Bermejo,,,,,,,,,,,,,,,,,http://www.adolfobermejo.com.ar/,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18711860,Salvador Cabral,Salvador Cabral,Salvador Cabral,,,,,Salvador Cabral,,,,,,Salvador Cabral,Salvador Cabral,Salvador Cabral,,,,male,,Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salvador Cabral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
