start_date,end_date,name,sort_name,given_name,family_name,area,party,source,identifier__aph,email,website,facebook,twitter,term,id,wikipedia,wikipedia_name,identifier__openaustralia,party_id
1994-02-22,1996-03-02,Eric Abetz,"Abetz, Eric",Eric,Abetz,Tasmania,Liberal Party,http://data.openaustralia.org/members/senators.xml,N26,"",http://abetz.com.au/,http://www.facebook.com/SenatorAbetz,http://twitter.com/SenatorAbetz,37,N26,,,10003,liberal_party
1996-03-02,1998-10-03,Eric Abetz,"Abetz, Eric",Eric,Abetz,Tasmania,Liberal Party,http://data.openaustralia.org/members/senators.xml,N26,"",http://abetz.com.au/,http://www.facebook.com/SenatorAbetz,http://twitter.com/SenatorAbetz,38,N26,,,10003,liberal_party
1998-10-03,2001-11-10,Eric Abetz,"Abetz, Eric",Eric,Abetz,Tasmania,Liberal Party,http://data.openaustralia.org/members/senators.xml,N26,"",http://abetz.com.au/,http://www.facebook.com/SenatorAbetz,http://twitter.com/SenatorAbetz,39,N26,,,10003,liberal_party
2001-11-10,2004-10-09,Eric Abetz,"Abetz, Eric",Eric,Abetz,Tasmania,Liberal Party,http://data.openaustralia.org/members/senators.xml,N26,"",http://abetz.com.au/,http://www.facebook.com/SenatorAbetz,http://twitter.com/SenatorAbetz,40,N26,,,10003,liberal_party
2004-10-09,2007-11-24,Eric Abetz,"Abetz, Eric",Eric,Abetz,Tasmania,Liberal Party,http://data.openaustralia.org/members/senators.xml,N26,"",http://abetz.com.au/,http://www.facebook.com/SenatorAbetz,http://twitter.com/SenatorAbetz,41,N26,,,10003,liberal_party
2007-11-24,2010-08-21,Eric Abetz,"Abetz, Eric",Eric,Abetz,Tasmania,Liberal Party,http://data.openaustralia.org/members/senators.xml,N26,"",http://abetz.com.au/,http://www.facebook.com/SenatorAbetz,http://twitter.com/SenatorAbetz,42,N26,,,10003,liberal_party
2010-08-21,2013-09-07,Eric Abetz,"Abetz, Eric",Eric,Abetz,Tasmania,Liberal Party,http://data.openaustralia.org/members/senators.xml,N26,"",http://abetz.com.au/,http://www.facebook.com/SenatorAbetz,http://twitter.com/SenatorAbetz,43,N26,,,10003,liberal_party
2013-09-07,2016-05-09,Eric Abetz,"Abetz, Eric",Eric,Abetz,Tasmania,Liberal Party,http://data.openaustralia.org/members/senators.xml,N26,"",http://abetz.com.au/,http://www.facebook.com/SenatorAbetz,http://twitter.com/SenatorAbetz,44,N26,,,10003,liberal_party
2016-07-02,,Eric Abetz,"Abetz, Eric",Eric,Abetz,Tasmania,Liberal Party,http://data.openaustralia.org/members/senators.xml,N26,"",http://abetz.com.au/,http://www.facebook.com/SenatorAbetz,http://twitter.com/SenatorAbetz,45,N26,,,10003,liberal_party
2005-07-01,2007-11-24,Judith Adams,"Adams, Judith",Judith,Adams,WA,Liberal Party,http://data.openaustralia.org/members/senators.xml,,,,,,41,,,,10005,liberal_party
