id,name__en,name__zh,name__ms,name__es,name__id,name__de,name__nb,name__da,name__nn,name__sv,name__nl,name__hu,name,wikipedia__en,wikipedia__id,wikipedia__ms,wikipedia__zh,gender,birth_date,identifier__freebase,original_wikiname,name__fr,image,given_name,name__cy,wikipedia__de,identifier__VIAF,identifier__GND,identifier__LCAuth,death_date,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__jv,name__pl,name__eu,name__qu,name__ta,name__et,name__my,name__pt,name__eo,name__is,name__ru,name__tr,name__hak,name__mk,name__fi,name__uk,name__be_tarask,name__ne,name__az,name__tl,name__kk_arab,name__kk_cn,name__kk_tr,name__kk_kz,name__kk_cyrl,name__kk_latn,name__nan,name__be,name__ko,name__he,name__lv,name__it,name__li,name__ja,name__vi,name__yue,name__sh,name__sa,name__hi,name__ro,name__th,name__ca,name__war,name__cs,name__bg,name__fa,name__mr,name__km,name__kk,name__sr,name__ar,name__ky,name__new,name__sco,name__si,name__la,name__mg,name__bcl,name__lzh,name__pnb,name__wuu,name__yi,name__ur,name__ba,name__ka,name__ml,name__sd,name__tt,name__vo,name__hy,name__io,name__lb,name__lo,name__mn,name__te,name__gu,name__bn,name__gl,name__ast,name__el,wikipedia__ar,wikipedia__arwikiquote,wikipedia__ast,wikipedia__az,wikipedia__ba,wikipedia__bcl,wikipedia__be_x_old,wikipedia__be,wikipedia__bg,wikipedia__bn,wikipedia__ca,wikipedia__commons,wikipedia__cs,wikipedia__cy,wikipedia__da,wikipedia__dewikiquote,wikipedia__el,wikipedia__enwikinews,wikipedia__enwikiquote,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__eu,wikipedia__fa,wikipedia__fi,wikipedia__fr,wikipedia__gu,wikipedia__hak,wikipedia__he,wikipedia__hi,wikipedia__hu,wikipedia__hy,wikipedia__io,wikipedia__is,wikipedia__it,wikipedia__ja,wikipedia__jv,wikipedia__ka,wikipedia__kk,wikipedia__km,wikipedia__ko,wikipedia__ky,wikipedia__la,wikipedia__lb,wikipedia__li,wikipedia__lo,wikipedia__lv,wikipedia__mg,wikipedia__mk,wikipedia__ml,wikipedia__mn,wikipedia__mr,wikipedia__my,wikipedia__ne,wikipedia__new,wikipedia__nl,wikipedia__nn,wikipedia__nnwikiquote,wikipedia__no,wikipedia__pl,wikipedia__plwikiquote,wikipedia__pnb,wikipedia__pt,wikipedia__qu,wikipedia__ro,wikipedia__ru,wikipedia__ruwikinews,wikipedia__ruwikiquote,wikipedia__sa,wikipedia__sco,wikipedia__sd,wikipedia__sh,wikipedia__simple,wikipedia__sr,wikipedia__sv,wikipedia__ta,wikipedia__te,wikipedia__th,wikipedia__thwikiquote,wikipedia__tl,wikipedia__tr,wikipedia__tt,wikipedia__uk,wikipedia__ukwikiquote,wikipedia__ur,wikipedia__vi,wikipedia__vo,wikipedia__war,wikipedia__wuu,wikipedia__yi,wikipedia__zh_classical,wikipedia__zh_min_nan,wikipedia__zh_yue,wikipedia__zhwikiquote,identifier__ISNI,identifier__BNF,identifier__SUDOC,identifier__IMDB,identifier__NDL,family_name,identifier__NNDB,identifier__CANTIC,identifier__Munzinger,identifier__FAST,identifier__CSPAN,identifier__wikitree,identifier__NLA,identifier__NTA,identifier__NLAtrove,name__nds,name__vmf,name__en_ca,name__en_gb,twitter,facebook,name__min,wikipedia__min,website,name__so,name__ckb,name__bs,name__ace,wikipedia__ace,wikipedia__bswikiquote,wikipedia__ckb,wikipedia__itwikiquote,wikipedia__so,wikipedia__trwikiquote,identifier__MusicBrainz,identifier__GTAA,name__yo,name__lt,name__oc,wikipedia__eowikinews,wikipedia__lt,wikipedia__yo,name__de_ch,name__pt_br,wikipedia__oc,identifier__Oxforddnb,identifier__bigenc_ru,name__br,name__co,name__ty,identifier__OLID,wikipedia__gl,name__zh_mo,name__lmo,name__pa,wikipedia__pa,name__sk,name__zh_my,identifier__NLI,identifier__britishmuseum,identifier__NPG,occupation,identifier__google_knowledge,identifier__nyt_topic,wikipedia__kn,name__kn,identifier__snac,identifier__Britannica,identifier__quora,wikipedia__si,name__fo,name__kl,wikipedia__uz,identifier__ioc_athlete,name__uz,instagram
Q10045531,Subramaniam Sathasivam,苏巴马廉,Subramaniam Sathasivam,Subramaniam Sathasivam,Subramaniam Sathasivam,Subramaniam Sathasivam,Subramaniam Sathasivam,Subramaniam Sathasivam,Subramaniam Sathasivam,Subramaniam Sathasivam,Subramaniam Sathasivam,Subramaniam Sathasivam,Subramaniam Sathasivam,Subramaniam Sathasivam,Subramaniam Sathasivam,Subramaniam Sathasivam,苏巴马廉,male,1953-04-01,,Subramaniam Sathasivam,Subramaniam Sathasivam,https://upload.wikimedia.org/wikipedia/commons/4/4b/Datuk_Dr.S.Subramaniam.jpg,,,,,,,,,,,,,,,,,,ச. சுப்பிரமணியம்,,,Subramaniam Sathasivam,,,,,,,,,,,,,,,,,,,,,,,,Subramaniam Sathasivam,,,,,,,,Subramaniam Sathasivam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Subramaniam Sathasivam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ச. சுப்பிரமணியம்,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Subramaniam Sathasivam,Subramaniam Sathasivam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Subramaniam Sathasivam,Subramaniam Sathasivam,Subramaniam Sathasivam,,,,,,,,,,,,politician,,,,,,,,,,,,,,
Q1015710,Abdul Taib Mahmud,泰益瑪目,Abdul Taib Mahmud,Abdul Taib Mahmud,Abdul Taib Mahmud,Abdul Taib Mahmud,Abdul Taib Mahmud,Abdul Taib Mahmud,Abdul Taib Mahmud,Abdul Taib Mahmud,Abdul Taib Mahmud,,Abdul Taib Mahmud,Abdul Taib Mahmud,Abdul Taib Mahmud,Abdul Taib Mahmud,泰益瑪目,male,1936-05-21,/m/07m4ry,Abdul Taib Mahmud,Abdul Taib Mahmud,https://upload.wikimedia.org/wikipedia/commons/7/7d/Pehin_Sri_Haji_Abdul_Taib_Mahmud.jpg,Abdul,,,63112319,,n88245890,,泰益玛目,泰益瑪目,泰益瑪目,泰益·马哈茂德,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,압둘 타입 마흐무드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,압둘 타입 마흐무드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdul Taib Mahmud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,
Q1049213,Liow Tiong Lai,廖中莱,Liow Tiong Lai,Liow Tiong Lai,Liow Tiong Lai,Liow Tiong Lai,Liow Tiong Lai,Liow Tiong Lai,Liow Tiong Lai,Liow Tiong Lai,Liow Tiong Lai,Liow Tiong Lai,Liow Tiong Lai,Liow Tiong Lai,Liow Tiong Lai,Liow Tiong Lai,廖中莱,male,1961-10,/m/0406yf7,Liow Tiong Lai,Liow Tiong Lai,https://upload.wikimedia.org/wikipedia/commons/0/08/Liow_Tiong_Lai.jpg,,,,,,,,廖中莱,廖中萊,廖中萊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liow Tiong Lai,,リオウ・ティオング・ライ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liow Tiong Lai,,,,,,,,,Liow Tiong Lai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.liowtionglai.com/,,,,,,,,Liow Tiong Lai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,
Q1058538,Onn Jaafar,翁惹化,Onn Jaafar,Onn Jaafar,Onn Jaafar,Onn Jaafar,Onn Jaafar,Onn Jaafar,Onn Jaafar,Onn Jaafar,Onn Jaafar,Onn Jaafar,Onn Jaafar,Onn Jaafar,Onn Jaafar,Onn Jaafar,翁惹化,male,1895,/m/060qfy,Onn Jaafar,Onn Jaafar,,,,,1216763,133958795,n88259930,1962-01-19,,,,,,,,,,,,,,Onn Jaafar,,,Онн Бин Джафар,Onn Jaafar,,,,,,,,,,,,,,,,,다토 온 자파르,,,Onn Jaafar,,ダトー・オン・ビン・ジャーハル,,,,,,Onn Jaafar,,,,,,,,,,,عون بن جعفر,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,عون بن جعفر,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,다토 온 자파르,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000 0000 3709 3184,,135695821,,,,,,,259764,,,,072782900,,Onn Jaafar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101094673,2689707,Onn Jaafar,Onn Jaafar,Onn Jaafar,,,,,,,,,,,,politician,,,,,,,,,,,,,,
Q1059617,Samy Vellu,三美威魯,Samy Vellu,Samy Vellu,,Samy Vellu,Samy Vellu,Samy Vellu,Samy Vellu,Samy Vellu,Samy Vellu,Samy Vellu,Samy Vellu,Samy Vellu,,Samy Vellu,三美威魯,male,1936-03-08,/m/04ccwx,Samy Vellu,Samy Vellu,,Samy,,,58180735,,n88228365,,三美威鲁,三美威魯,三美威魯,,,,,Samy Vellu,,,ச. சாமிவேலு,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dato' Seri S. Samy Vellu,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samy Vellu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ச. சாமிவேலு,,,,,,,,,,,,,,,,,,,0000 0000 2935 3601,,,,,,,,,259888,,,,376445815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,
Q1060949,Muhyiddin Yassin,慕尤丁,Muhyiddin Yassin,Muhyiddin Yassin,Muhyiddin Yassin,Muhyiddin Yassin,Muhyiddin Yassin,Muhyiddin Yassin,Muhyiddin Yassin,Muhyiddin Yassin,Muhyiddin Yassin,Muhyiddin Yassin,Muhyiddin Yassin,Muhyiddin Yassin,Muhyiddin Yassin,Muhyiddin Yassin,慕尤丁,male,1947-05-15,/m/0bp276,Muhyiddin Yassin,Muhyiddin Yassin,https://upload.wikimedia.org/wikipedia/commons/d/d3/MuhyiddinUS.jpg,Muhyiddin,,,60678556,,n89219864,,慕尤丁,慕尤丁,穆希丁·雅辛,穆希丁·雅辛,,穆希丁·雅辛,,,,,,,,,,,Мухиддин Ясcин,,,,,,,,,,,,,,,,,,무히딘 야신,,,,,ムヒディン・ヤシン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Muhyiddin Yassin,,,,,,,Muhyiddin Yassin,,,,,,,Muhyiddin Yassin,,,,,,,,,,,,,,,무히딘 야신,,,,,,,,,,,,,,,,,,,,,,,,,Мухиддин Яссин,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,
Q10728896,Lee Boon Chye,李文材,Lee Boon Chye,,Lee Boon Chye,Lee Boon Chye,Lee Boon Chye,Lee Boon Chye,Lee Boon Chye,Lee Boon Chye,Lee Boon Chye,,Lee Boon Chye,Lee Boon Chye,Lee Boon Chye,Lee Boon Chye,李文材,male,1959-09-26,,Lee Boon Chye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lee Boon Chye,Lee Boon Chye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,
Q10887151,Ismail Muttalib,依斯迈慕达立,Ismail Bin Abd. Muttalib,,Ismail Abd Muttalib,Ismail Muttalib,Ismail Bin Abd. Muttalib,Ismail Bin Abd. Muttalib,Ismail Bin Abd. Muttalib,Ismail Bin Abd. Muttalib,Ismail Muttalib,,Ismail Muttalib,Ismail Muttalib,Ismail Abd Muttalib,Ismail Abd Muttalib,依斯迈慕达立,male,1954-12-01,,Ismail Muttalib,,,Ismail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,
Q10887152,Ismail Mohamed Said,依斯迈莫哈末沙益,Ismail Mohamed Said,,Ismail Mohamed Said,Ismail Mohamed Said,Ismail Mohamed Said,Ismail Mohamed Said,Ismail Mohamed Said,Ismail Mohamed Said,Ismail Mohamed Said,,Ismail Mohamed Said,Ismail Mohamed Said,Ismail Mohamed Said,Ismail Mohamed Said,依斯迈莫哈末沙益,male,1965-09-07,,Ismail Mohamed Said,Ismail Mohamed Said,,Ismail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,
Q10904961,Lim Lip Eng,林立迎,Lim Lip Eng,,Lim Lip Eng,Lim Lip Eng,Lim Lip Eng,Lim Lip Eng,Lim Lip Eng,Lim Lip Eng,Lim Lip Eng,,Lim Lip Eng,Lim Lip Eng,Lim Lip Eng,Lim Lip Eng,林立迎,male,1972,,Lim Lip Eng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,
