id,name,sort_name,given_name,family_name,qualifica,birth_date,party,photo,term,source
17002008,Gerardo Giovagnoli,"Giovagnoli, Gerardo",Gerardo,Giovagnoli,consigliere,1976-05-31,Partito dei Socialisti e dei Democratici,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17015286_17000062_Giovagnoli.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17002008.html
17009036,Giovanna Cecchetti,"Cecchetti, Giovanna",Giovanna,Cecchetti,consigliere,1975-09-08,Partito Socialista,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17022809_17000062_13CecchettiGiova.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17009036.html
17009037,Augusto Michelotti,"Michelotti, Augusto",Augusto,Michelotti,consigliere,1950-10-14,Sinistra Unita - LabDem,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17016590_17000062_Michelotti_Augus.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17009037.html
17009041,Marco Gatti,"Gatti, Marco",Marco,Gatti,consigliere,1967-01-25,Lista PDCS NS,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17001224_17000062_DEA_22.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17009041.html
17009042,Guerrino Zanotti,"Zanotti, Guerrino",Guerrino,Zanotti,consigliere,1962-10-24,Partito dei Socialisti e dei Democratici,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17019047_17000062_Guerrinozanotti.JPG,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17009042.html
17009043,Tony Margiotta,"Margiotta, Tony",Tony,Margiotta,consigliere,1973-08-12,Sinistra Unita - LabDem,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17016591_17000062_Margiotta_Tony.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17009043.html
17009044,Gian Franco Terenzi,"Terenzi, Gian Franco",Gian Franco,Terenzi,consigliere,1941-01-02,Lista PDCS NS,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17001253_17000062_TerenziGianFranc.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17009044.html
17009046,Andrea Belluzzi,"Belluzzi, Andrea",Andrea,Belluzzi,consigliere,1968-03-29,Partito dei Socialisti e dei Democratici,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17016553_17000062_AndreaBelluzzi.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17009046.html
17009047,Italo Righi,"Righi, Italo",Italo,Righi,consigliere,1959-06-14,Lista PDCS NS,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17001247_17000062_ritaglio.JPG,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17009047.html
17009049,Luigi Mazza,"Mazza, Luigi",Luigi,Mazza,consigliere,1960-10-12,Lista PDCS NS,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17001232_17000062_DEA_36.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17009049.html
17009050,Oscar Mina,"Mina, Oscar",Oscar,Mina,consigliere,1958-09-24,Lista PDCS NS,http://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17001236_17000062_DEA_38.jpg,2012,http://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17009050.html
