id,name,sort_name,given_name,family_name,qualifica,birth_date,party,photo,source,term
17009036,Giovanna Cecchetti,"Cecchetti, Giovanna",Giovanna,Cecchetti,Consigliere,1975-09-08,Gruppo Misto,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023600_17000062_08CecchettiGiova.JPG,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17009036.html,2016
17009040,Pasquale Valentini,"Valentini, Pasquale",Pasquale,Valentini,Consigliere,1953-07-19,Lista PDCS,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023595_17000062_41ValentiniPasqu.JPG,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17009040.html,2016
17009041,Marco Gatti,"Gatti, Marco",Marco,Gatti,Consigliere,1967-01-25,Lista PDCS,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023592_17000062_13GATTIMARCO096_.JPG,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17009041.html,2016
17009043,Tony Margiotta,"Margiotta, Tony",Tony,Margiotta,Consigliere,1973-08-12,Sinistra Socialista Democratica,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023578_17000062_18MARGIOTTATONY.jpg,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17009043.html,2016
17009048,Teodoro Lonfernini,"Lonfernini, Teodoro",Teodoro,Lonfernini,Consigliere,1976-05-12,Lista PDCS,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023589_17000062_23LonferniniTeod.JPG,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17009048.html,2016
17009050,Oscar Mina,"Mina, Oscar",Oscar,Mina,Consigliere,1958-09-24,Lista PDCS,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023593_17000062_27MinaOscar317_1.JPG,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17009050.html,2016
17009053,Francesco Mussoni,"Mussoni, Francesco",Francesco,Mussoni,Consigliere,1971-05-15,Lista PDCS,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023590_17000062_29MussoniFrances.JPG,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17009053.html,2016
17016609,Gian Matteo Zeppa,"Zeppa, Gian Matteo",Gian Matteo,Zeppa,Consigliere,1974-03-11,Movimento Civico R.E.T.E.,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023601_17000062_27MatteoZeppa.jpg,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17016609.html,2016
17016611,Mimma Zavoli,"Zavoli, Mimma",Mimma,Zavoli,Consigliere,1963-02-13,Civico 10,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023563_17000062_1-MimmaZavoli3x4.jpg,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17016611.html,2016
17016612,Roberto Ciavatta,"Ciavatta, Roberto",Roberto,Ciavatta,Consigliere,1976-09-23,Movimento Civico R.E.T.E.,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023603_17000062_8robertociavatta.jpg,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17016612.html,2016
17016613,Elena Tonnini,"Tonnini, Elena",Elena,Tonnini,Consigliere,1979-01-02,Movimento Civico R.E.T.E.,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023602_17000062_23elenatonnini.jpg,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17016613.html,2016
17016616,Giuseppe Maria Morganti,"Morganti, Giuseppe Maria",Giuseppe Maria,Morganti,Consigliere,1955-03-12,Sinistra Socialista Democratica,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023572_17000062_21MORGANTIGIUSEP.jpg,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17016616.html,2016
17016618,Michele Muratori,"Muratori, Michele",Michele,Muratori,Consigliere,1983-12-13,Sinistra Socialista Democratica,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023577_17000062_23MURATORIMICHEL.jpg,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17016618.html,2016
17016619,Denise Bronzetti,"Bronzetti, Denise",Denise,Bronzetti,Consigliere,1972-12-12,Partito Socialista,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023598_17000062_04BronzettiDenis.JPG,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17016619.html,2016
17016622,Gian Carlo Capicchioni,"Capicchioni, Gian Carlo",Gian Carlo,Capicchioni,Consigliere,1956-02-19,Partito dei Socialisti e dei Democratici,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023586_17000062_07-CAPICCHIONIGI.JPG,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17016622.html,2016
17016627,Nicola Selva,"Selva, Nicola",Nicola,Selva,Consigliere,1962-07-04,Repubblica Futura,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023558_17000062_30Selva_Nicola.jpg,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17016627.html,2016
17016633,Federico Pedini Amati,"Pedini Amati, Federico",Federico,Pedini Amati,Consigliere,1976-08-11,Movimento Democratico San Marino Insieme,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023609_17000062_12pediniamatifed.jpg,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17016633.html,2016
17016634,Alessandro Mancini,"Mancini, Alessandro",Alessandro,Mancini,Consigliere,1975-10-04,Partito Socialista,https://www.consigliograndeegenerale.sm/contents/instance18/files/photo/17023599_17000062_18ManciniAlessan.JPG,https://www.consigliograndeegenerale.sm/on-line/home/composizione/elenco-consiglieri/scheda17016634.html,2016
