id,name__ru,name__fr,name__en,name__uk,name__hr,name__de,name__nl,name__sh,name__nb,name__da,name__nn,name__sv,name,wikipedia__de,wikipedia__en,wikipedia__fr,wikipedia__hr,wikipedia__ru,wikipedia__sh,wikipedia__uk,image,gender,birth_date,identifier__freebase,given_name,name__pl,name__pt,name__sr,name__es,wikipedia__es,wikipedia__pl,wikipedia__pt,wikipedia__sr,death_date,name__sl,name__zh,wikipedia__sl,wikipedia__zh,wikipedia__enwikiquote,wikipedia__hrwikiquote,identifier__EuroparlMEP,name__fi,wikipedia__fi,wikipedia__sv,name__sr_el,name__sr_ec,identifier__VIAF,name__bs,wikipedia__bs,wikipedia__nl,name__nan,name__lb,name__ko,name__be,name__oc,name__yo,name__ie,name__it,name__gl,name__et,name__ja,name__sq,name__el,name__ar,name__eo,name__sk,name__mn,name__tr,name__ca,name__be_tarask,name__la,name__cs,name__io,name__bg,name__ka,name__eu,name__fa,wikipedia__ar,wikipedia__be_x_old,wikipedia__be,wikipedia__bg,wikipedia__ca,wikipedia__cs,wikipedia__da,wikipedia__el,wikipedia__eo,wikipedia__et,wikipedia__eu,wikipedia__fa,wikipedia__gl,wikipedia__ie,wikipedia__io,wikipedia__it,wikipedia__ja,wikipedia__ka,wikipedia__ko,wikipedia__la,wikipedia__lb,wikipedia__mn,wikipedia__no,wikipedia__oc,wikipedia__sk,wikipedia__sq,wikipedia__tr,wikipedia__yo,wikipedia__zh_min_nan,family_name,wikipedia__srwikiquote,identifier__ISNI,identifier__LCAuth,identifier__SUDOC,identifier__NUKAT,identifier__GND,website,name__tw,wikipedia__commons,wikipedia__tw,wikipedia__bswikiquote,name__af,name__an,name__ast,name__bar,name__br,name__co,name__cy,name__fur,name__ga,name__gd,name__gsw,name__hu,name__is,name__li,name__lij,name__lmo,name__lt,name__nap,name__nds,name__nds_nl,name__pcd,name__pms,name__rm,name__ro,name__sc,name__scn,name__sco,name__vec,name__vls,name__wa,name__pt_br,name__he,name__vi,name__hy,name__id,wikipedia__cswikiquote,wikipedia__he,wikipedia__hy,wikipedia__id,wikipedia__lmo,wikipedia__simple,wikipedia__vi,identifier__Munzinger,wikipedia__hrwikisource,identifier__parlement,wikipedia__hu,original_wikiname,identifier__FAST,name__zh_hans,identifier__Britannica,name__ku,wikipedia__ku,name__en_ca,name__en_gb,name__bn,name__lv,wikipedia__bn,wikipedia__lt,wikipedia__lv,wikipedia__nn,identifier__IIAF,twitter,facebook,last_seen,name__zh_hant,name__zh_cn,identifier__PACE,wikipedia__mk,name__mk,identifier__IMDB,name__bm,name__de_at,name__de_ch,name__frc,name__frp,name__ia,name__jam,name__kab,name__kg,name__mg,name__min,name__ms,name__nrm,name__pap,name__prg,name__rgn,name__sw,name__vmf,name__vo,name__wo,name__zu,occupation,identifier__BNF,identifier__NKC,identifier__NLP,name__uz,wikipedia__hsb,name__hsb,identifier__google_knowledge,wikipedia__srwikinews,identifier__NSK,identifier__goodreads,identifier__CONOR,identifier__quora,name__te,name__ext,identifier__ioc_athlete,identifier__GTAA,identifier__ne_se,wikipedia__ast,identifier__BIBSYS,wikipedia__tl,name__aa,name__ace,name__ang,name__ay,name__bcl,name__bi,name__cdo,name__ceb,name__ch,name__cho,name__chy,name__cr,name__crh_latn,name__csb,name__cu,name__diq,name__dsb,name__eml,name__ff,name__fj,name__fo,name__frr,name__fy,name__gn,name__got,name__gv,name__hak,name__haw,name__hif,name__hif_latn,name__ho,name__ht,name__hz,name__ig,name__ik,name__ike_latn,name__ilo,name__jbo,name__jv,name__kaa,name__ki,name__kj,name__kk_latn,name__kl,name__kr,name__ksh,name__ku_latn,name__kw,name__lad,name__lg,name__ln,name__lo,name__ltg,name__map_bms,name__mh,name__mi,name__mo,name__mt,name__mus,name__mwl,name__my,name__na,name__nah,name__nov,name__nso,name__nv,name__om,name__pag,name__pam,name__pdc,name__pih,name__qu,name__rmy,name__rn,name__ruq_latn,name__rw,name__se,name__sg,name__shi_latn,name__sm,name__sn,name__so,name__srn,name__ss,name__st,name__stq,name__su,name__szl,name__tet,name__tg_latn,name__tk,name__tl,name__tn,name__to,name__tpi,name__ts,name__tt,name__tt_latn,name__tum,name__ty,name__ug_latn,name__ve,name__vep,name__war,name__xh,name__za,name__zea,wikipedia__itwikiquote,identifier__youtube,identifier__flickr,identifier__NTA,wikipedia__af
Q10853815,,Mirando Mrsić,Mirando Mrsić,,Mirando Mrsić,Mirando Mrsić,Mirando Mrsić,Mirando Mrsić,,,,,Mirando Mrsić,,Mirando Mrsić,Mirando Mrsić,Mirando Mrsić,,Mirando Mrsić,,https://upload.wikimedia.org/wikipedia/commons/d/d9/M_mrsic.jpg,male,1959-10-14,,Mirando,Mirando Mrsić,,,,,Mirando Mrsić,,,,Mirando Mrsić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mirando Mrsić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11074254,,Biljana Borzan,Biljana Borzan,,Biljana Borzan,Biljana Borzan,Biljana Borzan,Biljana Borzan,,,,,Biljana Borzan,Biljana Borzan,Biljana Borzan,Biljana Borzan,Biljana Borzan,,Biljana Borzan,,https://upload.wikimedia.org/wikipedia/commons/a/ad/Biljana_Borzan_-_Croatian_part-_Citizens'_Corner_debate_on_gender_equality_in_EU_labour_markets_(31691251574).jpg,female,1971-11-29,,Biljana,Biljana Borzan,,,,,Biljana Borzan,,,,Biljana Borzan,,,,,,112748,,,,,,,,,Biljana Borzan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Biljana Borzan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biljana Borzan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11143940,,Tihomir Jakovina,Tihomir Jakovina,,Tihomir Jakovina,,Tihomir Jakovina,Tihomir Jakovina,,,,,Tihomir Jakovina,,,Tihomir Jakovina,Tihomir Jakovina,,Tihomir Jakovina,,https://upload.wikimedia.org/wikipedia/commons/c/c7/T_jakovina.jpg,male,1967-06-21,,Tihamér,,,,,,,,,,Tihomir Jakovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tihomir Jakovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11655642,,Nikola Vuljanić,Nikola Vuljanić,,Nikola Vuljanić,Nikola Vuljanić,Nikola Vuljanić,Nikola Vuljanić,,,,,Nikola Vuljanić,Nikola Vuljanić,Nikola Vuljanić,Nikola Vuljanić,Nikola Vuljanić,,Nikola Vuljanić,,,male,1949-06-25,/m/0w5y73s,Nikola,Nikola Vuljanić,,,,,Nikola Vuljanić,,,,Nikola Vuljanić,,,,,,112760,,,,,,305507390,,,,,,,,,,,Nikola Vuljanić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nikola Vuljanić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11685764,"Пленкович, Андрей",Andrej Plenković,Andrej Plenković,Андрей Пленкович,Andrej Plenković,Andrej Plenković,Andrej Plenković,Andrej Plenković,Andrej Plenković,Andrej Plenković,Andrej Plenković,Andrej Plenković,Andrej Plenković,Andrej Plenković,Andrej Plenković,Andrej Plenković,Andrej Plenković,"Пленкович, Андрей",Andrej Plenković,Андрей Пленкович,https://upload.wikimedia.org/wikipedia/commons/a/a3/PM_Andrej_Plenković_(cropped).jpg,male,1970-04-08,/m/0wktn5c,Andrej,Andrej Plenković,Andrej Plenković,Andrej Plenković,Andrej Plenković,Andrej Plenković,Andrej Plenković,Andrej Plenković,Andrej Plenković,,Andrej Plenković,安德烈·普蘭科維奇,Andrej Plenković,安德烈·普蘭科維奇,,Andrej Plenković,112755,Andrej Plenković,Andrej Plenković,Andrej Plenković,,,305511197,,,Andrej Plenković,,,안드레이 플렌코비치,Андрай Пленкавіч,,,Andrej Plenković,Andrej Plenković,Andrej Plenković,Andrej Plenković,アンドレイ・,,Αντρέι Πλένκοβιτς,أندريه بلينكوفيتش,,Andrej Plenković,,Andrej Plenković,,,Andreas Plenković,Andrej Plenković,,Андрей Пленкович,,,,أندريه بلينكوفيتش,,Андрай Пленкавіч,Андрей Пленкович,,Andrej Plenković,,Αντρέι Πλένκοβιτς,,Andrej Plenković,,,,Andrej Plenković,,Andrej Plenković,,,안드레이 플렌코비치,Andreas Plenković,Andrej Plenković,,Andrej Plenković,,,,Andrej Plenković,,,,,0000 0004 2095 9673,,,,1116815389,,Andrej Plenković,Category:Andrej Plenković,Andrej Plenković,,,,,,,,,,,,,Andrej Plenković,,,,,,,,,,,,,,,,,,,Andrej Plenković,,,,Andrej Plenković,,,,Andrej Plenković,,,,,,,Andrej Plenković,Andrej Plenković,,,,,,,,,Andrejs Plenkovičs,,,Andrejs Plenkovičs,,,andrejplenkovic,andrej.plenkovic.rh,,,,,,Андреј Пленковиќ,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,Andrej Plenković,Andrej Plenković,,,,,,,,,,,,,,Andrej Plenković,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrej Plenković,,,,,,,,,,,,,,,,Andrej Plenković,UCi0K3WrQ_WaN_C0lK5fSroA,123492089@N07,,Andrej Plenković
Q1254068,,Damir Kajin,Damir Kajin,,Damir Kajin,Damir Kajin,Damir Kajin,Damir Kajin,,,,,Damir Kajin,,Damir Kajin,,Damir Kajin,,Damir Kajin,,https://upload.wikimedia.org/wikipedia/commons/a/a1/Josipovic_Pusic_Kajin.jpg,male,1962-02-03,/m/058x23x,Damir,Damir Kajin,,,,,Damir Kajin,,,,Damir Kajin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Damir Kajin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damir Kajin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1256382,,,Petar Čobanković,,Petar Čobanković,,Petar Čobanković,Petar Čobanković,,,,,Petar Čobanković,,Petar Čobanković,,Petar Čobanković,,Petar Čobanković,,https://upload.wikimedia.org/wikipedia/commons/a/a8/Petar_Čobanković_25-06-09.jpg,male,1957-01-29,,Petar,Petar Čobanković,,,,,Petar Čobanković,,,,Petar Čobanković,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Petar Čobanković,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1256837,,Dragutin Lesar,Dragutin Lesar,,Dragutin Lesar,Dragutin Lesar,Dragutin Lesar,Dragutin Lesar,,,,,Dragutin Lesar,,Dragutin Lesar,,Dragutin Lesar,,Dragutin Lesar,,,male,1956-03-04,/m/0hgnfbl,Dragutin,Dragutin Lesar,,Драгутин Лесар,,,Dragutin Lesar,,Драгутин Лесар,,Dragutin Lesar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Драгутин Лесар,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1260118,,Ruža Tomašić,Ruža Tomašić,Ружа Томашич,Ruža Tomašić,Ruža Tomašić,Ruža Tomašić,Ruža Tomašić,,,,,Ruža Tomašić,Ruža Tomašić,Ruža Tomašić,Ruža Tomašić,Ruža Tomašić,,Ruža Tomašić,Ружа Томашич,https://upload.wikimedia.org/wikipedia/commons/6/65/Croatian_part-_Citizens’_Corner_debate_on_EU_policies_for_asylum_seekers_and_immigrants_(18432278524)_(cropped).jpg,female,1958-05-10,/m/0gmcml3,Ruža,Ruža Tomašić,,,,,Ruža Tomašić,,,,Ruža Tomašić,,,,,,119431,,,,,,,,,,,,,,,,,,,Ruža Tomašić,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruža Tomašić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Ruža Tomašić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruža Tomašić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1261965,,Mirela Holy,Mirela Holy,,Mirela Holy,Mirela Holy,Mirela Holy,Mirela Holy,,,,,Mirela Holy,Mirela Holy,Mirela Holy,Mirela Holy,Mirela Holy,,Mirela Holy,,https://upload.wikimedia.org/wikipedia/commons/b/b0/M_holy.jpg,female,1971-12-15,/m/0hrdg6g,Mirela,Mirela Holy,,Мирела Холи,Mirela Holy,,Mirela Holy,,Мирела Холи,,Mirela Holy,,,,,,,,,,Mirela Holi,Мирела Холи,305618495,,,,,,,,,,,,,,ミレラ・ホリー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mirela Holy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Мирела Холи,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
