id,name__zh,name,wikipedia__zh,image,gender,family_name,name__zh_tw,wikipedia__commons,birth_date,name__en,name__es,wikipedia__en,name__de,name__fr,name__nan,wikipedia__zh_min_nan,identifier__VIAF,name__ja,wikipedia__ja,name__zh_hant,name__ko,wikipedia__de,wikipedia__enwikiquote,wikipedia__fr,name__zh_hans,name__zh_hk,name__id,name__vi,name__nds,name__vmf,name__en_ca,name__en_gb,name__nl,wikipedia__id,wikipedia__vi,identifier__freebase,identifier__LCAuth,name__it,name__pl,name__ru,name__ca,name__pt,wikipedia__ca,wikipedia__es,wikipedia__pl,wikipedia__pt,wikipedia__ru,name__yue,wikipedia__zh_yue,identifier__ISNI,identifier__NLA,wikipedia__it,wikipedia__ko,given_name,name__cdo,wikipedia__cdo,wikipedia__no,name__nb,wikipedia__wuu,name__wuu,original_wikiname,electoral_district,name__oc,identifier__SUDOC,name__gan_hans,name__gan_hant,name__gan,wikipedia__gan,name__tr,identifier__BNF,identifier__IMDB,identifier__MusicBrainz,name__hu,identifier__NCL,last_seen,wikipedia__zhwikiquote,facebook,name__zh_cn,name__zh_mo,name__zh_my,name__zh_sg,name__sv,name__et,wikipedia__et,wikipedia__sv,wikipedia__tr,identifier__FAST,identifier__wikitree,occupation,website,name__ar,identifier__discogs,identifier__GND,identifier__NTA,wikipedia__hak,name__hak,name__ace,name__jv,name__su,identifier__BIBSYS,twitter,death_date,name__cy,identifier__OLID,wikipedia__simple,wikipedia__nl,identifier__NNDB,name__de_ch,name__lzh,wikipedia__zh_classical,identifier__NDL,identifier__Britannica,name__kana,wikipedia__ar,name__tl,identifier__Munzinger,name__ta,name__af,name__ms,name__gl,name__sh,name__fi,name__war,name__io,name__ka,name__th,name__mk,name__la,name__da,name__azb,name__he,name__lb,name__pt_br,name__sco,name__ilo,name__bcl,name__cs,name__fa,name__mai,name__ne,name__ro,name__uk,name__ur,name__eo,name__hi,name__mr,name__xmf,name__za,name__co,name__el,name__or,name__pa,name__is,name__lv,name__uz,name__eu,name__ast,wikipedia__af,wikipedia__ast,wikipedia__azb,wikipedia__bcl,wikipedia__cawikiquote,wikipedia__co,wikipedia__cs,wikipedia__da,wikipedia__el,wikipedia__eo,wikipedia__eu,wikipedia__fa,wikipedia__fi,wikipedia__gl,wikipedia__he,wikipedia__hi,wikipedia__hu,wikipedia__ilo,wikipedia__io,wikipedia__is,wikipedia__ka,wikipedia__la,wikipedia__lb,wikipedia__lv,wikipedia__mai,wikipedia__mr,wikipedia__ms,wikipedia__ne,wikipedia__oc,wikipedia__pa,wikipedia__ro,wikipedia__ruwikinews,wikipedia__sco,wikipedia__sh,wikipedia__ta,wikipedia__th,wikipedia__thwikiquote,wikipedia__tl,wikipedia__uk,wikipedia__ur,wikipedia__uz,wikipedia__war,wikipedia__xmf,wikipedia__za,wikipedia__zhwikinews,identifier__quora,identifier__NLI,identifier__NKC,wikipedia__plwikiquote,name__az,name__my,name__mg,name__an,name__ext,wikipedia__az,wikipedia__mg,wikipedia__my,wikipedia__zhwikisource,identifier__NLC,identifier__NUKAT,identifier__CANTIC,identifier__GTAA,name__yo,wikipedia__yo,name__bn,wikipedia__bn,name__sl,wikipedia__sl,identifier__IIAF,identifier__ioc_athlete,name__hy,name__nn,wikipedia__nn,wikipedia__te,name__te,identifier__NLAtrove
Q10919979,呂玉玲,呂玉玲,呂玉玲,https://upload.wikimedia.org/wikipedia/commons/c/c9/Lui_Yu_Lin.jpg,female,,呂玉玲,Category:Lui Yu-lin,1961-06-19,,,,,,,,,,,呂玉玲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,呂玉玲,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10920153,周倪安,周倪安,周倪安,https://upload.wikimedia.org/wikipedia/commons/3/32/Chou_Ni-an.jpg,female,Zhou,周倪安,Category:Chou Ni-an,1972-10-07,Chou Ni-an,,,,,,,,,,周倪安,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,周倪安,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11091487,曾巨威,曾巨威,曾巨威,https://upload.wikimedia.org/wikipedia/commons/c/c3/Tseng_Chu-wei_chopped.png,male,Zeng,曾巨威,Category:Tseng Chu-wei,1951-09-04,,,,,,,,,,,曾巨威,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,曾巨威,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15899237,黃國昌,黃國昌,黃國昌,https://upload.wikimedia.org/wikipedia/commons/8/8c/2014-03-18_反黑箱服貿_by_中岑_范姜_(9).jpg,male,Huang,黃國昌,Category:Huang Kuo-chang,1973-08-19,Huang Kuo-chang,,Huang Kuo-chang,Huang Kuo-chang,Huang Kuo-chang,N̂g Kok-chhiong,N̂g Kok-chhiong,122363370,黄国昌,黄国昌,黃國昌,,Huang Kuo-chang,,Huang Kuo-chang,,,,,,,,,,,,,n2010039329,,,,,,,,,,,,,0000 0000 8074 9388,,,,,,,,,,,Huang Kuo-chang,,,18104501X,,,,,,,,,,,,,kcfor2016,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15901623,蔡培慧,蔡培慧,蔡培慧,,female,Cai,蔡培慧,Category:Tsai Pei-hui,1971-09-02,Frida Tsai,,Frida Tsai,,,,,,,,蔡培慧,,,,,,,,,,,,,,,,,nr2005008073,,,Фрида Цай,,,,,,,,,,,,,,Frida,,,,,,,Frida Tsai,,,116743417,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15909081,顧立雄,顧立雄,顧立雄,"https://upload.wikimedia.org/wikipedia/commons/7/70/Wellington_Koo,_Huang_Kuo-chang,_Lin_Fei-fan_and_Dennis_Wei_20140421.jpg",male,Gu,顧立雄,Category:Wellington Koo (Taiwan),1958-10-31,Wellington Koo,,"Wellington Koo (politician, born 1958)",,,Kò͘ Li̍p-hiông,Kò͘ Li̍p-hiông,,,,顧立雄,,,,,,,,,,,,,Wellington Koo,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wellington Koo (politician, born 1958)",,,,,,,,,,,,,,,,,,,,,,,,,,,,lawyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15911945,葉津鈴,葉津鈴,葉津鈴,https://upload.wikimedia.org/wikipedia/commons/e/ea/Taiwan_Solidarity_Union_from_VOA_(7)_(cropped).jpg,female,Ye,葉津鈴,Category:Yeh Chin-ling,1947-03-14,Yeh Chin-ling,,,,,,,,,,葉津鈴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,葉津鈴,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15920021,蔣萬安,蔣萬安,蔣萬安,https://upload.wikimedia.org/wikipedia/commons/0/01/Wan-An_Jiang_Portrait_20150613.jpg,male,Jiang,蔣萬安,Category:Jiang Wan-an,1978-12-26,Chiang Wan-an,,Chiang Wan-an,,,Chiúⁿ Bān-an,Chiúⁿ Bān-an,,,,蔣萬安,,,,,,,,Tưởng Vạn An,,,,,Chiang Wan-an,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chiang Wan-an,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15930216,陳怡潔,陳怡潔,陳怡潔,https://upload.wikimedia.org/wikipedia/commons/0/0a/立法委員_陳怡潔.jpg,female,,陳怡潔,Category:Chen Yi-chieh,1979-09-09,,,,,,,,,,,陳怡潔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,陳怡潔,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15931826,詹滿容,詹滿容,詹滿容,https://upload.wikimedia.org/wikipedia/commons/9/91/台灣經濟研究院中華台北亞太經濟合作研究中心執行長詹滿容.jpg,female,Zhan,詹滿容,,1956-06-09,,,,,,,,,,,詹滿容,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,詹滿容,,,,,,,,,,,,,,,,,,,,,,,,,,,,economist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
