id,name__fr,name__ar,name__en,name__pl,name__sv,name__es,name,wikipedia__ar,wikipedia__en,wikipedia__fr,wikipedia__pl,wikipedia__sv,gender,birth_date,identifier__freebase,name__nl,given_name,name__de,image,original_wikiname,name__hu,last_seen,name__ja,identifier__GND,name__it,name__he,wikipedia__he,occupation,name__nds,name__ru,identifier__ISNI,identifier__VIAF,identifier__LCAuth,death_date,identifier__EGAXA,name__fa,name__pt,wikipedia__fa,wikipedia__hu,wikipedia__it,wikipedia__pt,identifier__FIFA
Q12215893,,سعد الخنفور,,,,,سعد الخنفور,سعد الخنفور,,,,,male,,,,,,,سعد الخنفور,,,,,,,,politician,,,,,,,,,,,,,,
Q12231638,,فيصل الدويسان,,,,,فيصل الدويسان,فيصل الدويسان,,,,,male,,,,,,,فيصل الدويسان,,,,,,,,politician,,,,,,,,,,,,,,
Q12238483,,مبارك الخرينج,,,,,مبارك الخرينج,مبارك الخرينج,,,,,male,,,,,,,مبارك الخرينج,,,,,,,,politician,,,,,,,,,,,,,,
Q12241088,,محمد هادي الحويلة,,,,,محمد هادي الحويلة,محمد هادي الحويلة,,,,,male,,,,Muhammed,,,محمد هادي الحويلة,,,,,,,,politician,,,,,,,,,,,,,,
Q12247922,Nabil Al Fadl,نبيل الفضل,Nabil Al Fadl,,,,نبيل الفضل,نبيل الفضل,Nabil Al Fadl,,,,male,1949,,Nabil Al Fadl,,Nabil Al Fadl,,نبيل الفضل,,,,,,,,politician,Nabil Al Fadl,Набиль аль-Фадль,0000 0000 8195 325X,6499284,n88248465,2015-12-22,000900019,,,,,,,
Q12252039,,يوسف الزلزلة,,,,,يوسف الزلزلة,يوسف الزلزلة,,,,,male,1961-09-16,,,,,,يوسف الزلزلة,,,,,,,,politician,,,,,,,,,,,,,,
Q16120384,,محمد طنا العنزي,,,,,محمد طنا العنزي,محمد طنا العنزي,,,,,male,,,,Muhammed,,,محمد طنا العنزي,,,,,,,,politician,,,,,,,,,,,,,,
Q16124633,,راكان النصف,Rakan Al-Nisf,,,,راكان النصف,راكان النصف,Rakan Al-Nisf,,,,male,1980-05-25,,,,,,راكان النصف,,,,,,,,politician,,,,,,,,,,,,,,
Q16128252,,مجلس الأمة الكويتي 2013,,,,,مجلس الأمة الكويتي 2013,مجلس الأمة الكويتي 2013,,,,,,,,,,,,مجلس الأمة الكويتي 2013,,,,,,,,politician,,,,,,,,,,,,,,
Q16195573,Safa Al Hashem,صفاء الهاشم,Safa Al Hashem,,,,صفاء الهاشم,صفاء الهاشم,Safa Al Hashem,,,,female,1964-09-05,,Safa Al Hashem,,Safa Al Hashem,https://upload.wikimedia.org/wikipedia/commons/3/31/صفاء_الهاشم.jpg,صفاء الهاشم,,,,,Safa Al Hashem,ספאא אל-האשם,ספאא אל-האשם,politician,,,,,,,,,,,,,,
Q16297658,,طلال سعد السهلي,,,,,طلال سعد السهلي,طلال سعد السهلي,,,,,male,,,,,,,طلال سعد السهلي,,,,,,,,politician,,,,,,,,,,,,,,
Q22688792,,عبد الحميد دشتي,,,,,عبد الحميد دشتي,عبد الحميد دشتي,,,,,male,1954-08-05,,Abdul-Hamid Dashti,,Abdul-Hamid Dashti,,عبد الحميد دشتي,,,,1110558740,,,,politician,,,,,,,,,,,,,,
