id,name__de,name__fr,name__nl,name__en,name__en_gb,name__ro,name,wikipedia__de,wikipedia__en,gender,birth_date,given_name,original_wikiname,name__it,name__es,name__nb,name__da,name__nn,name__sv,name__fi,wikipedia__fi,name__pl,wikipedia__pl,wikipedia__fr,wikipedia__sv,identifier__VIAF,identifier__LCAuth,identifier__freebase,identifier__SUDOC,identifier__ISNI,identifier__GND,identifier__BNF,wikipedia__es,name__nds,name__en_ca,name__ca,name__oc,name__ru,wikipedia__ru,name__af,name__el,name__pt,name__et,name__tr,wikipedia__af,wikipedia__el,wikipedia__et,wikipedia__pt,wikipedia__tr,image,wikipedia__it,wikipedia__zh,name__zh,wikipedia__ar,name__ar,name__cy,death_date,name__id,name__sr,name__qu,name__fa,name__ka,name__xmf,name__la,wikipedia__ca,wikipedia__commons,wikipedia__fa,wikipedia__id,wikipedia__ka,wikipedia__la,wikipedia__nl,wikipedia__oc,wikipedia__qu,wikipedia__sr,wikipedia__xmf,identifier__NTA,facebook,name__ko,name__yo,name__gl,name__ja,name__io,wikipedia__da,wikipedia__gl,wikipedia__io,wikipedia__ja,wikipedia__ko,wikipedia__no,wikipedia__yo,wikipedia__simple,family_name,name__de_ch,name__be,name__br,name__cs,name__bg,name__hr,name__uk,name__he,name__mr,wikipedia__be,wikipedia__bg,wikipedia__br,wikipedia__cs,wikipedia__he,wikipedia__hr,wikipedia__mr,wikipedia__uk,name__mg,wikipedia__mg,name__fy,wikipedia__ro,identifier__NKC,website,identifier__FAST,name__hu,identifier__GTAA,last_seen,wikipedia__ckb,name__ckb,identifier__Britannica,occupation,identifier__ne_se,identifier__NLI,identifier__BIBSYS,wikipedia__ast,name__ast,identifier__SELIBR,name__sl,identifier__bigenc_ru,wikipedia__vi,name__vi,name__hy
Q1065611,Charles Namoloh,Charles Namoloh,Charles Namoloh,Charles Namoloh,,,Charles Namoloh,Charles Namoloh,Charles Namoloh,male,1950-02-28,Charles,Dickson Namoloh,,Charles Namoloh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diplomat,,,,,,,Charles Namoloh,,,,
Q1112921,Kaire Mbuende,Kaire Mbuende,Kaire Mbuende,Kaire Mbuende,,,Kaire Mbuende,Kaire Mbuende,Kaire Mbuende,male,1953-11-28,,Kaire Mbuende,Kaire Mbuende,Kaire Mbuende,Kaire Mbuende,Kaire Mbuende,Kaire Mbuende,Kaire Mbuende,,,,,,,19697225,n88664481,/m/04mxhcr,028776283,0000 0000 4302 9867,,12054262j,,,,,,,,,,,,,,,,,,,Kaire Mbuende,,,,,,,,,,,,,,,,,,,,,,,,,071937803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaire Mbuende,,,,,,politician,,,90374362,,,,Kaire Mbuende,,,,
Q111416,Klaus Dierks,Klaus Dierks,Klaus Dierks,Klaus Dierks,,,Klaus Dierks,"Klaus Dierks (Bauingenieur, 1936)",Klaus Dierks,male,1936-02-19,Klaus,Klaus Dierks,,Klaus Dierks,Klaus Dierks,Klaus Dierks,Klaus Dierks,Klaus Dierks,,,,,,,126248522,n90726956,,059773138,0000 0003 8132 5845,129014877,,,,,Klaus Dierks,Klaus Dierks,,,,,,,,,,,,,,,,,,,Klaus Dierks,2005-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dierks,,,,,,,,,,,,,,,,,,Klaus Dierks,Klaus Dierks,,,,,,,,,,,,engineer,,,,,,,Klaus Dierks,,,,
Q1265699,Nickey Iyambo,Nickey Iyambo,Nickey Iyambo,Nickey Iyambo,,,Nickey Iyambo,Nickey Iyambo,Nickey Iyambo,male,1936-05-20,,Nickey Iyambo,,Nickey Iyambo,,,,,Nickey Iyambo,Nickey Iyambo,,,,,,,/m/05f6nrw,,,,,Nickey Iyambo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nickey Iyambo,,,,,,politician,,,,,,,Nickey Iyambo,,,,
Q1325785,Erkki Nghimtina,Erkki Nghimtina,Erkki Nghimtina,Erkki Nghimtina,,,Erkki Nghimtina,Erkki Nghimtina,Erkki Nghimtina,male,1948-09-16,Erkki,Erkki Nghimtina,,Erkki Nghimtina,,,,,Erkki Nghimtina,Erkki Nghimtina,,,,,,,/m/04lhywr,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/f4/Erkki_Nghimtina.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Erkki Nghimtina,,,,,,politician,,,,,,,Erkki Nghimtina,,,,
Q13360055,Otto Herrigel,Otto Herrigel,Otto Herrigel,Otto Herrigel,,,Otto Herrigel,Otto Herrigel,Otto Herrigel,male,1937-06-27,Otto,Otto Herrigel,,,,,,,,,,,,,2295860,no2008159022,,,0000 0003 7316 4113,,,,,,,,,,,,,,,,,,,,,,,,,,Otto Herrigel,2013-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Otto Herrigel,,,,,,,,,,,politician,,,,,,,Otto Herrigel,,,,
Q1395844,Pendukeni Iivula-Ithana,Pendukeni Iivula-Ithana,Pendukeni Iivula-Ithana,Pendukeni Iivula-Ithana,,,Pendukeni Iivula-Ithana,Pendukeni Iivula-Ithana,Pendukeni Iivula-Ithana,female,1952-10-11,,Pendukeni Ithana,,Pendukeni Iivula-Ithana,,,,Pendukeni Livula-Ithana,,,,,,Pendukeni Livula-Ithana,,,/m/03m5740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.pendukeni.com,,Pendukeni Iivula-Ithana,,,,,,politician,,,,,,,Pendukeni Iivula-Ithana,,Pendukeni Iivula-Ithana,Pendukeni Iivula-Ithana,
Q1429995,Kazenambo Kazenambo,Kazenambo Kazenambo,Kazenambo Kazenambo,Kazenambo Kazenambo,,,Kazenambo Kazenambo,Kazenambo Kazenambo,Kazenambo Kazenambo,male,1963-07-06,,Kazenambo Kazenambo,,,,,,,,,,,,,,,/m/07s5_mk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalist,,,,,,,Kazenambo Kazenambo,,,,
Q15428950,Agnes Kafula,Agnes Kafula,Agnes Kafula,Agnes Kafula,Agnes Kafula,Agnes Kafula,Agnes Kafula,Agnes Kafula,Agnes Kafula,female,1955-11-01,Agnes,Agnes Kafula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,Agnes Kafula,,,,
Q15440071,,John Ya-Otto,John Ya-Otto,John Ya-Otto,,,John Ya-Otto,,John Ya-Otto,male,1938-02-10,John,John Ya Otto,,,,,,,,,,,,,274964993,n81106194,,182481220,0000 0003 8435 8810,118771574,126820536,,,,,,,,,,,,,,,,,,,,,,,,,1994-05-25,,,,,,,,,,,,,,,,,,,069089442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,90901347,,,201194,John Ya-Otto,,,,
