id,name,image,party,party_id,term,email,area,source
Africa-Ben,Africa Ben,"",DTA,DTA,1,,"",http://www.parliament.gov.na/index.php?option=com_contact&view=contact&id=833:africa-ben-1st&catid=120&Itemid=1374
Africa-Ben,Africa Ben,"",DTA,DTA,0,,"",http://www.parliament.gov.na/index.php?option=com_contact&view=contact&id=832:africa-ben&catid=118&Itemid=1375
Alweendo-Thomas-K,"Alweendo, Thomas K.",http://www.parliament.gov.na/images/nationalassemblymembers/6thparliament/hon_alweendo.jpg,SWAPO,SWAPO,6,tomalweendo@npc.gov.na,"",http://www.parliament.gov.na/index.php?option=com_contact&view=contact&id=964:alweendo-tom-a&catid=104&Itemid=1479
Amadhila-Matti,Amadhila Matti,http://www.parliament.gov.na/images/no_image.jpg,SWAPO,SWAPO,1,,"",http://www.parliament.gov.na/index.php?option=com_contact&view=contact&id=797:amadhila-matti-1st&catid=120&Itemid=1374
Amadhila-Matti,Amadhila Matti,http://www.parliament.gov.na/images/no_image.jpg,SWAPO,SWAPO,0,,"",http://www.parliament.gov.na/index.php?option=com_contact&view=contact&id=796:amadhila-matti&catid=118&Itemid=1375
Amadhila-Solomon-Solly,"Amadhila Solomon ""Solly""",http://www.parliament.gov.na/images/no_image.jpg,SWAPO,SWAPO,0,,"",http://www.parliament.gov.na/index.php?option=com_contact&view=contact&id=946:amadhila-s&catid=118&Itemid=1375
Amathila-Appolus-Libertine,Amathila  Appolus Libertine,http://www.parliament.gov.na/images/nationalassemblymembers/l_amathila.jpg,SWAPO,SWAPO,4,,"",http://www.parliament.gov.na/index.php?option=com_contact&view=contact&id=602:amathila-appolus-libertine-4th&catid=125&Itemid=1371
Amathila-Appolus-Libertine,Amathila  Appolus Libertine,http://www.parliament.gov.na/images/nationalassemblymembers/l_amathila.jpg,SWAPO,SWAPO,3,,"",http://www.parliament.gov.na/index.php?option=com_contact&view=contact&id=540:amathila-appolus-libertine&catid=123&Itemid=1372
Amathila-Appolus-Libertine,Amathila  Appolus Libertine,http://www.parliament.gov.na/images/nationalassemblymembers/l_amathila.jpg,SWAPO,SWAPO,2,,"",http://www.parliament.gov.na/index.php?option=com_contact&view=contact&id=601:amathila-appolus-libertine-2nd&catid=121&Itemid=1373
Amathila-Appolus-Libertine,Amathila  Appolus Libertine,http://www.parliament.gov.na/images/nationalassemblymembers/l_amathila.jpg,SWAPO,SWAPO,1,,"",http://www.parliament.gov.na/index.php?option=com_contact&view=contact&id=600:amathila-appolus-libertine-1st&catid=120&Itemid=1374
