id,name,image,party,party_id,term,email,area,source
a-mathila,Amathila Ben,http://www.parliament.gov.na/images/nationalassemblymembers/201_a_ben.jpg,SWAPO,SWAPO,4,,"",http://www.parliament.gov.na/index.php?option=com_contact&view=contact&id=606:a-mathila-4th&catid=125&Itemid=1371
a-mathila,Amathila Ben,http://www.parliament.gov.na/images/nationalassemblymembers/201_a_ben.jpg,SWAPO,SWAPO,3,,"",http://www.parliament.gov.na/index.php?option=com_contact&view=contact&id=430:a-mathila-3rd&catid=123&Itemid=1372
a-mathila,Amathila Ben,http://www.parliament.gov.na/images/nationalassemblymembers/201_a_ben.jpg,SWAPO,SWAPO,2,,"",http://www.parliament.gov.na/index.php?option=com_contact&view=contact&id=605:a-mathila-2nd&catid=121&Itemid=1373
a-mathila,Amathila Ben,http://www.parliament.gov.na/images/nationalassemblymembers/201_a_ben.jpg,SWAPO,SWAPO,1,,"",http://www.parliament.gov.na/index.php?option=com_contact&view=contact&id=604:a-mathila-1st&catid=120&Itemid=1374
a-mathila-ca,Amathila Ben,http://www.parliament.gov.na/images/nationalassemblymembers/201_a_ben.jpg,SWAPO,SWAPO,0,,"",http://www.parliament.gov.na/index.php?option=com_contact&view=contact&id=603:a-mathila-ca&catid=118&Itemid=1375
a-naruseb,"!Naruseb, Alpheus",http://www.parliament.gov.na/images/nationalassemblymembers/6thparliament/hon_naruseb.jpg,SWAPO,SWAPO,6,,"",http://www.parliament.gov.na/index.php?option=com_contact&view=contact&id=1086:a-naruseb&catid=104&Itemid=1479
a-tjongarero,"Tjongarero, Agnes Basilia",http://www.parliament.gov.na/images/nationalassemblymembers/6thparliament/Hon_Tjongarero.jpg,SWAPO,SWAPO,6,,"",http://www.parliament.gov.na/index.php?option=com_contact&view=contact&id=1116:a-tjongarero&catid=104&Itemid=1479
africa-ben,Africa Ben,"",DTA,DTA,1,,"",http://www.parliament.gov.na/index.php?option=com_contact&view=contact&id=833:africa-ben-1st&catid=120&Itemid=1374
africa-ben,Africa Ben,"",DTA,DTA,0,,"",http://www.parliament.gov.na/index.php?option=com_contact&view=contact&id=832:africa-ben&catid=118&Itemid=1375
alweendo-tom-a,"Alweendo, Thomas K.",http://www.parliament.gov.na/images/nationalassemblymembers/6thparliament/hon_alweendo.jpg,SWAPO,SWAPO,6,tomalweendo@npc.gov.na,"",http://www.parliament.gov.na/index.php?option=com_contact&view=contact&id=964:alweendo-tom-a&catid=104&Itemid=1479
