id,name__ar,name__de,name__ce,name__fr,name__en,name__nl,name,wikipedia__ar,wikipedia__ce,wikipedia__de,gender,occupation,identifier__VIAF,identifier__BNF,identifier__SUDOC,birth_date,death_date,original_wikiname,name__pt,name__zh_hans,name__zh_hant,name__zh_hk,name__es,name__zh,name__nb,name__nn,name__cy,name__hu,name__eu,name__ja,wikipedia__en,wikipedia__pt,wikipedia__zh,identifier__freebase,given_name,name__fa,name__he,wikipedia__fa,image,name__ca,name__tr,name__it,name__zh_cn,wikipedia__ca,wikipedia__es,wikipedia__fr,wikipedia__it,wikipedia__nl,wikipedia__tr,name__hy,wikipedia__hy,wikipedia__hywikisource,identifier__ISNI,name__ka,wikipedia__ka,identifier__google_knowledge,name__ru,name__id,name__pl,wikipedia__id,wikipedia__pl,wikipedia__ru,name__ko,name__yo,name__ms,name__fi,name__gl,name__el,name__bg,name__sv,wikipedia__bg,wikipedia__el,wikipedia__fi,wikipedia__gl,wikipedia__he,wikipedia__hu,wikipedia__ko,wikipedia__ms,wikipedia__sv,wikipedia__yo,name__lb,name__jv,name__qu,name__gd,name__bs,name__ta,name__et,name__sq,name__bcl,name__pnb,name__eo,name__is,name__yi,name__new,name__sr,name__uk,name__be_tarask,name__io,name__hr,name__az,name__da,name__kk,name__arz,name__be,name__lv,name__ml,name__vi,name__yue,name__sh,name__sa,name__hi,name__sk,name__ku,name__ro,name__th,name__la,name__sl,name__cs,name__mr,name__ur,name__war,name__ga,name__mg,name__ckb,name__li,name__uz,name__pa,name__bn,name__sco,name__si,name__ky,name__lrc,name__br,name__sw,wikipedia__arwikiquote,wikipedia__arwikisource,wikipedia__arz,wikipedia__az,wikipedia__bcl,wikipedia__be_x_old,wikipedia__be,wikipedia__bn,wikipedia__br,wikipedia__bs,wikipedia__ckb,wikipedia__commons,wikipedia__cs,wikipedia__cswikiquote,wikipedia__da,wikipedia__eo,wikipedia__et,wikipedia__eu,wikipedia__fawikiquote,wikipedia__ga,wikipedia__gd,wikipedia__hewikiquote,wikipedia__hi,wikipedia__hr,wikipedia__io,wikipedia__is,wikipedia__itwikiquote,wikipedia__ja,wikipedia__jv,wikipedia__kk,wikipedia__ku,wikipedia__ky,wikipedia__la,wikipedia__lb,wikipedia__liwikiquote,wikipedia__lrc,wikipedia__lv,wikipedia__mg,wikipedia__ml,wikipedia__mr,wikipedia__new,wikipedia__nn,wikipedia__no,wikipedia__pa,wikipedia__plwikiquote,wikipedia__pnb,wikipedia__ptwikiquote,wikipedia__qu,wikipedia__ro,wikipedia__ruwikiquote,wikipedia__sa,wikipedia__sco,wikipedia__sh,wikipedia__simple,wikipedia__si,wikipedia__sk,wikipedia__sl,wikipedia__sq,wikipedia__sr,wikipedia__srwikinews,wikipedia__sw,wikipedia__ta,wikipedia__th,wikipedia__uk,wikipedia__ur,wikipedia__uz,wikipedia__vi,wikipedia__war,wikipedia__yi,wikipedia__zh_yue,identifier__GND,identifier__LCAuth,identifier__IMDB,identifier__NDL,identifier__NLA,identifier__MusicBrainz,identifier__OLID,identifier__NKC,website,identifier__SELIBR,identifier__BNE,identifier__NTA,identifier__NNDB,identifier__AlloCine,identifier__Munzinger,identifier__EGAXA,identifier__NLAtrove,identifier__N6I,identifier__discogs,identifier__FAST,identifier__kinopoisk,identifier__wikitree,identifier__nobel_prize,identifier__quora,identifier__snac,name__mzn,name__pt_br,wikipedia__mzn,identifier__GNC,name__zh_sg,name__zh_tw,identifier__bigenc_ru,identifier__persee,identifier__Britannica,wikipedia__af,name__af,wikipedia__fo,wikipedia__ast,name__ast,name__fo,wikipedia__cy,name__aeb_arab,identifier__CONOR,wikipedia__an,wikipedia__lfn,name__lfn,name__an,wikipedia__tl,identifier__GTAA,name__tl,wikipedia__wuu,wikipedia__ne,name__wuu,name__ne,wikipedia__nov,name__nov
Q12209939,خالد العبود,,,,,,خالد العبود,خالد العبود,,,male,politician,,,,,,خالد العبود,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,خالد العبود,,,,,,,,,,,,,,
Q12218178,شاكر الفحام,Schakir al-Fahham,Щакар Ал-Фаххьам,Schakir al-Fahham,Schakir al-Fahham,Schakir al-Fahham,شاكر الفحام,شاكر الفحام,Щакар Ал-Фаххьам,Schakir al-Fahham,male,politician,44577500,150037475,169291081,1921,2008,شاكر الفحام,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000 0000 8378 1498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239589580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,شاكر الفحام,,,,,,,,,,,,,,
Q12224256,عبود الصالح,,,,,,عبود الصالح,عبود الصالح,,,male,scientist,,,,,,عبود الصالح,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12239600,محمد أحمد المسلط الملحم,,,,,,محمد أحمد المسلط الملحم,محمد أحمد المسلط الملحم,,,male,,,,,,,محمد أحمد المسلط الملحم,,,,,,,,,,,,,,,,,Muhammed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12252042,يوسف السعدون,,,,Yusuf al-Sa'dun,Yusuf al-Sa'dun,يوسف السعدون,يوسف السعدون,,,male,military personnel,,,,1888,1980,يوسف السعدون,,,,,,,,,,,,,Yusuf al-Sa'dun,,,,Yusuf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1337578,إبراهيم هنانو,Ibrahim Hananu,,Ibrahim Hananou,Ibrahim Hananu,Ibrahim Hananu,إبراهيم هنانو,إبراهيم هنانو,,Ibrahim Hananu,male,politician,61429645,16613354q,,1869,1935-11-21,Ibrahim Hananu,,,,,Ibrahim Hananu,,Ibrahim Hananu,,,Ibrahim Hananu,,,Ibrahim Hananu,,,/m/02qdlvx,Ibrahim,ابراهیم هنانو,,ابراهیم هنانو,"https://upload.wikimedia.org/wikipedia/commons/8/83/Hananu,_1932.jpg",Ibrahim Hananu,İbrahim Hananu,,,Ibrahim Hananu,,Ibrahim Hananou,,,İbrahim Hananu,,,,0000 0000 4967 1615,,,,"Ханану, Ибрахим",,Ibrahim Hananu,,Ibrahim Hananu,"Ханану, Ибрахим",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ئیبراھیم ھەنانوو,,,,,,,,,,,,,,,,,,,,,ئیبراھیم ھەنانوو,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ibrahim Hananu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nr94031943,,,,,,,,,,,,,,,,,,345696,,,,,,,,,,,,,,,,,,,,,,إبراهيم هنانو,,,,,,,,,,,,,,
Q1352670,حسني البرازي,Housni al-Barazi,,Housni al-Barazi,Husni al-Barazi,Housni al-Barazi,حسني البرازي,حسني البرازي,,Housni al-Barazi,male,politician,313286486,,,1895,1975,Husni al-Barazi,,,,,Husni al-Barazi,,,,,Husni al-Barazi,,,Husni al-Barazi,,,/m/080gg38,,حسنی البرازی,,حسنی البرازی,,,,,,,,Housni al-Barazi,,,,,,,,,,,Хусни аль-Барази,,,,,Хусни аль-Барази,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,حسني البرازي,,,,,,,,,,,,,,
Q15982160,وصفي الأتاسي,,,,Wasfi al-Atassi,,وصفي الأتاسي,وصفي الأتاسي,,,male,,,,,,,Wasfi al-Atassi,,,,,,,,,,,,,Wasfi al-Atassi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16117638,حماد عبود السعود,,,,,,حماد عبود السعود,حماد عبود السعود,,,male,,,,,,,حماد عبود السعود,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16126809,طراد بن فندي الملحم آلحسنة,,,,,,طراد بن فندي الملحم آلحسنة,طراد بن فندي الملحم آلحسنة,,,male,politician,,,,,1946,طراد بن فندي الملحم آلحسنة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,طراد بن فندي الملحم آلحسنة,,,,,,,,,,,,,,
