id,name__en,name__af,name__an,name__br,name__bs,name__ca,name__ceb,name__cs,name__cy,name__da,name__de,name__eo,name__es,name__et,name__eu,name__fi,name__fr,name__ga,name__gl,name__hr,name__hu,name__is,name__it,name__lb,name__lmo,name__lt,name__nds,name__nds_nl,name__nl,name__nn,name__pl,name__pms,name__pt,name__ro,name__sk,name__sl,name__sq,name__sv,name__tr,name__vec,name__wa,name__nb,name__gsw,name,wikipedia__en,gender,birth_date,death_date,given_name,original_wikiname,occupation,identifier__ISNI,identifier__VIAF,identifier__LCAuth,identifier__BNF,identifier__NPG,identifier__FAST,image,wikipedia__es,identifier__wikitree,name__ru,name__zh_hant,name__zh_cn,wikipedia__de,wikipedia__fr,identifier__freebase,website,name__zh,wikipedia__it,wikipedia__nl,wikipedia__pl,wikipedia__ru,name__de_ch,name__el,name__en_ca,name__en_gb,wikipedia__el,name__io,name__sh,wikipedia__io,wikipedia__pt,wikipedia__sh,family_name,name__ar,wikipedia__ar,wikipedia__tr,name__ja,wikipedia__zh,identifier__SUDOC,name__aa,name__ace,name__ak,name__ang,name__ast,name__ay,name__az,name__bar,name__bcl,name__bi,name__bjn,name__bm,name__cbk_zam,name__cdo,name__ch,name__cho,name__chy,name__co,name__cr,name__crh_latn,name__csb,name__de_at,name__diq,name__dsb,name__dtp,name__ee,name__egl,name__eml,name__ext,name__ff,name__fit,name__fj,name__fo,name__frc,name__frp,name__frr,name__fur,name__fy,name__gag,name__gd,name__gn,name__gv,name__ha,name__hak,name__hif_latn,name__hil,name__ho,name__hsb,name__ht,name__hz,name__ia,name__id,name__ie,name__ig,name__ik,name__ike_latn,name__ilo,name__jam,name__jbo,name__jv,name__kaa,name__kab,name__kg,name__ki,name__kk_latn,name__kk_tr,name__ksh,name__ku_latn,name__lad,name__li,name__lij,name__lv,name__mg,name__min,name__ms,name__nah,name__nap,name__nrm,name__oc,name__pcd,name__pt_br,name__qu,name__rm,name__rup,name__sc,name__scn,name__sco,name__sn,name__sr_el,name__su,name__sw,name__tl,name__tpi,name__uz,name__vi,name__vls,name__vo,name__war,name__wo,name__zea,name__zu,identifier__Britannica,wikipedia__oc
Q1281098,Craig Cannonier,,,,,,,,,,Craig Cannonier,,Craig Cannonier,,,,Craig Cannonier,,,,Craig Cannonier,,,,,,,,Craig Cannonier,,,,,,,,,,,,,,,Craig Cannonier,Craig Cannonier,male,1963,,Craig,Craig Cannonier,politician,,,,,,,https://upload.wikimedia.org/wikipedia/commons/b/bc/Craig_Cannonier.jpg,,,,,,Craig Cannonier,Craig Cannonier,/m/0pb8f9k,,克雷格·康隆尼,,,,,Craig Cannonier,Κρεγκ Κανονίερ,Craig Cannonier,Craig Cannonier,Κρεγκ Κανονίερ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1291036,Ewart Brown,,,,,,,,,,Ewart Brown,,Ewart Brown,,,,Ewart Brown,,,,Ewart Brown,,,,,,,,Ewart Brown,,Ewart Brown,,Ewart Brown,,,,,,,,,,,Ewart Brown,Ewart Brown,male,1946,,Ewart,Ewart Brown,politician,,313409802,,,,,https://upload.wikimedia.org/wikipedia/commons/0/07/Ewart_Brown.JPG,Ewart Brown,,,埃華特·布朗,埃华特·布朗,,Ewart Brown,/m/0269kmn,,艾瓦特·布朗,,,Ewart Brown,,,Γιούαρτ Μπράουν,,,Γιούαρτ Μπράουν,Ewart Brown,Ewart Brown,Ewart Brown,Ewart Brown,Ewart Brown,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q14946684,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,Russell Dismont,male,1913-06-27,2005-10-07,Russell,Russell Dismont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15453029,Reginald Gray,,,,,,,,,,,,Reginald Gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reginald Gray,Reginald Gray (politician),male,1851,1935,Reginald,Reginald Gray (politician),barrister,,63723163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16588777,David Gibbons,,,,,,,,David Gibbons,,David Gibbons,,,,,,David Gibbons,,,,,,,,,,,,,,,,,,,,,,,,,,,David Gibbons,David Gibbons (politician),male,1927-06-15,2014-03-30,David,David Gibbons (politician),politician,,,,,,,,,,"Гиббонс, Дэвид",大衛·吉本斯,大卫·吉本斯,,David Gibbons,,,,,,,"Гиббонс, Дэвид",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16732783,Trevor Moniz,,,,,,,,,,,,,,,,,,,,,,Trevor Moniz,,,,,,,,,,,,,,,,,,,,,Trevor Moniz,Trevor Moniz,male,,,Trevor,Trevor Moniz,politician,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/1b/Trevor_Moniz.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16878583,John Barritt,,,,,,,,John Barritt,,John Barritt,,,,,,John Barritt,,,,,,,,,,,,,,,,,,,,,,,,,,,John Barritt,John Barritt,male,1916-02-14,2014-05-13,John,John Barritt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17626860,Michael Dunkley,,,,,,,,,,Michael Dunkley,,,,,,Michael Dunkley,,,,Michael Dunkley,,,,,,,,Michael Dunkley,,Michael Dunkley,,,,,,,,,,,,,Michael Dunkley,Michael Dunkley,male,1958-06-18,,Michael,Michael Dunkley,politician,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/9f/Michael_Dunkley_2015.jpg,,,,邁克爾·鄧克利,迈克尔·邓克利,,Michael Dunkley,,,邁克爾·鄧克利,,,Michael Dunkley,,,,,,,,,,,,,,,,マイケル・ダンクリー,邁克爾·鄧克利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20737649,Robert Barritt,,,,,,,,Robert Barritt,,,,,,,,Robert Barritt,,,,,,,,,,,,Robert Barritt,,,,,,,,,,,,,,,Robert Barritt,Robert Barritt,male,1927,2015-06-21,Robert,Robert Barritt,artist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q22959282,Pamela Gordon,,,,,,,,,,Pamela Gordon,,,,,,Pamela Gordon,,,,,,,,,,,,Pamela Gordon,,,,,,,,,,,,,,,Pamela Gordon,Pamela Gordon (politician),female,1955,,Pamela,Pamela Gordon (politician),politician,,,,,,,,,,,,,Pamela Gordon,Pamela Gordon,,,帕梅拉·戈登,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
