id,name,party,area,circ,email,image,gender,term,source
785,Abel Atahualpa Martínez Durán,PLD,Santiago,1,"",http://www.camaradediputados.gob.do/serve/renderimage.aspx?x=80&y=90&cz=5&m=0&i=785&f=lists_images,male,2010,http://www.camaradediputados.gob.do/app/app_2011/cd_diputados_new.aspx?gen=Masculino
2042,Adalberto Esteban Rosa Hernández,PLD,Santiago,3,mailto:a.rosa@camaradediputados.gob.do,http://www.camaradediputados.gob.do/serve/renderimage.aspx?x=80&y=90&cz=5&m=0&i=2042&f=lists_images,male,2010,http://www.camaradediputados.gob.do/app/app_2011/cd_diputados_new.aspx?gen=Masculino
758,Afif Nazario Rizek Camilo,PLD,Hermanas Mirabal,"",mailto:a.rizek@camaradediputados.gob.do,http://www.camaradediputados.gob.do/serve/renderimage.aspx?x=80&y=90&cz=5&m=0&i=758&f=lists_images,male,2010,http://www.camaradediputados.gob.do/app/app_2011/cd_diputados_new.aspx?gen=Masculino
678,Albert Elías Atallah Lajan,PRD,Distrito Nacional,1,mailto:A.ATALLAH@CAMARADEDIPUTADOS.GOB.DO,http://www.camaradediputados.gob.do/serve/renderimage.aspx?x=80&y=90&cz=5&m=0&i=678&f=lists_images,male,2010,http://www.camaradediputados.gob.do/app/app_2011/cd_diputados_new.aspx?gen=Masculino
2027,Alejandro Jerez Espinal,PLD,Sánchez Ramírez,"",mailto:a.jerez@camaradediputados.gob.do ,http://www.camaradediputados.gob.do/serve/renderimage.aspx?x=80&y=90&cz=5&m=0&i=2027&f=lists_images,male,2010,http://www.camaradediputados.gob.do/app/app_2011/cd_diputados_new.aspx?gen=Masculino
2074,Alexis Isaac Jiménez González,PRD,Santo Domingo,3,mailto:ai.gonzalez@camaradediputados.gob.do ,http://www.camaradediputados.gob.do/serve/renderimage.aspx?x=80&y=90&cz=5&m=0&i=2074&f=lists_images,male,2010,http://www.camaradediputados.gob.do/app/app_2011/cd_diputados_new.aspx?gen=Masculino
3221,Alfredo Antonio Rodríguez Azcona,PLD,De dominicanos en el exterior,1,mailto:a.rodriguez@camaradediputados.gob.do,http://www.camaradediputados.gob.do/serve/renderimage.aspx?x=80&y=90&cz=5&m=0&i=3221&f=lists_images,male,2010,http://www.camaradediputados.gob.do/app/app_2011/cd_diputados_new.aspx?gen=Masculino
819,Alfredo Martínez,PLD,Santo Domingo,3,mailto:a.martinez@camaradediputados.gob.do ,http://www.camaradediputados.gob.do/serve/renderimage.aspx?x=80&y=90&cz=5&m=0&i=819&f=lists_images,male,2010,http://www.camaradediputados.gob.do/app/app_2011/cd_diputados_new.aspx?gen=Masculino
2055,Andrés Enmanuel Bautista Taveras,PRD,Espaillat,"",mailto:a.bautista@camaradediputados.gob.do,http://www.camaradediputados.gob.do/serve/renderimage.aspx?x=80&y=90&cz=5&m=0&i=2055&f=lists_images,male,2010,http://www.camaradediputados.gob.do/app/app_2011/cd_diputados_new.aspx?gen=Masculino
2040,Angel Esteban Ramírez Taveras,PLD,Nacional,"",mailto:a.ramirez@camaradediputados.gob.do,http://www.camaradediputados.gob.do/serve/renderimage.aspx?x=80&y=90&cz=5&m=0&i=2040&f=lists_images,male,2010,http://www.camaradediputados.gob.do/app/app_2011/cd_diputados_new.aspx?gen=Masculino
823,Aníbal Rosario Ramírez,PRD,Santo Domingo,3,mailto:a.rosario@camaradediputados.gob.do ,http://www.camaradediputados.gob.do/serve/renderimage.aspx?x=80&y=90&cz=5&m=0&i=823&f=lists_images,male,2010,http://www.camaradediputados.gob.do/app/app_2011/cd_diputados_new.aspx?gen=Masculino
791,Antonio Bernabel Colón,PRD,Santiago,1,mailto:a.colon@camaradediputados.gob.do ,http://www.camaradediputados.gob.do/serve/renderimage.aspx?x=80&y=90&cz=5&m=0&i=791&f=lists_images,male,2010,http://www.camaradediputados.gob.do/app/app_2011/cd_diputados_new.aspx?gen=Masculino
697,Aquiles Leonel Ledesma Alcántara,PRD,Barahona,"",mailto:A.LEDESMA@CAMARADEDIPUTADOS.GOV.DO,http://www.camaradediputados.gob.do/serve/renderimage.aspx?x=80&y=90&cz=5&m=0&i=697&f=lists_images,male,2010,http://www.camaradediputados.gob.do/app/app_2011/cd_diputados_new.aspx?gen=Masculino
2046,Aquilino Serrata Uceta,PLD,Santo Domingo,4,mailto:a.serrata@camaradediputados.gob.do ,http://www.camaradediputados.gob.do/serve/renderimage.aspx?x=80&y=90&cz=5&m=0&i=2046&f=lists_images,male,2010,http://www.camaradediputados.gob.do/app/app_2011/cd_diputados_new.aspx?gen=Masculino
731,Aridio Antonio Reyes,PLD,La Vega,1,"mailto:a.reyes@camaradediputados,gob.do",http://www.camaradediputados.gob.do/serve/renderimage.aspx?x=80&y=90&cz=5&m=0&i=731&f=lists_images,male,2010,http://www.camaradediputados.gob.do/app/app_2011/cd_diputados_new.aspx?gen=Masculino
3220,Aurelio Agustín Mercedes Moscat,PRD,De dominicanos en el exterior,3,mailto:a.mercedes@camaradediputados.gob.do,http://www.camaradediputados.gob.do/serve/renderimage.aspx?x=80&y=90&cz=5&m=0&i=3220&f=lists_images,male,2010,http://www.camaradediputados.gob.do/app/app_2011/cd_diputados_new.aspx?gen=Masculino
2053,Bernardo Alemán Rodríguez,PRD,Montecristi,"",mailto:b.aleman@camaradediputados.gob.do ,http://www.camaradediputados.gob.do/serve/renderimage.aspx?x=80&y=90&cz=5&m=0&i=2053&f=lists_images,male,2010,http://www.camaradediputados.gob.do/app/app_2011/cd_diputados_new.aspx?gen=Masculino
2075,Carlos Borromeo Terrero Reyes,PRD,Santiago,1,mailto:c.terrero@camaradediputados.gob.do,http://www.camaradediputados.gob.do/serve/renderimage.aspx?x=80&y=90&cz=5&m=0&i=2075&f=lists_images,male,2010,http://www.camaradediputados.gob.do/app/app_2011/cd_diputados_new.aspx?gen=Masculino
2069,Carlos Gabriel García Candelario,PRD,Nacional,"",mailto:cg.garcia@camaradediputados.gob.do,http://www.camaradediputados.gob.do/serve/renderimage.aspx?x=80&y=90&cz=5&m=0&i=2069&f=lists_images,male,2010,http://www.camaradediputados.gob.do/app/app_2011/cd_diputados_new.aspx?gen=Masculino
2018,Carlos María García Gómez,PLD,Espaillat,"",mailto:c.garcia@camaradediputados.gob.do,http://www.camaradediputados.gob.do/serve/renderimage.aspx?x=80&y=90&cz=5&m=0&i=2018&f=lists_images,male,2010,http://www.camaradediputados.gob.do/app/app_2011/cd_diputados_new.aspx?gen=Masculino
2021,Carlos Marién Guzmán Elías,PLD,Santo Domingo,6,mailto:c.guzman@camaradediputados.gob.do ,http://www.camaradediputados.gob.do/serve/renderimage.aspx?x=80&y=90&cz=5&m=0&i=2021&f=lists_images,male,2010,http://www.camaradediputados.gob.do/app/app_2011/cd_diputados_new.aspx?gen=Masculino
2065,Cristian Encarnación,PRD,Santo Domingo,5,mailto:c.encarnacion@camaradediputados.gob.do ,http://www.camaradediputados.gob.do/serve/renderimage.aspx?x=80&y=90&cz=5&m=0&i=2065&f=lists_images,male,2010,http://www.camaradediputados.gob.do/app/app_2011/cd_diputados_new.aspx?gen=Masculino
