id,label,type
Q12351697,"Minister of Education, Science and Culture",cabinet
Q16422303,Minister of Education,cabinet
Q16429233,Minister of the Interior,cabinet
Q17013941,Minister of Justice and Ecclesiastical Affairs,cabinet
Q17278719,Minister of Finance,cabinet
Q17278723,Minister of Fisheries and Agriculture,cabinet
Q1829531,list of ministers for Foreign Affairs,cabinet
Q19190022,Prime Minister of Iceland,cabinet
Q20087600,Minister of Fisheries,cabinet
Q20087601,Minister of Agriculture,cabinet
Q55375774,Minister of Education and Culture,cabinet
Q6865928,Minister for Nordic Cooperation,cabinet
Q6866420,Minister of Welfare,cabinet
