id,name__en,name__ja,name__de,name__fr,name__nl,name,wikipedia__en,wikipedia__ja,gender,occupation,birth_date,death_date,original_wikiname,name__pt,name__pl,name__ru,name__ko,name__es,name__th,name__oc,name__yo,name__fi,name__to,name__et,name__id,name__cs,name__el,name__io,name__sh,name__da,name__nb,name__nn,name__sv,wikipedia__cs,wikipedia__da,wikipedia__de,wikipedia__el,wikipedia__es,wikipedia__et,wikipedia__fi,wikipedia__fr,wikipedia__id,wikipedia__io,wikipedia__ko,wikipedia__no,wikipedia__oc,wikipedia__pl,wikipedia__pt,wikipedia__ru,wikipedia__sh,wikipedia__th,wikipedia__to,wikipedia__yo,image,identifier__VIAF,identifier__LCAuth,identifier__freebase,name__cy,wikipedia__nl,name__tr,name__hr,name__hu,name__zh,wikipedia__hr,wikipedia__tr,name__it,wikipedia__commons,wikipedia__it,name__lb,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__he,name__gl,name__sr_el,name__sr_ec,name__ro,name__ca,name__uk,name__la,name__sr,name__sco,name__fa,name__be,name__ur,name__ar,wikipedia__ar,wikipedia__be,wikipedia__ca,wikipedia__fa,wikipedia__gl,wikipedia__he,wikipedia__hu,wikipedia__la,wikipedia__lb,wikipedia__nn,wikipedia__ro,wikipedia__sco,wikipedia__simple,wikipedia__sr,wikipedia__sv,wikipedia__uk,wikipedia__ur,wikipedia__zh,identifier__IMDB,name__en_ca,name__en_gb,name__ast,wikipedia__ast,identifier__ISNI,identifier__NLA,given_name,identifier__NTA,identifier__Oxforddnb,identifier__AuDB,identifier__FAST,identifier__snac,name__eu,name__ms,name__lt,name__na,wikipedia__eu,wikipedia__lt,wikipedia__ms,wikipedia__na,wikipedia__plwikiquote,identifier__GND,identifier__BNF,identifier__NLI,identifier__Britannica,email,identifier__NNDB
Q10948927,Viliami Veasi‘i Veikune,,Viliami Veasi‘i Veikune,,,Viliami Veasi‘i Veikune,Viliami Veasi‘i Veikune,,male,,,,Viliami Veasi‘i Veikune,,,,,,,,,,Viliami Veasiʻi Veikune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Viliami Veasiʻi Veikune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10948952,Viliami Tungī Mailefihi,,Viliami Tungī Mailefihi,Viliami Tungi Mailefihi,Viliami Tungī Mailefihi,Viliami Tungī Mailefihi,Viliami Tungī Mailefihi,,male,,1887-11-01,1941-07-20,Viliami Tungī Mailefihi,Viliami Tungī Mailefihi,,Вилиами Тунги Маилефихи,,,วิเลียมี ตังกิ ไมเลฟีฮี,,,,Viliami Tupoulahi Tungī Mailefihi,,,,,,,Viliami Tungī Mailefihi,,,,,,,,,,,Viliami Tungi Mailefihi,,,,,,,,,,วิเลียมี ตังกิ ไมเลฟีฮี,Viliami Tupoulahi Tungī Mailefihi,,https://upload.wikimedia.org/wikipedia/commons/1/1b/Tungī_and_Sālote.jpg,,,,,,,,Viliami Tungi tongai herceg,,,,Viliami Tungī Mailefihi,Category:Viliami Tungī Mailefihi,Viliami Tungī Mailefihi,,,維利亞米·湯吉·邁里菲赫,,维利亚米·汤吉·迈里菲赫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15726674,Solomone Ula Ata,,Solomone Ula Ata,,Solomone Ula Ata,Solomone Ula Ata,Solomone Ula Ata,,male,,1883,1950,Solomone Ula Ata,,,,,,,,,,Solomone Ula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Solomone Ula,,https://upload.wikimedia.org/wikipedia/commons/0/00/Ata_(Solomone).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16016625,Samisoni Fonomanu Tu'i'afitu,,Samisoni Fonomanu Tu'i'afitu,,,Samisoni Fonomanu Tu'i'afitu,Samisoni Fonomanu Tu'i'afitu,,male,,1933-12-21,2005-10-04,Samisoni Fonomanu Tu'i'afitu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16194844,Lord Tonga Tuʻiʻafitu,,Lord Tonga Tuʻiʻafitu,Lord Tonga Tuʻiʻafitu,Lord Tonga Tuʻiʻafitu,Lord Tonga Tuʻiʻafitu,Tonga Tuʻiʻafitu,,male,politician,1962-10-03,,Tonga Tuʻiʻafitu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16929585,Mataʻiʻulua ‘i Fonuamotu,,Mataʻiʻulua ‘i Fonuamotu,Mataʻiʻulua ‘i Fonuamotu,Mataʻiʻulua ‘i Fonuamotu,Mataʻiʻulua ‘i Fonuamotu,Mataʻiʻulua ‘i Fonuamotu,,male,politician,,,Mataʻiʻulua ‘i Fonuamotu,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mataʻiʻulua ‘i Fonuamotu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16931248,Tuʻihaʻateiho,,,,,Tuʻihaʻateiho,Tuʻihaʻateiho,,male,,1910-03-17,1962-02-04,Tuʻihaʻateiho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19605129,Mateni Tapueluelu,,,,Mateni Tapueluelu,Mateni Tapueluelu,Mateni Tapueluelu,,male,journalist,,,Mateni Tapueluelu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q204358,Shirley Waldemar Baker,シャーリー・ベイカー,Shirley Waldemar Baker,Shirley Baker,Shirley Waldemar Baker,Shirley Waldemar Baker,Shirley Waldemar Baker,,male,missionary,1839,1903-11-16,Shirley Waldemar Baker,,,Ширли Вальдемар Бейкер,,Shirley Waldemar Baker,,,,,Shirley Waldemar Baker,,,,,,,Shirley Waldemar Baker,Shirley Waldemar Baker,Shirley Waldemar Baker,Shirley Waldemar Baker,,,Shirley Waldemar Baker,,,,,Shirley Baker,,,,,,,,"Бейкер, Ширли Вальдемар",,,Shirley Waldemar Baker,,https://upload.wikimedia.org/wikipedia/commons/2/20/SW_Baker.jpg,24196710,no96054487,/m/09bd5c,,,,,Shirley Waldemar Baker,,,,,Category:Shirley Waldemar Baker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000 0000 6398 0406,36034985,Shirley,070248397,101030549,baker-shirley-waldemar-2921,382110,w6tf77zv,,,,,,,,,,,,,,,
Q208497,Tupou VI,トゥポウ6世,Tupou VI.,Tupou VI,Tupou VI,Tupou VI,Tupou VI,トゥポウ6世,male,diplomat,1959-07-12,,Tupou VI,Tupou VI,Tupou VI,Тупоу VI,투포우 6세,Tupou VI,สมเด็จพระราชาธิบดีตูโปอูที่ 6 แห่งตองกา,Tupou VI,,Tupou VI,Tupou VI,Tupou VI,ʻAhoʻeitu ʻUnuakiʻotonga Tukuʻaho,Tupou VI.,Τουπόου ΣΤ΄,,Tupou VI,Tupou 4.,Tupou VI av Tonga,Tupou VI av Tonga,Tupou VI,Tupou VI.,,Tupou VI.,Τουπόου ΣΤ΄,Tupou VI,Tupou VI,Tupou VI,Tupou VI,Raja Tupou VI,,아호에이투 투포우 6세,Tupou VI av Tonga,Tupou VI,Tupou VI,Tupou VI,Тупоу VI,Tupou VI,สมเด็จพระราชาธิบดีตูโปอูที่ 6 แห่งตองงา,Tupou VI,,https://upload.wikimedia.org/wikipedia/commons/1/13/Ulukalala_Lavaka_Ata.jpg,,,/m/02319h,,Tupou VI,VI. Tupou,Tupou VI.,VI. Tupou tongai király,圖普六世,Tupou VI.,VI. Tupou,Tupou VI,Category:Tupou VI,Tupou VI,Tupou VI.,图普六世,圖普六世,圖普六世,图普六世,图普六世,圖普六世,"טופו השישי, מלך טונגה",Tupou VI,Ahoejitu Unuakiotonga Tukuaho,Ахоејиту Унуакиотонга Тукуахо,Tupou al VI-lea,ʻAhoʻeitu ʻUnuakiʻotonga Tukuʻaho,Тупоу VI,Tupou VI,Ахоејиту Унуакиотонга Тукуахо,Tupou VI,توپوی ششم,Тупоу VI,توپؤو ششم,توبو السادس,توبو السادس,Тупоу VI,ʻAhoʻeitu ʻUnuakiʻotonga Tukuʻaho,توپوی ششم,Tupou VI,"טופו השישי, מלך טונגה",VI. Tupou tongai király,Tupou VI,Tupou VI.,Tupou VI av Tonga,Tupou al VI-lea,Tupou VI,Tupou VI,Ахоејиту Унуакиотонга Тукуахо,Tupou VI,Тупоу VI,توپؤو ششم,圖普六世,nm1761179,,,,,,,,,,,,,,,,,,,,,,,,,biography/Tupou-VI,,
