id,name,name__eo,name__ru,name__en,name__es,name__nl,name__fr,name__nb,name__da,name__nn,name__sv,name__de,name__cy,name__hu,wikipedia__en,wikipedia__eo,wikipedia__ru,birth_date,death_date,gender,occupation,original_wikiname,name__la,name__nds,name__yo,name__fi,name__zh,name__pt,name__it,name__ja,wikipedia__de,wikipedia__es,wikipedia__fi,wikipedia__fr,wikipedia__it,wikipedia__la,wikipedia__nds,wikipedia__pt,wikipedia__yo,wikipedia__zh,identifier__freebase,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__pl,name__et,name__id,name__el,name__bg,wikipedia__bg,wikipedia__da,wikipedia__el,wikipedia__et,wikipedia__id,wikipedia__no,wikipedia__pl,wikipedia__sv,given_name,name__uk,wikipedia__uk,name__tr,name__he,wikipedia__tr,name__fo,name__kl
Q1371523,Haroun Kabadi,,,Haroun Kabadi,Haroun Kabadi,Haroun Kabadi,Haroun Kabadi,Haroun Kabadi,Haroun Kabadi,Haroun Kabadi,Haroun Kabadi,Haroun Kabadi,,Haroun Kabadi,Haroun Kabadi,,,1949,,male,politician,Haroun Kabadi,,,Haroun Kabadi,,哈龍·卡巴迪,,,ハルン・カバディ,Haroun Kabadi,,,,,,,,Haroun Kabadi,哈龍·卡巴迪,/m/02xdsb,,,,哈龙·卡巴迪,,,,,Haroun Kabadi,,,,Haroun Kabadi,,,Haroun Kabadi,,,Haroun Kabadi,,,,,,,,
Q17038427,Ngarlejy Yorongar,,,Ngarlejy Yorongar,,,,,,,,Ngarlejy Yorongar,,,Ngarlejy Yorongar,,,,,male,,Ngarlejy Yorongar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3565005,Wadel Abdelkader Kamougué,,,Wadel Abdelkader Kamougué,Wadel Abdelkader Kamougué,Wadel Abdelkader Kamougué,Wadel Abdelkader Kamougué,,,,,Wadel Abdelkader Kamougué,Wadel Abdelkader Kamougué,Wadel Abdelkader Kamougué,Wadel Abdelkader Kamougué,,,1939-05-20,2011-05-09,male,politician,Wadel Abdelkader Kamougué,,,,,,,,,,,,Wadel Abdelkader Kamougué,,,,,,,/m/08y473,,,,,,,,,Wadel Abdelkader Kamougué,,,,,,,Wadel Abdelkader Kamougué,,,,,Камуге Вадаль Абделькадер,Камуге Вадаль Абделькадер,,,,,
Q3847967,Idriss Ndele Moussa,Idriss Ndele Moussa,"Мусса, Идрис Нделе",Idriss Ndele Moussa,Idriss Ndele Moussa,Idriss Ndele Moussa,Idriss Ndele Moussa,Idriss Ndele Moussa,Idriss Ndele Moussa,Idriss Ndele Moussa,Idriss Ndele Moussa,Idriss Ndele Moussa,Idriss Ndele Moussa,Idriss Ndele Moussa,Idriss Ndele Moussa,Idriss Ndele Moussa,"Мусса, Идрис Нделе",1959-04-17,2013-05-20,male,politician,Idriss Ndele Moussa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q449364,Delwa Kassiré Koumakoye,,,Delwa Kassiré Koumakoye,Delwa Kassiré Koumakoye,Delwa Kassiré Koumakoye,Delwa Kassiré Coumakoye,Delwa Kassiré Koumakoye,Delwa Kassiré Koumakoye,,Delwa Kassiré Koumakoye,Delwa Kassiré Koumakoye,,Delwa Kassiré Koumakoye,Delwa Kassiré Koumakoye,,,1949-12-31,,male,politician,Delwa Kassiré Koumakoye,,,Delwa Kassiré Koumakoye,Delwa Kassiré Koumakoye,德尔瓦·卡西雷·库马科耶,,Delwa Kassiré Koumakoye,デルワ・カッシレ・クマコワイ,Delwa Kassiré Koumakoye,Delwa Kassiré Koumakoye,Delwa Kassiré Koumakoye,Delwa Kassiré Coumakoye,Delwa Kassiré Koumakoye,,,,Delwa Kassiré Koumakoye,德尔瓦·卡西雷·库马科耶,/m/086bms,德尔瓦·卡西雷·库马科耶,德爾瓦·卡西雷·庫馬科耶,德爾瓦·卡西雷·庫馬科耶,德尔瓦·卡西雷·库马科耶,德尔瓦·卡西雷·库马科耶,德爾瓦·卡西雷·庫馬科耶,Delwa Kassiré Koumakoye,Delwa Kassiré Koumakoye,Delwa Kassiré Koumakoye,Ντέλουα Κασιρέ Κουμακόγιε,Делва Касире Кумакойе,Делва Касире Кумакойе,Delwa Kassiré Koumakoye,Ντέλουα Κασιρέ Κουμακόγιε,Delwa Kassiré Koumakoye,Delwa Kassiré Koumakoye,Delwa Kassiré Koumakoye,Delwa Kassiré Koumakoye,Delwa Kassiré Koumakoye,,,,,,,,
Q4695685,Ahmat Acyl,,,Ahmat Acyl,Ahmat Acyl,Ahmat Acyl,Ahmat Acyl,,,,,Ahmat Acyl,,,Ahmat Acyl,,,1944,1982,male,diplomat,Ahmat Acyl,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ahmat Acyl,,,,,,,Ahmat Acyl,,,,,,,,,,,
Q4710950,Albert Pahimi Padacké,,,Albert Pahimi Padacké,Albert Pahimi Padacké,Albert Pahimi Padacké,Albert Pahimi Padacké,Albert Pahimi Padacké,Albert Pahimi Padacké,Albert Pahimi Padacké,Albert Pahimi Padacké,Albert Pahimi Padacké,,,Albert Pahimi Padacké,,,1966-11-15,,male,politician,Albert Pahimi Padacké,Albertus Pahimi Padacké,,,,阿爾貝·帕希米·帕達凱,Albert Pahimi Padacké,,アルベール・パイミ・,Albert Pahimi Padacké,Albert Pahimi Padacké,,Albert Pahimi Padacké,,Albertus Pahimi Padacké,,Albert Pahimi Padacké,,,,,,,,,,Albert Pahimi Padacké,,,,,,,,,,,Albert Pahimi Padacké,,Albert,,,Albert Pahimi Padacké,אלבר פאימי פאדאקה,Albert Pahimi Padacké,Albert Pahimi Padacké,Albert Pahimi Padacké
Q500374,Lol Mahamat Choua,,,Lol Mahamat Choua,Lol Mohamed Shawa,Lol Mahamat Choua,Lol Mahamat Choua,Lol Mahamat Choua,Lol Mahamat Choua,Lol Mahamat Choua,Lol Mahamat Choua,Lol Mohammed Chawa,,Lol Mohamed Shawa,Lol Mahamat Choua,,,1939,,male,politician,Lol Mahamat Choua,Lol Mahamat Choua,Lol Mohammed Chawa,Lol Mahamat Choua,Lol Mahamat Choua,洛勒·穆罕默德·舒瓦,Lol Mahamat Choua,Lol Mahamat Choua,ロル・モハメド・シャワ,Lol Mohammed Chawa,Lol Mohamed Shawa,Lol Mahamat Choua,Lol Mahamat Choua,Lol Mahamat Choua,Lol Mahamat Choua,Lol Mohammed Chawa,Lol Mahamat Choua,Lol Mahamat Choua,洛勒·穆罕默德·舒瓦,/m/0bq_d5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6689633,Loum N. Neloumsei Elise,,,Loum N. Neloumsei Elise,Loum N. Neloumsei Elise,Loum N. Neloumsei Elise,,,,,,,,,Loum N. Neloumsei Elise,,,1956,,female,politician,Loum N. Neloumsei Elise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7403916,Saleh Kebzabo,,,Saleh Kebzabo,Saleh Kebzabo,Saleh Kebzabo,Saleh Kebzabo,,,,,Saleh Kebzabo,,,Saleh Kebzabo,,,1947-03-27,,male,journalist,Saleh Kebzabo,,,,,,,,,Saleh Kebzabo,,,Saleh Kebzabo,,,,,,,,,,,,,,,,,,,,,,,,,,,Salah Pacha,,,,,,,
