id,name__cs,name__sl,name__en,name__af,name__an,name__ast,name__bar,name__br,name__bs,name__ca,name__co,name__cy,name__da,name__de,name__eo,name__es,name__et,name__eu,name__fi,name__fr,name__fur,name__ga,name__gd,name__gl,name__gsw,name__hr,name__hu,name__is,name__it,name__lb,name__li,name__lij,name__lmo,name__lt,name__nap,name__nb,name__nds,name__nds_nl,name__nl,name__nn,name__pcd,name__pl,name__pms,name__pt,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sq,name__sv,name__tr,name__vec,name__vls,name__wa,name,wikipedia__commons,wikipedia__cs,wikipedia__sl,image,gender,birth_date,given_name,original_wikiname,occupation,wikipedia__en,wikipedia__fr,wikipedia__pl,wikipedia__tr,family_name,wikipedia__hu,wikipedia__it,identifier__VIAF,identifier__freebase,name__ru,name__uk,name__vi,name__ar,name__zh,name__be,name__ie,name__de_ch,name__el,name__en_ca,name__en_gb,name__oc,name__hsb,name__dsb,name__csb,name__kg,name__la,name__ka,name__ja,name__sr,name__sh,name__be_tarask,name__id,name__io,name__fa,wikipedia__ar,wikipedia__be_x_old,wikipedia__be,wikipedia__ca,wikipedia__da,wikipedia__de,wikipedia__el,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__fa,wikipedia__fi,wikipedia__hr,wikipedia__id,wikipedia__ie,wikipedia__io,wikipedia__ja,wikipedia__ka,wikipedia__lb,wikipedia__nl,wikipedia__nn,wikipedia__no,wikipedia__pt,wikipedia__ru,wikipedia__sh,wikipedia__sr,wikipedia__sv,wikipedia__uk,wikipedia__vi,wikipedia__zh,website,identifier__CONOR,identifier__parlement,wikipedia__ro,identifier__EuroparlMEP,wikipedia__slwikiquote,wikipedia__la,name__he,name__ko,name__lv,name__bg,name__pt_br,wikipedia__ast,wikipedia__bg,wikipedia__bs,wikipedia__cswikiquote,wikipedia__gl,wikipedia__he,wikipedia__is,wikipedia__ko,wikipedia__lv,wikipedia__oc,wikipedia__plwikiquote,wikipedia__ruwikinews,wikipedia__sco,wikipedia__sk,wikipedia__sq,identifier__ISNI,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__FAST,wikipedia__hsb,wikipedia__nds,identifier__SUDOC,name__ty,name__bm,name__de_at,name__frc,name__frp,name__ia,name__jam,name__kab,name__mg,name__min,name__ms,name__nrm,name__pap,name__prg,name__rgn,name__sw,name__vmf,name__vo,name__wo,name__zu,wikipedia__ur,name__ur,identifier__Britannica,wikipedia__eu,identifier__BIBSYS,twitter,facebook,honorific_prefix,name__si,linkedin,identifier__IMDB,identifier__NTA,identifier__NSZL,identifier__NLA,identifier__NUKAT,identifier__NKC,name__lfn,wikipedia__ta,wikipedia__ms
Q11903061,Vinko Gorenak,Vinko Gorenak,Vinko Gorenak,Vinko Gorenak,Vinko Gorenak,Vinko Gorenak,Vinko Gorenak,Vinko Gorenak,Vinko Gorenak,Vinko Gorenak,Vinko Gorenak,Vinko Gorenak,Vinko Gorenak,Vinko Gorenak,Vinko Gorenak,Vinko Gorenak,Vinko Gorenak,Vinko Gorenak,Vinko Gorenak,Vinko Gorenak,Vinko Gorenak,Vinko Gorenak,Vinko Gorenak,Vinko Gorenak,Vinko Gorenak,Vinko Gorenak,Vinko Gorenak,Vinko Gorenak,Vinko Gorenak,Vinko Gorenak,Vinko Gorenak,Vinko Gorenak,Vinko Gorenak,Vinko Gorenak,Vinko Gorenak,Vinko Gorenak,Vinko Gorenak,Vinko Gorenak,Vinko Gorenak,Vinko Gorenak,Vinko Gorenak,Vinko Gorenak,Vinko Gorenak,Vinko Gorenak,Vinko Gorenak,Vinko Gorenak,Vinko Gorenak,Vinko Gorenak,Vinko Gorenak,Vinko Gorenak,Vinko Gorenak,Vinko Gorenak,Vinko Gorenak,Vinko Gorenak,Vinko Gorenak,Vinko Gorenak,Vinko Gorenak,Category:Vinko Gorenak,Vinko Gorenak,Vinko Gorenak,https://upload.wikimedia.org/wikipedia/commons/5/55/Vinko_Gorenak.jpg,male,1955-12-15,Vinko,Vinko Gorenak,politician,,,,,,,,305732525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4944483,,,,,,,,,,,,,,,,,,,,,,,,,,0000 0004 2252 4411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drVinkoGorenak,,,,,,,,,,,,,
Q12787285,Danijel Krivec,Danijel Krivec,Danijel Krivec,Danijel Krivec,Danijel Krivec,Danijel Krivec,Danijel Krivec,Danijel Krivec,Danijel Krivec,Danijel Krivec,Danijel Krivec,Danijel Krivec,Danijel Krivec,Danijel Krivec,Danijel Krivec,Danijel Krivec,Danijel Krivec,Danijel Krivec,Danijel Krivec,Danijel Krivec,Danijel Krivec,Danijel Krivec,Danijel Krivec,Danijel Krivec,Danijel Krivec,Danijel Krivec,Danijel Krivec,Danijel Krivec,Danijel Krivec,Danijel Krivec,Danijel Krivec,Danijel Krivec,Danijel Krivec,Danijel Krivec,Danijel Krivec,Danijel Krivec,Danijel Krivec,Danijel Krivec,Danijel Krivec,Danijel Krivec,Danijel Krivec,Danijel Krivec,Danijel Krivec,Danijel Krivec,Danijel Krivec,Danijel Krivec,Danijel Krivec,Danijel Krivec,Danijel Krivec,Danijel Krivec,Danijel Krivec,Danijel Krivec,Danijel Krivec,Danijel Krivec,Danijel Krivec,Danijel Krivec,Danijel Krivec,,,Danijel Krivec,https://upload.wikimedia.org/wikipedia/commons/0/0e/Danijel_Krivec.jpg,male,1965-05-16,Danijel,Danijel Krivec,politician,,,,,Krivec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7114851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12787433,,Dejan Židan,Dejan Židan,,,,,,,,,,,Dejan Židan,,,,,,Dejan Židan,,,,,,,,,,,,,,,,,,,Dejan Židan,,,Dejan Židan,,,,,,,,,,,Dejan Židan,,,,Dejan Židan,,,Dejan Židan,https://upload.wikimedia.org/wikipedia/commons/8/86/Dejan_Židan.jpg,male,1967-10-16,Dejan,Dejan Židan,politician,Dejan Židan,Dejan Židan,Dejan Židan,Dejan Židan,,,,305726189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8288355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12789041,Franc Breznik,Franc Breznik,Franc Breznik,Franc Breznik,Franc Breznik,Franc Breznik,Franc Breznik,Franc Breznik,Franc Breznik,Franc Breznik,Franc Breznik,Franc Breznik,Franc Breznik,Franc Breznik,Franc Breznik,Franc Breznik,Franc Breznik,Franc Breznik,Franc Breznik,Franc Breznik,Franc Breznik,Franc Breznik,Franc Breznik,Franc Breznik,Franc Breznik,Franc Breznik,Franc Breznik,Franc Breznik,Franc Breznik,Franc Breznik,Franc Breznik,Franc Breznik,Franc Breznik,Franc Breznik,Franc Breznik,Franc Breznik,Franc Breznik,Franc Breznik,Franc Breznik,Franc Breznik,Franc Breznik,Franc Breznik,Franc Breznik,Franc Breznik,Franc Breznik,Franc Breznik,Franc Breznik,Franc Breznik,Franc Breznik,Franc Breznik,Franc Breznik,Franc Breznik,Franc Breznik,Franc Breznik,Franc Breznik,Franc Breznik,Franc Breznik,,,Franc Breznik,,male,1970-07-23,Franc,Franc Breznik,economist,,,,,Breznik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158290531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12789102,Franc Jurša,Franc Jurša,Franc Jurša,Franc Jurša,Franc Jurša,Franc Jurša,Franc Jurša,Franc Jurša,Franc Jurša,Franc Jurša,Franc Jurša,Franc Jurša,Franc Jurša,Franc Jurša,Franc Jurša,Franc Jurša,Franc Jurša,Franc Jurša,Franc Jurša,Franc Jurša,Franc Jurša,Franc Jurša,Franc Jurša,Franc Jurša,Franc Jurša,Franc Jurša,Franc Jurša,Franc Jurša,Franc Jurša,Franc Jurša,Franc Jurša,Franc Jurša,Franc Jurša,Franc Jurša,Franc Jurša,Franc Jurša,Franc Jurša,Franc Jurša,Franc Jurša,Franc Jurša,Franc Jurša,Franc Jurša,Franc Jurša,Franc Jurša,Franc Jurša,Franc Jurša,Franc Jurša,Franc Jurša,Franc Jurša,Franc Jurša,Franc Jurša,Franc Jurša,Franc Jurša,Franc Jurša,Franc Jurša,Franc Jurša,Franc Jurša,Category:Franc Jurša,,Franc Jurša,https://upload.wikimedia.org/wikipedia/commons/d/dc/Franc_Jurša_2013.jpg,male,1953-09-21,Franc,Franc Jurša,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145006947,,,,Franc Jurša,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Franc Jurša,,
Q12791559,Ivan Hršak,Ivan Hršak,Ivan Hršak,Ivan Hršak,Ivan Hršak,Ivan Hršak,Ivan Hršak,Ivan Hršak,Ivan Hršak,Ivan Hršak,Ivan Hršak,Ivan Hršak,Ivan Hršak,Ivan Hršak,Ivan Hršak,Ivan Hršak,Ivan Hršak,Ivan Hršak,Ivan Hršak,Ivan Hršak,Ivan Hršak,Ivan Hršak,Ivan Hršak,Ivan Hršak,Ivan Hršak,Ivan Hršak,Ivan Hršak,Ivan Hršak,Ivan Hršak,Ivan Hršak,Ivan Hršak,Ivan Hršak,Ivan Hršak,Ivan Hršak,Ivan Hršak,Ivan Hršak,Ivan Hršak,Ivan Hršak,Ivan Hršak,Ivan Hršak,Ivan Hršak,Ivan Hršak,Ivan Hršak,Ivan Hršak,Ivan Hršak,Ivan Hršak,Ivan Hršak,Ivan Hršak,Ivan Hršak,Ivan Hršak,Ivan Hršak,Ivan Hršak,Ivan Hršak,Ivan Hršak,Ivan Hršak,Ivan Hršak,Ivan Hršak,,,Ivan Hršak,,male,1957-12-25,Ivan,Ivan Hršak,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274294115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12791964,Jana Jenko,Jana Jenko,Jana Jenko,Jana Jenko,Jana Jenko,Jana Jenko,Jana Jenko,Jana Jenko,Jana Jenko,Jana Jenko,Jana Jenko,Jana Jenko,Jana Jenko,Jana Jenko,Jana Jenko,Jana Jenko,Jana Jenko,Jana Jenko,Jana Jenko,Jana Jenko,Jana Jenko,Jana Jenko,Jana Jenko,Jana Jenko,Jana Jenko,Jana Jenko,Jana Jenko,Jana Jenko,Jana Jenko,Jana Jenko,Jana Jenko,Jana Jenko,Jana Jenko,Jana Jenko,Jana Jenko,Jana Jenko,Jana Jenko,Jana Jenko,Jana Jenko,Jana Jenko,Jana Jenko,Jana Jenko,Jana Jenko,Jana Jenko,Jana Jenko,Jana Jenko,Jana Jenko,Jana Jenko,Jana Jenko,Jana Jenko,Jana Jenko,Jana Jenko,Jana Jenko,Jana Jenko,Jana Jenko,Jana Jenko,Jana Jenko,,,Jana Jenko,,female,1964-11-12,Jana,,politician,,,,,Jenko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58544483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12793070,Julijana Bizjak Mlakar,Julijana Bizjak Mlakar,Julijana Bizjak Mlakar,Julijana Bizjak Mlakar,Julijana Bizjak Mlakar,Julijana Bizjak Mlakar,Julijana Bizjak Mlakar,Julijana Bizjak Mlakar,Julijana Bizjak Mlakar,Julijana Bizjak Mlakar,Julijana Bizjak Mlakar,Julijana Bizjak Mlakar,Julijana Bizjak Mlakar,Julijana Bizjak Mlakar,Julijana Bizjak Mlakar,Julijana Bizjak Mlakar,Julijana Bizjak Mlakar,Julijana Bizjak Mlakar,Julijana Bizjak Mlakar,Julijana Bizjak Mlakar,Julijana Bizjak Mlakar,Julijana Bizjak Mlakar,Julijana Bizjak Mlakar,Julijana Bizjak Mlakar,Julijana Bizjak Mlakar,Julijana Bizjak Mlakar,Julijana Bizjak Mlakar,Julijana Bizjak Mlakar,Julijana Bizjak Mlakar,Julijana Bizjak Mlakar,Julijana Bizjak Mlakar,Julijana Bizjak Mlakar,Julijana Bizjak Mlakar,Julijana Bizjak Mlakar,Julijana Bizjak Mlakar,Julijana Bizjak Mlakar,Julijana Bizjak Mlakar,Julijana Bizjak Mlakar,Julijana Bizjak Mlakar,Julijana Bizjak Mlakar,Julijana Bizjak Mlakar,Julijana Bizjak Mlakar,Julijana Bizjak Mlakar,Julijana Bizjak Mlakar,Julijana Bizjak Mlakar,Julijana Bizjak Mlakar,Julijana Bizjak Mlakar,Julijana Bizjak Mlakar,Julijana Bizjak Mlakar,Julijana Bizjak Mlakar,Julijana Bizjak Mlakar,Julijana Bizjak Mlakar,Julijana Bizjak Mlakar,Julijana Bizjak Mlakar,Julijana Bizjak Mlakar,Julijana Bizjak Mlakar,Julijana Bizjak Mlakar,Category:Julijana Bizjak Mlakar,,Julijana Bizjak Mlakar,https://upload.wikimedia.org/wikipedia/commons/4/41/Julijana_Bizjak_Mlakar_2014.jpg,female,1956-09-07,Julijana,Julijana Bizjak Mlakar,politician,,Julijana Bizjak Mlakar,,,Bizjak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4010851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12796084,Matej Tonin,Matej Tonin,Matej Tonin,Matej Tonin,Matej Tonin,Matej Tonin,Matej Tonin,Matej Tonin,Matej Tonin,Matej Tonin,Matej Tonin,Matej Tonin,Matej Tonin,Matej Tonin,Matej Tonin,Matej Tonin,Matej Tonin,Matej Tonin,Matej Tonin,Matej Tonin,Matej Tonin,Matej Tonin,Matej Tonin,Matej Tonin,Matej Tonin,Matej Tonin,Matej Tonin,Matej Tonin,Matej Tonin,Matej Tonin,Matej Tonin,Matej Tonin,Matej Tonin,Matej Tonin,Matej Tonin,Matej Tonin,Matej Tonin,Matej Tonin,Matej Tonin,Matej Tonin,Matej Tonin,Matej Tonin,Matej Tonin,Matej Tonin,Matej Tonin,Matej Tonin,Matej Tonin,Matej Tonin,Matej Tonin,Matej Tonin,Matej Tonin,Matej Tonin,Matej Tonin,Matej Tonin,Matej Tonin,Matej Tonin,Matej Tonin,Category:Matej Tonin,,Matej Tonin,https://upload.wikimedia.org/wikipedia/commons/a/ac/Matej_Tonin_Slovenija.jpg,male,1983-07-30,Matej,Matej Tonin,politician,Matej Tonin,,Matej Tonin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://tonin.si/,118526051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,matejtonin,,,,,,,,,,,Matej Tonin,,
Q12804238,Tomaž Lisec,Tomaž Lisec,Tomaž Lisec,Tomaž Lisec,Tomaž Lisec,Tomaž Lisec,Tomaž Lisec,Tomaž Lisec,Tomaž Lisec,Tomaž Lisec,Tomaž Lisec,Tomaž Lisec,Tomaž Lisec,Tomaž Lisec,Tomaž Lisec,Tomaž Lisec,Tomaž Lisec,Tomaž Lisec,Tomaž Lisec,Tomaž Lisec,Tomaž Lisec,Tomaž Lisec,Tomaž Lisec,Tomaž Lisec,Tomaž Lisec,Tomaž Lisec,Tomaž Lisec,Tomaž Lisec,Tomaž Lisec,Tomaž Lisec,Tomaž Lisec,Tomaž Lisec,Tomaž Lisec,Tomaž Lisec,Tomaž Lisec,Tomaž Lisec,Tomaž Lisec,Tomaž Lisec,Tomaž Lisec,Tomaž Lisec,Tomaž Lisec,Tomaž Lisec,Tomaž Lisec,Tomaž Lisec,Tomaž Lisec,Tomaž Lisec,Tomaž Lisec,Tomaž Lisec,Tomaž Lisec,Tomaž Lisec,Tomaž Lisec,Tomaž Lisec,Tomaž Lisec,Tomaž Lisec,Tomaž Lisec,Tomaž Lisec,Tomaž Lisec,,,Tomaž Lisec,,male,1978-02-19,Tomaž,Tomaž Lisec,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60175203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
