id,name,birth_date,contact_form,constituency,party,party_id,twitter,facebook,image,term,source
298,Marija Bačič,1947-08-25,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P298,VIII Murska Sobota I 4,Social Democrats,SD,"","",http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P298,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P298
239,Anja Bah Žibert,1973-06-27,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P239,VI Novo mesto I 2,Slovenian Democratic Party,SDS,https://twitter.com/ANJABAHZIBERT,https://www.facebook.com/anja.bah.zibert,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P239,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P239
240,Urška Ban,1975-03-14,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P240,VI Novo mesto II 3,Party of Modern Centre,SMC,"",https://www.facebook.com/profile.php?id=100006207436460&fref=ts,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P240,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P240
005,Roberto Battelli,1954-10-19,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P005,IX Koper 1,Italian and Hungarian National Communities,IMNS,"","",http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P005,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P005
235,Mag. Mirjam Bon Klanjšček,,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P235,II Nova Gorica II 10,Alliance of Alenka Bratušek,ZaAB,"","",http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P235,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P235
242,Tilen Božič,1982-09-18,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P242,II Izola 3,Party of Modern Centre,SMC,"","",http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P242,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P242
166,Mag. Alenka Bratušek,1970-03-31,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P166,I Kranj I 4,Alliance of Alenka Bratušek,ZaAB,"","",http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P166,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P166
167,Franc Breznik,,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P167,VIII Lenart 7,Slovenian Democratic Party,SDS,"","",http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P167,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P167
243,Dr. Milan Brglez,,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P243,IV Ljubljana - Bežigrad II 9,Party of Modern Centre,SMC,"","",http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P243,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P243
244,Nada Brinovšek,1961-04-24,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P244,V Mozirje 6,Slovenian Democratic Party,SDS,https://twitter.com/brinovseknada,https://www.facebook.com/nada.brinovsek,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P244,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P244
