id,name__en,name__zh,name__es,name__yue,name__de,name__fr,name,wikipedia__en,wikipedia__zh_yue,wikipedia__zh,image,gender,birth_date,given_name,name__en_ca,name__en_gb,name__ja,name__zh_hant,name__zh_hans,name__nl,name__zh_hk,name__zh_cn,name__zh_tw,name__vi,name__zh_mo,name__zh_my,name__zh_sg,wikipedia__ja,wikipedia__zhwikiquote,identifier__freebase,family_name,name__hak,wikipedia__hak,name__ca,name__oc,name__it,name__id,name__pl,wikipedia__fr,wikipedia__id,wikipedia__plwikiquote,identifier__VIAF,identifier__LCAuth,name__nb,wikipedia__commons,wikipedia__no,name__tr,name__ko,wikipedia__es,wikipedia__ko,wikipedia__tr,name__ar,wikipedia__ar,name__ru,facebook,wikipedia__enwikiquote,wikipedia__fa,name__fa,original_wikiname,identifier__OLID,identifier__FAST,wikipedia__ru,name__hu,last_seen,wikipedia__mg,name__mg,name__pt,website,occupation,identifier__google_knowledge,twitter,name__th,wikipedia__de,wikipedia__oc,wikipedia__th,wikipedia__ceb,name__ceb,identifier__ISNI,identifier__quora,name__an,name__ast,name__ext,name__gl,name__he,wikipedia__simple,death_date,name__sco,wikipedia__sco,wikipedia__uk,name__uk,wikipedia__wuu,name__wuu,name__sl,wikipedia__bn,identifier__GND,honorific_prefix,identifier__IMDB,name__bn,name__da
Q10886070,Ho Kai Ming,何啟明,,何啟明,,Ho Kai Ming,Ho Kai Ming,Ho Kai-ming (FTU),何啟明 (工聯會),何啟明 (工聯會),https://upload.wikimedia.org/wikipedia/commons/b/b6/工聯會何啟明.jpg,male,1985,,,,,,,,,,,,,,,,,,He,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ho Kai-ming (FTU),,,,,,,,,,trade unionist,/g/11dyk9wb7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11040220,Andrew Wan,尹兆堅,,尹兆堅,,Andrew Wan,Andrew Wan,Andrew Wan,尹兆堅,尹兆堅,https://upload.wikimedia.org/wikipedia/commons/d/dc/尹兆堅.jpg,male,1969-06-07,Andrew,,,,,,Andrew Wan,,,,,,,,,,,Yin,,,,,,,,,,,,,,Category:Andrew Wan,,,,,,,أندرو وان,,,,,,,Andrew Wan,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12140214,Lo Wai-kwok,盧偉國,Lo Wai-kwok,盧偉國,,,Lo Wai-kwok,Lo Wai-kwok,盧偉國,盧偉國,https://upload.wikimedia.org/wikipedia/commons/2/21/Lo_Wai-kwok_2015.jpg,male,1953,,,,,,,,,,,,,,,,,,Lu,,,,,,,,,,,,,,Category:Lo Wai-kwok,,,,,,,,,,,,,,Lo Wai-kwok,,,,Lo Wai-kwok,,,,,,engineer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13560952,Shiu Ka Chun,邵家臻,,邵家臻,Shiu Ka Chun,Shiu Ka Chun,Shiu Ka Chun,Shiu Ka-chun,邵家臻,邵家臻,https://upload.wikimedia.org/wikipedia/commons/d/d3/Shiu_Ka-chun.jpg,male,1970,,,,,,,,,,,,,,,,,,Shao,,,,,,,,,,,,,,,,,,,,,,,,bottleshiukachun,,,,Shiu Ka-chun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13634462,Felix Chung,鍾國斌,Felix Chung,鍾國斌,Felix Chung,Felix Chung,Felix Chung,Felix Chung,鍾國斌,鍾國斌,https://upload.wikimedia.org/wikipedia/commons/9/92/Felix_Chung_2015.jpg,male,1964-11-04,Felix,,,,,,Felix Chung,,,,,,,,,,,Zhong,,,,,,,,,,,,,,,,,,,,,فيليكس تشونغ,,,,,,,Chung Kwok-pan,,,,Felix Chung,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13642421,Kwok Wai-keung,郭偉強,,郭偉強,,,Kwok Wai-keung,Kwok Wai-keung,郭偉強,郭偉强,https://upload.wikimedia.org/wikipedia/commons/8/8a/KWOK_Wai_Keung_Photo.tiff,male,1978,,,,,郭偉強,郭伟强,,郭偉強,郭伟强,郭偉強,,郭偉強,郭伟强,郭伟强,,,,Guo,,,,,,,,,,,,,,"Category:KWOK Wai Keung, Aron 郭偉强",,,,,,,,,,,,,,Kwok Wai-keung,,,,,,,,,,social worker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q14476291,Tang Ka-piu,鄧家彪,Tang Ka-piu,鄧家彪,,,Tang Ka-piu,Tang Ka-piu,鄧家彪,鄧家彪,,male,1979,,,,,,,,,,,,,,,,,,Deng,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tang Ka-piu,,,,,,,,,,social worker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1522171,Martin Liao,廖長江,Martin Liao,廖長江,Martin Liao,Martin Liao,Martin Liao,Martin Liao,廖長江,廖長江,https://upload.wikimedia.org/wikipedia/commons/d/da/Pro-establishment-legislators-vow-to-block-oath_(cropped).jpg,male,1957,Martin,,,,廖長江,廖长江,Martin Liao,廖長江,廖长江,廖長江,,廖長江,廖长江,廖长江,,,/m/0r4y256,Liao,,,,,,,,,,,,,,,,,,,,,,,,,,,,Martin Liao,,,,Martin Liao,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1522364,Ng Leung-sing,吳亮星,Ng Leung-sing,吳亮星,,Ng Leung-sing,Ng Leung-sing,Ng Leung-sing,吳亮星,吳亮星,,male,1949-07-11,,,,,吳亮星,吴亮星,Ng Leung-sing,吳亮星,,,,,,,,,,Wu,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ng Leung-sing,OL5620867A,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1548856,Starry Lee,李慧琼,Starry Lee,李慧琼,Starry Lee,Starry Lee,Starry Lee,Starry Lee,李慧琼,李慧琼,https://upload.wikimedia.org/wikipedia/commons/8/83/Starry_Lee_Wai_King.jpg,female,1974-03-13,,Starry Lee,Starry Lee,,李慧琼,,Starry Lee,李慧琼,,,,,,,,,/m/04jjnnb,Li,,,,,,,,,,,,,,Category:Starry Lee,,,레이와이깅,,레이와이깅,,,,,LeeWaiKingStarry,,,,Starry Lee,,,,Starry Lee,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
