id,term,name,honorific_suffix,honorific_prefix,img,faction,email,website,phone,fax,gender,source,area_type,area
anh,6,AU Nok-hin,"",Hon,https://www.legco.gov.hk/images/mem_1620/anh.jpg,Independent,info@aunokhin.hk;community@aunokhin.hk;aunokh@gmail.com,"",3904 1751 / 3705 8643 / 2871 3900,3618 4810 / 3705 8519 / 2871 2900,"",https://www.legco.gov.hk/general/english/members/yr16-20/anh.htm,geographical,Hong Kong Island
ccc,6,CHAN Chi-chuen,"",Hon,https://www.legco.gov.hk/images/mem_1620/ccc.jpg,People Power,slowbeat@gmail.com,"",2543 9500,2543 9510,"",https://www.legco.gov.hk/general/english/members/yr16-20/ccc.htm,geographical,New Territories East
cch,6,Fernando CHEUNG Chiu-hung,"",Dr Hon,https://www.legco.gov.hk/images/mem_small_1620/cch.jpg,Labour Party,info@cheungchiuhung.org.hk,"",2613 9200 / 3523 1727 / 2613 9033,2799 7290 / 3523 1729 / 3020 3144,"",https://www.legco.gov.hk/general/english/members/yr16-20/cch.htm,geographical,New Territories East
cct,6,CHENG Chung-tai,"",Dr Hon,https://www.legco.gov.hk/images/mem_1620/cct.jpg,Civic Passion,enquiry@civicpassion.hk,"",3705 1438 / 3705 1439 / 2655 9072 / 3124 7030,3705 1440 / 2656 4885 / 2609 1622,"",https://www.legco.gov.hk/general/english/members/yr16-20/cct.htm,geographical,New Territories West
ccy,6,CHAN Chun-ying,JP,Hon,https://www.legco.gov.hk/images/mem_1620/ccy.jpg,Independent,ronickchan@gmail.com,"",3982 9061,3583 0690,"",https://www.legco.gov.hk/general/english/members/yr16-20/ccy.htm,functional,Finance
chd,6,CHU Hoi-dick,"",Hon,https://www.legco.gov.hk/images/mem_1620/chd.jpg,Independent,info@chuhoidick.hk,"",2809 2102,2811 2210,"",https://www.legco.gov.hk/general/english/members/yr16-20/chd.htm,geographical,New Territories West
chdh,6,Holden CHOW Ho-ding,"",Hon,https://www.legco.gov.hk/images/mem_1620/chdh.jpg,Democratic Alliance for the Betterment and Progress of Hong Kong,holdenchow@hotmail.com.hk,"",3703 9870,3705 1418,"",https://www.legco.gov.hk/general/english/members/yr16-20/chdh.htm,functional,District Council (Second)
chk,6,CHAN Hak-kan,"BBS, JP",Hon,https://www.legco.gov.hk/images/mem_1620/chk.jpg,Democratic Alliance for the Betterment and Progress of Hong Kong,garychk@dab.org.hk,"",2524 9191,2524 9119,"",https://www.legco.gov.hk/general/english/members/yr16-20/chk.htm,geographical,New Territories East
chp,6,CHAN Han-pan,"BBS, JP",Hon,https://www.legco.gov.hk/images/mem_1620/chp.jpg,Democratic Alliance for the Betterment and Progress of Hong Kong,benchanlegco@gmail.com,"",2522 2202,2522 1116,"",https://www.legco.gov.hk/general/english/members/yr16-20/chp.htm,geographical,New Territories West
chy,6,CHAN Hoi-yan,"",Hon,https://www.legco.gov.hk/images/mem_1620/chy.jpg,Independent,"","",-,-,"",https://www.legco.gov.hk/general/english/members/yr16-20/chy.htm,geographical,Kowloon West
ckk,6,CHEUNG Kwok-kwan,JP,Hon,https://www.legco.gov.hk/images/mem_1620/ckk.jpg,Democratic Alliance for the Betterment and Progress of Hong Kong,info@horacecheung.com,"",3589 5114,3580 0832,"",https://www.legco.gov.hk/general/english/members/yr16-20/ckk.htm,geographical,Hong Kong Island
ckp,6,CHAN Kin-por,"GBS, JP",Hon,https://www.legco.gov.hk/images/mem_1620/ckp.jpg,Independent,kp@kpchan.com,"",2899 2831,2899 2050,"",https://www.legco.gov.hk/general/english/members/yr16-20/ckp.htm,functional,Insurance
ckpf,6,CHUNG Kwok-pan,"",Hon,https://www.legco.gov.hk/images/mem_1620/ckpf.jpg,Liberal Party,info@felixchunghk.com,"",2813 6156 / 2799 1777,2813 6150 / 2799 2868,"",https://www.legco.gov.hk/general/english/members/yr16-20/ckpf.htm,functional,Textiles and Garment
clw,6,CHIANG Lai-wan,"SBS, JP",Dr Hon,https://www.legco.gov.hk/images/mem_small_1620/clw.jpg,Democratic Alliance for the Betterment and Progress of Hong Kong,chianglaiwan@gmail.com,"",2539 6111,2537 2514,"",https://www.legco.gov.hk/general/english/members/yr16-20/clw.htm,geographical,Kowloon West
cp,6,Pierre CHAN,"",Dr Hon,https://www.legco.gov.hk/images/mem_1620/cp.jpg,Independent,info@drchanpierre.org,"",3543 0560,3543 0371,"",https://www.legco.gov.hk/general/english/members/yr16-20/cp.htm,functional,Medical
ct,6,Tanya CHAN,"",Hon,https://www.legco.gov.hk/images/mem_1620/ct.jpg,Civic Party,info@tanyachan.hk,"",2580 6990,2521 8660,"",https://www.legco.gov.hk/general/english/members/yr16-20/ct.htm,geographical,Hong Kong Island
cwf,6,Christopher CHEUNG Wah-fung,"SBS, JP",Hon,https://www.legco.gov.hk/images/mem_1620/cwf.jpg,Business and Professionals Alliance for Hong Kong,chrischeungwf@gmail.com,"",2886 8248,2886 8730,"",https://www.legco.gov.hk/general/english/members/yr16-20/cwf.htm,functional,Financial Services
cws,6,Vincent CHENG Wing-shun,MH,Hon,https://www.legco.gov.hk/images/mem_1620/cws.jpg,Democratic Alliance for the Betterment and Progress of Hong Kong,vincentcheng@dab.org.hk,"",3108 9707,3108 9709,"",https://www.legco.gov.hk/general/english/members/yr16-20/cws.htm,geographical,Kowloon West
cyy,6,Tommy CHEUNG Yu-yan,"GBS, JP",Hon,https://www.legco.gov.hk/images/mem_1620/cyy.jpg,Liberal Party,tyyc@netvigator.com,"",2537 2410,2390 4487,"",https://www.legco.gov.hk/general/english/members/yr16-20/cyy.htm,functional,Catering
fkw,6,Gary FAN Kwok-wai,"",Hon,https://www.legco.gov.hk/images/mem_1620/fkw.jpg,Neo Democrats,fankwokwaioffice@gmail.com,"",2177 8088,2177 6808,"",https://www.legco.gov.hk/general/english/members/yr16-20/fkw.htm,geographical,New Territories East
hcf,6,HUI Chi-fung,"",Hon,https://www.legco.gov.hk/images/mem_1620/hcf.jpg,Democratic Party,huichifung@gmail.com,"",2537 2315,2537 4874,"",https://www.legco.gov.hk/general/english/members/yr16-20/hcf.htm,geographical,Hong Kong Island
hcys,6,Steven HO Chun-yin,BBS,Hon,https://www.legco.gov.hk/images/mem_1620/hcys.jpg,Democratic Alliance for the Betterment and Progress of Hong Kong,honstevenho@gmail.com,"",2682 0155,2682 0159,"",https://www.legco.gov.hk/general/english/members/yr16-20/hcys.htm,functional,Agriculture and Fisheries
hkm,6,HO Kai-ming,"",Hon,https://www.legco.gov.hk/images/mem_1620/hkm.jpg,The Hong Kong Federation of Trade Unions,office@hkaiming.hk,"",2537 9618,2509 9092,"",https://www.legco.gov.hk/general/english/members/yr16-20/hkm.htm,functional,Labour
hky,6,Junius HO Kwan-yiu,JP,Dr Hon,https://www.legco.gov.hk/images/mem_1620/hky.jpg,Independent,juniusleg@kcho-fong.com,"",2810 0003,2810 0928,"",https://www.legco.gov.hk/general/english/members/yr16-20/hky.htm,geographical,New Territories West
iky,6,IP Kin-yuen,"",Hon,https://www.legco.gov.hk/images/mem_1620/iky.jpg,Hong Kong Professional Teachers' Union,ikyoffice@hkptu.org,"",3468 7222,2771 8752,"",https://www.legco.gov.hk/general/english/members/yr16-20/iky.htm,functional,Education
ilsy,6,Regina IP LAU Suk-yee,"GBS, JP",Hon Mrs,https://www.legco.gov.hk/images/mem_1620/ilsy.jpg,New People's Party,iplau@reginaip.hk,"",2537 3267 / 2537 3265,2810 0358,female,https://www.legco.gov.hk/general/english/members/yr16-20/ilsy.htm,geographical,Hong Kong Island
kcy,6,KWONG Chun-yu,"",Hon,https://www.legco.gov.hk/images/mem_1620/kcy.jpg,Democratic Party,kwongchunyu@dphk.org,"",2445 8989,3543 0352,"",https://www.legco.gov.hk/general/english/members/yr16-20/kcy.htm,functional,District Council (Second)
kd,6,Dennis KWOK Wing-hang,"",Hon,https://www.legco.gov.hk/images/mem_1620/kd.jpg,Civic Party,dennis@denniskwok.hk,"",2243 5508,2243 5509,"",https://www.legco.gov.hk/general/english/members/yr16-20/kd.htm,functional,Legal
kkk,6,KWOK Ka-ki,"",Dr Hon,https://www.legco.gov.hk/images/mem_1620/kkk.jpg,Civic Party,kkk@kkkwok.hk,"",5409 4434,2677 6876,"",https://www.legco.gov.hk/general/english/members/yr16-20/kkk.htm,geographical,New Territories West
kwk,6,KWOK Wai-keung,JP,Hon,https://www.legco.gov.hk/images/mem_1620/kwk.jpg,The Hong Kong Federation of Trade Unions,kwk@ftulegco.org.hk,"",2537 9618,2509 9092,"",https://www.legco.gov.hk/general/english/members/yr16-20/kwk.htm,geographical,Hong Kong Island
lcc,6,LEUNG Che-cheung,"SBS, MH, JP",Hon,https://www.legco.gov.hk/images/mem_1620/lcc.jpg,Democratic Alliance for the Betterment and Progress of Hong Kong,lcc.ntw@dab.org.hk,"",2668 5251,2668 5261,"",https://www.legco.gov.hk/general/english/members/yr16-20/lcc.htm,geographical,New Territories West
lch,6,LUK Chung-hung,JP,Hon,https://www.legco.gov.hk/images/mem_1620/lch.jpg,The Hong Kong Federation of Trade Unions,chluk@ftulegco.org.hk,"",2537 9618,2509 9092,"",https://www.legco.gov.hk/general/english/members/yr16-20/lch.htm,functional,Labour
lck,6,Martin LIAO Cheung-kong,"SBS, JP",Hon,https://www.legco.gov.hk/images/mem_1620/lck.jpg,Independent,legco.office.liao@gmail.com,"",2576 7121 / 2522 5121,2798 8802,"",https://www.legco.gov.hk/general/english/members/yr16-20/lck.htm,functional,Commercial (Second)
lct,6,LAM Cheuk-ting,"",Hon,https://www.legco.gov.hk/images/mem_1620/lct.jpg,Democratic Party,lcoffice@dphk.org;stoffice@dphk.org;ssoffice@dphk.org,"",2509 0374 / 3611 0266 / 2650 0040,3543 0311 / 3705 9822 / 2650 0955,"",https://www.legco.gov.hk/general/english/members/yr16-20/lct.htm,geographical,New Territories East
lik,6,Kenneth LAU Ip-keung,"BBS, MH, JP",Hon,https://www.legco.gov.hk/images/mem_1620/lik.jpg,Business and Professionals Alliance for Hong Kong,kenlau.legco@gmail.com,"",2537 2420,2537 2435,"",https://www.legco.gov.hk/general/english/members/yr16-20/lik.htm,functional,Heung Yee Kuk
lk,6,Kenneth LEUNG,"",Hon,https://www.legco.gov.hk/images/mem_small_1620/lk.jpg,The Professional Commons,info@kennethleung.hk,"",2352 3209,3020 9849,"",https://www.legco.gov.hk/general/english/members/yr16-20/lk.htm,functional,Accountancy
lkf,6,Jeffrey LAM Kin-fung,"GBS, JP",Hon,https://www.legco.gov.hk/images/mem_1620/lkf.jpg,Business and Professionals Alliance for Hong Kong,jeffrey@jeffreylam.hk,"",2530 3556,2897 0254 / 2530 3322,"",https://www.legco.gov.hk/general/english/members/yr16-20/lkf.htm,functional,Commercial (First)
lkfe,6,LAU Kwok-fan,MH,Hon,https://www.legco.gov.hk/images/mem_1620/lkfe.jpg,Democratic Alliance for the Betterment and Progress of Hong Kong,lkf.legco@gmail.com,"",2628 3337,2628 3367,"",https://www.legco.gov.hk/general/english/members/yr16-20/lkfe.htm,functional,District Council (First)
lklj,6,Joseph LEE Kok-long,"SBS, JP",Prof Hon,https://www.legco.gov.hk/images/mem_1620/lklj.jpg,Independent,info@leekoklong.org.hk,"",3168 2571,3168 2576,"",https://www.legco.gov.hk/general/english/members/yr16-20/lklj.htm,functional,Health Services
lky,6,Andrew LEUNG Kwan-yuen,"GBS, JP",Hon,https://www.legco.gov.hk/images/mem_1620/lky.jpg,Business and Professionals Alliance for Hong Kong,andrewleunglegco@outlook.com,"",2537 1339,2697 8482,"",https://www.legco.gov.hk/general/english/members/yr16-20/lky.htm,functional,Industrial (First)
lmf,6,Priscilla LEUNG Mei-fun,"SBS, JP",Dr Hon,https://www.legco.gov.hk/images/mem_1620/lmf.jpg,Business and Professionals Alliance for Hong Kong,priscilla@lmf.hk,"",2537 3518,2537 3516,"",https://www.legco.gov.hk/general/english/members/yr16-20/lmf.htm,geographical,Kowloon West
lwk,6,LO Wai-kwok,"SBS, MH, JP",Ir Dr Hon,https://www.legco.gov.hk/images/mem_1620/lwk.jpg,Business and Professionals Alliance for Hong Kong,wklo@engineer.com,"",2539 0610,2539 0621,"",https://www.legco.gov.hk/general/english/members/yr16-20/lwk.htm,functional,Engineering
lwks,6,Starry LEE Wai-king,"SBS, JP",Hon,https://www.legco.gov.hk/images/mem_1620/lwks.jpg,Democratic Alliance for the Betterment and Progress of Hong Kong,info@starrylee.com,"",2537 3507,2523 9201,"",https://www.legco.gov.hk/general/english/members/yr16-20/lwks.htm,functional,District Council (Second)
lyc,6,LEUNG Yiu-chung,"",Hon,https://www.legco.gov.hk/images/mem_small_1620/lyc.jpg,Neighbourhood and Worker’s Service Centre,nwsclycoffice@gmail.com,"",2410 0360,2426 4618,"",https://www.legco.gov.hk/general/english/members/yr16-20/lyc.htm,functional,District Council (Second)
mc,6,Claudia MO,"",Hon,https://www.legco.gov.hk/images/mem_1620/mc.jpg,HK First,contact@msmo.hk,"",2856 1336,2715 8020,"",https://www.legco.gov.hk/general/english/members/yr16-20/mc.htm,geographical,Kowloon West
mcp,6,Charles Peter MOK,JP,Hon,https://www.legco.gov.hk/images/mem_1620/mcp.jpg,The Professional Commons,charlesmok@charlesmok.hk,"",2352 3129,3020 9867,"",https://www.legco.gov.hk/general/english/members/yr16-20/mcp.htm,functional,Information Technology
mfk,6,MA Fung-kwok,"SBS, JP",Hon,https://www.legco.gov.hk/images/mem_1620/mfk.jpg,New Century Forum,fkmaoffice@gmail.com,"",2668 4101,2668 4104,"",https://www.legco.gov.hk/general/english/members/yr16-20/mfk.htm,functional,"Sports, Performing Arts, Culture and Publication"
mmk,6,Alice MAK Mei-kuen,"BBS, JP",Hon,https://www.legco.gov.hk/images/mem_1620/mmk.jpg,The Hong Kong Federation of Trade Unions,amlegco@gmail.com,"",2537 9618,2509 9092,"",https://www.legco.gov.hk/general/english/members/yr16-20/mmk.htm,geographical,New Territories West
nwk,6,Jimmy NG Wing-ka,JP,Hon,https://www.legco.gov.hk/images/mem_1620/nwk.jpg,Business and Professionals Alliance for Hong Kong,contact@jimmyng.hk,"",3614 6150,3543 0643,"",https://www.legco.gov.hk/general/english/members/yr16-20/nwk.htm,functional,Industrial (Second)
