id,name__en,name__ja,name__sco,name__fr,name__de,name,wikipedia__en,wikipedia__ja,gender,birth_date,given_name,original_wikiname,name__en_ca,name__en_gb,name__ca,name__oc,name__nl,name__zh,wikipedia__commons,wikipedia__de,wikipedia__fr,wikipedia__zh,image,twitter,family_name,identifier__VIAF,identifier__freebase,identifier__IMDB,name__es,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__pl,name__ko,name__th,name__vi,name__sh,name__ar,name__nb,name__id,name__cs,wikipedia__ar,wikipedia__es,wikipedia__id,wikipedia__jawikiquote,wikipedia__ko,wikipedia__nl,wikipedia__no,wikipedia__pl,wikipedia__sh,wikipedia__th,wikipedia__vi,identifier__ISNI,identifier__GND,identifier__LCAuth,identifier__SUDOC,identifier__NDL,website,name__ru,name__uk,name__yue,wikipedia__cs,wikipedia__ru,wikipedia__ruwikinews,wikipedia__uk,wikipedia__zh_yue,name__eo,name__he,wikipedia__eo,wikipedia__he,name__zh_mo,name__zh_my,name__et,wikipedia__et,name__sv,wikipedia__sv,name__fi,name__cy,wikipedia__fi,wikipedia__simple,death_date,name__it,identifier__CiNii,name__nan,name__ka,wikipedia__it,wikipedia__ka,wikipedia__zh_min_nan,identifier__MusicBrainz,name__pt,name__ms,name__fa,name__tl,wikipedia__ca,wikipedia__fa,wikipedia__ms,wikipedia__pt,wikipedia__tl,identifier__BNF,name__lb,name__jv,name__ta,name__hu,name__bn,name__el,name__my,name__sr,name__tr,name__si,name__io,name__az,name__hr,name__be,name__arz,name__yo,name__lv,name__gl,name__ro,name__la,name__bg,name__mr,name__lt,name__war,name__qu,name__ast,name__cdo,name__mg,wikipedia__arz,wikipedia__ast,wikipedia__az,wikipedia__be,wikipedia__bg,wikipedia__bn,wikipedia__cdo,wikipedia__cy,wikipedia__el,wikipedia__gl,wikipedia__hr,wikipedia__hu,wikipedia__io,wikipedia__jv,wikipedia__la,wikipedia__lb,wikipedia__lt,wikipedia__lv,wikipedia__mg,wikipedia__mr,wikipedia__my,wikipedia__oc,wikipedia__qu,wikipedia__ro,wikipedia__sco,wikipedia__si,wikipedia__sr,wikipedia__ta,wikipedia__thwikiquote,wikipedia__tr,wikipedia__war,wikipedia__yo,wikipedia__zhwikiquote,name__bs,name__sq,name__bcl,name__mk,name__sah,name__nn,name__kk,name__da,name__ml,name__tt,name__nds,name__pih,name__su,wikipedia__bcl,wikipedia__da,wikipedia__kk,wikipedia__kowikiquote,wikipedia__mk,wikipedia__ml,wikipedia__nds,wikipedia__nn,wikipedia__plwikiquote,wikipedia__sah,wikipedia__sq,wikipedia__su,wikipedia__tt,identifier__NNDB,identifier__Munzinger,name__pam,name__bxr,wikipedia__bxr,wikipedia__pam,identifier__NLA,identifier__NKC,identifier__BNE,identifier__PTBNP,identifier__NTA,identifier__NUKAT,identifier__CANTIC,identifier__SFDb,name__sr_el,name__sr_ec,name__nov,name__hy,name__is,name__scn,name__lzh,name__mn,name__pt_br,name__simple,name__ga,name__hi,name__hak,name__eu,name__yi,name__tg,name__ba,name__pa,wikipedia__ba,wikipedia__cswikiquote,wikipedia__dewikinews,wikipedia__enwikinews,wikipedia__eowikinews,wikipedia__eu,wikipedia__ga,wikipedia__hak,wikipedia__hi,wikipedia__hy,wikipedia__is,wikipedia__kowikinews,wikipedia__mn,wikipedia__pa,wikipedia__scn,wikipedia__tg,wikipedia__yi,name__bo,name__wuu,name__sgs,name__ksh,name__de_ch,wikipedia__bat_smg,wikipedia__bo,wikipedia__bs,wikipedia__ksh,wikipedia__ltwikiquote,wikipedia__wuu,name__rw,wikipedia__rw,identifier__AlloCine,identifier__allmovie,identifier__discogs,name__bar,wikipedia__bar,wikipedia__zu,identifier__Britannica,name__zu,wikipedia__enwikiquote,identifier__FAST,facebook,wikipedia__vo,name__vo,name__kana,identifier__moviemeter,last_seen,identifier__NLAtrove,identifier__kinopoisk,name__af,name__an,name__bm,name__br,name__co,name__de_at,name__frc,name__frp,name__fur,name__gd,name__gsw,name__ia,name__ie,name__jam,name__kab,name__kg,name__li,name__lij,name__min,name__nap,name__nds_nl,name__nrm,name__pap,name__pcd,name__pms,name__prg,name__rgn,name__rm,name__sc,name__sk,name__sw,name__vec,name__vls,name__vmf,name__wa,name__wo,identifier__CSFD,identifier__DNF,identifier__filmportal_de,identifier__anime_news,weblog,political_alignment,identifier__senate_nl,identifier__elonet,identifier__PORT,identifier__SCOPE,wikipedia__ptwikiquote,wikipedia__uz,name__uz,wikipedia__fawikiquote,identifier__wikitree,identifier__google_knowledge,occupation,wikipedia__bi,name__bi,wikipedia__ne,name__ne,identifier__nyt_topic,identifier__snac,wikipedia__srwikinews,wikipedia__zhwikinews,identifier__quora,wikipedia__ptwikinews,identifier__youtube,name__ext,wikipedia__ie,wikipedia__vep,name__vep,wikipedia__azb,name__azb,identifier__ioc_athlete,instagram,email,wikipedia__sl,wikipedia__an,name__ace,name__sl,identifier__GTAA,identifier__google_plus,name__kl,wikipedia__enwikisource,identifier__GNC,name__map_bms,name__bjn,name__bug,name__gor,name__tet,identifier__BIBSYS,identifier__NLI,wikipedia__frwikisource,name__ur,wikipedia__ur,wikipedia__jawikisource,wikipedia__sk,wikipedia__kn,name__kn,wikipedia__ha,identifier__LNB,identifier__NSK,name__ha
Q1091221,Chuichi Date,伊達忠一,Chuichi Date,Chuichi Date,Chūichi Date,Chuichi Date,Chuichi Date,伊達忠一,male,1939-01-20,Chūichi,,,,,,Chuichi Date,伊達忠一,Category:Chuichi Date,Chūichi Date,,伊達忠一,https://upload.wikimedia.org/wikipedia/commons/b/b3/Chūichi_Date_(2018).jpg,,Date,,/m/03cz5wk,,Chuichi Date,,,,,,,,,,,,,,,Čúiči Date,,,,,,,,,,,Chuichi Date,,,,,,http://www.date-chuichi.jp/,"Датэ, Тюити",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chuichi Date,,,,,,,,,,,,,,,,,,,,,,Chuichi Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,だて ちゅういち,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1093223,Tarō Yamamoto,山本太郎,Tarō Yamamoto,Tarō Yamamoto,Tarō Yamamoto,Tarō Yamamoto,Tarō Yamamoto,山本太郎,male,1974-11-24,Tarō,,,,,,Tarō Yamamoto,山本太郎,Category:Tarō Yamamoto,Tarō Yamamoto,Tarō Yamamoto,山本太郎,https://upload.wikimedia.org/wikipedia/commons/c/c4/Taro_Yamamoto_2013_shibuya.jpg,yamamototaro0,Yamamoto,76543323,/m/0ccgl3,,Taro Yamamoto,山本太郎,山本太郎,山本太郎,山本太郎,,山本太郎,,야마모토 다로,,,,taro ياماموتو,,Taro Yamamoto,Taró Jamamoto,تارو ياماموتو,Tarō Yamamoto,Taro Yamamoto,,야마모토 타로,,,,,,,0000 0000 8157 070X,173682847,nr2004013721,,,http://www.taro-yamamoto.jp/,"Ямамото, Таро",,,,,,,,,,,,,,,,,,Tarō Yamamoto,,Tarō Yamamoto,,,Tarō Yamamoto,,,,Tarō Yamamoto,,,,,,,Taro Yamamoto,,,,,,,,,,Taro Yamamoto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p372127,,,,,,,,,imahahitori,,,やまもと たろう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5218,,,,,,,1088120,208271,20338,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1131407,Manabu Horii,堀井学,,Manabu Horii,Manabu Horii,Manabu Horii,Manabu Horii,堀井学,male,1972-02-19,Manabu,,,,,,Manabu Horii,堀井學,,Manabu Horii,Manabu Horii,堀井學,,,,,/m/0b_jn6,,Manabu Horii,,,,,,,Manabu Horii,호리이 마나부,,,,,Manabu Horii,,Manabu Horii,,,,,호리이 마나부,Manabu Horii,Manabu Horii,Manabu Horii,,,,,,,,,http://horiimanabu.jp/,"Хории, Манабу",,,Manabu Horii,,,,,,,,,,,,,Manabu Horii,Manabu Horii,Manabu Horii,,Manabu Horii,,,Manabu Horii,,,,Manabu Horii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manabu Horii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jimusyo.horiimanabu,,,ほりい まなぶ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,speed skater,,,,,,,,,,,,,,,,,,,,,,,,,111907,,,,,,,,,,,,,,,,,,,,,,
Q1131518,Tatsuo Kawabata,川端達夫,Tatsuo Kawabata,Tatsuo Kawabata,Tatsuo Kawabata,Tatsuo Kawabata,Tatsuo Kawabata,川端達夫,male,1945-01-24,Tatsuo,,,,,,Tatsuo Kawabata,川端達夫,Category:Tatsuo Kawabata,Tatsuo Kawabata,Tatsuo Kawabata,川端達夫,https://upload.wikimedia.org/wikipedia/commons/1/1e/Tatsuo_Kawabata_and_David_Warren_20120606.jpg,,Kawabata,,/m/03ck67f,,Tatsuo Kawabata,,,,,,,,가와바타 다쓰오,,,,,,,Tacuo Kawabata,,,,,가와바타 다쓰오,,,,,,,,,,,,,"Кавабата, Тацуо",,,,,,,,,טצואו קוובאטה,,טצואו קוובאטה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tatsuo Kawabata,,,,,,,,,,,,,,,,,,,,,,Tatsuo Kawabata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,かわばた たつお,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1132836,Yasukazu Hamada,浜田靖一,,Yasukazu Hamada,Yasukazu Hamada,Yasukazu Hamada,Yasukazu Hamada,浜田靖一,male,1955-10-21,Yasukazu,,,,,,Yasukazu Hamada,濱田靖一,Category:Yasukazu Hamada,Yasukazu Hamada,Yasukazu Hamada,濱田靖一,https://upload.wikimedia.org/wikipedia/commons/2/28/Yasukazu_Hamada_cropped_Yasukazu_Hamadand_and_John_Hamre_19981103.jpg,,Hamada,,/m/03cdsvy,,Yasukazu Hamada,滨田靖一,濱田靖一,濱田靖一,,,,,하마다 야스카즈,,,,,,,Jasukazu Hamada,,,,,하마다 야스카즈,,,,,,,,,,,,http://www.office-hamada.jp/,"Хамада, Ясукадзу",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yasukazu Hamada,,,,,,,,,,,,,,,,,,,,,,Yasukazu Hamada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,はまだ やすかず,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1133136,Kisaburo Tokai,渡海紀三朗,Kisaburo Tokai,Kisaburō Tokai,Kisaburō Tokai,Kisaburo Tokai,Kisaburo Tokai,渡海紀三朗,male,1948-02-11,Kisaburō,,,,,,Kisaburo Tokai,渡海紀三朗,,Kisaburō Tokai,Kisaburō Tokai,渡海紀三朗,https://upload.wikimedia.org/wikipedia/commons/4/45/Kisaburō_Tokai.jpg,,,251722044,/m/03c5gdf,,Kisaburo Tokai,渡海纪三朗,渡海紀三朗,渡海紀三朗,,,,,도카이 기사부로,,,,,,,Kisaburó Tokai,,,,,도카이 기사부로,,,,,,,0000 0003 7514 3930,,,,,http://www.kisaburo.net/,"Токаи, Кисабуро",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kisaburo Tokai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kisaburo.tokai,,,とかい きさぶろう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1133192,Hiroyuki Hosoda,細田博之,Hiroyuki Hosoda,Hiroyuki Hosoda,Hiroyuki Hosoda,Hiroyuki Hosoda,Hiroyuki Hosoda,細田博之,male,1944-04-05,Hiroyuki,,,,,,Hiroyuki Hosoda,细田博之,,Hiroyuki Hosoda,,细田博之,"https://upload.wikimedia.org/wikipedia/commons/4/44/Prime_Minister_Narendra_Modi_at_a_meeting_with_Chairman_of_the_General_Council_of_Liberal_Democratic_Party_of_Japan,_Hiroyuki_Hosoda.jpg",HosodaHiroyuki,Hosoda,,/m/05zx3p,,Hiroyuki Hosoda,细田博之,細田博之,細田博之,,,,,호소다 히로유키,,,,,,,Hirojuki Hosoda,,,,,호소다 히로유키,Hiroyuki Hosoda,,,,,,,,,,,http://h-hosoda.jp/,"Хосода, Хироюки",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hiroyuki Hosoda,,,,,,,,,,,,,,,,,,,,,,Hiroyuki Hosoda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hiroyuki.hosoda.54,,,ほそだ ひろゆき,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ہیرویوکی ہوسودا,,,,,,,,,
Q1133194,Eisuke Mori,森英介,,Eisuke Mori,Eisuke Mori,Eisuke Mori,Eisuke Mori,森英介,male,1948-08-31,Eisuke,,,,,,Eisuke Mori,森英介,,Eisuke Mori,Eisuke Mori,森英介,,,Mori,,/m/03cg6tq,,Eisuke Mori,森英介,森英介,森英介,,,,,모리 에이스케,,,,,,,Eisuke Mori,,,,,모리 에이스케,,,,,,,,,,,,http://www.morieisuke.com,"Мори, Эйсукэ",,,,,,,,,,,,,,,,,,,,,,,Eisuke Mori,,,,,,,,,,,,,,,,,,,,,Eisuke Mori,,,,,,,,,,,,,,,,,,,,,,Eisuke Mori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,もり えいすけ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1133360,Tsutomu Satō,佐藤勉,,Tsutomu Satō,Tsutomu Satō,Tsutomu Satō,Tsutomu Sato (politician),佐藤勉,male,1952-06-20,Tsutomu,,,,,,Tsutomu Sato,佐藤勉,,Tsutomu Satō,Tsutomu Satō,佐藤勉,https://upload.wikimedia.org/wikipedia/commons/a/a6/Tsutomu_Satō.jpg,,Satō,257301953,/m/03ckv1j,,Tsutomu Sato,佐藤勉,佐藤勉,佐藤勉,,,,,사토 쓰토무,,,,,,,Cutomu Sató,,,,,사토 쓰토무,,,,,,,,,,,,http://www.satoben.jp/,Цутому Сато,,,,,,,,,,,,,,,,,,,,,,,Tsutomu Satō,,,,,,,,,,تسوتومو ساتو,,,,,,,,,,,Tsutomu Sato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,さとう つとむ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1133463,Shizuka Kamei,亀井静香,Shizuka Kamei,Shizuka Kamei,Shizuka Kamei,Shizuka Kamei,Shizuka Kamei,亀井静香,male,1936-11-01,Shizuka,,,,,,Shizuka Kamei,龜井靜香,,Shizuka Kamei,Shizuka Kamei,龟井静香,https://upload.wikimedia.org/wikipedia/commons/f/f5/Shizuka_Kamei.jpg,kamei_shizuka,Kamei,51640970,/m/07k21p,,Shizuka Kamei,龟井静香,龜井靜香,龜井靜香,龟井静香,,龜井靜香,,가메이 시즈카,,,,,,,Šizuka Kamei,,,,,가메이 시즈카,,,,,,,0000 0000 8232 0040,,nr2004016818,,,http://www.kamei-shizuka.net/,"Камэи, Сидзука",,,,,,,,,,,,,,,,,,,,,,,,,Kamei Shizuka,,,,Kamei Shizuka,,,,شیزوکا کامی,,,شیزوکا کامی,,,,,,,,Shizuka Kamei,,,,,,,,,,,,,,,,,,,,,,Shizuka Kamei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,龜井靜香,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1511505699135823,,,かめい しずか,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
