name,gender,faction,image,area,term,source,id,name__jp,name__jp_hiragana,faction__jp,area__jp,name__ja,name__ja_hira,faction__ja,area__ja
AKAZAWA Ryosei,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/013.jpg/%24File/013.jpg,Tottori 2nd District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/013.html,,,,,,,,自民,鳥取2
AKIBA Kenya,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/017.jpg/%24File/017.jpg,Miyagi 2nd District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/017.html,,,,,,,,自民,宮城2
AKIMOTO Masatoshi,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/019.jpg/%24File/019.jpg,Chiba 9th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/019.html,,,,,,,,自民,千葉9
AKIMOTO Tsukasa,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/018.jpg/%24File/018.jpg,Tokyo Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/018.html,,,,,,,,自民,（比）東京都
AMARI Akira,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/023.jpg/%24File/023.jpg,Kanagawa 13th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/023.html,,,,,,,,自民,神奈川13
ANAMI Yoichi,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/022.jpg/%24File/022.jpg,Kyushu Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/022.html,,,,,,,,自民,（比）九州
ANDO Hiroshi,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/025.jpg/%24File/025.jpg,Kinki Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/025.html,,,,,,,,自民,（比）近畿
AOYAGI Yoichiro,male,DP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/010.jpg/%24File/010.jpg,Minami Kanto Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/010.html,,,,,,,,民進,（比）南関東
AOYAMA Shuhei,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/011.jpg/%24File/011.jpg,Tokai Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/011.html,,,,,,,,自民,（比）東海
ARAI Satoshi,male,DP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/024.jpg/%24File/024.jpg,Hokkaido Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/024.html,,,,,,,,民進,（比）北海道
ASAO Keiichiro,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/020.jpg/%24File/020.jpg,Kanagawa 4th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/020.html,,,,,,,,自民,神奈川4
ASO Taro,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/021.jpg/%24File/021.jpg,Fukuoka 8th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/021.html,,,,,,,,自民,福岡8
AZUMI Jun,male,DP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/005.jpg/%24File/005.jpg,Miyagi 5th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/005.html,,,,,,,,民進,宮城5
BABA Nobuyuki,male,JIP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/340.jpg/%24File/340.jpg,Osaka 17th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/340.html,,,,,,,,維新,大阪17
BANNO Yutaka,male,DP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/356.jpg/%24File/356.jpg,Tokai Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/356.html,,,,,,,,民進,（比）東海
DOI Toru,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/294.jpg/%24File/294.jpg,Miyagi 1st District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/294.html,,,,,,,,自民,宮城1
EDA Kenji,male,DP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/071.jpg/%24File/071.jpg,Kanagawa 8th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/071.html,,,,,,,,民進,神奈川8
EDA Yasuyuki,male,KM,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/072.jpg/%24File/072.jpg,Kyushu Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/072.html,,,,,,,,公明,（比）九州
EDANO Yukio,male,DP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/076.jpg/%24File/076.jpg,Saitama 5th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/076.html,,,,,,,,民進,埼玉5
ENDO Takashi,male,JIP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/077.jpg/%24File/077.jpg,Osaka 18th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/077.html,,,,,,,,維新,大阪18
ENDO Toshiaki,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/078.jpg/%24File/078.jpg,Yamagata 1st District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/078.html,,,,,,,,自民,山形1
ESAKI Tetsuma,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/070.jpg/%24File/070.jpg,Aichi 10th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/070.html,,,,,,,,自民,愛知10
ETO Akinori,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/073.jpg/%24File/073.jpg,Aomori 2nd District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/073.html,,,,,,,,自民,青森2
ETO Seishiro,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/075.jpg/%24File/075.jpg,Oita 2nd District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/075.html,,,,,,,,自民,大分2
ETO Taku,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/074.jpg/%24File/074.jpg,Miyazaki 2nd District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/074.html,,,,,,,,自民,宮崎2
FUJII Hisayuki,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/370.jpg/%24File/370.jpg,Hyogo 4th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/370.html,,,,,,,,自民,兵庫4
FUJIMARU Satoshi,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/372.jpg/%24File/372.jpg,Fukuoka 7th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/372.html,,,,,,,,自民,福岡7
FUJINO Yasufumi,male,JCP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/371.jpg/%24File/371.jpg,Hokuriku-Shinetsu Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/371.html,,,,,,,,共産,（比）北陸信越
FUJIWARA Takashi,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/373.jpg/%24File/373.jpg,Tohoku Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/373.html,,,,,,,,自民,（比）東北
FUKUDA Akio,male,DP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/367.jpg/%24File/367.jpg,Tochigi 2nd District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/367.html,,,,,,,,民進,栃木2
FUKUDA Mineyuki,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/364.jpg/%24File/364.jpg,Minami Kanto Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/364.html,,,,,,,,自民,（比）南関東
FUKUDA Tatsuo,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/368.jpg/%24File/368.jpg,Gumma 4th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/368.html,,,,,,,,自民,群馬4
FUKUI Teru,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/365.jpg/%24File/365.jpg,Shikoku Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/365.html,,,,,,,,自民,（比）四国
FUKUSHIMA Nobuyuki,male,DP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/366.jpg/%24File/366.jpg,Kita Kanto Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/366.html,,,,,,,,民進,（比）北関東
FUKUYAMA Mamoru,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/369.jpg/%24File/369.jpg,Shikoku Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/369.html,,,,,,,,自民,（比）四国
FUNADA Hajime,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/374.jpg/%24File/374.jpg,Tochigi 1st District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/374.html,,,,,,,,自民,栃木1
FURUKAWA Motohisa,male,DP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/375.jpg/%24File/375.jpg,Aichi 2nd District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/375.html,,,,,,,,民進,愛知2
FURUKAWA Yasushi,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/376.jpg/%24File/376.jpg,Saga 2nd District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/376.html,,,,,,,,自民,佐賀2
FURUKAWA Yoshihisa,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/377.jpg/%24File/377.jpg,Miyazaki 3rd District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/377.html,,,,,,,,自民,宮崎3
FURUMOTO Shinichiro,male,DP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/379.jpg/%24File/379.jpg,Aichi 11th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/379.html,,,,,,,,民進,愛知11
FURUTA Keiichi,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/378.jpg/%24File/378.jpg,Chugoku Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/378.html,,,,,,,,自民,（比）中国
FURUYA Keiji,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/380.jpg/%24File/380.jpg,Gifu 5th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/380.html,,,,,,,,自民,岐阜5
FURUYA Noriko,female,KM,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/381.jpg/%24File/381.jpg,Minami Kanto Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/381.html,,,,,,,,公明,（比）南関東
GEMBA Koichiro,male,DP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/172.jpg/%24File/172.jpg,Fukushima 3rd District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/172.html,,,,,,,,民進,福島3
GOTO Shigeyuki,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/183.jpg/%24File/183.jpg,Nagano 4th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/183.html,,,,,,,,自民,長野4
GOTO Yuichi,male,DP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/184.jpg/%24File/184.jpg,Kanagawa 16th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/184.html,,,,,,,,民進,神奈川16
GOTODA Masazumi,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/185.jpg/%24File/185.jpg,Tokushima 1st District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/185.html,,,,,,,,自民,徳島1
HAGIUDA Koichi,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/341.jpg/%24File/341.jpg,Tokyo 24th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/341.html,,,,,,,,自民,東京24
HAMACHI Masakazu,male,KM,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/350.jpg/%24File/350.jpg,Kyushu Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/350.html,,,,,,,,公明,（比）九州
HAMADA Yasukazu,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/349.jpg/%24File/349.jpg,Chiba 12th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/349.html,,,,,,,,自民,千葉12
HAMAMURA Susumu,male,KM,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/351.jpg/%24File/351.jpg,Kinki Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/351.html,,,,,,,,公明,（比）近畿
HANASHI Yasuhiro,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/339.jpg/%24File/339.jpg,Ibaraki 3rd District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/339.html,,,,,,,,自民,茨城3
HARADA Kenji,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/354.jpg/%24File/354.jpg,Osaka 9th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/354.html,,,,,,,,自民,大阪9
HARADA Yoshiaki,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/355.jpg/%24File/355.jpg,Fukuoka 5th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/355.html,,,,,,,,自民,福岡5
HARAGUCHI Kazuhiro,male,DP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/353.jpg/%24File/353.jpg,Saga 1st District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/353.html,,,,,,,,民進,佐賀1
HASE Hiroshi,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/344.jpg/%24File/344.jpg,Ishikawa 1st District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/344.html,,,,,,,,自民,石川1
HASHIMOTO Gaku,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/342.jpg/%24File/342.jpg,Okayama 4th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/342.html,,,,,,,,自民,岡山4
HASHIMOTO Hidenori,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/343.jpg/%24File/343.jpg,Tohoku Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/343.html,,,,,,,,自民,（比）東北
HATANO Kimie,female,JCP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/345.jpg/%24File/345.jpg,Minami Kanto Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/345.html,,,,,,,,共産,（比）南関東
HATAYAMA Kazuya,male,JCP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/346.jpg/%24File/346.jpg,Hokkaido Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/346.html,,,,,,,,共産,（比）北海道
HATOYAMA Jiro,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/506.jpg/%24File/506.jpg,Fukuoka 6th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/506.html,,,,,,,,自民,福岡6
HATSUSHIKA Akihiro,male,DP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/347.jpg/%24File/347.jpg,Tokyo Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/347.html,,,,,,,,民進,（比）東京都
HAYASHI Motoo,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/352.jpg/%24File/352.jpg,Chiba 10th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/352.html,,,,,,,,自民,千葉10
HIGA Natsumi,female,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/357.jpg/%24File/357.jpg,Kyushu Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/357.html,,,,,,,,自民,（比）九州
HIGUCHI Naoya,male,KM,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/358.jpg/%24File/358.jpg,Kinki Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/358.html,,,,,,,,公明,（比）近畿
HIRAGUCHI Hiroshi,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/360.jpg/%24File/360.jpg,Hiroshima 2nd District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/360.html,,,,,,,,自民,広島2
HIRAI Takuya,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/359.jpg/%24File/359.jpg,Kagawa 1st District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/359.html,,,,,,,,自民,香川1
HIRANO Hirofumi,male,DP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/363.jpg/%24File/363.jpg,Kinki Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/363.html,,,,,,,,民進,（比）近畿
HIRANUMA Takeo,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/362.jpg/%24File/362.jpg,Okayama 3rd District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/362.html,,,,,,,,自民,岡山3
HIRASAWA Katsuei,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/361.jpg/%24File/361.jpg,Tokyo 17th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/361.html,,,,,,,,自民,東京17
HORII Manabu,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/386.jpg/%24File/386.jpg,Hokkaido 9th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/386.html,,,,,,,,自民,北海道9
HORIUCHI Noriko,female,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/388.jpg/%24File/388.jpg,Minami Kanto Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/388.html,,,,,,,,自民,（比）南関東
HORIUCHI Terufumi,male,JCP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/387.jpg/%24File/387.jpg,Kinki Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/387.html,,,,,,,,共産,（比）近畿
HOSHINO Tsuyoshi,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/382.jpg/%24File/382.jpg,Kanagawa 12th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/382.html,,,,,,,,自民,神奈川12
HOSODA Hiroyuki,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/384.jpg/%24File/384.jpg,Shimane 1st District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/384.html,,,,,,,,自民,島根1
HOSODA Kenichi,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/383.jpg/%24File/383.jpg,Niigata 2nd District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/383.html,,,,,,,,自民,新潟2
HOSONO Goshi,male,DP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/385.jpg/%24File/385.jpg,Shizuoka 5th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/385.html,,,,,,,,民進,静岡5
IBAYASHI Tatsunori,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/033.jpg/%24File/033.jpg,Shizuoka 2nd District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/033.html,,,,,,,,自民,静岡2
IBUKI Bunmei,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/041.jpg/%24File/041.jpg,Kyoto 1st District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/041.html,,,,,,,,自民,京都1
IDE Yosei,male,DP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/027.jpg/%24File/027.jpg,Nagano 3rd District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/027.html,,,,,,,,民進,長野3
IKEDA Michitaka,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/043.jpg/%24File/043.jpg,Chugoku Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/043.html,,,,,,,,自民,（比）中国
IKEDA Yoshitaka,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/044.jpg/%24File/044.jpg,Tokai Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/044.html,,,,,,,,自民,（比）東海
IKEUCHI Saori,female,JCP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/042.jpg/%24File/042.jpg,Tokyo Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/042.html,,,,,,,,共産,（比）東京都
IMAEDA Soichiro,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/058.jpg/%24File/058.jpg,Aichi 14th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/058.html,,,,,,,,自民,愛知14
IMAI Masato,male,DP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/057.jpg/%24File/057.jpg,Tokai Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/057.html,,,,,,,,民進,（比）東海
IMAMURA Masahiro,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/060.jpg/%24File/060.jpg,Kyushu Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/060.html,,,,,,,,自民,（比）九州
IMAZU Hiroshi,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/059.jpg/%24File/059.jpg,Hokkaido Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/059.html,,,,,,,,自民,（比）北海道
INADA Tomomi,female,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/055.jpg/%24File/055.jpg,Fukui 1st District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/055.html,,,,,,,,自民,福井1
INATSU Hisashi,male,KM,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/056.jpg/%24File/056.jpg,Hokkaido 10th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/056.html,,,,,,,,公明,北海道10
INO Toshiro,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/028.jpg/%24File/028.jpg,Gumma 2nd District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/028.html,,,,,,,,自民,群馬2
INOUE Hidetaka,male,JIP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/031.jpg/%24File/031.jpg,Osaka 1st District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/031.html,,,,,,,,維新,大阪1
INOUE Shinji,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/029.jpg/%24File/029.jpg,Tokyo 25th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/029.html,,,,,,,,自民,東京25
