id,name__en,name,wikipedia__en,image,gender,given_name,birth_date,family_name,identifier__freebase,name__nl,name__de,name__nb,name__da,name__nn,name__sv,name__it,name__fr,name__es,wikipedia__es,name__pl,wikipedia__pl,name__ht,wikipedia__ht,name__zh,name__pt,name__ru,name__tr,name__fi,name__gl,name__et,name__id,name__mr,name__el,name__sh,name__ca,name__oc,name__io,wikipedia__ca,wikipedia__da,wikipedia__de,wikipedia__el,wikipedia__et,wikipedia__fi,wikipedia__fr,wikipedia__gl,wikipedia__id,wikipedia__io,wikipedia__mr,wikipedia__no,wikipedia__oc,wikipedia__pt,wikipedia__ru,wikipedia__sh,wikipedia__tr,wikipedia__zh,name__yo,wikipedia__yo,wikipedia__sv,original_wikiname,name__hu,last_seen,name__eu,name__ja,occupation,name__zh_hant,name__zh_cn,name__en_ca,name__en_gb,name__vi,name__la,wikipedia__la,wikipedia__vi,wikipedia__ja,name__fo,name__kl,wikipedia__it,facebook,identifier__Britannica,name__sl,wikipedia__commons,identifier__VIAF,death_date,identifier__ISNI,name__ar,wikipedia__ar
Q16196623,Marcus Nicholas,Marcus Nicholas,Marcus Nicholas,,male,Marcus,1966,Nicholas,,Marcus Nicholas,Marcus Nicholas,,,,,Marcus Nicholas,Marcus Nicholas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marcus Nicholas,,,,マーカス・ニコラス,politician,,,,,,,,,,,,,,,Marcus Nicholas,,,,,,
Q16198927,Edmund Estephane,Edmund Estephane,Edmund Estephane,,male,Edmund,1968,,,Edmund Estephane,Edmund Estephane,,,,,Edmund Estephane,Edmund Estephane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edmund Estephane,,,,エドムンド・エステファン,politician,,,,,,,,,,,,,,,Edmund Estephane,,,,,,
Q16201615,Sarah Flood-Beaubrun,Sarah Flood-Beaubrun,Sarah Flood-Beaubrun,,female,Sarah,1969-01-08,,,Sarah Flood-Beaubrun,Sarah Flood-Beaubrun,,,,,Sarah Flood-Beaubrun,Sarah Flood-Beaubrun,,,,,,,,,,,,,,,,,,,,,,,Sarah Flood-Beaubrun,,,,,,,,,,,,,,,,,,,Sarah Flood-Beaubrun,,,,サラ・フラッド＝ボーブルン,politician,,,,,,,,,,,,,,,Sarah Flood-Beaubrun,,,,,,
Q16203640,Allen Chastanet,Allen Chastanet,Allen Chastanet,https://upload.wikimedia.org/wikipedia/commons/4/48/Allen_Chastanet_2016.jpg,male,Allen,1960-11-20,,,Allen Chastanet,Allen Chastanet,Allen Chastanet,Allen Chastanet,Allen Chastanet,Allen Chastanet,Allen Chastanet,Allen Chastanet,Allen Chastanet,Allen Chastanet,Allen Chastanet,Allen Chastanet,,,艾倫·切斯特尼,Allen Chastanet,"Частанет, Аллен",Allen Chastanet,Allen Chastanet,,,,,Άλεν Τσάστνετ,,,Allen Michael Chastanet,,,,Allen Chastanet,Άλεν Τσάστνετ,,Allen Chastanet,Allen Chastanet,,,,,,Allen Michael Chastanet,Allen Chastanet,"Частанет, Аллен",,Allen Chastanet,艾伦·沙塔内,,,,Allen Chastanet,,,,アレン・シャスネ,politician,艾倫·切斯特尼,艾伦·切斯特尼,Allen Chastanet,Allen Chastanet,Allen Chastanet,Allen Chastanet,Allen Chastanet,Allen Chastanet,アレン・シャスネ,Allen Chastanet,Allen Chastanet,Allen Chastanet,allenmchastanet,,Allen Chastanet,,,,,,
Q16205063,Jeannine Compton-Antoine,Jeannine Compton-Antoine,Jeannine Compton-Antoine,,female,Jeannine,,,,Jeannine Compton-Antoine,,,,,,,Jeannine Compton-Antoine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jeannine Compton-Antoine,,,,,politician,,,,,,,,,,,,,,,Jeannine Compton-Antoine,,,,,,
Q16206884,Harold Dalson,Harold Dalson,Harold Dalson,,male,Harold,,,,Harold Dalson,Harold Dalson,,,,,Harold Dalson,Harold Dalson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Harold Dalson,,,,ハロルド・ダルソン,politician,,,,,,,,,,,,,,,Harold Dalson,,,,,,
Q24851870,Dominic Fedee,Dominic Fedee,Dominic Fedee,,male,,,,,Dominic Fedee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dominic Fedee,,,,ドモニク・フェディー,politician,,,,,,,,,,,,,,,,,,,,,
Q4737616,Alva Baptiste,Alva Baptiste,Alva Baptiste,https://upload.wikimedia.org/wikipedia/commons/4/46/Alva_Baptiste_(cropped).jpg,male,Alva,,Baptiste,,Alva Baptiste,Alva Baptiste,Alva Baptiste,Alva Baptiste,Alva Baptiste,Alva Baptiste,Alva Baptiste,Alva Baptiste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alva Baptiste,,,,アルヴァ・バプティスト,politician,,,,,,,,,,,,,,,Alva Baptiste,Category:Alva Baptiste,,,,,
Q4738268,Alvina Reynolds,Alvina Reynolds,Alvina Reynolds,,female,Alvina,,Reynolds,,Alvina Reynolds,Alvina Reynolds,Alvina Reynolds,Alvina Reynolds,Alvina Reynolds,Alvina Reynolds,,Alvina Reynolds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alvina Reynolds,,,,,politician,,,,,,,,,,,,,,,Alvina Reynolds,,,,,,
Q4796441,Arsene James,Arsene James,Arsene James,,male,,1944-10-30,James,,Arsene James,Arsene James,Arsene James,Arsene James,Arsene James,Arsene James,,Arsene James,Arsene James,Arsene James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arsene James,Arsene James,,,アルシン・ジェームズ,politician,,,,,,,,,,,,,,,Arsene James,,,2018-07-29,,,
Q5372840,Emma Hippolyte,Emma Hippolyte,Emma Hippolyte,,female,Emma,,Hippolyte,,Emma Hippolyte,Emma Hippolyte,Emma Hippolyte,Emma Hippolyte,Emma Hippolyte,Emma Hippolyte,,Emma Hippolyte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emma Hippolyte,,,,,politician,,,,,,,,,,,,,,,Emma Hippolyte,,,,,,
Q5518285,Gale Rigobert,Gale Rigobert,Gale Rigobert,,female,,,,,Gale Rigobert,Gale Rigobert,Gale Rigobert,Gale Rigobert,Gale Rigobert,Gale Rigobert,Gale Rigobert,Gale Rigobert,,,,,,,,,,,,,,,,,,,,,,,Gale Rigobert,,,,,,,,,,,,,,,,,,,Gale Rigobert,,,,ゲール・リゴバート,politician,,,,,,,,,,,,,,,Gale Rigobert,,299812581,,0000 0004 0330 8799,,
Q5622382,Guy Joseph,Guy Joseph,Guy Joseph,,male,Guy,1957,,,Guy Joseph,Guy Joseph,,,,,,Guy Joseph,,,,,Guy Joseph,Guy Joseph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guy Joseph,,,,ガイ・ジョゼフ,artist,,,,,,,,,,,,,,,Guy Joseph,,,,,,
Q57750,Kenny Anthony,Kenny Anthony,Kenny Anthony,"https://upload.wikimedia.org/wikipedia/commons/e/e3/Kenny_Anthony,_Sta._Lucía.jpg",male,Kenny,1951-01-08,Anthony,/m/021xts,Kenny Anthony,Kenneth Anthony,Kenny Anthony,Kenny Anthony,Kenny Anthony,Kenny Anthony,Kenny Anthony,Kenny Anthony,Kenneth Anthony,Kenny Anthony,Kenny Anthony,Kenny Anthony,,,肯尼·安东尼,Kenneth Anthony,Кенни Энтони,Kenny Anthony,Kenny Anthony,Kenneth Anthony,Kenny Anthony,Kenny Anthony,केनी अँथनी,Κένι Άντονι,Kenny Anthony,Kenny Anthony,Kenny Anthony,Kenny Davis Anthony,Kenny Anthony,Kenny Anthony,Kenneth Anthony,Κένι Άντονι,Kenny Anthony,Kenny Anthony,Kenny Anthony,Kenneth Anthony,Kenny Anthony,Kenny Davis Anthony,केनी अँथनी,Kenny Anthony,Kenny Anthony,Kenny Anthony,"Энтони, Кенни",Kenny Anthony,Kenny Anthony,肯尼·安东尼,,,Kenny Anthony,Kenny Anthony,Kenneth Anthony,,Kenny Anthony,ケニー・アンソニー,politician,,,,,,,,,,,,,,biography/Kenny-Anthony,Kenneth Anthony,,,,,كيني أنتوني,كيني أنتوني
Q58308,Rufus Bousquet,Rufus Bousquet,Rufus Bousquet,,male,Rufus,1958-11-28,Bousquet,,Rufus Bousquet,Rufus Bousquet,,,,,,Rufus Bousquet,Rufus Bousquet,,,,,,,,,,,,,,,,,Rufus Bousquet,Rufus Bousquet,,,,Rufus Bousquet,,,,,,,,,,,,,,,,,,,Rufus Bousquet,,,,ルフス・ブーケ,diplomat,,,,,,,,,,,,,,,,,,,,,
Q6384787,Keith Mondesir,Keith Mondesir,Keith Mondesir,,male,Keith,1948-01-23,Mondesir,,Keith Mondesir,Keith Mondesir,,,,,,Keith Mondesir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keith Mondesir,,,,キース・モンデサー,politician,,,,,,,,,,,,,,,,,,,,,
Q6522265,Lenard Montoute,Lenard Montoute,Lenard Montoute,,male,Lenard,1962,,,Lenard Montoute,Lenard Montoute,Lenard Montoute,Lenard Montoute,Lenard Montoute,Lenard Montoute,Lenard Montoute,Lenard Montoute,,,,,,,,,,Lenard Montoute,,,,,,,,,,,,,,,,,,,,,,,,,,,Lenard Montoute,,,,,Leonard Montoute,,,,レナート・モントート,politician,,,,,,,,,,,,,,,Lenard Montoute,,,,,,
Q6915830,Moses Jean Baptiste,Moses Jean Baptiste,Moses Jean Baptiste,,male,Moses,,,,Moses Jean Baptiste,Moses Jean Baptiste,Moses Jean Baptiste,Moses Jean Baptiste,Moses Jean Baptiste,Moses Jean Baptiste,,Moses Jean Baptiste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moses Jean Baptiste,,,,モセス・ジーン・バプティスト,politician,,,,,,,,,,,,,,,Moses Jean Baptiste,,,,,,
Q708289,Stephenson King,Stephenson King,Stephenson King,https://upload.wikimedia.org/wikipedia/commons/f/f6/Stephenson_King.jpg,male,Stephenson,1958-11-13,King,/m/02726sb,Stephenson King,Stephenson King,Stephenson King,Stephenson King,Stephenson King,Stephenson King,,Stephenson King,Stephenson King,Stephenson King,Stephenson King,Stephenson King,,,斯蒂芬森·金,,"Кинг, Стивенсон",Stephenson King,,,Stephenson King,Stephenson King,,Στίβενσον Κινγκ,Stephenson King,,,Stephenson King,,,Stephenson King,Στίβενσον Κινγκ,Stephenson King,,Stephenson King,,Stephenson King,Stephenson King,,Stephenson King,,,"Кинг, Стивенсон",Stephenson King,Stephenson King,斯蒂芬森·金,Stephenson King,Stephenson King,,Stephenson King,Stephenson King,,,スティーヴンソン・キング,politician,,,,,,,,,,,,,,,Stephenson King,,,,,,
