id,name__en,name__it,name,wikipedia__en,gender,original_wikiname,name__de,name__es,name__nl,wikipedia__de,birth_date,given_name,name__fr,name__ie,name__ru,wikipedia__commons,wikipedia__ie,image,death_date,name__cy,name__hu,last_seen,name__ja,occupation,wikipedia__fr,identifier__freebase,name__la,wikipedia__la,name__zh,name__sl,family_name,wikipedia__es,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__ISNI,name__sq,wikipedia__sq,twitter,name__en_gb,name__en_ca,name__pt,name__ca,name__ast,name__ar,wikipedia__ar,name__ak,name__ee
Q1409254,Joseph Amenowode,,Joseph Amenowode,Joseph Amenowode,male,Joseph Amenowode,Joseph Amenowode,Joseph Amenowode,Joseph Amenowode,Joseph Amenowode,"",Joseph,Joseph Amenowode,,,,,,,,Joseph Amenowode,,ジョセフ・アムノウォード,politician,,/m/0cp19sv,,,,Joseph Amenowode,,,,,,,,,,,,,,Joseph Amenowode,,,,
Q1451907,Joseph Kofi Adda,,Joseph Kofi Adda,Joseph Kofi Adda,male,,Joseph Kofi Adda,Joseph Kofi Adda,Joseph Kofi Adda,Joseph Kofi Adda,1956-04-22,Joseph,Joseph Kofi Adda,,,,,,,,,,,politician,,,,,,Joseph Kofi Adda,,,,,,,,,,,,,,Joseph Kofi Adda,,,,
Q1569692,Alima Mahama,,Alima Mahama,Alima Mahama,female,,Hajia Alima Mahama,Alima Mahama,Hajia Alima Mahama,Hajia Alima Mahama,1957-11-17,,Hajia Alima Mahama,,,,,,,,,,,barrister,,,,,,Hajia Alima Mahama,,,,,,,,,,,,,,,,,,
Q16146239,Alhassan Bashir Fuseini,Alhassan Bashir Fuseini,Alhassan Bashir Fuseini,Alhassan Bashir Fuseini,male,Alhassan Bashir Fuseini,Alhassan Bashir Fuseini,Alhassan Bashir Fuseini,Alhassan Bashir Fuseini,,1956-02-02,,Alhassan Bashir Fuseini,,,,,,,,,,,politician,,,,,,Alhassan Bashir Fuseini,,,,,,,,,,,,,,Alhassan Bashir Fuseini,,,,
Q16146242,Alhassan Sayibu Suhuyini,,Alhassan Sayibu Suhuyini,Alhassan Suhuyini,male,,Alhassan Suhuyini,Alhassan Sayibu Suhuyini,Alhassan Suhuyini,,1979-09-12,,Alhassan Sayibu Suhuyini,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,
Q16148840,Joseph Amankwanor,,Joseph Amankwanor,Joseph Amankwanor,male,Joseph Amankwanor,Joseph Amankwanor,Joseph Amankwanor,Joseph Amankwanor,,1954-10-14,Joseph,Joseph Amankwanor,,,,,,,,,,,politician,,,,,,Joseph Amankwanor,,,,,,,,,,,,,,Joseph Amankwanor,,,,
Q16192857,Helen Adjoa Ntoso,Helen Ntoso,Helen Adjoa Ntoso,Helen Ntoso,female,,Helen Ntoso,Helen Adjoa Ntoso,Helen Ntoso,,1958,Helen,Helen Ntoso,,,,,,,,,,,politician,,,,,,Helen Ntoso,,,,,,,Helen Ntoso,Helen Ntoso,,,,,,Helen Ntoso,,,,
Q16194544,Inusah Fuseini,Inusah Fuseini,Inusah Fuseini,Inusah Fuseini,male,,Inusah Fuseini,Inusah Fuseini,Inusah Fuseini,,1962-01-23,,Inusah Fuseini,,,,,,,,,,,lawyer,,,,,,Inusah Fuseini,,,,,,,,,,,,,,Inusah Fuseini,,,,
Q16196930,Fiifi Fiavi Kwetey,,Fiifi Fiavi Kwetey,Fiifi Kwetey,male,,Fiifi Fiavi Kwetey,Fiifi Fiavi Kwetey,Fiifi Fiavi Kwetey,,1967-06-02,,Fiifi Fiavi Kwetey,,,,,,,,,,,politician,,,,,,Fiifi Fiavi Kwetey,,,,,,,,,,,,,,Fiifi Fiavi Kwetey,,,,
Q16211514,Haruna Iddrisu,Haruna Iddrisu,Haruna Iddrisu,Haruna Iddrisu,male,Haruna Iddrisu,Haruna Iddrisu,Haruna Iddrisu,,,1970-09-08,Haruna,Haruna Iddrisu,,,Category:Haruna Iddrisu,,https://upload.wikimedia.org/wikipedia/commons/5/5e/HarunaIddrisu.jpg,,,,,,politician,,,,,,Haruna Iddrisu,,,,,,,,,,,,,,Haruna Iddrisu,,,,
Q16218681,Ras Mubarak,,Ras Mubarak,Ras Mubarak,male,,Ras Mubarak,Ras Mubarak,,,1979-06-03,,Ras Mubarak,,,,,,,,,,,publicist,,,,,,Ras Mubarak,,,,,,,,,RasMubarak,,,,,Ras Mubarak,,,,
Q16219412,Joe Gidisu,,Joe Gidisu,Joe Gidisu,male,Joe Gidisu,Joe Gidisu,Joe Gidisu,Joe Gidisu,,,Joe,Joe Gidisu,,,,,,,,,,,teacher,,,,,,Joe Gidisu,,,,,,,,,,,,,,Joe Gidisu,,,,
Q1657330,Ignatius Baffour-Awuah,,Ignatius Baffour-Awuah,Ignatius Baffour-Awuah,male,,Ignatius Baffour-Awuah,Ignatius Baffour-Awuah,Ignatius Baffour-Awuah,Ignatius Baffour-Awuah,1966-08-24,Ignatius,Ignatius Baffour-Awuah,,,,,,,,,,,politician,,,,,,Ignatius Baffour-Awuah,,,,,,,,,,,,,,Ignatius Baffour-Awuah,,,,
Q16731126,Kwabena Okyere Darko-Mensah,,Kwabena Okyere Darko-Mensah,Kwabena Okyere Darko-Mensah,male,,,Kwabena Okyere Darko-Mensah,,,1974-06-18,,Kwabena Okyere Darko-Mensah,,,,,,,,,,,politician,,,,,,Kwabena Okyere Darko-Mensah,,,,,,,,,,,,,,Kwabena Okyere Darko-Mensah,,,,
Q16733008,Muntaka Mohammed Mubarak,,Muntaka Mohammed Mubarak,Mubarak Mohammed Muntaka,male,Muntaka Mohammed Mubarak,Muntaka Mohammed Mubarak,Muntaka Mohammed Mubarak,,,1971-10-17,,Muntaka Mohammed Mubarak,,,,,,,,,,,politician,,,,,,Muntaka Mohammed Mubarak,,,,,,,,,muntaka_mubarak,,,,,Muntaka Mohammed Mubarak,,,,
Q16733482,Ebenezer Okletey Terlabi,,Ebenezer Okletey Terlabi,Ebenezer Okletey Terlabi,male,,Ebenezer Okletey Terlabi,Ebenezer Okletey Terlabi,,,1963-09-03,Ebenezer,Ebenezer Okletey Terlabi,,,,,,,,,,,politician,,,,,,Ebenezer Okletey Terlabi,,,,,,,,,,,,,,Ebenezer Okletey Terlabi,,,,
Q16733693,Joshua Nii Laryea Afotey-Agbo,,Joshua Nii Laryea Afotey-Agbo,Joshua Nii Laryea Afotey-Agbo,male,,,Joshua Nii Laryea Afotey-Agbo,,,1967-07-31,Joshua,Joshua Nii Laryea Afotey-Agbo,,,,,,,,,,,politician,,,,,,Joshua Nii Laryea Afotey-Agbo,,,,,,,,,,,,,,Joshua Nii Laryea Afotey-Agbo,,,,
Q16734040,Queenster Maame Pokua Sawyerr,,Queenster Maame Pokua Sawyerr,Queenstar Pokuah Sawyerr,female,,Queenster Maame Pokua Sawyerr,Queenster Maame Pokua Sawyerr,,,1964-07-01,,Queenster Maame Pokua Sawyerr,,,,,,,,,,,politician,,,,,,Queenster Maame Pokua Sawyerr,,,,,,,,,,,,,,Queenster Maame Pokua Sawyerr,,,,
Q16734231,Edwin Nii Lante Vanderpuye,,Edwin Nii Lante Vanderpuye,Edwin Nii Lante Vanderpuye,male,,Edwin Nii Lante Vanderpuye,Edwin Nii Lante Vanderpuye,,,1965-06-11,Edwin,Edwin Nii Lante Vanderpuye,,,,,,,,,,,politician,,,,,,Edwin Nii Lante Vanderpuye,,,,,,,,,,,,,,Edwin Nii Lante Vanderpuye,,,,
Q1691433,Joe Ghartey,,Joe Ghartey,Joe Ghartey,male,Joe Ghartey,Joe Ghartey,Joe Ghartey,Joe Ghartey,Joe Ghartey,1961-06-15,Joseph,Joe Ghartey,,Joseph Ghartey,,,,,,,,,lawyer,,,,,,Joe Ghartey,,,,,,,,,,,,,,Joe Ghartey,,,,
Q1698546,Papa Owusu-Ankomah,,Papa Owusu-Ankomah,Papa Owusu-Ankomah,male,Papa Owusu-Ankomah,Papa Owusu-Ankomah,Papa Owusu-Ankomah,Papa Owusu-Ankomah,Papa Owusu-Ankomah,1958-04-27,Papa,Papa Owusu-Ankomah,,,,,https://upload.wikimedia.org/wikipedia/commons/d/d3/Papa_Owusu-Ankomah_-_2017_(37944122301)_(cropped).jpg,,,,,,barrister,,,,,帕帕·奧烏蘇·安科馬,Papa Owusu-Ankomah,,,,,,,,,,,,,,Papa Owusu-Ankomah,,,,
Q1708293,Joseph Yieleh Chireh,,Joseph Yieleh Chireh,Joseph Yieleh Chireh,male,Joseph Yieleh Chireh,Joseph Yieleh Chireh,Joseph Yieleh Chireh,Joseph Yieleh Chireh,Joseph Yieleh Chireh,1954-07-08,Joseph,Joseph Yieleh Chireh,,,,,,,,,,,diplomat,,,,,,Joseph Yieleh Chireh,,,,,,,,,,,,,,Joseph Yieleh Chireh,,,,
Q17386197,Kobina Tahir Hammond,,Kobina Tahir Hammond,Kobina Tahir Hammond,male,,Kobina Tahir Hammond,Kobina Tahir Hammond,,,1960-06-16,,Kobina Tahir Hammond,,,,,,,,,,,lawyer,,,,,,Kobina Tahir Hammond,,,,,,,,,,,,,,Kobina Tahir Hammond,,,,
Q20119890,Francisca Oteng-Mensah,,Francisca Oteng-Mensah,Francisca Oteng-Mensah,female,,Francisca Oteng-Mensah,Francisca Oteng-Mensah,,,1993-02-14,Francisca,Francisca Oteng-Mensah,,,,,,,,,,,politician,,,,,,Francisca Oteng-Mensah,,,,,,,,,,Francisca Oteng-Mensah,,,,Francisca Oteng-Mensah,,,Francisca Oteng-Mensah,Francisca Oteng-Mensah
Q20202651,Kojo Oppong Nkrumah,,Kojo Oppong Nkrumah,Kojo Oppong Nkrumah,male,,,Kojo Oppong Nkrumah,Kojo Oppong Nkrumah,,1982-04-05,,Kojo Oppong Nkrumah,,,,,,,,,,,politician,,,,,,Kojo Oppong Nkrumah,,,,,,,,,,,,,,Kojo Oppong Nkrumah,,,,
Q2059474,Paul Evans Aidoo,,Paul Evans Aidoo,Paul Evans Aidoo,male,Paul Evans Aidoo,Paul Evans Aidoo,Paul Evans Aidoo,Paul Evans Aidoo,Paul Evans Aidoo,1958-08-04,Paul,Paul Evans Aidoo,,,,,,,,Paul Evans Aidoo,,,politician,,,,,,Paul Evans Aidoo,,,,,,,,,,,,,,Paul Evans Aidoo,باول إيفانز أودو,باول إيفانز أودو,,
Q20898403,Sarah Adwoa Sarfo,,Sarah Adwoa Sarfo,Sarah Adwoa Safo,female,Sarah Adwoa Safo,,Sarah Adwoa Sarfo,Sarah Adwoa Sarfo,,1981-12-28,Sarah,Sarah Adwoa Sarfo,,,,,,,,,,,politician,,,,,,Sarah Adwoa Sarfo,,,,,,,,,,,,,,Sarah Adwoa Sarfo,,,,
Q21062553,Samuel Okudzeto Ablakwa,,Samuel Okudzeto Ablakwa,Samuel Okudzeto Ablakwa,male,Samuel Okudzeto Ablakwa,,Samuel Okudzeto Ablakwa,Samuel Okudzeto Ablakwa,,1980-08-11,Samuel,Samuel Okudzeto Ablakwa,,,,,,,,,,,politician,,,,,,Samuel Okudzeto Ablakwa,,,,,,,,,S_OkudzetoAblak,,,,,Samuel Okudzeto Ablakwa,,,,
Q21063772,Ursula Owusu,,Ursula Owusu,Ursula Owusu,female,,Ursula Owusu,Ursula Owusu,Ursula Owusu,,1964-10-20,Ursula,Ursula Owusu,,,Category:Ursula Owusu-Ekuful,,"https://upload.wikimedia.org/wikipedia/commons/e/e1/H.E._Ursula_G._Owusu-Ekuful,_Minister_of_Communications_of_Ghana.jpg",,,,,,politician,,,,,,Ursula Owusu,Owusu,,,,,,,,,,,,,Ursula Owusu,,,,
Q21908926,Kwabena Donkor,,Kwabena Donkor,Kwabena Donkor,male,,,Kwabena Donkor,Kwabena Donkor,,1958-02-05,,Kwabena Donkor,,,,,,,,,,,politician,,,,,,Kwabena Donkor,,,,,,,,,,,,,,Kwabena Donkor,,,,
Q22003132,Richard W. Anane,,Richard W. Anane,Richard W. Anane,male,Richard W. Anane,,,Richard W. Anane,,1954-03-12,Richard,Richard W. Anane,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,Richard W. Anane,,,,
Q2211076,Abubakar Boniface Siddique,Saddique Boniface,Abubakar Boniface Siddique,Abubakar Boniface Siddique,male,,Saddique Boniface,Abubakar Boniface Siddique,Saddique Boniface,Saddique Boniface,1960-11-14,,Saddique Boniface,,,,,,,,,,,civil servant,,,,,,Saddique Boniface,,,,,,,,,,,,,,,,,,
Q22231171,Samuel Nartey George,,Samuel Nartey George,Sam Nartey George,male,,,Samuel Nartey George,Sam George Nartey,,1985-01-22,,Sam George Nartey,,,,,,,,,,,politician,,,,,,Sam George Nartey,,,,,,,,,samgeorgegh,,,,,,,,,
Q23541289,Zanetor Agyeman-Rawlings,,Zanetor Agyeman-Rawlings,Zanetor Agyeman-Rawlings,female,,Zanetor Agyeman-Rawlings,Zanetor Agyeman-Rawlings,Zanetor Agyeman-Rawlings,,1978-06-01,,Zanetor Agyeman-Rawlings,,,,,https://upload.wikimedia.org/wikipedia/commons/a/a8/Zanetor_Agyeman-Rawlings.jpg,,,,,,member of parliament,,,,,,Dr. Zanetor Agyeman-Rawlings,,,,,,,,,,,,,,,,,,
Q26210996,Gifty Klenam,,Gifty Klenam,Gifty Klenam,female,Gifty Klenam,Gifty Klenam,Gifty Klenam,Gifty Klenam,,1970-07-12,Gifty,Gifty Klenam,,,,,,,,,,,politician,,,,,,Gifty Klenam,,,,,,,,,,,,,,Gifty Klenam,,,,
Q2637206,Alban Bagbin,,Alban Bagbin,Alban Bagbin,male,Alban Bagbin,Alban K. S. Bagbin,Alban Bagbin,Alban Bagbin,Alban K. S. Bagbin,1957-09-24,Alban,Alban Bagbin,,,,,,,,Alban Bagbin,,,politician,,,,,,Alban Bagbin,,,,,,,,,,,,,,Alban Bagbin,,,,
Q26464946,Alexander Kwamina Afenyo-Markin,,Alexander Kwamina Afenyo-Markin,Alexander Kwamina Afenyo-Markin,male,Alexander Afenyo-Markin,,Alexander Kwamina Afenyo-Markin,Alexander Kwamina Afenyo-Markin,,1978-05-27,Alexander,Alexander Kwamina Afenyo-Markin,,,,,,,,,,,politician,,,,,,Alexander Kwamina Afenyo-Markin,,,,,,,,,,,,,,Alexander Kwamina Afenyo-Markin,,,,
Q26899146,Patricia Appiagyei,,Patricia Appiagyei,Patricia Appiagyei,female,,,Patricia Appiagyei,Patricia Appiagyei,,1956-11-28,Patricia,Patricia Appiagyei,,,,,,,,,,,politician,,,,,,,,,,,,,,,,Patricia Appiagyei,,Patricia Appiagyei,,Patricia Appiagyei,,,Patricia Appiagyei,Patricia Appiagyei
Q26899153,Freda Akosua Prempeh,,Freda Akosua Prempeh,Freda Akosua Prempeh,female,Freda Prempeh,Freda Akosua Prempeh,Freda Akosua Prempeh,Freda Akosua Prempeh,,1966-01-23,Freda,Freda Akosua Prempeh,,,,,,,,,,,politician,,,,,,Freda Akosua Prempeh,,,,,,,,,,,,,,Freda Akosua Prempeh,,,,
Q26899268,Comfort Doyoe Cudjoe-Ghansah,,Comfort Doyoe Cudjoe-Ghansah,Comfort Doyoe Cudjoe-Ghansah,female,Comfort Doyoe Cudjoe-Ghansah,Comfort Doyoe Cudjoe-Ghansah,Comfort Doyoe Cudjoe-Ghansah,Comfort Doyoe Cudjoe-Ghansah,,1967-11-03,,Comfort Doyoe Cudjoe-Ghansah,,,,,,,,,,,politician,,,,,,Comfort Doyoe Cudjoe-Ghansah,,,,,,,,,,,,,,Comfort Doyoe Cudjoe-Ghansah,,,,
Q26899283,Mavis Hawa Koomson,,Mavis Hawa Koomson,Mavis Hawa Koomson,female,,Mavis Hawa Koomson,Mavis Hawa Koomson,Mavis Hawa Koomson,,1966-02-03,,Mavis Hawa Koomson,,,,,,,,,,,politician,,,,,,Mavis Hawa Koomson,,,,,,,,,,,,,,Mavis Hawa Koomson,,,,
Q26899284,Bernice Adiku Heloo,,Bernice Adiku Heloo,Bernice Heloo,female,,Bernice Adiku Heloo,Bernice Adiku Heloo,Bernice Adiku Heloo,,1954-09-24,,Bernice Adiku Heloo,,,,,,,,,,,politician,,,,,,Bernice Adiku Heloo,,,,,,,,,,,,,,Bernice Adiku Heloo,,,,
Q26923626,Shirley Ayorkor Botchway,,Shirley Ayorkor Botchway,Shirley Ayorkor Botchway,female,,,Shirley Ayorkor Botchway,Shirley Ayorkor Botchway,,1963-02-08,Shirley,Shirley Ayorkor Botchway,,,,,,,,,,シャーリー・アヨルコル・ボッチウェイ,politician,Shirley Ayorkor Botchway,,Shirley Ayorkor Botchway,Shirley Ayorkor Botchway,,Shirley Ayorkor Botchway,,,,,,,,,,,,,,Shirley Ayorkor Botchway,,,,
