id,name__de,name__en,name__fi,name__sq,name__ro,name__pl,name__el,name__nl,name__es,name__fr,name__hu,name,wikipedia__de,wikipedia__el,wikipedia__en,wikipedia__fi,wikipedia__pl,wikipedia__ro,wikipedia__sq,gender,birth_date,identifier__freebase,identifier__EuroparlMEP,original_wikiname,name__vi,name__ru,name__uz,name__bg,name__de_ch,name__en_ca,name__en_gb,name__eo,name__fa,name__id,name__ka,name__la,name__mr,name__sh,name__sv,name__tl,name__tr,name__cy,name__pam,name__ko,name__sk,name__cs,name__lb,name__bs,name__pt_br,name__ar,name__ja,name__uk,name__et,name__ms,name__be,name__sr,name__it,name__nb,name__yo,name__he,name__pt,name__zh,name__hy,name__ca,name__li,name__io,name__sco,name__da,name__nn,wikipedia__ar,wikipedia__be,wikipedia__bg,wikipedia__bs,wikipedia__ca,wikipedia__commons,wikipedia__cs,wikipedia__cy,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__fa,wikipedia__fr,wikipedia__he,wikipedia__hu,wikipedia__hy,wikipedia__id,wikipedia__io,wikipedia__it,wikipedia__ja,wikipedia__ka,wikipedia__ko,wikipedia__la,wikipedia__lb,wikipedia__li,wikipedia__mr,wikipedia__ms,wikipedia__nl,wikipedia__no,wikipedia__pam,wikipedia__plwikiquote,wikipedia__pt,wikipedia__ru,wikipedia__ruwikinews,wikipedia__sco,wikipedia__sh,wikipedia__simple,wikipedia__sk,wikipedia__sr,wikipedia__sv,wikipedia__tl,wikipedia__tr,wikipedia__uk,wikipedia__uz,wikipedia__vi,wikipedia__yo,wikipedia__zh,image,given_name,website,identifier__parlement,name__af,name__an,name__ast,name__bar,name__br,name__co,name__de_at,name__eu,name__frp,name__fur,name__ga,name__gd,name__gl,name__gsw,name__hr,name__ia,name__ie,name__is,name__kg,name__lij,name__mg,name__min,name__nap,name__nds,name__nds_nl,name__nrm,name__oc,name__pcd,name__pms,name__rm,name__sc,name__scn,name__sl,name__sr_el,name__sw,name__vec,name__vls,name__vo,name__wa,name__wo,name__zu,last_seen,identifier__PACE,identifier__VIAF,identifier__GND,wikipedia__hsb,name__hsb,identifier__GTAA,occupation,name__se,name__ceb,name__zh_hk,name__yue,name__zh_cn,name__zh_sg,name__zh_hans,name__zh_hant,name__zh_tw,name__zh_mo,name__zh_my,name__lt,name__fy,name__eml,name__dsb,name__mt,name__lv,name__jam,name__frr,name__wuu,name__fo,name__hif,name__ht,name__jv,name__als,name__no,name__ang,name__su,name__simple,name__ay,name__tt,wikipedia__arwikinews,wikipedia__da,wikipedia__ga
Q11685756,Andreas Pitsillides,Andreas Pitsillides,Andreas Pitsillides,,Andreas Pitsillides,Andreas Pitsillides,Ανδρέας Πιτσιλλίδης,Andreas Pitsillides,Andreas Pitsillides,Andreas Pitsillides,Andreas Pitsillides,Andreas Pitsillides,Andreas Pitsillides,Ανδρέας Πιτσιλλίδης,Andreas Pitsillides,,Andreas Pitsilidis,,,male,1977-06-09,,118144,,Andreas Pitsillides,,,,Andreas Pitsillides,Andreas Pitsillides,Andreas Pitsillides,Andreas Pitsillides,,Andreas Pitsillides,,,,,Andreas Pitsillides,,,Andreas Pitsillides,,,Andreas Pitsillides,Andreas Pitsillides,Andreas Pitsillides,,Andreas Pitsillides,,,,Andreas Pitsillides,Andreas Pitsillides,,,Andreas Pitsillides,Andreas Pitsillides,,,Andreas Pitsillides,,,Andreas Pitsillides,Andreas Pitsillides,Andreas Pitsillides,Andreas Pitsillides,Andreas Pitsillides,Andreas Pitsillides,,,,,,,,,,,,,Andréas Pitsillídis,,,,,,,,,,,,,,,Andreas Pitsillides,,,,,,,,,,,,,,,,,,,,,Andreas,,,Andreas Pitsillides,Andreas Pitsillides,Andreas Pitsillides,Andreas Pitsillides,Andreas Pitsillides,Andreas Pitsillides,Andreas Pitsillides,Andreas Pitsillides,Andreas Pitsillides,Andreas Pitsillides,Andreas Pitsillides,Andreas Pitsillides,Andreas Pitsillides,Andreas Pitsillides,Andreas Pitsillides,Andreas Pitsillides,Andreas Pitsillides,Andreas Pitsillides,Andreas Pitsillides,Andreas Pitsillides,Andreas Pitsillides,Andreas Pitsillides,Andreas Pitsillides,Andreas Pitsillides,Andreas Pitsillides,Andreas Pitsillides,Andreas Pitsillides,Andreas Pitsillides,Andreas Pitsillides,Andreas Pitsillides,Andreas Pitsillides,Andreas Pitsillides,Andreas Pitsillides,Andreas Pitsillides,Andreas Pitsillides,Andreas Pitsillides,Andreas Pitsillides,Andreas Pitsillides,Andreas Pitsillides,Andreas Pitsillides,Andreas Pitsillides,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12872352,,,,,,,Άριστος Δαμιανού,,,,,,,Άριστος Δαμιανού,,,,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lawyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12873768,,,,,,,Αντρέας Καυκαλιάς,,,,,,,Αντρέας Καυκαλιάς,,,,,,male,1971-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12873769,,,,,,,Αντρέας Φακοντής,,,,,,,Αντρέας Φακοντής,,,,,,male,1964-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12873774,,Antonis Antoniou,,,,,Αντώνης Αντωνίου,,,,,Antonis Antoniou,,Αντώνης Αντωνίου (πολιτικός),,,,,,male,1959-11-30,,,,,Антонис Антониу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antonis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,architect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12875278,,,,,,,Γιαννάκης Γαβριήλ,,,,,,,Γιαννάκης Γαβριήλ,,,,,,male,1961-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12875354,,,,,,,Γιώργος Λουκαΐδης,,,,,,,Γιώργος Λουκαΐδης,,,,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12875947,,Demetris Syllouris,,,,Dimitris Siluris,Δημήτρης Συλλούρης,,,,,Demetris Syllouris,,Δημήτρης Συλλούρης,Demetris Syllouris,,Dimitris Siluris,,,male,1953-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,德米特里斯·希路瑞斯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dimitris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12876791,,,,,,,Ειρήνη Χαραλαμπίδου,,,,,,,Ειρήνη Χαραλαμπίδου,,,,,,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12879928,,,,,,,Κώστας Κώστα,,,,,,,Κώστας Κώστα,,,,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
