id,name,sort_name,family_name,given_name,source,start_date,end_date,faction_id,term,faction,image,birth_date
mp_AbdylYmeri,Abdyl Ymeri,Ymeri Abdyl,Ymeri,Abdyl,"http://www.kuvendikosoves.org/?cid=1,102,946",2007-12-13,2010-11-03,parliamentary_group_25,chamber_2007-12-13,Grupi i PDK-së,,
mp_AdemGrabovci,Adem Grabovci,Grabovci Adem,Grabovci,Adem,"http://www.kuvendikosoves.org/?cid=1,102,875",2014-07-17,2017-05-10,parliamentary_group_54,chamber_2014-07-17,PDK,http://files.parldata.eu/kv/kuvendi/people/mp_AdemGrabovci/image.3.jpeg,
mp_AdemGrabovci,Adem Grabovci,Grabovci Adem,Grabovci,Adem,"http://www.kuvendikosoves.org/?cid=1,102,875",2010-12-12,2014-05-07,parliamentary_group_43,chamber_2010-12-12,PDK,http://files.parldata.eu/kv/kuvendi/people/mp_AdemGrabovci/image.3.jpeg,
mp_AdemGrabovci,Adem Grabovci,Grabovci Adem,Grabovci,Adem,"http://www.kuvendikosoves.org/?cid=1,102,875",2007-12-13,2010-11-03,parliamentary_group_25,chamber_2007-12-13,Grupi i PDK-së,http://files.parldata.eu/kv/kuvendi/people/mp_AdemGrabovci/image.3.jpeg,
mp_AdemHajdaraj,Adem Hajdaraj,Hajdaraj Adem,Hajdaraj,Adem,"http://www.kuvendikosoves.org/?cid=1,158,572&secid=102&legid=3",2007-12-13,2010-11-03,parliamentary_group_26,chamber_2007-12-13,Grupi i LDK-së,http://files.parldata.eu/kv/kuvendi/people/mp_AdemHajdaraj/image.jpeg,1944-12-13
mp_AdemHodA,Adem Hoda,Hoda Adem,Hoda,Adem,"http://www.kuvendikosoves.org/?cid=1,102,865",2014-07-17,2017-05-10,parliamentary_group_57,chamber_2014-07-17,Lista serbe,http://files.parldata.eu/kv/kuvendi/people/mp_AdemHod%C2%9EA/image.jpeg,
mp_AdemSalihaj,Adem Salihaj,Salihaj Adem,Salihaj,Adem,"http://www.kuvendikosoves.org/?cid=1,102,832",2014-07-17,2017-05-10,parliamentary_group_55,chamber_2014-07-17,LDK,http://files.parldata.eu/kv/kuvendi/people/mp_AdemSalihaj/image.2.jpeg,
mp_AdemSalihaj,Adem Salihaj,Salihaj Adem,Salihaj,Adem,"http://www.kuvendikosoves.org/?cid=1,102,832",2007-12-13,2010-11-03,parliamentary_group_26,chamber_2007-12-13,Grupi i LDK-së,http://files.parldata.eu/kv/kuvendi/people/mp_AdemSalihaj/image.2.jpeg,
mp_AfrimArzullaxhiu,Afrim Arzullaxhiu,Arzullaxhiu Afrim,Arzullaxhiu,Afrim,"http://www.kuvendikosoves.org/?cid=1,158,447&secid=102&legid=2",2004-11-23,2007-12-12,parliamentary_group_8,chamber_2004-11-23,Grupi Parlamentar i PDK-së,http://files.parldata.eu/kv/kuvendi/people/mp_AfrimArzullaxhiu/image.jpeg,1954-04-03
mp_AfrimHoti,Afrim Hoti,Hoti Afrim,Hoti,Afrim,"http://www.kuvendikosoves.org/?cid=1,158,769&secid=102&legid=4",2010-12-12,2014-05-07,parliamentary_group_40,chamber_2010-12-12,Grupi i Vetëvendosjes,http://files.parldata.eu/kv/kuvendi/people/mp_AfrimHoti/image.jpeg,1962-06-05
mp_AfrimKasolli,Afrim Kasolli,Kasolli Afrim,Kasolli,Afrim,"http://www.kuvendikosoves.org/?cid=1,158,719&secid=102&legid=4",2010-12-12,2014-05-07,parliamentary_group_40,chamber_2010-12-12,Grupi i Vetëvendosjes,http://files.parldata.eu/kv/kuvendi/people/mp_AfrimKasolli/image.jpeg,
mp_AfërditaBerishaShaqiri,Afërdita Berisha-Shaqiri,Berisha-Shaqiri Afërdita,Berisha-Shaqiri,Afërdita,"http://www.kuvendikosoves.org/?cid=1,158,745&secid=102&legid=4",2010-12-12,2014-05-07,parliamentary_group_44,chamber_2010-12-12,LDK,http://files.parldata.eu/kv/kuvendi/people/mp_Af%C3%ABrditaBerishaShaqiri/image.jpeg,
mp_AgimAdemaj,Agim Ademaj,Ademaj Agim,Ademaj,Agim,"http://www.kuvendikosoves.org/?cid=1,102,834",2014-07-17,2017-05-10,parliamentary_group_55,chamber_2014-07-17,LDK,http://files.parldata.eu/kv/kuvendi/people/mp_AgimAdemaj/image.jpeg,
mp_AgimAliu,Agim Aliu,Aliu Agim,Aliu,Agim,"http://www.kuvendikosoves.org/?cid=1,102,973",2014-07-17,2017-05-10,parliamentary_group_54,chamber_2014-07-17,PDK,http://files.parldata.eu/kv/kuvendi/people/mp_AgimAliu/image.2.jpeg,
